x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013130376246089212,100000.0,1313.0376246089213,99343.48118769554,7235989.2776,72.359892776
1-2,0.0007607023712813247,98686.96237539109,75.07140629351088,98649.42667224433,7136645.796412304,72.31599417626742
2-3,0.0004342965237796224,98611.89096909757,42.826801451214216,98590.47756837196,7037996.36974006,71.37066636259502
3-4,0.00035013308166429434,98569.06416764636,34.51229019378359,98551.80802254946,6939405.892171687,70.40145861960441
4-5,0.00029165395796498664,98534.55187745257,28.737992051365346,98520.18288142688,6840854.084149138,69.42594200516697
5-6,0.0002553854211151175,98505.8138854012,25.156948761410575,98493.2354110205,6742333.901267711,68.44605039365032
6-7,0.00023373654571843248,98480.6569366398,23.018528572452173,98469.14767235357,6643840.66585669,67.46340725703307
7-8,0.00021940106670104127,98457.63840806735,21.601710891595385,98446.83755262155,6545371.518184337,66.4790627117868
8-9,0.00020765982550209885,98436.03669717575,20.441210203653714,98425.81609207392,6446924.680631715,65.49354176524547
9-10,0.0001985312042617664,98415.59548697209,19.538566690167432,98405.826203627,6348498.864539641,64.50704111606004
10-11,0.0001970684146399873,98396.05692028192,19.39075494410591,98386.36154280987,6250093.038336014,63.519751034329424
11-12,0.00021301044364055552,98376.66616533781,20.955257303757435,98366.18853668594,6151706.676793205,62.53217268467171
12-13,0.0002585305176513258,98355.71090803406,25.427952855018198,98342.99693160655,6053340.488256519,61.54538900050856
13-14,0.00034084699735852856,98330.28295517903,33.51558169468728,98313.52516433169,5954997.491324912,60.561175177735656
14-15,0.00045134232222974395,98296.76737348434,44.36549125402535,98274.58462785733,5856683.9661605805,59.581653829039624
15-16,0.0005765689095470167,98252.40188223032,56.64928021361278,98224.07724212352,5758409.381532723,58.608331920831894
16-17,0.0007018625859316102,98195.7526020167,68.91992484875209,98161.29263959233,5660185.304290599,57.64185470659912
17-18,0.0008218283043123252,98126.83267716794,80.64340850661618,98086.51097291464,5562024.0116510065,56.68198860499013
18-19,0.0009288732063784058,98046.18926866133,91.07247819916549,98000.65302956174,5463937.500678092,55.72819853004261
19-20,0.0010249052198967748,97955.11679046217,100.39471051414289,97904.9194352051,5365936.84764853,54.77954621938655
20-21,0.0011297570887797432,97854.72207994803,110.55206594039294,97799.44604697783,5268031.928213325,53.835234685039566
21-22,0.0012369348526947456,97744.17001400763,120.9031705380467,97683.7184287386,5170232.482166347,52.89555869598571
22-23,0.0013149450019255542,97623.26684346958,128.369226807465,97559.08223006585,5072548.763737609,51.96044885356069
23-24,0.0013510209600618391,97494.89761666211,131.71765017919356,97429.03879157252,4974989.681507543,51.02820560998574
24-25,0.00135788175241403,97363.17996648292,132.2076854334904,97297.07612376616,4877560.64271597,50.096562626601354
25-26,0.0013563790280613677,97230.97228104943,131.8820516800316,97165.03125520941,4780263.566592203,49.16400046658681
26-27,0.0013692800682941135,97099.0902293694,132.95584890056722,97032.61230491911,4683098.535336994,48.230096948122636
27-28,0.0014036219019095252,96966.13438046882,136.10378995992826,96898.08248548886,4586065.923032074,47.29554243172771
28-29,0.0014668187906611949,96830.03059050889,142.03210837045677,96759.01453632367,4489167.840546586,46.361318004030515
29-30,0.0015527066231537867,96687.99848213843,150.12809562269962,96612.93443432708,4392408.826010262,45.42868706524822
30-31,0.0016473976640193036,96537.87038651573,159.03626216414432,96458.35225543365,4295795.891575934,44.49855662214779
31-32,0.001750225551732049,96378.83412435159,168.68469813058488,96294.4917752863,4199337.539320501,43.57115934710683
32-33,0.0018700001836849296,96210.149426221,179.9129970993878,96120.1929276713,4103043.047545214,42.6466757614969
33-34,0.0020050631698368473,96030.23642912162,192.5466902547565,95933.96308399424,4006922.854617543,41.725637711774134
34-35,0.0021525056763455628,95837.68973886686,206.2911711707558,95734.54415328149,3910988.891533549,40.808463791124254
35-36,0.0023101820537552976,95631.3985676961,220.92594074661162,95520.9355973228,3815254.3473802675,39.89541515153628
36-37,0.002481432339954204,95410.47262694949,236.7546323468278,95292.09531077607,3719733.4117829446,38.98663647047352
37-38,0.002670928566757877,95173.71799460266,254.20220219634245,95046.61689350448,3624441.3164721685,38.08237602609695
38-39,0.002880360888198757,94919.51579240631,273.4024608152114,94782.8145619987,3529394.6995786643,37.18302469323196
39-40,0.0031085043435684166,94646.1133315911,294.20785439311953,94499.00940439454,3434611.885016666,36.288990261898654
40-41,0.003354180665915763,94351.90547719799,316.4733371439291,94193.66880862603,3340112.875612271,35.40058739374877
41-42,0.003632109157447867,94035.43214005405,341.5469542004578,93864.65866295382,3245919.206803645,34.51804424069911
42-43,0.003932651377282568,93693.88518585359,368.4653866191019,93509.65249254405,3152054.548140691,33.64205190005938
43-44,0.004257042171008311,93325.41979923449,397.29024771239517,93126.77467537828,3058544.895648147,32.77290262639928
44-45,0.004607274497538531,92928.12955152208,428.1454013866844,92714.05685082874,2965418.120972769,31.91087709700058
45-46,0.004985639257747156,92499.9841501354,461.1715523199047,92269.39837397545,2872704.06412194,31.05626547415722
46-47,0.005395268208087429,92038.81259781549,496.5740795191107,91790.52555805593,2780434.6657479648,30.20937132139792
47-48,0.005839606805253343,91542.23851829638,534.5706790195683,91274.9531787866,2688644.140189909,29.37053084683454
48-49,0.006322585886978343,91007.66783927681,575.4037962874244,90719.9659411331,2597369.1870111222,28.540113692377883
49-50,0.006847236954654032,90432.26404298938,619.2111402481879,90122.65847286528,2506649.2210699893,27.718527757730214
50-51,0.007415965099140787,89813.0529027412,666.0504657740139,89480.02766985419,2416526.562597124,26.90618439631472
51-52,0.008030867822513806,89147.00243696719,715.9277933445996,88789.03854029489,2327046.53492727,26.10347483722344
52-53,0.0086950907868353,88431.07464362259,768.9162224037076,88046.61653242074,2238257.496386975,25.310757620069158
