x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01593177481495383,100000.0,1593.1774814953828,99203.4112592523,6829350.1239,68.293501239
1-2,0.0008334011373234295,98406.82251850462,82.01235780730663,98365.81633960096,6730146.712640747,68.39105806282076
2-3,0.0004939421047936225,98324.8101606973,48.56676368420818,98300.5267788552,6631780.896301147,67.44768574139614
3-4,0.0003805698880654625,98276.2433970131,37.400978949095425,98257.54290753855,6533480.369522291,66.48077036409049
4-5,0.0003065373882699349,98238.842418064,30.113878181495032,98223.78547897325,6435222.826614752,65.50589021834254
5-6,0.0002644642859083846,98208.7285398825,25.972701263270416,98195.74218925087,6336999.04113578,64.52582306431478
6-7,0.000242815033000533,98182.75583861924,23.840249099037607,98170.83571406972,6238803.298946529,63.54276008712882
7-8,0.00023124351543263004,98158.9155895202,22.698612711975443,98147.56628316421,6140632.463232459,62.5580715348495
8-9,0.0002228521178802516,98136.21697680822,21.869863794037613,98125.2820449112,6042484.896949294,61.572425380705965
9-10,0.00021774712018520482,98114.34711301418,21.364116532710405,98103.66505474783,5944359.614904383,60.58603853376613
10-11,0.0002234562586855614,98092.98299648147,21.91949098370014,98082.02325098962,5846255.949849635,59.59912494514859
11-12,0.0002543790237871042,98071.06350549778,24.947221396291624,98058.58989479963,5748173.926598646,58.612333966138834
12-13,0.0003284020845282202,98046.11628410149,32.1985489675952,98030.01700961769,5650115.336703846,57.627120286252804
13-14,0.00045593360432485573,98013.91773513389,44.68783878697949,97991.5738157404,5552085.3196942285,56.64588711470349
14-15,0.00062403867029507,97969.22989634691,61.13658795434834,97938.66160236973,5454093.745878488,55.67149758805913
15-16,0.0008103274407524725,97908.09330839256,79.33761467954402,97868.4245010528,5356155.084276118,54.70594823458783
16-17,0.0009954017538579389,97828.75569371301,97.37891499526175,97780.06623621538,5258286.659775065,53.74990842404214
17-18,0.001177720109271865,97731.37677871775,115.10020773912127,97673.82667484818,5160506.59353885,52.8029662901732
18-19,0.001350482737134925,97616.27657097863,131.8290963724951,97550.36202279238,5062832.766864002,51.864637176390566
19-20,0.0015146392022872548,97484.44747460613,147.65376575835123,97410.62059172695,4965282.40484121,50.93409803789085
20-21,0.0016995510598183327,97336.79370884778,165.42885090719065,97254.07928339418,4867871.784249483,50.0106033778982
21-22,0.001884804852847449,97171.36485794059,183.14906004205648,97079.79032791956,4770617.704966089,49.09489242988899
22-23,0.002007601402027178,96988.21579789853,194.71367801597557,96890.85895889055,4673537.914638169,48.1866572777951
23-24,0.0020365239053637676,96793.50211988256,197.12228095101935,96694.94097940705,4576647.055679278,47.28258566376616
24-25,0.001997431675567258,96596.37983893153,192.94466883540832,96499.90750451383,4479952.114699871,46.37805394125446
25-26,0.0019355909380419376,96403.43517009613,186.59761551135148,96310.13636234045,4383452.207195357,45.46987562695362
26-27,0.0019039541840936715,96216.83755458478,183.1924504423128,96125.24132936362,4287142.070833017,44.55708771763443
27-28,0.0019117757175909074,96033.64510414247,183.5947907818425,95941.84770875155,4191016.8295036536,43.64113040756454
28-29,0.001973590158648903,95850.05031336063,189.16871600445072,95755.4659553584,4095074.981794902,42.72376455105612
29-30,0.002074787236110386,95660.88159735617,198.4759761332615,95561.64360928955,3999319.5158395437,41.80726174647835
