x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0073639094653777624,100000.0,736.3909465377762,99631.80452673111,7821573.7796,78.215737796
1-2,0.0005383093614816427,99263.60905346222,53.43453000793266,99236.89178845825,7721941.975073269,77.79227502109379
2-3,0.00028536945917179385,99210.17452345429,28.311553848097432,99196.01874653024,7622705.08328481,76.8339045858923
3-4,0.00023711105299337377,99181.8629696062,23.51711596656783,99170.10441162292,7523509.06453828,75.855694169042
4-5,0.0002050573191496568,99158.34585363964,20.33314457206183,99148.1792813536,7424338.960126657,74.87356607466182
5-6,0.00018733461872614052,99138.01270906757,18.571981812120445,99128.7267181615,7325190.780845303,73.8888200466753
6-7,0.00017743597652220014,99119.44072725545,17.587354757774907,99110.64704987657,7226062.054127142,72.90257088930638
7-8,0.00016941545521622958,99101.85337249767,16.78938560187373,99093.45867969673,7126951.407077265,71.91541999006758
8-9,0.00015907703056523086,99085.0639868958,15.762157752401277,99077.18290801959,7027857.948397568,70.92752091603853
9-10,0.00014653205358206392,99069.3018291434,14.516828243965703,99062.04341502141,6928780.765489548,69.93872609942322
10-11,0.00013651144444609323,99054.78500089943,13.522111779769991,99048.02394500954,6829718.722074527,68.94890258973872
11-12,0.00013791747936739418,99041.26288911967,13.659521331030824,99034.43312845415,6730670.698129518,67.95824792404709
12-13,0.00016166690048111476,99027.60336778863,16.00948569854359,99019.59862493936,6631636.265001064,66.96755287887923
13-14,0.00021403463339131291,99011.59388209009,21.191910198042713,99000.99792699107,6532616.666376125,65.97830021962498
14-15,0.0002866686570635804,98990.40197189205,28.377445595466295,98976.21324909432,6433615.668449134,64.99231784386465
15-16,0.00037291811097595664,98962.02452629658,36.90473124470281,98943.57216067423,6334639.455200039,64.01081107144057
16-17,0.00045340755079434873,98925.11979505187,44.85339627831201,98902.69309691271,6235695.883039365,63.03450423874309
17-18,0.0005107045042678389,98880.26639877356,50.4985974330575,98855.01710005703,6136793.189942452,62.06287071672542
18-19,0.0005327406401021104,98829.7678013405,52.65063375962907,98803.44248446068,6037938.1728423955,61.09432721707253
19-20,0.0005290534574968836,98777.11716758087,52.25837535908344,98750.98797990133,5939134.730357935,60.12662548434029
20-21,0.0005192259939639247,98724.85879222178,51.26051293533947,98699.22853575411,5840383.742378034,59.15818785489292
21-22,0.0005185991439696983,98673.59827928645,51.17204360004784,98648.01225748642,5741684.51384228,58.18866053299258
22-23,0.0005259738398394451,98622.4262356864,51.87281622146641,98596.48982757567,5643036.501584793,57.218593346092995
23-24,0.0005463177380028884,98570.55341946494,53.85084177781496,98543.62799857603,5544440.011757217,56.248441541795636
24-25,0.0005760543769136444,98516.70257768712,56.75097771897637,98488.32708882763,5445896.383758642,55.27891455222207
25-26,0.0006093908672953856,98459.95159996815,60.000595299366275,98429.95130231847,5347408.0566698145,54.310488373950655
26-27,0.0006418097007230274,98399.95100466878,63.154043105467025,98368.37398311605,5248978.105367496,53.34329998922914
27-28,0.0006742568673195175,98336.79696156332,66.30426066153913,98303.64483123255,5150609.73138438,52.37723711295566
28-29,0.0007068311572106387,98270.49270090178,69.46064607543804,98235.76237786407,5052306.086553147,51.412239296799456
