x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009597237640300594,100000.0,959.7237640300593,99520.13811798497,7228355.8276,72.28355827600001
1-2,0.0007396024652492727,99040.27623596994,73.25043246309232,99003.65101973839,7128835.689482016,71.97915797909427
2-3,0.00044872259340079246,98967.02580350685,44.40874047971274,98944.821433267,7029832.0384622775,71.0320632694327
3-4,0.0003387840547029433,98922.61706302714,33.5134053104389,98905.86036037192,6930887.217029011,70.06372680792599
4-5,0.00026854391491299096,98889.1036577167,26.556067038479814,98875.82562419746,6831981.356668639,69.08730187621144
5-6,0.00023065880192268113,98862.54759067822,22.803516782289886,98851.14583228707,6733105.531044441,68.10572552632972
6-7,0.00021099298549238842,98839.74407389593,20.854492687454908,98829.3168275522,6634254.385212154,67.12132297967266
7-8,0.00019731803489677946,98818.88958120847,19.49874910284589,98809.14020665704,6535425.068384602,66.1353825779822
8-9,0.0001809069451521042,98799.39083210562,17.87349597832504,98790.45408411646,6436615.928177944,65.14833617867122
9-10,0.00016238852481046496,98781.5173361273,16.040984878753083,98773.49684368793,6337825.474093828,64.16003362782826
10-11,0.00015239635848271927,98765.47635124855,15.051498939741407,98757.95060177868,6239051.97725014,63.1703729657683
11-12,0.0001705421452570136,98750.42485230882,16.841109299354255,98742.00429765914,6140294.026648361,62.17992515811236
12-13,0.00024046580443912066,98733.58374300947,23.74205063992006,98721.71271768952,6041552.022350702,61.1904459791115
13-14,0.00037499188167984445,98709.84169236955,37.01538927654122,98691.33399773127,5942830.309633013,60.205043466222115
14-15,0.0005551593221806273,98672.82630309301,54.77913936807189,98645.43673340898,5844138.975635282,59.22744077162499
15-16,0.000753568489805678,98618.04716372494,74.31545286875334,98580.88943729056,5745493.538901873,58.26006196779832
16-17,0.0009401684098701553,98543.73171085618,92.64770354526685,98497.40785908356,5646912.649464582,57.3036209551468
17-18,0.0011037980533952455,98451.08400731091,108.67011488192158,98396.74894986996,5548415.241605499,56.35707618205075
18-19,0.0012304475477363352,98342.41389242899,121.00518201241096,98281.91130142278,5450018.492655629,55.41879924380426
19-20,0.0013257785344549058,98221.40871041658,130.2198352921924,98156.29879277048,5351736.581354206,54.486457195218826
20-21,0.00142336961443733,98091.18887512438,139.62001768888513,98021.37886627993,5253580.282561436,53.558126298678474
21-22,0.001526497650599573,97951.5688574355,149.5228397334176,97876.80743756879,5155558.903695157,52.63375527143278
22-23,0.0015694549090177704,97802.04601770209,153.4959012344644,97725.29806708485,5057682.096257588,51.71345899391667
23-24,0.0015554759744843705,97648.55011646762,151.88997364939837,97572.60512964292,4959956.798190503,50.79396255525199
24-25,0.0015149845628189443,97496.66014281823,147.70593504277466,97422.80717529684,4862384.19306086,49.872315481763
25-26,0.0014725000510276134,97348.95420777546,143.34634003843416,97277.28103775624,4764961.385885563,48.94722726774784
26-27,0.0014296911519010701,97205.60786773702,138.97399748366868,97136.12086899519,4667684.1048478065,48.0186710132907
27-28,0.0013980993223443323,97066.63387025335,135.70879503624664,96998.77947273523,4570547.983978812,47.08670530481312
28-29,0.001383126676304448,96930.9250752171,134.0677482304005,96863.89120110191,4473549.204506077,46.15192933560329
29-30,0.001387935305000684,96796.8573269867,134.347775697239,96729.68343913808,4376685.313304975,45.215159191792964
30-31,0.0014139747992232474,96662.50955128946,136.67835253519976,96594.17037502186,4279955.629865836,44.277307197314975
31-32,0.0014615355914400629,96525.83119875427,141.07593779031498,96455.29322985912,4183361.4594908147,43.33929485545631
32-33,0.0015302366581329664,96384.75526096395,147.49148578550134,96311.00951807121,4086906.1662609554,42.401997651968536
33-34,0.0016194080083906564,96237.26377517845,155.847395663128,96159.34007734689,3990595.1567428843,41.46621589393256
34-35,0.00172836289318201,96081.41637951531,166.06355479472444,95998.38460211795,3894435.8166655377,40.53266451946098
35-36,0.0018565736058964197,95915.35282472058,178.07391245461883,95826.31586849327,3798437.43206342,39.601975285487725
36-37,0.002003772318868023,95737.27891226596,191.83570936814584,95641.36105758189,3702611.1161949267,38.67470601068592
37-38,0.0021699989476580074,95545.44320289782,207.33351120380618,95441.77644729591,3606969.755137345,37.75135301301264
38-39,0.002355614994364351,95338.10969169402,224.57988072410768,95225.81975133196,3511527.9786900487,36.83236420404901
39-40,0.002561298002597838,95113.5298109699,243.61409392486712,94991.72276400747,3416302.1589387166,35.91815134743005
40-41,0.002788026989691856,94869.91571704503,264.4998855289132,94737.66577428058,3321310.4361747093,35.00910073621978
41-42,0.003037065631762385,94605.41583151612,287.32285700048664,94461.75440301588,3226572.7704004287,34.10558203292155
42-43,0.0033099472515024657,94318.09297451563,312.18791260795206,94161.99901821166,3132111.0159974126,33.20795530549686
43-44,0.0036084637492986536,94005.90506190767,339.21690063590466,93836.29661158971,3037949.0169792008,32.31657644249643
44-45,0.003934659377372472,93666.68816127177,368.5465129211711,93482.41490481119,2944112.720367611,31.43180118953868
45-46,0.004290829514073999,93298.1416483506,400.32641979299933,93097.9784384541,2850630.3054628,30.553988054843487
46-47,0.0046795241977969125,92897.8152285576,434.71757428450184,92680.45644141536,2757532.3270243458,29.683500308806575
47-48,0.005103556005142027,92463.09765427311,471.8905972874992,92227.15235562935,2664851.8705829303,28.820707267963527
48-49,0.005566011816558895,91991.20705698562,512.024145498698,91735.19498423627,2572624.718227301,27.965985016737978
49-50,0.006070268043561693,91479.18291148692,555.3031606787339,91201.53133114755,2480889.5232430645,27.119716686183285
50-51,0.006620008955355188,90923.87975080818,601.9168982059884,90622.92130170518,2389687.991911917,26.282292379749403
51-52,0.007219247815532209,90321.96285260218,652.0566330182297,89995.93453609307,2299065.0706102117,25.454108812516527
52-53,0.007872350608124313,89669.90621958395,705.9129407581919,89316.94974920485,2209069.136074119,24.635568712033034
53-54,0.008584062190057362,88963.99327882576,763.6724509812855,88582.15705333512,2119752.186324914,23.82708001518446
54-55,0.009359534751274146,88200.32082784447,825.5139678617392,87787.5638439136,2031170.0292715789,23.02905488559569
55-56,0.0102043584938559,87374.80685998272,891.6038525306835,86929.00493371738,1943382.4654276653,22.241908569159033
56-57,0.011124594457815771,86483.20300745204,962.0905608708573,86002.15772701662,1856453.4604939478,21.466058100715603
57-58,0.012126809424565912,85521.11244658119,1037.0982324165618,85002.56333037291,1770451.3027669312,20.701920872144914
58-59,0.013218112820024117,84484.01421416462,1116.719231371349,83925.65459847894,1685448.7394365584,19.949913070702262
59-60,0.014406195518311281,83367.29498279328,1201.0055513548511,82766.79220711585,1601523.0848380795,19.210447996047233
60-61,0.01569937041404535,82166.28943143842,1289.9590133318115,81521.30992477252,1518756.2926309637,18.483934264772312
61-62,0.017106614586060116,80876.3304181066,1383.5202135974,80184.5703113079,1437234.9827061913,17.77077391217076
62-63,0.018637612817342702,79492.81020450921,1481.5562183541515,78752.03209533214,1357050.4123948833,17.07136040232611
63-64,0.02030280216418067,78011.25398615506,1583.8470562605569,77219.33045802478,1278298.3802995512,16.386076559241253
64-65,0.02211341718081096,76427.40692989451,1690.07113348836,75582.37136315033,1201079.0498415264,15.715292433554035
65-66,0.024081535302974747,74737.33579640616,1799.7897904314332,73837.44090119044,1125496.678478376,15.059363121323585
66-67,0.026220121773339166,72937.54600597473,1912.431338125185,71981.33033691213,1051659.2375771855,14.418626553339731
67-68,0.028543073352404417,71025.11466784954,2027.2750578273644,70011.47713893586,979677.9072402734,13.793401275334197
68-69,0.03106525989906479,68997.83961002217,2143.4358199593257,67926.12170004251,909666.4301013376,13.183984241286382
69-70,0.03380256272451993,66854.40379006285,2259.8501775239824,65724.47870130086,841740.3084012951,12.590648643648667
70-71,0.03677190842129174,64594.55361253886,2375.2650099544985,63406.92110756161,776015.8296999943,12.013641805697949
71-72,0.03999129664594795,62219.28860258436,2488.2300276057995,60975.173588781465,712608.9085924327,11.453183162284397
72-73,0.04347982009099047,59731.05857497856,2597.095680684481,58432.51073463632,651633.7350036512,10.909462355931218
73-74,0.04725767462076102,57133.962894294076,2700.0182282531828,55783.95378016748,593201.2242690149,10.382637475480585
74-75,0.05134615727234127,54433.944666040894,2794.973883776458,53036.457724152664,537417.2704888474,9.872833464228433
75-76,0.05576764954158828,51638.970782264434,2879.7840252736396,50199.07876962762,484380.81276469474,9.38014072370042
76-77,0.06054558309551331,48759.18675699079,2952.1533934650383,47283.110060258274,434181.73399506713,8.904613937860988
77-78,0.06570438478710842,45807.033363525756,3009.7229460730096,44302.17189048925,386898.6239348089,8.446271140599126
78-79,0.07126939761291394,42797.31041745275,3050.138532904744,41272.24115100037,342596.45204431965,8.005093046795968
79-80,0.07726677406649253,39747.171884548006,3071.135749785415,38211.6040096553,301324.2108933193,7.58102266416749
80-81,0.08372333822619267,36676.036134762595,3070.640178106793,35140.716045709196,263112.606883664,7.173965199425636
81-82,0.09066641290112323,33605.395956655804,3046.8807055118923,32081.955603899856,227971.89083795476,6.7837882681695705
82-83,0.09812360827722306,30558.515251143912,2998.511780036792,29059.259361125514,195889.93523405492,6.410322413381065
83-84,0.10612256879126433,27560.00347110712,2924.738364250049,26097.634288982095,166830.6758729294,6.053361932549408
84-85,0.11469067545238838,24635.26510685707,2825.435195054092,23222.547509330023,140733.0415839473,5.7126660084033425
85-86,0.12385470156647478,21809.82991180298,2701.249974941933,20459.204924332014,117510.4940746173,5.387960133106004
86-87,0.13364042083401043,19108.579936861046,2553.6786643024384,17831.740604709827,97051.28915028527,5.078937810709331
87-88,0.14407216811678286,16554.901272558607,2385.1005192968064,15362.351012910203,79219.54854557544,4.785262517807322
88-89,0.15517235482169658,14169.800753261801,2198.7613502378836,13070.420078142859,63857.19753266523,4.506569897813538
89-90,0.1669609428343407,11971.039403023917,1998.6960254359162,10971.69139030596,50786.77745452237,4.242470160251373
90-91,0.17945488323180586,9972.343377588,1789.585716372527,9077.550519401737,39815.08606421641,3.992550653008746
91-92,0.19266752856714914,8182.7576612154735,1576.5516954502907,7394.481813490328,30737.535544814673,3.756378572776759
92-93,0.2066080302671677,6606.205965765183,1364.8952021259568,5923.758364702204,23343.053731324344,3.533503776947495
93-94,0.22128073550438856,5241.310763639226,1159.8011007851565,4661.410213246648,17419.29536662214,3.323461659145605
94-95,0.23668460063886373,4081.5096628540696,966.0304845562788,3598.4944205759302,12757.885153375493,3.125776050338764
95-96,0.252812640785425,3115.479178297791,787.6325183774704,2721.6629191090556,9159.390732799562,2.9399621081094796
96-97,0.2696514370289714,2327.8466599203207,627.7071970306057,2013.993061405018,6437.727813690506,2.7655291581408807
97-98,0.28718072404980094,1700.139462889715,488.24728193830805,1456.0158219205612,4423.734752285488,2.6019834542082196
98-99,0.30537308120078704,1211.892180951407,370.0792493802729,1026.8525562612706,2967.7189303649266,2.4488308258867484
99-100,0.324193749191518,841.8129315711341,272.91049040394876,705.3576863691598,1940.866374103656,2.3055791866742674
100-101,0.3436005923259198,568.9024411671853,195.4752157607066,471.164833286832,1235.508687734496,2.171740879156138
101-102,0.36354422263227615,373.4272254064787,135.75731037012608,305.5485702214157,764.3438544476642,2.046834838074994
102-103,0.38396829724298936,237.66991503635265,91.25771258239428,192.0410587451555,458.7952842262485,1.9303885565662517
103-104,0.40480999417001745,146.41220245395837,59.269122821806306,116.77764104305523,266.754225481093,1.821939845246014
104-105,0.4260006644498733,87.14307963215207,37.123009825505,68.58157471939957,149.97658443803778,1.7210383781605858
105-106,0.44746665088586274,50.020069806647065,22.382313113457425,38.82891324991835,81.3950097186382,1.6272470237101067
106-107,0.46913025577519407,27.63775669318964,12.965707866528637,21.15490275992532,42.566096468719856,1.5401429624427074
107-108,0.4909108326114758,14.672048826661003,7.202667705612379,11.070714973854813,21.411193708794535,1.4593185969970082
108-109,0.5127259703425994,7.469381121048624,3.8297456831483485,5.55450827947445,10.340478734939722,1.3843822623805313
109-110,0.5344927338365815,3.6396354379002753,1.9453586953718216,2.6669560902143647,4.785970455465272,1.3149587471393354
