x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008225807408526225,100000.0,822.5807408526225,99588.70962957368,7527107.0976,75.271070976
1-2,0.0006410357584514199,99177.41925914738,63.576272176042,99145.63112305936,7427518.387970426,74.8912246704319
2-3,0.0003687273191787042,99113.84298697134,36.54598161808496,99095.5699961623,7328372.756847367,73.93894269452039
3-4,0.00028891424029404517,99077.29700535326,28.624841994689113,99062.98458435592,7229277.186851204,72.96603162741307
4-5,0.00023738842932938533,99048.67216335857,23.513008712020902,99036.91565900255,7130214.202266849,71.98697414647982
5-6,0.0002094025023706647,99025.15915464655,20.736116124636325,99014.79109658423,7031177.286607846,71.003948356471
6-7,0.00019453891332668095,99004.42303852191,19.26021287244907,98994.7929320857,6932162.495511262,70.01871515188778
7-8,0.00018364651105272424,98985.16282564946,18.178279798916343,98976.07368575,6833167.702579176,69.03224187866402
8-9,0.00017021766689141968,98966.98454585054,16.845929208673866,98958.5615812462,6734191.628893426,68.0448298975254
9-10,0.00015462825583200805,98950.13861664187,15.300487348626758,98942.48837296755,6635233.067312179,67.05632917826188
10-11,0.00014462675039487094,98934.83812929325,14.308624139482253,98927.6838172235,6536290.578939212,66.0666222589584
11-12,0.00015460117198173496,98920.52950515377,15.293229794550564,98912.8828902565,6437362.895121988,65.07610631811873
12-13,0.00020203697142723304,98905.23627535922,19.982514395368483,98895.24501816153,6338450.012231732,64.08609140354345
13-14,0.00029673447483657777,98885.25376096385,29.342663843841336,98870.58242904193,6239554.76721357,63.09894074091672
14-15,0.00042510887773858976,98855.91109712001,42.02452542432249,98834.89883440785,6140684.184784528,62.11752151828001
15-16,0.0005699254929873544,98813.8865716957,56.316553018370186,98785.7282951865,6041849.28595012,61.14372681380544
16-17,0.0007061403813050728,98757.57001867732,69.73670814975122,98722.70166460244,5943063.557654933,60.17830892893541
17-18,0.0008193171361747297,98687.83331052757,80.85663296327054,98647.40499404594,5844340.855990331,59.22047997143416
18-19,0.0008960548311555513,98606.9766775643,88.35725783757425,98562.7980486455,5745693.450996284,58.26863011715866
19-20,0.0009437198431425871,98518.61941972672,92.97397606540873,98472.13243169402,5647130.652947639,57.320440402120525
20-21,0.000989445327228205,98425.64544366131,97.38679496365076,98376.95204617949,5548658.520515945,56.374113631715915
21-22,0.0010422397744648366,98328.25864869767,102.48162211753878,98277.0178376389,5450281.568469766,55.429452767411064
22-23,0.0010668399743899897,98225.77702658012,104.79118544747358,98173.38143385638,5352004.550632127,54.48676215800117
23-24,0.0010674188547688773,98120.98584113264,104.73619033533502,98068.61774596498,5253831.16919827,53.54441890448115
24-25,0.0010586397390465764,98016.24965079731,103.76389695264416,97964.36770232099,5155762.551452305,52.60110001985131
25-26,0.0010507348156147344,97912.48575384467,102.88005766494628,97861.0457250122,5057798.183749984,51.6563147673062
26-27,0.0010427800152803073,97809.60569617971,101.99390212242311,97758.6087451185,4959937.138024972,50.71012302648204
27-28,0.0010412927155558202,97707.61179405729,101.74222441550779,97656.74068184954,4862178.529279853,49.76253579432567
28-29,0.0010490036225376683,97605.86956964179,102.3889107594934,97554.67511426203,4764521.788598004,48.81388598457716
29-30,0.001068792658795394,97503.4806588823,104.21100433521208,97451.3751567147,4666967.113483742,47.864620646838354
30-31,0.0011016518668586482,97399.26965454708,107.30008724560068,97345.61961092429,4569515.738327027,46.915297769008475
31-32,0.0011499878264839886,97291.96956730148,111.88458061704739,97236.02727699296,4472170.118716103,45.966487661887555
32-33,0.0012160577193643261,97180.08498668444,118.17659251653886,97120.99669042617,4374934.09143911,45.01883376659489
33-34,0.0012999694385752239,97061.9083941679,126.17751456220626,96998.8196368868,4277813.094748684,44.0730371524997
34-35,0.0013991370255057732,96935.73087960569,135.62637016811962,96867.91769452163,4180814.2751117973,43.12975449996219
35-36,0.0015083028769664818,96800.10450943757,146.0038761222408,96727.10257137645,4083946.3574172757,42.189482936137836
36-37,0.0016285113886090048,96654.10063331533,157.40230363711484,96575.39948149677,3987219.254845899,41.2524582890957
37-38,0.0017656008502348662,96496.69832967821,170.37465261573726,96411.51100337034,3890643.8553644023,40.31893238535611
38-39,0.0019197605348743412,96326.32367706248,184.92347466475638,96233.8619397301,3794232.344361032,39.38936107518579
39-40,0.002082977569526721,96141.40020239772,200.26038012448623,96041.27001233547,3697998.482421302,38.46416293746755
40-41,0.0022526550297665426,95941.13982227324,216.12229118217894,95833.07867668215,3601957.2124089664,37.543406499875175
41-42,0.0024269310331483727,95725.01753109106,232.31801569487692,95608.85852324362,3506124.1337322844,36.62704091533345
42-43,0.002633013571893666,95492.69951539618,251.43357384080184,95366.98272847578,3410515.275209041,35.714932057807914
43-44,0.002858042710166501,95241.26594155538,272.2036058312914,95105.16413863974,3315148.292480565,34.80789823305057
44-45,0.0031037180826595082,94969.06233572408,294.7571960646049,94821.68373769178,3220043.1283419253,33.906232715647825
45-46,0.0033718616390876043,94674.30513965948,319.2286577076922,94514.69081080564,3125221.4446042334,33.010239050543234
46-47,0.003665011824068413,94355.0764819518,345.81247096723274,94182.17024646817,3030706.7537934277,32.12022995257855
47-48,0.003986316128992613,94009.26401098457,374.7506454017125,93821.88868828371,2936524.5835469593,31.236544764395127
48-49,0.004339258055161423,93634.51336558285,406.3043163627253,93431.3612074015,2842702.694858676,30.35956072906302
