x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005719621226490668,100000.0,571.9621226490667,99714.01893867546,7667812.4399,76.678124399
1-2,0.0005877952655543959,99428.03787735093,58.44332992767002,99398.8162123871,7568098.420961324,76.11634084841262
2-3,0.0003348416717988071,99369.59454742326,33.273081164228834,99352.95800684115,7468699.604748937,75.16081391662081
3-4,0.00025536848465872793,99336.32146625903,25.367365884410837,99323.63778331682,7369346.646742096,74.18582184206608
4-5,0.00020653653270838725,99310.95410037463,20.51134011985317,99300.6984303147,7270023.008958779,73.20464368523628
5-6,0.00018292116049247115,99290.44276025478,18.162323015517085,99281.36159874703,7170722.310528465,72.21966295228216
6-7,0.00017220401361528638,99272.28043723926,17.09508513203488,99263.73289467325,7071440.948929718,71.23278439644932
7-8,0.0001637227563882928,99255.18535210722,16.2503325316779,99247.06018584139,6972177.216035045,70.24496696370356
8-9,0.0001496612341664686,99238.93501957554,14.852221492395655,99231.50890882935,6872930.1558492035,69.25638767176888
9-10,0.00013061065835688596,99224.08279808314,12.959722779115802,99217.60293669358,6773698.646940374,68.2666793778741
10-11,0.00011612912222636881,99211.12307530403,11.5213006378273,99205.36242498511,6674481.04400368,67.27553158467485
11-12,0.00012361517084440564,99199.6017746662,12.262575721072366,99193.47048680566,6575275.681578695,66.28328706918158
12-13,0.0001738630063904777,99187.33919894512,17.245008989000674,99178.71669445062,6476082.211091889,65.29141988679099
13-14,0.00027826517186798104,99170.09418995611,27.595583303932006,99156.29639830416,6376903.494397438,64.30268667671879
14-15,0.0004202094984641024,99142.49860665218,41.660619615979286,99121.66829684419,6277747.197999134,63.32044568400573
15-16,0.0005800658913041508,99100.8379870362,57.48501591593839,99072.09547907823,6178625.52970229,62.346854529227514
16-17,0.0007263116600769557,99043.35297112026,71.93634211604223,99007.38480006224,6079553.434223211,61.38275060211188
17-18,0.0008391210892541925,98971.41662900422,83.04900292676052,98929.89212754084,5980546.049423149,60.42700259450981
18-19,0.0009017318062644248,98888.36762607745,89.1707863580033,98843.78223289845,5881616.157295608,59.47733083769289
19-20,0.0009252345020371351,98799.19683971944,91.4124256896667,98753.49062687461,5782772.37506271,58.53056057170202
20-21,0.0009423506439158938,98707.78441402978,93.0173442020722,98661.27574192875,5684018.884435835,57.5843021720984
21-22,0.0009631945470345805,98614.7670698277,94.98520589874336,98567.27446687834,5585357.608693906,56.63814634109509
22-23,0.0009669417940228771,98519.78186392896,95.26289462224997,98472.15041661783,5486790.334227027,55.69227042955833
23-24,0.0009530300379658584,98424.51896930671,93.80152305008973,98377.61820778166,5388318.183810409,54.74568979596166
24-25,0.0009287506838202686,98330.71744625662,91.32472106874846,98285.05508572224,5289940.565602628,53.79743688429695
25-26,0.0009009435342543461,98239.39272518786,88.50814568483145,98195.13865234544,5191655.510516905,52.84698293117403
26-27,0.0008784790338934096,98150.88457950304,86.22349426118538,98107.77283237244,5093460.37186456,51.8941871353061
27-28,0.0008675718378912664,98064.66108524185,85.07813824990743,98022.1220161169,4995352.599032188,50.9393755482418
28-29,0.0008726744972401487,97979.58294699194,85.50428328806564,97936.83080534791,4897330.477016071,49.9831733277083
29-30,0.0008920634339287779,97894.07866370387,87.32772797403759,97850.41479971685,4799393.646210723,49.02639374847287
30-31,0.0009207874459403676,97806.75093572983,90.05922838983632,97761.7213215349,4701543.231411005,48.06972102059146
31-32,0.0009590975577447661,97716.69170734,93.71984036740803,97669.83178715629,4603781.51008947,47.11356299165065
32-33,0.0010113020369285702,97622.97186697258,98.72631030008988,97573.60871182254,4506111.678302314,46.15831286556852
33-34,0.0010769107177112805,97524.2455566725,105.02490527668733,97471.73310403415,4408538.069590491,45.204533953852916
34-35,0.0011547922638781088,97419.22065139581,112.49896236126638,97362.97117021517,4311066.336486457,44.25272864697967
35-36,0.001242836909489049,97306.72168903454,120.9363852565107,97246.2534964063,4213703.365316242,43.30331237324053
36-37,0.0013439373105886613,97185.78530377803,130.6116029286065,97120.47950231373,4116457.111819836,42.35657610784168
37-38,0.0014612369515830752,97055.17370084942,141.82060615399507,96984.26339777243,4019336.632317522,41.41290442389209
38-39,0.0015943292704559788,96913.35309469543,154.51179553690844,96836.09719692697,3922352.3689197497,40.47277535725302
39-40,0.0017404350476487452,96758.84129915852,168.40247856693833,96674.64005987505,3825516.271722823,39.53660689150989
40-41,0.0018979064475671229,96590.43882059159,183.3196166109385,96498.77901228612,3728841.631662948,38.604666022782546
41-42,0.0020721043869558454,96407.11920398065,199.76561463634343,96307.23639666248,3632342.852650662,37.67712262997153
42-43,0.0022626288169764162,96207.3535893443,217.68153063628986,96098.51282402615,3536035.6162539995,36.75431746462302
43-44,0.002470733030497206,95989.67205870802,237.16485334204464,95871.089632037,3439937.1034299736,35.83653355254805
44-45,0.0026979816473221532,95752.50720536598,258.33850712515965,95623.3379518034,3344066.0137979365,34.92405694010417
45-46,0.002946045205575457,95494.16869824083,281.33013785386623,95353.5036293139,3248442.675846133,34.017183668158104
46-47,0.0032171043084953787,95212.83856038697,306.30963315669584,95059.68374380862,3153089.172216819,33.11621856769905
47-48,0.003513828762667733,94906.52892723028,333.48529110945896,94739.78628167555,3058029.4884730107,32.22148700452168
48-49,0.003839156156512675,94573.04363612081,363.0806827157551,94391.50329476294,2963289.702191335,31.333343924013768
49-50,0.004195661793169034,94209.96295340506,395.2731420994717,94012.32638235533,2868898.198896572,30.45217415397445
50-51,0.004585497471392807,93814.6898113056,430.18702290924233,93599.59629985098,2774885.8725142167,29.578372833673384
51-52,0.005011269561505172,93384.50278839635,467.97491633978547,93150.51533022645,2681286.276214366,28.712325880130226
52-53,0.0054766346469031744,92916.52787205657,508.8698758140495,92662.09293414955,2588135.760884139,27.85441750952994
53-54,0.00598510556721698,92407.65799624252,553.0695883267938,92131.12320207912,2495473.6679499894,27.00505263374882
54-55,0.0065404749706319005,91854.58840791573,600.772636419668,91554.2020897059,2403342.5447479105,26.1646433390452
55-56,0.007147364138393146,91253.81577149605,652.2242503367257,90927.70364632769,2311788.3426582045,25.333607401656867
56-57,0.007809835348367695,90601.59152115932,707.5835120803209,90247.79976511917,2220860.6390118767,24.51237998940903
57-58,0.00853112066043427,89894.008009079,766.8966289754975,89510.55969459125,2130612.8392467573,23.701388851541388
58-59,0.009314853242479963,89127.1113801035,830.2059624318298,88712.00839888758,2041102.2795521661,22.90102582644473
59-60,0.01016628802912765,88296.90541767166,897.6517725566918,87848.07953139332,1952390.2711532786,22.111650028026112
60-61,0.011091884575771267,87399.25364511496,969.4224334401714,86914.54242839488,1864542.1916218854,21.33361686580147
61-62,0.012099077925296629,86429.8312116748,1045.7212629002881,85906.97058022466,1777627.6491934906,20.567292846377462
62-63,0.013195444204933892,85384.10994877451,1126.6812588169948,84820.76931936601,1691720.678613266,19.813062168454994
63-64,0.014390181995462154,84257.42868995751,1212.479733318163,83651.18882329843,1606899.9092939,19.071314355044205
64-65,0.015691499402017275,83044.94895663935,1303.0997668936614,82393.39907319252,1523248.7204706017,18.342460795128464
65-66,0.017107163089909807,81741.84918974568,1398.3711453597912,81042.66361706579,1440855.321397409,17.626899020265384
66-67,0.01854798373447793,80343.47804438589,1490.2095239386542,79598.37328241656,1359812.6577803432,16.924991186330175
67-68,0.02024439955671625,78853.26852044724,1596.3370742809693,78055.09998330675,1280214.2844979267,16.235399096563228
68-69,0.022084074640037005,77256.93144616627,1706.147840517358,76403.85752590759,1202159.1845146199,15.560534983871337
69-70,0.024078865729949144,75550.78360564892,1819.1771742328633,74641.19501853248,1125755.3269887122,14.900643954466405
70-71,0.026247885895881184,73731.60643141606,1935.298792531828,72763.95703515015,1051114.1319701797,14.255950505403797
71-72,0.02860561377189796,71796.30763888423,2053.7774465662897,70769.41891560108,978350.1749350296,13.626747768922367
72-73,0.03115754292023725,69742.53019231794,2173.0058778330886,68656.0272534014,907580.7560194285,13.01330412757806
73-74,0.033913727324094874,67569.52431448485,2291.5344230202377,66423.75710297473,838924.7287660271,12.415726428107874
74-75,0.03689152218647971,65277.98989146461,2408.204412369765,64073.887685279726,772500.9716630524,11.83401898476749
75-76,0.040101616550121844,62869.78547909485,2521.18002987108,61609.19546415931,708427.0839777727,11.268164485996781
76-77,0.04357917771709281,60348.60544922377,2629.942601850438,59033.634148298544,646817.8885136134,10.71802544066796
77-78,0.047370871157326896,57718.66284737333,2734.183341116113,56351.571176815276,587784.2543653148,10.183608305681043
78-79,0.0515170031044994,54984.479506257216,2832.6356014231364,53568.161705545645,531432.6831884995,9.665139835106062
79-80,0.05602931891504918,52151.84390483408,2922.0322941518125,50690.827757758176,477864.5214829539,9.1629458462668
80-81,0.061441226982796374,49229.81161068227,3024.7400294922336,47717.44159593615,427173.6937251957,8.677134438444696
81-82,0.06694444532137572,46205.07158119004,3093.172888037228,44658.485137171425,379456.2521292596,8.212437274607215
82-83,0.07290217748603135,43111.89869315281,3142.9512902880297,41540.4230480088,334797.7669920882,7.765785714403295
83-84,0.0793449052307246,39968.94740286478,3171.3323438521224,38383.28123093872,293257.34394407936,7.337129521781204
84-85,0.08630387388286401,36797.615059012656,3175.776729243206,35209.72669439105,254874.06271314062,6.926374502923542
85-86,0.09381085961372332,33621.83832976945,3154.0935555093038,32044.7915520148,219664.33601874957,6.5333826742083385
86-87,0.1018978843975545,30467.744774260147,3104.5987348617555,28915.44540682927,187619.54446673478,6.157972828538333
87-88,0.11059687435418314,27363.14603939839,3026.278424454508,25850.006827171135,158704.0990599055,5.799921501401847
88-89,0.11993925799372447,24336.867614943883,2918.9458436278724,22877.394693129947,132854.09223273437,5.458964330773457
89-90,0.12995550208840465,21417.92177131601,2783.376777481545,20026.23338257524,109976.69753960443,5.134797797557133
90-91,0.14067458453705886,18634.544993834465,2621.406875044793,17323.84155631207,89950.46415702919,4.827081325934748
91-92,0.1521234057020237,16013.138118789671,2435.9731066071818,14795.15156548608,72626.62260071712,4.53543971593536
92-93,0.16432614230468393,13577.16501218249,2231.0831498860753,12461.623437239452,57831.47103523104,4.259465874012737
93-94,0.17730355105413528,11346.081862296414,2011.7006047360705,10340.23155992838,45369.84759799159,3.9987238016286324
94-95,0.1910722327031296,9334.381257560344,1783.5410677843015,8442.610723668193,35029.616038063206,3.7527517969861273
95=96,0.2056438710778474,7550.840189776042,1552.7840065157332,6774.448186518176,26587.005314395014,3.52106582131009
96-97,0.22102446565799388,5998.056183260309,1325.717162891736,5335.1976018144405,19812.557127876837,3.3031629785614154
97-98,0.2372135802756653,4672.339020368573,1108.342267283324,4118.167886726911,14477.359526062395,3.0985250562833437
98-99,0.2542036341806659,3563.996753085249,905.9809268423636,3111.0062896640675,10359.191639335484,2.906622075446009
99-100,0.2719792647610244,2658.0158262428854,722.9251901447068,2296.553231170532,7248.185349671417,2.7269157986605186
100-101,0.29051679325149943,1935.0906360981787,562.1763262502471,1654.002472973055,4951.632118500885,2.5588631489040283
101-102,0.30978382544445865,1372.9143098479317,425.3066469121311,1160.2609863918663,3297.62964552783,2.4019194948103393
102-103,0.32973901840057046,947.6076629358006,312.4632206053095,791.3760526331458,2137.3686591359638,2.2555417634700663
103-104,0.35033204117717265,635.1444423304911,222.51144892397795,523.8887178685021,1345.992606502818,2.119191347347796
104-105,0.3715037525034539,412.6329934065131,153.29470545725258,335.9856406778868,822.1038886343159,1.9923367781315657
105-106,0.3931866111470802,259.3382879492605,101.96834257945541,208.35411665953282,486.1182479564291,1.8744561468360508
106-107,0.415305325642056,157.3699453698051,65.35657640807948,124.69165716576536,277.76413129689627,1.7650392560293249
107-108,0.43777773949442933,92.01336896172562,40.281404667331124,71.87266662806006,153.0724741311309,1.6635894963785507
108-109,0.4605159365601876,51.731964294394494,23.823393987131265,39.82026730082886,81.19980750307083,1.5696254455172385
109-110,0.4834275397679012,27.90857030726323,13.491771482079761,21.162684566223348,41.37954020224197,1.4826821921247937
