x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006278420076753365,100000.0,627.8420076753365,99686.07899616234,8365130.6952,83.651306952
1-2,0.00027925185058686564,99372.15799232466,27.749859016167054,99358.28306281658,8265444.616203838,83.176664200472
2-3,0.0002170102746049559,99344.40813330849,21.558757289476087,99333.62875466375,8166086.333141021,82.19975826100948
3-4,0.00017767214034771362,99322.84937601902,17.646903234070873,99314.02592440198,8066752.704386357,81.21749179634422
4-5,0.00014519225004710996,99305.20247278495,14.418345788407475,99297.99329989075,7967438.678461955,80.23183559436846
5-6,0.0001234908605689048,99290.78412699654,12.261504378404155,99284.65337480734,7868140.685162065,79.24341372003292
6-7,0.00010848737208020197,99278.52262261814,10.770466023332723,99273.13738960648,7768856.031787258,78.25313901294213
7-8,9.632377427534682e-05,99267.75215659481,9.56184455155291,99262.97123431903,7669582.894397651,77.26157516188026
8-9,8.44054106111188e-05,99258.19031204325,8.377928309804584,99254.00134788835,7570319.923163332,76.26896983880236
9-10,7.26387610856831e-05,99249.81238373346,7.209383409540886,99246.20769202869,7471065.921815444,75.2753656896576
10-11,6.35998354396391e-05,99242.60300032391,6.311813219422034,99239.4470937142,7371819.714123415,74.28079767415365
11-12,6.233634916481374e-05,99236.29118710449,6.186028097260475,99233.19817305586,7272580.267029701,73.28549041920215
12-13,7.51537972468301e-05,99230.10515900723,7.457519203901659,99226.37639940529,7173347.068856645,72.29002788379603
13-14,0.00010568324781859656,99222.64763980333,10.48617165973462,99217.40455397347,7074120.69245724,71.2954235825032
14-15,0.00014908721698442482,99212.16146814359,14.791265044294914,99204.76583562144,6974903.287903267,70.30290626359215
15-16,0.00020000709119505957,99197.3702030993,19.840177468521368,99187.45011436504,6875698.522067646,69.31331453636483
16-17,0.0002487863155780791,99177.53002563078,24.674012283210995,99165.19301948918,6776511.071953281,68.32708044051918
17-18,0.00028845409997202805,99152.85601334757,28.60104784098626,99138.55548942708,6677345.878933792,67.3439590891352
18-19,0.0003132439951061151,99124.25496550658,31.05007763731245,99108.72992668793,6578207.323444365,66.36324606660055
19-20,0.00032658556255154783,99093.20488786927,32.362410063340576,99077.02368283761,6479098.593517677,65.38388379757441
20-21,0.00034078776933219176,99060.84247780593,33.75872353617911,99043.96311603783,6380021.56983484,64.40508085991951
21-22,0.0003583047673441373,99027.08375426974,35.48187620534202,99009.34281616707,6280977.606718802,63.426866354104725
22-23,0.0003693043635962443,98991.6018780644,36.55803053295135,98973.32286279791,6181968.263902634,62.44942143190533
23-24,0.00037233882408573303,98955.04384753144,36.84480466354201,98936.62144519968,6082994.941039836,61.47230807569981
24-25,0.00036710624164125666,98918.1990428679,36.31348828054899,98900.04229872763,5984058.319594637,60.49501888930815
25-26,0.00039215882390049246,98881.88555458735,38.77740394415007,98862.49685261528,5885158.277295909,59.517051523527336
26-27,0.0004236231584043701,98843.10815064321,41.872229661280215,98822.17203581257,5786295.780443294,58.54020466074994
27-28,0.000457410529608614,98801.23592098193,45.192725648601964,98778.63955815762,5687473.608407482,57.56480225567362
28-29,0.0004937081101600364,98756.04319533332,48.75665945285093,98731.66486560689,5588694.968849324,56.59091624190767
29-30,0.0005327208563517212,98707.28653588047,52.583430211548965,98680.9948207747,5489963.303983717,55.61862246094765
30-31,0.0005746732043400493,98654.70310566892,56.694214356950965,98626.35599849044,5391282.309162943,54.64800095124048
31-32,0.0006198109448163103,98598.00889131197,61.11212504793104,98567.45282878801,5292655.953164453,53.679136249077125
32-33,0.0006684032901654828,98536.89676626404,65.86238600126741,98503.9655732634,5194088.5003356645,52.712117702025694
33-34,0.0007207451504359945,98471.03438026276,70.97252048799047,98435.54812001876,5095584.534762401,51.747039795326295
34-35,0.0007771596366496293,98400.06185977477,76.4725563212436,98361.82558161415,4997148.986642382,50.784002491416935
35-36,0.0008380008121873751,98323.58930345353,82.39524769347196,98282.3916796068,4898787.161060768,49.82311158252949
36-37,0.0009036567152562398,98241.19405576005,88.77631472327896,98196.80589839841,4800504.769381162,48.864479056071694
37-38,0.0009745526778191217,98152.41774103677,95.65470154394846,98104.5903902648,4702307.963482764,47.90822347228605
38-39,0.0010511549688895134,98056.76303949283,103.07285370218447,98005.22661264174,4604203.373092499,46.95447035344348
39-40,0.001133974792783289,97953.69018579065,111.07701553079043,97898.15167802526,4506198.146479857,46.00335258358174
40-41,0.0012235726758048086,97842.61317025987,119.71754800446968,97782.75439625763,4408299.994801832,45.05501081753379
41-42,0.0013205632779446162,97722.8956222554,129.04926737316518,97658.37098856881,4310517.240405574,44.10959389770577
42-43,0.0014256206694994245,97593.84635488223,139.13180457947118,97524.2804525925,4212858.869417005,43.16725927675513
43-44,0.001539484116108036,97454.71455030276,150.0299850900338,97379.69955775773,4115334.588964413,42.22817344398684
44-45,0.001662964419543642,97304.68456521272,161.81422828686615,97223.77745106928,4017954.889406655,41.292512352926416
45-46,0.0017969508657253784,97142.87033692586,174.5609649509871,97055.58985445036,3920731.111955586,40.36046184714434
46-47,0.001942418835819419,96968.30937197487,188.35307060168867,96874.13283667403,3823675.5221011355,39.43221808099532
47-48,0.0021004381409979013,96779.95630137318,203.28031149951443,96678.31614562342,3726801.3892644616,38.507987931500885
48-49,0.002272182146413661,96576.67598987366,219.43979894416782,96466.95609040158,3630123.073118838,37.587989397144575
49-50,0.002458937755225951,96357.2361909295,236.93644605910092,96238.76796789996,3533656.1170284366,36.672451978869375
50-51,0.0026621163290647654,96120.2997448704,255.88341950541928,95992.3580351177,3437417.349060537,35.761617038069836
