x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0070257772335301505,100000.0,702.577723353015,99648.71113832349,8022781.9167,80.22781916699999
1-2,0.0003287175472678057,99297.42227664699,32.64080510079497,99281.1018740966,7923133.205561676,79.79193239767572
2-3,0.0002411292033108592,99264.7814715462,23.935637673060473,99252.81365270966,7823852.10368758,78.81800561793662
3-4,0.00018595504118639822,99240.84583387314,18.454335574410877,99231.61866608594,7724599.29003487,77.83689493100118
4-5,0.00014209598933893726,99222.39149829873,14.099103884526116,99215.34194635646,7625367.671368783,76.85127879123462
5-6,0.00011403607854768002,99208.29239441421,11.313324624070624,99202.63573210218,7526152.329422427,75.86212954358014
6-7,9.689382335982988e-05,99196.97906979013,9.611574567816987,99192.17328250622,7426949.693690325,74.87072452544233
7-8,8.622284792801822e-05,99187.36749522232,8.552217303921012,99183.09138657036,7327757.520407819,73.87793128757838
8-9,7.905877296369002e-05,99178.8152779184,7.840955439864702,99174.89480019847,7228574.429021249,72.88425868735548
9-10,7.517581513734187e-05,99170.97432247853,7.455258832656724,99167.2466930622,7129399.53422105,71.88998175048754
10-11,7.722686640804054e-05,99163.51906364587,7.658087839279361,99159.69001972623,7030232.287527988,70.89534895404218
11-12,9.04795149581486e-05,99155.86097580659,8.971574206348595,99151.37518870342,6931072.597508262,69.9007857861211
12-13,0.00012146615612339526,99146.88940160025,12.042991547203778,99140.86790582664,6831921.222319558,68.90706570376065
13-14,0.00017378737553419544,99134.84641005304,17.228384781588673,99126.23221766224,6732780.354413732,67.91537585648568
14-15,0.00024201999186614507,99117.61802527145,23.98844510826787,99105.62380271732,6633654.12219607,66.92709383416302
15-16,0.00031759357028043097,99093.6295801632,31.471499610410554,99077.89383035799,6534548.498393352,65.94317441069344
16-17,0.00039217427199322776,99062.15808055278,38.84962972731883,99042.73326568912,6435470.604562994,64.96396534517213
17-18,0.0004619753061569064,99023.30845082545,45.74632323823987,99000.43528920633,6336427.8712973045,63.98925637234134
18-19,0.0005211154045608048,98977.56212758721,51.5787323305598,98951.77276142193,6237427.436008099,63.0186003972065
19-20,0.0005696309926988591,98925.98339525666,56.3513061251509,98897.80774219408,6138475.663246676,62.05119678942718
20-21,0.0006210202586392196,98869.6320891315,61.40004449155693,98838.93206688573,6039577.855504482,61.08627824223894
21-22,0.0006659800721075826,98808.23204463994,65.80431350191206,98775.32988788898,5940738.923437596,60.12392692902012
22-23,0.0006906582459196828,98742.42773113803,68.19727193463883,98708.3290951707,5841963.593549707,59.163661738767104
23-24,0.0006977054629386094,98674.23045920339,68.84554964264953,98639.80768438206,5743255.264454536,58.20420628290656
24-25,0.0006982274657857391,98605.38490956074,68.84898801822996,98570.96041555163,5644615.456770154,57.244494932475575
25-26,0.0007184720227248173,98536.53592154251,70.79574427584727,98501.13804940459,5546044.496354602,56.28414318086557
26-27,0.0007335395078836515,98465.74017726666,72.22851059303169,98429.62592197015,5447543.358305198,55.32425134364554
27-28,0.0007501414147558629,98393.51166667363,73.80904804443605,98356.60714265141,5349113.732383228,54.364496619496094
28-29,0.0007703986892873307,98319.70261862919,75.74537002851207,98281.82993361494,5250757.125240576,53.40493294215564
29-30,0.0007953535265652897,98243.95724860068,78.1386778614041,98204.88790966998,5152475.295306962,52.445722257185956
30-31,0.0008252725795715851,98165.81857073927,81.01355831763021,98125.31179158046,5054270.407397292,51.48707035693013
31-32,0.0008609589951150521,98084.80501242164,84.44699515955035,98042.58151484186,4956145.095605711,50.5291833427008
32-33,0.0009038040371039998,98000.35801726209,88.5731192136388,97956.07145765527,4858102.51409087,49.57229353422513
33-34,0.0009545040511942048,97911.78489804844,93.4571953448428,97865.05630037602,4760146.442633214,48.61668539277229
34-35,0.0010134114238536272,97818.3277027036,99.13021075617756,97768.7625973255,4662281.386332839,47.66265684384602
35-36,0.0010808669438917564,97719.19749194742,105.62145035267619,97666.38676677107,4564512.623735514,46.71050050438302
36-37,0.0011570535209817036,97613.57604159474,112.94413185454246,97557.10397566747,4466846.236968743,45.760501951750506
37-38,0.0012422199360959502,97500.6319097402,121.11722874023224,97440.07329537008,4369289.132993075,44.81293143861756
38-39,0.001336652797943535,97379.51468099997,130.16260076074215,97314.4333806196,4271849.059697705,43.868046310269804
39-40,0.001440970429613132,97249.35208023923,140.13344064666106,97179.2853599159,4174534.6263170857,42.92609191753513
40-41,0.0015560813973958566,97109.21863959257,151.10984864071696,97033.66371527221,4077355.34095717,41.98731488191363
41-42,0.001682956895470579,96958.10879095185,163.176317761519,96876.5206320711,3980321.6772418977,41.05197313433306
42-43,0.0018223489057557591,96794.93247319033,176.394139275221,96706.73540355272,3883445.1566098267,40.12033540790412
43-44,0.0019753177143565508,96618.53833391512,190.85231030621998,96523.112178762,3786738.421206274,39.19266930037018
44-45,0.0021429350658550704,96427.6860236089,206.63826969925438,96324.36688875926,3690215.309027512,38.26925088842241
45-46,0.0023260105139074894,96221.04775390965,223.81116873478845,96109.14216954225,3593890.942138753,37.35036175588439
46-47,0.0025259519757893823,95997.23658517486,242.4844094226432,95875.99438046354,3497781.7999692108,36.43627592202361
47-48,0.0027449539378450274,95754.75217575222,262.8423840522058,95623.33098372612,3401905.8055887474,35.52727909884565
48-49,0.0029851467768675162,95491.90979170002,285.0573667316169,95349.38110833422,3306282.474605021,34.623692015555406
49-50,0.0032482445488078776,95206.8524249684,309.25513939855966,95052.22485526912,3210933.093496687,33.725861234906304
50-51,0.0035361298796141916,94897.59728556983,335.5702292650981,94729.81217093728,3115880.8686414175,32.8341386691275
51-52,0.0038499679203360102,94562.02705630474,364.0607706487191,94379.99667098038,3021151.0564704803,31.948882130790267
52-53,0.00419078737777664,94197.96628565602,394.7636481221568,94000.58446159493,2926771.0597995,31.070427262984058
53-54,0.0045595401883844625,93803.20263753386,427.69947222500707,93589.35290142136,2832770.475337905,30.199080582398118
54-55,0.004958513351872255,93375.50316530885,463.00367918297394,93144.00132571737,2739181.1224364834,29.33511498821194
55-56,0.00539098644836039,92912.49948612587,500.8900256129963,92662.05447331938,2646037.121110766,28.478806788594518
56-57,0.0058614574447111035,92411.60946051287,541.6667162500582,92140.77610238784,2553375.0666374466,27.630457704867634
57-58,0.0063740012107040556,91869.94274426282,585.5791262792435,91577.1531811232,2461234.290535059,26.790419336456594
58-59,0.006934245754146864,91284.36361798357,632.9882108380011,90967.86951256458,2369657.1373539357,25.95906947733926
59-60,0.007546230113342119,90651.37540714558,684.0761389132831,90309.33733768894,2278689.2678413712,25.136841637614623
60-61,0.008213301247801657,89967.2992682323,738.9285313411174,89597.83500256174,2188379.9305036822,24.32417054088902
61-62,0.00893666113905414,89228.37073689117,797.403713265491,88829.66888025842,2098782.0955011207,23.521466078203154
62-63,0.009718235159617027,88430.96702362568,859.3929329279329,88001.27055716171,2009952.4266208622,22.7290562827824
63-64,0.010559880831121141,87571.57409069774,924.7453865914639,87109.20139740201,1921951.1560637006,21.94720348492467
64-65,0.011468778665646629,86646.82870410629,993.7333004875921,86149.96205386249,1834841.9546662986,21.176100523334483
65-66,0.012455256818343263,85653.09540361869,1066.8313005381276,85119.67975334963,1748691.9926124362,20.415981283246854
66-67,0.013531559346410444,84586.26410308057,1144.5840526019822,84013.97207677958,1663572.3128590866,19.66716854679601
67-68,0.014709152367661826,83441.68005047858,1227.3563856761775,82828.00185764048,1579558.340782307,18.93008793479162
68-69,0.016001872865795595,82214.3236648024,1315.5831550315384,81556.53208728663,1496730.3389246666,18.205225953411897
69-70,0.017420169891879347,80898.74050977087,1409.2698037192706,80194.10560791123,1415173.80683738,17.49315005301543
70-71,0.018966739119133838,79489.4707060516,1507.656053599712,78735.64267925174,1334979.7012294687,16.794421819289276
71-72,0.020653775679904705,77981.81465245188,1610.618906943647,77176.50519898006,1256244.058550217,16.1094489035556
72-73,0.022505994618184977,76371.19574550823,1718.8097204327596,75511.79088529185,1179067.553351237,15.438642040910873
73-74,0.024543448038136087,74652.38602507547,1832.2269573293163,73736.27254641081,1103555.7624659452,14.782591973621109
