x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0025252429209619105,100000.0,252.52429209619106,99873.7378539519,8331204.5201,83.312045201
1-2,0.0004362477124675324,99747.47570790381,43.5146081019838,99725.71840385282,8231330.782246049,82.52169514896117
2-3,0.00017669137504585291,99703.96109980183,17.616829984242216,99695.15268480971,8131605.063842196,81.55749254237361
3-4,0.00010101131544092379,99686.3442698176,10.069448766191071,99681.3095454345,8031909.911157386,80.57181723323801
4-5,7.168714323226274e-05,99676.2748210514,7.145507389955096,99672.70206735643,7932228.601611952,79.57990620990466
5-6,5.906332978303553e-05,99669.12931366144,5.886790653840799,99666.18591833452,7832555.899544596,78.58557562889239
6-7,5.3864638713552796e-05,99663.2425230076,5.3683245515229965,99660.55836073184,7732889.713626261,77.59018789541285
7-8,5.2527555535641334e-05,99657.87419845608,5.234784521523359,99655.25680619532,7633229.155265529,76.59434055421367
8-9,5.360503284251786e-05,99652.63941393455,5.341883008627551,99649.96847243024,7533573.898459333,75.59833781387935
9-10,5.69002642102964e-05,99647.29753092592,5.669957557351701,99644.46255214725,7433923.9299869025,74.6023636785509
10-11,6.347908053880137e-05,99641.62757336856,6.325158901747114,99638.46499391769,7334279.4674347555,73.60658036255326
11-12,7.555749512633652e-05,99635.30241446682,7.528193876592142,99631.53831752852,7234641.002440838,72.61122139566453
12-13,9.558909220233973e-05,99627.77422059022,9.523328495885883,99623.01255634228,7135009.46412331,71.61667035063307
13-14,0.0001247514123969517,99618.25089209434,12.427517499302661,99612.03713334468,7035386.451566967,70.623468978467
14-15,0.00016178763982711565,99605.82337459503,16.114991076812277,99597.76587905662,6935774.414433623,69.63221807172599
15-16,0.00020300623888445837,99589.70838351821,20.217332130538043,99579.59971745295,6836176.648554566,68.64340461996906
16-17,0.00024342002113775387,99569.49105138768,24.237207616404184,99557.37244757947,6736597.048837113,67.65724096511013
17-18,0.0002783328950194157,99545.25384377128,27.706718687779478,99531.40048442739,6637039.676389534,66.67359236238288
18-19,0.00030460224414717915,99517.5471250835,30.31326818632309,99502.39049099034,6537508.275905106,65.69201577776147
19-20,0.00032116880717874044,99487.23385689718,31.952196227332067,99471.25775878351,6438005.885414116,64.71187946259084
20-21,0.00032887926702735365,99455.28166066985,32.70878013456011,99438.92727060257,6338534.627655333,63.73250894086947
21-22,0.00032988138653332853,99422.57288053528,32.79765619454189,99406.17405243801,6239095.7003847305,62.75331164363989
22-23,0.0003269100394672958,99389.77522434074,32.49151534123489,99373.52946667012,6139689.526332293,61.77385462914973
23-24,0.0003226889489374297,99357.28370899952,32.06149744933506,99341.25296027485,6040315.996865623,60.793892217873776
24-25,0.00031954647314917954,99325.22221155018,31.73902445245941,99309.35269932395,5940974.743905348,59.81335467089942
25-26,0.00031924530788007767,99293.48318709772,31.698978610550327,99277.63369779245,5841665.391206024,58.832314102614696
26-27,0.00032297384521859775,99261.78420848717,32.05896012907378,99245.75472842263,5742387.757508231,57.85094236717579
27-28,0.0003314336033975971,99229.7252483581,32.88806540321684,99213.28121565649,5643142.002779809,56.86947120588932
28-29,0.00034496657084504044,99196.83718295489,34.219592761677745,99179.72738657404,5543928.721564152,55.888160136992475
29-30,0.00036368422898791904,99162.6175901932,36.06388012271327,99144.58565013185,5444748.994177578,54.90727379423315
30-31,0.00038757751339443054,99126.55371007048,38.41922319830858,99107.34409847132,5345604.408527446,53.92706806051681
31-32,0.0004166001082105184,99088.13448687218,41.28012754960935,99067.49442309738,5246497.064428975,52.94778321943344
32-33,0.00045072557213521135,99046.85435932258,44.64295009929862,99024.53288427292,5147429.570005878,51.9696420780009
33-34,0.0004899827737663909,99002.21140922328,48.50937815529786,98977.95672014564,5048405.037121605,50.99285122282919
34-35,0.0005344753246645067,98953.70203106798,52.888312019809916,98927.25787505807,4949427.08040146,50.01760397855063
35-36,0.0005843903564836497,98900.81371904816,57.796681785797595,98871.91537815526,4850499.822526402,49.04408406896861
36-37,0.0006400009684768246,98843.01703726237,63.259626631019195,98811.38722394686,4751627.907148247,48.07246935164831
37-38,0.0007016655060937781,98779.75741063136,69.31034847535128,98745.10223639368,4652816.5199243,47.10293527632749
38-39,0.0007698257912069123,98710.447062156,75.98984801001228,98672.452138151,4554071.417687906,46.13565790883611
39-40,0.0008450056114262609,98634.457214146,83.3466698259368,98592.78387923303,4455398.965549755,45.170816481268865
40-41,0.0009278101975712313,98551.11054432005,91.43672534498985,98505.39218164755,4356806.181670522,44.20859549534143
41-42,0.0010189270392125093,98459.67381897506,100.32322392619768,98409.51220701197,4258300.789488874,43.24918643665279
42-43,0.0011191281600495108,98359.35059504886,110.07671905510179,98304.31223552131,4159891.277281862,42.29278916661798
43-44,0.0012292738520777806,98249.27387599376,120.77526336138772,98188.88624431306,4061586.965046341,41.339613055794295
44-45,0.0013503178130575587,98128.49861263238,132.50465964523144,98062.24628280976,3963398.078802028,40.389877913528046
45-46,0.0014833136185721542,97995.99395298715,145.35879239598032,97923.31455678916,3865335.8325192183,39.443814758117405
46-47,0.0016294224694537401,97850.63516059116,159.44002358098743,97770.91514880068,3767412.517962429,38.501666461126206
47-48,0.001789922175742796,97691.19513701017,174.8596365505513,97603.76531873489,3669641.6028136285,37.56368829009637
48-49,0.0019662173625973646,97516.33550045962,191.73831199787347,97420.46634446068,3572037.8374948935,36.630148366045375
49-50,0.0021598509078223182,97324.59718846175,210.20661959094053,97219.49387866628,3474617.3711504326,35.70132804579811
50-51,0.002372516643081908,97114.3905688708,230.40550790740267,96999.1878149171,3377397.8772717663,34.77752223422141
51-52,0.002606073370689839,96883.9850609634,252.48677351368892,96757.74167420655,3280398.6894568494,33.85903962757815
52-53,0.0028625602650610084,96631.49828744971,276.6134873509644,96493.19154377423,3183640.9477826427,32.946202886270754
53-54,0.003144213742662094,96354.88480009875,302.9603529610934,96203.4046236182,3087147.7562388685,32.039348733004815
54-55,0.003453485896904269,96051.92444713766,331.71396644870424,95886.0674639133,2990944.35161525,31.138827970712043
55-56,0.0037930646051444897,95720.21048068895,363.0729423712819,95538.67400950332,2895058.2841513366,30.245005413307144
56-57,0.0041658954239845135,95357.13753831768,397.2478629151395,95158.51360686011,2799519.6101418333,29.3582597214277
57-58,0.004575205396452806,94959.88967540253,434.46099968946476,94742.6591755578,2704361.096534973,28.478983134660105
58-59,0.005024528900378031,94525.42867571308,474.9457482017426,94287.9558016122,2609618.437359415,27.607581091350482
59-60,0.005517735671143546,94050.48292751133,518.9457045374064,93791.01007524262,2515330.4815578028,26.744471726917915
60-61,0.00605906113375268,93531.53722297393,566.7133019678635,93248.18057199,2421539.47148256,25.890085241620117
61-62,0.0066531391783031,92964.82392100607,618.5079122328947,92655.56996488963,2328291.29091057,25.0448631289719
62-63,0.00730503750899515,92346.31600877318,674.5933022616074,92009.01935764238,2235635.7209456805,24.20925725649184
63-64,0.008020295688960215,91671.72270651157,735.234322422591,91304.10554530028,2143626.7015880384,23.383728791165975
64-65,0.008804965990603764,90936.48838408898,800.6926875268376,90536.14204032556,2052322.596042738,22.5687469629829
65-66,0.009665657142742722,90135.79569656214,871.2216974912745,89700.1848478165,1961786.4540024125,21.76478766112714
66-67,0.010609581040306796,89264.57399907087,947.0597318716053,88791.04413313506,1872086.269154596,20.972331858930755
67-68,0.011644602448273922,88317.51426719927,1028.4223428612956,87803.30309576861,1783295.2250214608,20.19186386548663
68-69,0.01277929168708637,87289.09192433798,1115.4927668020102,86731.34554093696,1695491.9219256921,19.423869403926684
69-70,0.014022980230048464,86173.59915753597,1208.4106773382478,85569.39381886684,1608760.576384755,18.668833518764167
70-71,0.01538581907187148,84965.18848019771,1307.259017363781,84311.55897151583,1523191.1825658882,17.927238317383225
71-72,0.01687883963905315,83657.92946283393,1412.0487759383936,82951.90507486473,1438879.6235943723,17.199560553714306
72-73,0.018514016904334258,82245.88068689553,1522.7016253490424,81484.52987422101,1355927.7185195077,16.48626906533389
73-74,0.020304334235982557,80723.17906154649,1639.0304082567086,79903.66385741813,1274443.1886452867,15.78782207863248
74-75,0.022263849354834605,79084.14865328978,1760.7175719721897,78203.78986730368,1194539.5247878686,15.104664400255608
75-76,0.02440776058446349,77323.4310813176,1887.2917934020627,76379.78518461657,1116335.734920565,14.437224516674185
76-77,0.026752472359129646,75436.13928791553,2018.1032311794143,74427.08767232583,1039955.9497359485,13.785911627406731
77-78,0.029315658697072408,73418.03605673612,2152.298087248632,72341.8870131118,965528.8620636227,13.151112641006627
78-79,0.03211632305040629,71265.73796948748,2288.7934630536656,70121.34123796065,893186.9750505108,12.533189166341476
79-80,0.03517485260535677,68976.94450643382,2426.253856181683,67763.81757834298,823065.6338125502,11.932474534817628
80-81,0.03851306472696584,66550.69065025215,2563.0710566374414,65269.15512193342,755301.8162342072,11.349270891921925
81-82,0.04215424282164752,63987.619593614705,2697.349653928445,62638.944766650486,690032.6611122738,10.783846398641963
82-83,0.04612315843247724,61290.26993968626,2826.9008307974464,59876.81952428754,627393.7163456234,10.236432584862506
83-84,0.050446075892545,58463.369108888815,2949.247555000876,56988.745331388374,567516.8968213359,9.70722189760101
84-85,0.05515073535207595,55514.12155388794,3061.644626121449,53983.29924082722,510528.1514899475,9.196365486831567
85-86,0.060266309481684315,52452.47692776649,3161.1172076096814,50871.91832396165,456544.8522491203,8.70397127056247
86-87,0.06582332866000679,49291.359720156805,3244.5213709585014,47669.09903467755,405672.93392515864,8.230102318708527
87-88,0.07185356900974849,46046.838349198304,3308.6296770048534,44392.52351069588,358003.8348904811,7.774775592094785
88-89,0.07838989729138737,42738.208672193454,3350.243788231126,41063.08677807789,313611.3113797852,7.337961068635723
89-90,0.08546606644757072,39387.964883962326,3366.3344240073066,37704.79767195867,272548.2246017073,6.919581283385405
90-91,0.09311645557267417,36021.63045995502,3354.206552379688,34344.527183765174,234843.42692974862,6.519511302821851
91-92,0.10137574832955105,32667.423907575332,3311.6845446291163,31011.581635260773,200498.89974598345,6.137579146529802
92-93,0.1102785444253781,29355.739362946217,3237.3082074764848,27737.085259207975,169487.31811072267,5.7735666615386005
93-94,0.11985889977144061,26118.43115546973,3130.5264220507183,24553.167944444373,141750.2328515147,5.427210846154875
94-95,0.13014979246782513,22987.90473341901,2991.8710303246194,21491.9692182567,117197.06490707034,5.098205611435885
95=96,0.14118251384539035,19996.033703094392,2823.090305140016,18584.488550524384,95705.09568881363,4.786203959738438
96-97,0.15298598651843642,17172.943397954376,2627.21968716132,15859.333554373716,77120.60713828924,4.490820551325859
97-98,0.1655860147765293,14545.723710793056,2408.5684213106915,13341.43950013771,61261.27358391552,4.211634622102654
98-99,0.1790044766535759,12137.155289482365,2172.6051306569716,11050.85272415388,47919.83408377781,3.948193208445101
99-100,0.19325847157847187,9964.550158825394,1925.7337336616147,9001.683291994586,36868.981359623926,3.7000146290567706
100-101,0.20835944248434257,8038.816425163779,1674.9633085811008,7201.334770873229,27867.298067629337,3.4665921690159234
101-102,0.22431229639964734,6363.853116582678,1427.4905065307132,5650.107863317321,20665.96329675611,3.2473979078658424
102-103,0.24111455254453232,4936.362610051965,1190.2288619202393,4341.2481790918455,15015.855433438788,3.0418866318413986
103-104,0.258755551408321,3746.133748131726,969.3329036471451,3261.4672963081534,10674.607254346942,2.8494997701752074
104-105,0.2772157617231257,2776.800844484581,769.7729612572117,2391.914363855975,7413.139958038788,2.669669296868421
105-106,0.2964662241760593,2007.027883227369,595.0159783564869,1709.5198940491257,5021.225594182813,2.501821542264033
106-107,0.31646817063389565,1412.011904870882,446.85682444777035,1188.583492646997,3311.705700133688,2.3453808630859374
107-108,0.3371728551773333,965.1550804231117,325.4240941551693,802.443033345527,2123.122207486691,2.199773125118858
108-109,0.35852162808322535,639.7309862679424,229.3573947320702,525.0522889019073,1320.679174141164,2.0644289591875666
109-110,0.3804462759805432,410.3735915358722,156.12510466058313,332.31103920558064,795.6268852392566,1.9387867583328837
