x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0022621368097298184,100000.0,226.21368097298185,99886.8931595135,8064419.823,80.64419823
1-2,0.0006762924899882829,99773.78631902701,67.47626238525366,99740.04818783439,7964532.9298404865,79.82590641968689
2-3,0.00030991957459189937,99706.31005664176,30.90093719688243,99690.85958804331,7864792.881652652,78.87959024042485
3-4,0.00015820292113797815,99675.40911944487,15.768940888319245,99667.52464900071,7765102.0220646085,77.90388914039359
4-5,0.00010772597971712892,99659.64017855655,10.735932376491549,99654.2722123683,7665434.497415608,76.91613659934681
5-6,8.142531191954926e-05,99648.90424618006,8.113943110686508,99644.84727462471,7565780.225203239,75.92436948942432
6-7,6.331669509477577e-05,99640.79030306937,6.308925538621933,99637.63584030006,7466135.377928615,74.93051144234677
7-8,5.264206356046646e-05,99634.48137753076,5.244964701490086,99631.85889518,7366497.742088314,73.9352244347566
8-9,5.3167747989638626e-05,99629.23641282927,5.297062133997435,99626.58788176227,7266865.883193134,72.93909042002232
9-10,5.4771208901004643e-05,99623.93935069528,5.4565235937179475,99621.21108889842,7167239.295311372,71.94294204810876
10-11,5.795398674788027e-05,99618.48282710156,5.773288233605782,99615.59618298475,7067618.084222473,70.94685527874455
11-12,5.995910744090198e-05,99612.70953886796,5.972689153720346,99609.7231942911,6968002.488039489,69.95093819148288
12-13,7.600082713495796e-05,99606.73684971425,7.570194388792379,99602.95175251985,6868392.764845198,68.95510265744542
13-14,9.873994660926275e-05,99599.16665532545,9.834416397873898,99594.24944712651,6768789.813092678,67.96030569730434
14-15,0.00012765698589718006,99589.33223892757,12.713273981134355,99582.97560193701,6669195.563645551,66.96696738206153
15-16,0.00016305187171682404,99576.61896494644,16.236154101467516,99568.5008878957,6569612.588043614,65.97545343808358
16-17,0.000204935914929445,99560.38281084497,20.403498142066304,99550.18106177394,6470044.087155718,64.98613107432675
17-18,0.0002531175624660293,99539.9793127029,25.195316931550337,99527.38165423712,6370493.906093945,63.99934930748943
18-19,0.0003091855884843755,99514.78399577134,30.768537052628076,99499.39972724504,6270966.524439707,63.015426177342434
19-20,0.0003720667363115782,99484.01545871871,37.01469294689607,99465.50811224527,6171467.124712463,62.03476102423044
20-21,0.00043303880014322334,99447.00076577182,43.064409889452044,99425.4685608271,6072001.616600217,61.05766458358702
21-22,0.00048194452855712287,99403.93635588237,47.90718324375798,99379.9827642605,5972576.14803939,60.083899762848326
22-23,0.0005151220424979572,99356.0291726386,51.18048068189622,99330.43893229766,5873196.1652751295,59.11262974358615
23-24,0.0005345678770427591,99304.84869195671,53.085182145311705,99278.30610088405,5773865.726342832,58.14283796205503
24-25,0.0005454454730016299,99251.7635098114,54.13642509385499,99224.69529726446,5674587.420241947,57.17366845256098
25-26,0.0005530823199008142,99197.62708471755,54.86445371667142,99170.19485785921,5575362.724944683,56.204597718685015
26-27,0.0005608880185083553,99142.76263100088,55.60798768154629,99114.9586371601,5476192.530086824,55.23542399628954
27-28,0.0005720769969806708,99087.15464331933,56.68548186770945,99058.81190238547,5377077.5714496635,54.2661416689716
28-29,0.0005887567951752314,99030.46916145162,58.30486164819584,99001.31673062753,5278018.759547278,53.296917648066525
29-30,0.0006122622088318141,98972.16429980342,60.59691592706285,98941.86584183988,5179017.4428166505,52.32802050411397
30-31,0.0006435884188239318,98911.56738387636,63.658339255985766,98879.73821424837,5080075.576974811,51.359772282841384
31-32,0.0006845779657882043,98847.90904462038,67.66910049618366,98814.07449437228,4981195.838760562,50.392526123259
32-33,0.0007376078466965164,98780.23994412419,72.86108008135066,98743.80940408351,4882381.76426619,49.42670484530051
33-34,0.000802452233909056,98707.37886404284,79.20795667275871,98667.77488570646,4783637.954862107,48.462820205680615
34-35,0.0008768622250227879,98628.17090737008,86.48331739176432,98584.92924867419,4684970.1799764,47.501338987381665
35-36,0.0009582260989455407,98541.68758997832,94.42521688285512,98494.47498153689,4586385.250727726,46.54258885651722
36-37,0.001043993269655155,98447.26237309547,102.77827933348685,98395.87323342872,4487890.775746189,45.586750383550324
37-38,0.001133092379640667,98344.48409376197,111.43338550633449,98288.76740100881,4389494.90251276,44.63386983989667
38-39,0.0012262205483437939,98233.05070825564,120.45538530496094,98172.82301560316,4291206.135111751,43.68393431917627
39-40,0.0013261297642042506,98112.59532295068,130.11003290109164,98047.54030650014,4193033.312096148,42.736952358606146
40-41,0.0014356330196786846,97982.48529004959,140.6668912325762,97912.1518444333,4094985.7717896476,41.7930384156678
41-42,0.00156153032284981,97841.81839881702,152.78296627251723,97765.42691568076,3997073.619945214,40.85240529415121
42-43,0.0016999133250912059,97689.03543254451,166.06289304708935,97606.00398602097,3899308.193029533,39.91551534687896
43-44,0.0018528872295152123,97522.97253949742,180.6990704027975,97432.62300429602,3801702.189043512,38.98263239980507
44-45,0.002021707177941971,97342.27346909462,196.79757298965887,97243.8746825998,3704269.5660392162,38.0540687414219
45-46,0.0022060921658191577,97145.47589610497,214.31187331917099,97038.31995944538,3607025.6913566166,37.130145877449344
46-47,0.002407431996518351,96931.1640227858,233.35518572822298,96814.48642992169,3509987.371397171,36.21113402261497
47-48,0.0026295597665221605,96697.80883705757,254.2726676287776,96570.67250324319,3413172.8849672494,35.297313620815125
48-49,0.0028752830537615965,96443.5361694288,277.30246519280223,96304.8849368324,3316602.212464006,34.38905648002692
49-50,0.0031461664550419123,96166.233704236,302.5549785879883,96014.95621494201,3220297.327527174,33.486778087112754
50-51,0.003444036312953881,95863.67872564802,330.15799062447616,95698.59973033577,3124282.3713122318,32.59088752741908
51-52,0.003769034094217614,95533.52073502354,360.0690967909491,95353.48618662807,3028583.771581896,31.70179166726331
52-53,0.004121246525106284,95173.4516382326,392.2332568464371,94977.33500980938,2933230.285395268,30.819837201501112
53-54,0.004500832394944293,94781.21838138616,426.59437812323233,94567.92119232455,2838252.9503854583,29.945309828838994
54-55,0.004910464977311966,94354.62400326293,463.3250766154616,94122.9614649552,2743685.0291931336,29.07843741816249
55-56,0.005354990271558656,93891.29892664746,502.78699233620284,93639.90543047935,2649562.0677281786,28.219463337046257
56-57,0.005840431012446797,93388.51193431126,545.4291613074093,93115.79735365756,2555922.162297699,27.368699954181885
57-58,0.006370663827172272,92843.08277300384,591.4720690251366,92547.34673849128,2462806.3649440417,26.526546635310094
58-59,0.00695236816117233,92251.6107039787,641.367161075206,91930.9271234411,2370259.0182055505,25.69341608366437
59-60,0.007590392488614335,91610.2435429035,695.3577044681846,91262.5646906694,2278328.0910821096,24.869796247349875
60-61,0.008285914929795728,90914.88583843531,753.3130099093654,90538.22933348063,2187065.52639144,24.05618734734013
61-62,0.009042186088265111,90161.57282852594,815.2577195261989,89753.94396876283,2096527.2970579595,23.253002707098357
62-63,0.009868694505835099,89346.31510899974,881.7314890327972,88905.44936448334,2006773.3530891966,22.46061687760704
63-64,0.010773018976089298,88464.58361996694,953.0306380497424,87988.06830094208,1917867.9037247133,21.679499583286795
64-65,0.011761056222933507,87511.5529819172,1029.2282947765525,86996.93883452892,1829879.8354237713,20.910151552240027
65-66,0.012841360945906028,86482.32468714064,1110.5507467486127,85927.04931376634,1742882.8965892424,20.153053272958534
66-67,0.014015903195596865,85371.77394039203,1196.5625191849138,84773.49268079957,1656955.847275476,19.408708180673273
