x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.001962894035520249,100000.0,196.28940355202488,99901.85529822399,7840241.6027,78.402416027
1-2,0.000908996047042063,99803.71059644797,90.72117841230126,99758.35000724182,7740339.747401776,77.55563095944908
2-3,0.00043553472750923944,99712.98941803566,43.42846967531584,99691.27518319801,7640581.397394534,76.62573795037117
3-4,0.00021182960700649045,99669.56094836035,21.11296392620062,99659.00446639725,7540890.122211336,75.65890779952704
4-5,0.00014155431130126917,99648.44798443414,14.105667426676918,99641.3951507208,7441231.1177449385,74.67483205465795
5-6,0.0001025153458112754,99634.34231700747,10.21404905730701,99629.23529247881,7341589.722594217,73.68533330842308
6-7,7.228209696710799e-05,99624.12826795016,7.201040899727578,99620.5277475003,7241960.487301739,72.69283669738802
7-8,5.275112467563698e-05,99616.92722705043,5.254904947957993,99614.29977457644,7142339.959554238,71.6980553242238
8-9,5.275112467563698e-05,99611.67232210247,5.254627745811924,99609.04500822957,7042725.659779662,70.70181129984881
9-10,5.275112467563698e-05,99606.41769435666,5.254350558288581,99603.7905190775,6943116.614771432,69.70551471970872
10-11,5.275112467563698e-05,99601.16334379837,5.2540733853871915,99598.53630710568,6843512.824252355,68.70916558103097
11-12,4.539334007204283e-05,99595.90927041299,4.5209909792961795,99593.64877492333,6743914.287945249,67.71276388104293
12-13,5.782047186597632e-05,99591.3882794337,5.758421064104519,99588.50906890165,6644320.639170325,66.71581503139286
13-14,7.465400069709208e-05,99585.62985836959,7.434465680867077,99581.91262552916,6544732.130101424,65.71964388244895
14-15,9.612724658657575e-05,99578.19539268872,9.57217774315921,99573.40930381714,6445150.217475895,64.72451315329936
15-16,0.00012587294409044318,99568.62321494556,12.532995743097246,99562.35671707401,6345576.808172078,63.73068747243245
16-17,0.00016916022327558009,99556.09021920247,16.840930449924084,99547.6697539775,6246014.451455004,62.73864750717447
17-18,0.00023061001003486304,99539.24928875254,22.95474727734196,99527.77191511387,6146466.7817010265,61.74917759195465
18-19,0.0003129459784295161,99516.2945414752,31.143224164961868,99500.72292939272,6046939.009785913,60.76330552345619
19-20,0.00041001396815599464,99485.15131731024,40.79030166420995,99464.75616647814,5947438.28685652,59.78217058631217
20-21,0.0005040186700344167,99444.36101564603,50.12181458152831,99419.30010835527,5847973.530690042,58.806487074414946
21-22,0.0005792721857968735,99394.23920106451,57.57631819761793,99365.4510419657,5748554.230581687,57.83588945183173
22-23,0.000632589205412182,99336.66288286689,62.839300641370556,99305.2432325462,5649188.779539721,56.86912178840735
23-24,0.0006690311365702171,99273.82358222552,66.41727902288757,99240.61494271408,5549883.536307175,55.904802857828614
24-25,0.0006957558800834079,99207.40630320263,69.02413628327697,99172.89423506099,5450642.921364461,54.941895211995906
25-26,0.0007184827057404622,99138.38216691936,71.22921306202021,99102.76756038834,5351470.0271294005,53.97979985308946
26-27,0.000738749132334824,99067.15295385734,73.1857732875434,99030.56006721356,5252367.259569013,53.018251791443085
27-28,0.0007602968247629973,98993.96718056979,75.26479891807958,98956.33478111075,5153336.699501799,52.05707828742598
28-29,0.0007841257839612644,98918.7023816517,77.56470505344363,98879.92002912499,5054380.364720689,51.09630679565222
29-30,0.0008129818941902866,98841.13767659826,80.35605533224376,98800.95964893214,4955500.444691564,50.13601179810007
30-31,0.0008518490848114673,98760.78162126601,84.12928143934063,98718.71698054633,4856699.485042632,49.17639781008827
31-32,0.0009052969698877696,98676.65233982667,89.33167436191397,98631.98650264571,4757980.768062085,48.21789810700466
32-33,0.0009753222679899799,98587.32066546477,96.15440918649651,98539.24346087151,4659348.781559439,47.26113611881141
33-34,0.0010610262555525588,98491.16625627827,104.50171333790347,98438.91539960932,4560809.538098568,46.306787821266575
34-35,0.001158598461702164,98386.66454294037,113.99063819145755,98329.66922384464,4462370.622698959,45.355441648815926
35-36,0.0012630118050859565,98272.67390474891,124.1195472590605,98210.61413111938,4364040.953475114,44.40747137607118
36-37,0.0013711301520232663,98148.55435748985,134.57444225704887,98081.26713636132,4265830.339343995,43.462997160471815
37-38,0.001483137682397505,98013.9799152328,145.368227014034,97941.29580172579,4167749.0722076334,42.52198590254271
38-39,0.001601744445184842,97868.61168821878,156.76050512955672,97790.231435654,4069807.7764059077,41.58440286627488
39-40,0.0017311006515415516,97711.85118308922,169.14904924637688,97627.27665846604,3972017.5449702535,40.650315154991986
40-41,0.0018740183473450844,97542.70213384285,182.796813448438,97451.30372711863,3874390.2683117874,39.71993991919106
41-42,0.002040353210267226,97359.9053203944,198.6485953717799,97260.58102270852,3776938.9645846686,38.793576803052794
42-43,0.0022217246152080403,97161.25672502263,215.86555571053051,97053.32394716736,3679678.38356196,37.87186896908782
43-44,0.002419386800924236,96945.39116931209,234.54839980547067,96828.11696940936,3582625.0596147925,36.95508385084393
44-45,0.002634727845911648,96710.84276950662,254.80675044640225,96583.43939428341,3485796.942645383,36.04349670443024
45-46,0.002869274235430213,96456.03601906022,276.7588190012181,96317.6566095596,3389213.5032510995,35.137391532255926
46-47,0.003124697589455018,96179.277200059,300.53115562255033,96029.01162224772,3292895.84664154,34.237061688372926
47-48,0.0034028233469018876,95878.74604443646,326.2584355116854,95715.6168266806,3196866.8350192923,33.34281023593755
48-49,0.0037056412152462817,95552.48760892477,354.08323630294126,95375.4459907733,3101151.218192612,32.45495010956637
49-50,0.004035317233510761,95198.40437262182,384.155761767567,95006.32649173804,3005775.7722018384,31.573804120043334
50-51,0.004394207342211089,94814.24861085425,416.6334673920433,94605.93187715823,2910769.4457101002,30.699704826610606
51-52,0.00478487239674969,94397.6151434622,451.68054301895285,94171.77487195273,2816163.513832942,29.83299429284347
52-53,0.005210094596836841,93945.93460044324,489.4672062565566,93701.20099731497,2721991.7389609893,28.974023735436305
53-54,0.00567289533269145,93456.4673941867,530.1687576903123,93191.38301534153,2628290.5379636744,28.123153070593837
54-55,0.0061765544693598495,92926.29863649639,573.9643451643199,92639.31646391423,2535099.154948333,27.280750359647747
55-56,0.006724631104375059,92352.33429133207,621.035379737135,92041.8166014635,2442459.8384844186,26.447191153604237
56-57,0.0073209858421076374,91731.29891159493,671.5635406099302,91395.51714128997,2350418.021882955,25.62285773526597
57-58,0.007969804631312924,91059.735370985,725.7283006858056,90696.87122064209,2259022.504741665,24.80813825713657
58-59,0.008675624211084539,90334.0070702992,783.7038988233696,89942.1551208875,2168325.6335210227,24.003425773348027
59-60,0.009443359204939493,89550.30317147583,845.6556797594785,89127.47533159608,2078383.4784001352,23.20911716424156
60-61,0.010278330893094538,88704.64749171634,911.735718675169,88248.77963237876,1989256.003068539,22.425611952905907
61-62,0.011186297678934165,87792.91177304117,982.0776451936424,87301.87295044435,1901007.2234361602,21.653311013884245
62-63,0.012173487246809363,86810.83412784753,1056.7905821402348,86282.43883677741,1813705.350485716,20.892615175366785
63-64,0.013246630384068541,85754.04354570729,1135.9521187893029,85186.06748631263,1727422.9116489387,20.14392371746546
64-65,0.014412996409875306,84618.09142691799,1219.6002479466695,84008.29130294466,1642236.844162626,19.407632770599356
65-66,0.015680430116047223,83398.49117897132,1307.7242127156405,82744.6290726135,1558228.5528596812,18.684133619585
66-67,0.017057390079862955,82090.76696625569,1400.2542340985513,81390.63984920642,1475483.9237870676,17.97381092070417
67-68,0.01855298815442662,80690.51273215713,1497.0501268943217,79941.98766870997,1394093.2839378612,17.2770408407912
68-69,0.020177029877551877,79193.46260526282,1597.8888610931751,78394.51817471623,1314151.2962691511,16.594189129215053
69-70,0.02194005546395862,77595.57374416964,1702.4511917047732,76744.34814831725,1235756.7780944349,15.925609135499007
70-71,0.023853380956552834,75893.12255246486,1810.3075642262957,74987.96877035171,1159012.4299461176,15.271639787187477
71-72,0.02592913900937021,74082.81498823856,1920.9036080354927,73122.36318422081,1084024.4611757658,14.632603544396448
72-73,0.028180318656164896,72161.91138020308,2033.5456575320547,71145.13855143705,1010902.097991545,14.008804349227315
73-74,0.0306208032835054,70128.36572267102,2147.3868913876327,69054.6722769772,939756.9594401079,13.4005255898371
74-75,0.03326540587475389,67980.97883128338,2261.4148525856945,66850.27140499053,870702.2871631307,12.808028100390521
75-76,0.036129900420974,65719.5639786977,2374.4413022601775,64532.34332756761,803852.0157581401,12.231548219320205
76-77,0.0392310482067215,63345.12267643752,2485.0955613800074,62102.574895747515,739319.6724305726,11.671295929237774
77-78,0.04258661747366156,60860.027115057506,2591.8226941856246,59564.11576796469,677217.0975348251,11.127453102420215
78-79,0.0462153947448709,58268.20442087188,2692.888068385426,56921.76038667917,617652.9817668604,10.600171875995116
79-80,0.050137185860662854,55575.31635248646,2786.389965229749,54182.12136987158,560731.2213801811,10.089573180721874
80-81,0.05437280453758814,52788.92638725671,2870.281976203438,51353.78539915499,506549.10001030954,9.595745446578942
81-82,0.058944046022660186,49918.644411053276,2942.406873553933,48447.44097427631,455195.31461115455,9.118743507192727
82-83,0.06387364318395373,46976.23753749934,3000.5434345948865,45475.9658202019,406747.8736368782,8.658587723467356
83-84,0.0691852021683913,43975.694102904454,3042.467287004778,42454.460459402064,361271.9078166763,8.215263344594154
84-85,0.07490311458272839,40933.226815899674,3066.0261784321433,39400.2137266836,318817.44735727424,7.788720121948367
85-86,0.08105244303279523,37867.20063746753,3069.229122479764,36332.58607622765,279417.23363059066,7.378872188247328
86-87,0.08765877681076283,34797.97151498777,3050.347618499595,33272.79770573797,243084.647554363,6.9855982107941115
87-88,0.09474805457581126,31747.62389648817,3008.0256015967907,30243.611095689776,209811.84984862505,6.608741823725391
