x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006450678263443832,100000.0,645.0678263443832,99677.46608682782,8050112.4394,80.501124394
1-2,0.0004923462338033687,99354.93217365562,48.917026665488486,99330.47366032287,7950434.973313171,80.02053646835726
2-3,0.00026754315380621963,99306.01514699013,26.568644484353957,99292.73082474795,7851104.499652849,79.05970739065354
3-4,0.00023091034577127115,99279.44650250577,22.924651319874023,99267.98417684584,7751811.7688281005,78.08073112728773
4-5,0.0002136319802153937,99256.5218511859,21.204367312361338,99245.91966752971,7652543.784651254,77.09864945826553
5-6,0.0002088242073418331,99235.31748387354,20.722736513885046,99224.9561156166,7553297.864983724,76.11501687603499
6-7,0.0002089438207779557,99214.59474735966,20.730276503449822,99204.22960910793,7454072.908868108,75.13081042007158
7-8,0.00020845171999585923,99193.8644708562,20.677131661986127,99183.5259050252,7354868.679259,74.14640732562555
8-9,0.00020316258900054333,99173.18733919422,20.148281499266602,99163.11319844458,7255685.153353975,73.16176224666378
9-10,0.00019339410794464538,99153.03905769496,19.1756135385635,99143.45125092567,7156522.040155531,72.17652739812956
10-11,0.00018416711689535456,99133.86344415639,18.257197817208066,99124.73484524779,7057378.588904605,71.1903918975188
11-12,0.00018475861768055707,99115.60624633919,18.312462400644016,99106.45001513886,6958253.854059357,70.20341314127167
12-13,0.00020597507827127326,99097.29378393854,20.411572843618103,99087.08799751673,6859147.404044218,69.21629382734903
13-14,0.0002522058561967183,99076.88221109493,24.987769907350607,99064.38832614126,6760060.316046702,68.23045058728836
14-15,0.00031253350109384603,99051.89444118757,30.95703535968242,99036.41592350772,6660995.927720561,67.24753691284069
15-16,0.0003776708314713679,99020.93740582789,37.3973197631333,99002.23874594632,6561959.511797053,66.26840427599151
16-17,0.00043298639871656086,98983.54008606476,42.85852655408152,98962.11082278773,6462957.273051106,65.29325246835644
17-18,0.00047097244855708124,98940.68155951069,46.5983350559892,98917.3823919827,6363995.162228319,64.32131921792465
18-19,0.0004868441461836702,98894.0832244547,48.14600551002648,98870.01022169969,6265077.779836336,63.351391464106285
19-20,0.00048624550177102296,98845.93721894467,48.06339234105278,98821.90552277415,6166207.769614637,62.38200520023832
20-21,0.00048228339616389,98797.87382660362,47.648574122865895,98774.04953954219,6067385.864091863,61.412109685077844
21-22,0.00048250264540968083,98750.22525248076,47.64724491912383,98726.4016300212,5968611.814552321,60.441500759031236
22-23,0.00048089757321535863,98702.57800756163,47.46583023393602,98678.84509244467,5869885.4129222995,59.47043665336285
23-24,0.0004790770608312436,98655.1121773277,47.263401177890785,98631.48047673875,5771206.567829855,58.49880903745156
24-25,0.0004784596236899797,98607.84877614981,47.179874218315064,98584.25883904066,5672575.087353116,57.52660825438407
25-26,0.0004779102352806675,98560.6689019315,47.10315246434205,98537.11732569932,5573990.828514075,56.55390624489605
26-27,0.00048053256648042294,98513.56574946715,47.33897658272934,98489.89626117579,5475453.711188376,55.58070778915027
27-28,0.000492458403383549,98466.22677288442,48.490520823777125,98441.98151247253,5376963.8149272,54.60718858791394
28-29,0.0005169443863376027,98417.73625206064,50.87649627155753,98392.29800392487,5278521.833414727,53.63384725590259
29-30,0.0005528181627038125,98366.85975578909,54.37898668113892,98339.67026244852,5180129.535410802,52.661328706347575
30-31,0.0005959273542240222,98312.48076910795,58.587096551934565,98283.18722083198,5081789.865148353,51.69018038597974
31-32,0.0006440592986962336,98253.89367255602,63.28133385292074,98222.25300562957,4983506.677927521,50.72070420471793
32-33,0.000697995292922131,98190.6123387031,68.53658522155648,98156.34404609232,4885284.424921892,49.75307016184371
33-34,0.0007554136212948872,98122.07575348153,74.12275257390873,98085.01437719457,4787128.080875799,48.787472585708564
34-35,0.0008151850333697562,98047.95300090763,79.92722383888118,98007.98938898818,4689043.066498605,47.823977176302684
