x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004377778881875846,100000.0,437.7778881875846,99781.1110559062,7618337.677,76.18337677
1-2,0.0010710350604940144,99562.22211181241,106.6346305824435,99508.9047965212,7518556.565944094,75.51615870425682
2-3,0.000518693188041349,99455.58748122997,51.58693573916445,99429.79401336038,7419047.661147573,74.59658978483992
3-4,0.00032583016054870003,99404.00054549081,32.38882145692033,99387.80613476234,7319617.8671342125,73.6350431267049
4-5,0.00023896903399556405,99371.6117240339,23.746738060274648,99359.73835500376,7220230.06099945,72.65888049648262
5-6,0.0001951288470823311,99347.86498597362,19.38563435480412,99338.17216879621,7120870.322644446,71.67612835615343
6-7,0.0001723206352698076,99328.47935161881,17.11634666225492,99319.92117828768,7021532.15047565,70.69001958259835
7-8,0.00016134255763373918,99311.36300495655,16.023149309312394,99303.3514303019,6922212.229297362,69.70211685597226
8-9,0.00015846639880895936,99295.33985564724,15.734974925436152,99287.47236818452,6822908.877867061,68.71328390421961
9-10,0.00016398197576974186,99279.6048807218,16.28006576198007,99271.46484784082,6723621.405498876,67.724095130887
10-11,0.00018255062968336688,99263.32481495982,18.120582449435492,99254.26452373511,6624349.940651036,66.73512047878422
11-12,0.00022266997229727057,99245.20423251038,22.098926877090047,99234.15476907184,6525095.676127301,65.74721394940546
12-13,0.0002936829890995407,99223.10530563329,29.140138153896878,99208.53523655634,6425861.521358229,64.76174578053049
13-14,0.00040112516411836333,99193.96516747939,39.789195557356386,99174.0705697007,6326652.986121673,63.780623906300484
14-15,0.0005429311040203145,99154.17597192203,53.83388622866016,99127.2590288077,6227478.915551973,62.806017542977095
15-16,0.0007086279080001951,99100.34208569337,70.22526809428858,99065.22945164623,6128351.656523165,61.839863794051276
16-17,0.0008817857142530414,99030.11681759908,87.32334229056873,98986.4551464538,6029286.427071519,60.88336175727936
17-18,0.0010443256772596084,98942.7934753085,103.32849980605911,98891.12922540547,5930299.971925066,59.93665393533681
18-19,0.0011807759679309444,98839.46497550244,116.70726492622558,98781.11134303933,5831408.84269966,58.998790049551424
19-20,0.0012810986505866404,98722.75771057622,126.47359168521103,98659.52091473361,5732627.731356621,58.06794567229235
20-21,0.0013416324419660967,98596.28411889101,132.27997343121083,98530.14413217541,5633968.210441887,57.14179049230945
21-22,0.0013644472404881114,98464.0041454598,134.34893874368257,98396.82967608796,5535438.066309712,56.21788504692811
22-23,0.0013557618667393244,98329.65520671611,133.31159689889157,98262.99940826667,5437041.236633624,55.29401303404818
23-24,0.0013240838055899999,98196.34360981722,130.02018834191006,98131.33351564627,5338778.237225357,54.36840152051864
