x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006467795517360322,100000.0,646.7795517360322,99676.61022413199,8052857.0744,80.528570744
1-2,0.000509010769212727,99353.22044826396,50.571859164132476,99327.9345186819,7953180.464175868,80.04954875435884
2-3,0.00027045352457854107,99302.64858909983,26.856751310906336,99289.22021344438,7853852.529657186,79.09006095250597
3-4,0.0002404079780135794,99275.79183778893,23.866692381419846,99263.85849159822,7754563.309443742,78.1113216615211
4-5,0.00022483386115425678,99251.92514540751,22.31519355743524,99240.76754862879,7655299.450952143,77.12998452913497
5-6,0.00021948619319701225,99229.60995185007,21.779529340755936,99218.72018717969,7556058.683403514,76.14721741897401
6-7,0.0002181648929257623,99207.83042250932,21.64366570152393,99197.00858965855,7456839.963216335,75.16382458379464
7-8,0.00021653224774870368,99186.18675680779,21.477007964074296,99175.44825282575,7357642.954626676,74.1801171635593
8-9,0.00021123135177219336,99164.70974884371,20.94669568834546,99154.23640099954,7258467.50637385,73.19607474027306
9-10,0.00020255677002160646,99143.76305315537,20.082240411834636,99133.72193294945,7159313.269972851,72.21143367469747
10-11,0.00019461154158689965,99123.68081274354,19.290612330735804,99114.03550657816,7060179.548039901,71.22596225393832
11-12,0.000194928960981001,99104.3902004128,19.318315810422163,99094.73104250758,6961065.512533323,70.23972902165465
12-13,0.0002122505298665701,99085.07188460238,21.03085900937404,99074.5564550977,6861970.781490815,69.25332596500998
13-14,0.0002501113404823658,99064.041025593,24.777040094511143,99051.65250554575,6762896.225035717,68.26792199289079
14-15,0.0002997008972518063,99039.26398549849,29.682156279612403,99024.42290735868,6663844.572530171,67.28487575903132
15-16,0.0003530593695758436,99009.58182921888,34.95626054259191,98992.10369894758,6564820.149622812,66.30489724667696
16-17,0.0003988298890491555,98974.62556867629,39.47403893423687,98954.88854920916,6465828.0459238645,65.3281384877518
17-18,0.0004319482159985689,98935.15152974206,42.73486220282017,98913.78409864065,6366873.157374655,64.35400420305248
18-19,0.00044915033303336217,98892.41666753923,44.41756188069926,98870.20788659889,6267959.373276014,63.38159774523368
19-20,0.00045482846508112883,98847.99910565853,44.958883709567466,98825.51966380375,6169089.165389415,62.409853726986235
20-21,0.00045947274790682116,98803.04022194896,45.397304392327065,98780.3415697528,6070263.645725612,61.43802490378338
