x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004780940530355509,100000.0,478.09405303555087,99760.95297348223,7843711.3087,78.437113087
1-2,0.0008897603184004313,99521.90594696446,88.55064272318887,99477.63062560286,7743950.355726518,77.81151578681877
2-3,0.00045362607519522255,99433.35530424127,45.10556271015503,99410.8025228862,7644472.725100915,76.8803657657004
3-4,0.00028192224136121675,99388.24974153111,28.019758132100822,99374.23986246505,7545061.922578028,75.91502961567089
4-5,0.0002304389363506257,99360.22998339901,22.896465712928016,99348.78175054255,7445687.682715563,74.93629678554065
5-6,0.00021164862273005686,99337.33351768609,21.024609824694576,99326.82121277374,7346338.900965021,73.95345376023279
6-7,0.00020308546362575873,99316.30890786138,20.169698640152102,99306.22405854131,7247012.079752247,72.96900337361016
7-8,0.00019814367071252265,99296.13920922123,19.674901510496742,99286.30175846598,7147705.855693705,71.98372376425615
8-9,0.0001922947118451522,99276.46430771073,19.090339097056773,99266.91913816221,7048419.553935239,70.99789061875155
9-10,0.0001868263419754938,99257.37396861367,18.543892092649696,99248.10202256734,6949152.634797077,70.01144959763371
10-11,0.00018789692138178644,99238.83007652102,18.646670652908533,99229.50674119456,6849904.532774509,69.02443859417416
11-12,0.0002042367435818241,99220.18340586811,20.264407156405845,99210.0512022899,6750675.026033314,68.03731654495272
12-13,0.0002462973211275726,99199.91899871171,24.43267430545489,99187.70266155899,6651464.974831024,67.05111296428987
13-14,0.000323155347935362,99175.48632440626,32.04908878982224,99159.46178001135,6552277.272169465,66.06750836327389
14-15,0.00043298692362752765,99143.43723561644,42.92781188650844,99121.97332967319,6453117.810389454,65.08870370363987
15-16,0.0005599752830882162,99100.50942372993,55.493835818739605,99072.76250582056,6353995.83705978,64.11668188194294
16-17,0.0006757881210903426,99045.0155879112,66.9334449875182,99011.54886541744,6254923.074553959,63.152325610996165
17-18,0.000759521253531762,98978.08214292368,75.1759570213631,98940.494164413,6155911.525688542,62.1946939404165
18-19,0.0008033277719739388,98902.90618590232,79.4514512680684,98863.18046026828,6056971.031524129,61.24158798872074
19-20,0.0008144341919800736,98823.45473463426,80.48520050548123,98783.21213438152,5958107.851063861,60.290422623484204
20-21,0.0008094348241687401,98742.96953412877,79.92599818275679,98703.00653503739,5859324.638929479,59.33915767951769
21-22,0.0008025313590820322,98663.04353594601,79.18018642007246,98623.45344273598,5760621.632394441,58.38682272451557
22-23,0.0007992025298409393,98583.86334952594,78.78847299043458,98544.46911303072,5661998.178951706,57.43331602736314
23-24,0.0008020064749886917,98505.07487653551,79.00170787022738,98465.5740226004,5563453.709838675,56.47885367136473
24-25,0.0008107779665637587,98426.07316866529,79.80169146054617,98386.17232293502,5464988.135816075,55.52378510977614
25-26,0.0008237146936148684,98346.27147720475,81.00926887801037,98305.76684276575,5366601.9634931395,54.56843338221562
26-27,0.0008408224169850722,98265.26220832673,82.62363527567716,98223.9503906889,5268296.196650374,53.61300706124766
27-28,0.0008563605587034993,98182.63857305105,84.07973922340175,98140.59870343935,5170072.246259685,52.65770324977551
28-29,0.0008714271064085678,98098.55883382764,85.48574326741307,98055.81596219394,5071931.647556245,51.70240733248443
29-30,0.0008887046174897851,98013.07309056022,87.10467062994468,97969.52075524525,4973875.831594052,50.74706541441044
30-31,0.0009101887718237047,97925.96841993029,89.13111692578325,97881.40286146739,4875906.310838806,49.79175993368519
31-32,0.000939974884877886,97836.8373030045,91.96416988070813,97790.85521806416,4778024.907977339,48.83666561276515
32-33,0.0009813736716562389,97744.8731331238,95.92424503222695,97696.91101060768,4680234.052759275,47.882143612637584
33-34,0.0010331613163446756,97648.94888809157,100.88711657289464,97598.50532980512,4582537.141748667,46.92868887918479
34-35,0.001091660681992521,97548.06177151868,106.48938364054465,97494.8170796984,4484938.636418861,45.976706814776904
35-36,0.0011535974533839542,97441.57238787814,112.40834976038445,97385.36821299796,4387443.819339163,45.0264062024205
36-37,0.001218139014493914,97329.16403811776,118.56045196290926,97269.88381213631,4290058.451126165,44.0778310748258
37-38,0.0012869854546136185,97210.60358615484,125.10863284959174,97148.04926973005,4192788.5673140283,43.13097967340657
38-39,0.0013630118249370455,97085.49495330526,132.32867765122091,97019.33061447965,4095640.518044298,42.18591582619173
39-40,0.001449525951939962,96953.16627565403,140.53613063931084,96882.89821033437,3998621.1874298183,41.24281177224343
40-41,0.0015494444234972423,96812.63014501471,150.00578990229408,96737.62725006357,3901738.2892194837,40.30195526529036
41-42,0.0016665288374091548,96662.62435511242,161.09105098744337,96582.0788296187,3805000.66196942,39.36372188686781
42-43,0.001797777936650114,96501.53330412498,173.48832742706207,96414.78914041145,3708418.5831398014,38.428597517230166
43-44,0.001944457535133762,96328.04497669791,187.3057928996442,96234.39208024809,3612003.7939993897,37.49690751922917
44-45,0.002107904799298781,96140.73918379827,202.65552553366075,96039.41142103144,3515769.401919142,36.56898658952294
45-46,0.0022894300729233742,95938.08365826462,219.64353386586953,95828.26189133168,3419729.9904981107,35.64517718197634
46-47,0.0024906971066852605,95718.44012439875,238.4056418742663,95599.23730346162,3323901.728606779,34.72582424334256
47-48,0.0027137911395952777,95480.03448252448,259.11287158692653,95350.47804673102,3228302.4913033177,33.81128325727812
48-49,0.002960875103151059,95220.92161093756,281.93725609692365,95079.9529828891,3132952.0132565866,32.901929116560034
49-50,0.003234069377551867,94938.98435484064,307.0392620378659,94785.4647238217,3037872.0602736976,31.998152085969796
50-51,0.003535984700358403,94631.94509280277,334.617110013307,94464.6365377961,2943086.595549876,31.10034980960898
51-52,0.0038686420346152298,94297.32798278946,364.80260678611825,94114.9266793964,2848621.95901208,30.20893613795708
52-53,0.004233649337345561,93932.52537600334,397.67737381331165,93733.68668909668,2754507.0323326834,29.324315739480472
