x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0025911209383260416,100000.0,259.11209383260416,99870.4439530837,7646253.1489,76.462531489
1-2,0.001251158303255307,99740.8879061674,124.79164007785816,99678.49208612846,7546382.704946917,75.65987092521453
2-3,0.0006266017284702662,99616.09626608953,62.419618103792125,99584.88645703763,7446704.212860788,74.75402562422768
3-4,0.0003208873375777108,99553.67664798573,31.94551424564446,99537.7038908629,7347119.326403751,73.80058249764707
4-5,0.00023568885656737116,99521.73113374009,23.456163014516545,99510.00305223283,7247581.622512888,72.82411127649483
5-6,0.00020430365793572185,99498.27497072557,20.32786153481351,99488.11103995817,7148071.619460655,71.84116128208017
6-7,0.00018892878807533193,99477.94710919076,18.79424798756138,99468.54998519698,7048583.508420697,70.85573952067894
7-8,0.0001808492829780972,99459.1528612032,17.98711648055756,99450.15930296291,6949114.9584355,69.86903425703916
8-9,0.00017446768471242742,99441.16574472265,17.349269952586507,99432.49110974635,6849664.799132537,68.88158186637158
9-10,0.00017201683088913694,99423.81647477006,17.10256982489311,99415.26518985762,6750232.308022791,67.8935143244651
10-11,0.00018157626442425387,99406.71390494517,18.04989976955048,99397.6889550604,6650817.042832933,66.90510913772472
11-12,0.00021300789844548582,99388.66400517561,21.17057044904696,99378.07871995108,6551419.353877873,65.9171689191507
12-13,0.0002785084342113371,99367.49343472657,27.674685008011014,99353.65609222256,6452041.275157922,64.93110626158844
13-14,0.0003927787360928774,99339.81874971856,39.018568452209976,99320.30946549245,6352687.619065699,63.94905586722441
14-15,0.000561189730235983,99300.80018126634,55.72658926594212,99272.93688663337,6253367.309600207,62.9739870996522
15-16,0.0007611072764360442,99245.0735920004,75.5361476613022,99207.30551816974,6154094.372713573,62.00906654584436
16-17,0.0009472160553950615,99169.53744433909,93.93497807337972,99122.5699553024,6054887.067195403,61.055917202334754
17-18,0.0010810983200091322,99075.60246626571,107.1104673801725,99022.04723257563,5955764.497240101,60.113331122745194
18-19,0.0011485569250542533,98968.49199888554,113.67094684749644,98911.65652546179,5856742.450007525,59.177848744764916
19-20,0.0011600415192418092,98854.82105203804,114.67569679758338,98797.48320363925,5757830.793482063,58.24532109011751
20-21,0.0011396893918023915,98740.14535524046,112.53309620639372,98683.87880713725,5659033.310278424,57.312385858039264
21-22,0.001113103067949004,98627.61225903407,109.7826977900156,98572.72091013906,5560349.431471286,56.377208208870236
22-23,0.001097938486062465,98517.82956124406,108.16651663863225,98463.74630292474,5461776.710561147,55.43947460967772
23-24,0.0011003598145290729,98409.66304460542,108.28603857563057,98355.5200253176,5363312.964258222,54.49986107387882
24-25,0.0011179319252898356,98301.37700602978,109.89424765499285,98246.42988220228,5264957.444232904,53.55934580560304
25-26,0.0011438313743705227,98191.48275837478,112.31449867499131,98135.32550903728,5166711.014350702,52.61872892850303
26-27,0.0011708060265003637,98079.16825969979,114.8316812725997,98021.75241906349,5068575.688841665,51.678412233480536
27-28,0.001187585188230941,97964.33657842719,116.3409950954107,97906.16608087948,4970553.936422601,50.738402463873484
28-29,0.0011946417485638886,97847.99558333178,116.89330053714312,97789.54893306321,4872647.770341722,49.7981357849273
29-30,0.0011982206531401436,97731.10228279464,117.10342520939638,97672.55057018994,4774858.221408659,48.85709983698058
30-31,0.0012067103787680683,97613.99885758525,117.79182553450248,97555.10294481799,4677185.670838469,47.915111823892055
31-32,0.001227260871086474,97496.20703205075,119.6532799697818,97436.38039206585,4579630.56789365,46.97239725836873
32-33,0.0012632399569685237,97376.55375208096,123.00995357152189,97315.0487752952,4482194.187501584,46.02950109441308
33-34,0.0013139259708272461,97253.54379850943,127.7839569518466,97189.65182003351,4384879.138726289,45.08708852616119
34-35,0.0013756325694235505,97125.75984155759,133.60935856805656,97058.95516227356,4287689.486906256,44.14574973622667
35-36,0.0014439574880992373,96992.15048298954,140.0525419767608,96922.12421200116,4190630.531743982,43.20587295854352
36-37,0.0015164364540557656,96852.09794101278,146.87005196953112,96778.662915028,4093708.407531981,42.26762759465707
37-38,0.001594125777102572,96705.22788904325,154.16029655850238,96628.147740764,3996929.7446169527,41.33106174159388
38-39,0.0016809636465487836,96551.06759248475,162.29883465844125,96469.91817515553,3900301.5968761886,40.39625551670002
39-40,0.001781997227845892,96388.7687578263,171.76451872192519,96302.88649846533,3803831.678701033,39.46343259408198
40-41,0.001901654614526887,96217.00423910437,182.97151010724588,96125.51848405074,3707528.7922025677,38.53298927276058
41-42,0.002040751199509104,96034.03272899712,195.98156748539742,95936.04194525442,3611403.273718517,37.60545268269326
42-43,0.002197588588064483,95838.05116151171,210.6126075348782,95732.74485774427,3515467.2317732624,36.681330527566736
43-44,0.002373574602703963,95627.43855397684,226.9788594733532,95513.94912424017,3419734.486915518,35.76101732543271
44-45,0.00257025702203149,95400.45969450349,245.20370143482972,95277.85784378607,3324220.5377912777,34.84491110877533
45-46,0.0027893411440616926,95155.25599306865,265.42047061518934,95022.54575776107,3228942.6799474917,33.933413832470755
46-47,0.0030327076883457605,94889.83552245346,287.7731337348093,94745.94895558605,3133920.1341897305,33.02693188300618
47-48,0.003302431290269976,94602.06238871865,312.4168109565769,94445.85398324036,3039174.1852341443,32.125876629900695
48-49,0.0036007998282444704,94289.64557776207,339.51813960163764,94119.88650796126,2944728.331250904,31.230664970761215
49-50,0.003930334811681879,93950.12743816043,369.2554564321508,93765.49970994436,2850608.4447429427,30.341719830228666
50-51,0.004293813045367037,93580.87198172828,401.81876891196754,93379.9625972723,2756842.9450329985,29.459470580390335
51-52,0.004694289774318107,93179.05321281632,437.4094766775664,92960.34847447753,2663462.982435726,28.58435335624745
52-53,0.005135123502507297,92741.64373613875,476.23979441060476,92503.52383893346,2570502.6339612487,27.71681124473749
53-54,0.005620002668581891,92265.40394172815,518.5318163702983,92006.138033543,2477999.110122315,26.857294329815534
54-55,0.006152974351557011,91746.87212535784,564.5161510229077,91464.6140498464,2385992.9720887723,26.006259579385812
55-56,0.006738475168739496,91182.35597433493,614.4300415602214,90875.14095355482,2294528.358038926,25.164170562611545
56-57,0.0073813645161525596,90567.92593277471,668.5148747817165,90233.66849538386,2203653.2170853713,24.331496988470985
57-58,0.00808696028759495,89899.411057993,727.0129671041637,89535.90457444092,2113419.548589987,23.508714058500853
58-59,0.008861077191185746,89172.39809088883,790.1635028065105,88777.31633948558,2023883.6440155462,22.696301628590337
59-60,0.009710067760668718,88382.23458808233,858.1974866895979,87953.13584473752,1935106.3276760606,21.894743176554567
60-61,0.010640866131573619,87524.03710139274,931.3315620908028,87058.37132034733,1847153.191831323,21.10452457410617
61-62,0.011661034618073673,86592.70553930194,1009.7605369664598,86087.8252708187,1760094.8205109758,20.32613266382027
62-63,0.012778813083360997,85582.94500233547,1093.6484573084092,85036.12077368126,1674006.995240157,19.56005364380105
63-64,0.014003171042698393,84489.29654502706,1183.1180707972803,83897.73750962842,1588970.8744664758,18.806771265040208
64-65,0.015343862371879945,83306.17847422978,1278.2385372358492,82667.05920561185,1505073.1369568473,18.066764848929324
65-66,0.016811482412301258,82027.93993699392,1379.0112695680773,81338.43430220988,1422406.0777512353,17.34050713505414
66-67,0.018417527164623554,80648.92866742585,1485.3538345301029,79906.2517501608,1341067.6434490255,16.628461972250395
67-68,0.020174454143328358,79163.57483289574,1597.081910288198,78365.03387775164,1261161.3916988648,15.931081868915298
68-69,0.022095744321337183,77566.49292260755,1713.8893955207466,76709.54822484717,1182796.3578211132,15.248805421707742
69-70,0.024195964424251443,75852.6035270868,1835.3268964282418,74934.94007887268,1106086.8095962661,14.58205464498374
70-71,0.026490828634572763,74017.27663065855,1960.778991220543,73036.88713504828,1031151.8695173934,13.931232226535094
71-72,0.028997258534583462,72056.497639438,2089.440891147387,71011.77719386431,958114.9823823451,13.296718738352181
72-73,0.03173343984983303,69967.05674829062,2220.295386791735,68856.90905489476,887103.2051884808,12.678869834125955
73-74,0.03471887425148874,67746.76136149888,2352.091288655496,66570.71571717113,818246.296133586,12.07801346794126
74-75,0.0379744241342672,65394.670072843386,2483.3249374666248,64153.00760411008,751675.5804164149,11.494447170986877
75-76,0.04152234790789058,62911.34513537676,2612.2267600644936,61605.23175534451,687522.5728123048,10.928435425007185
76-77,0.045386322926698246,60299.11837531227,2736.7552587771265,58930.74074592371,625917.3410569603,10.380207172535114
77-78,0.04959145273969803,57562.36311653514,2854.6012100789894,56135.06251149564,566986.6003110366,9.849953504569832
78-79,0.05416425488110679,54707.76190645615,2963.2051598761955,53226.159326518056,510851.5377995409,9.3378255661973
79-80,0.05913262495303066,51744.556746579954,3059.791467456325,50214.66101285179,457625.37847302284,8.843932719614406
80-81,0.06452577229670235,48684.76527912363,3141.422078719132,47114.05423976407,407410.717460171,8.368341002043849
81-82,0.07037412213260942,45543.3432004045,3205.072796712613,43940.806802048195,360296.663220407,7.911071913078329
82-83,0.07670917870648744,42338.27040369189,3247.733950520389,40714.403428431695,316355.8564183588,7.47210156206033
83-84,0.08356334374947985,39090.536453171495,3266.5359349879427,37457.26848567752,275641.4529899271,7.051360201212172
84-85,0.0909696844974506,35824.00051818355,3258.8980245756647,34194.55150589572,238184.18450424957,6.648732164442439
85-86,0.09896164567561787,32565.102493607887,3222.6961343626035,30953.754426426585,203989.63299835386,6.264056225169088
86-87,0.1075727003067571,29342.406359245284,3156.4418855621766,27764.185416464195,173035.8785719273,5.897126379255077
87-88,0.11683593501542526,26185.964473683107,3059.461643563474,24656.23365190137,145271.6931554631,5.547693051423068
88-89,0.12678356674904934,23126.502830119633,2932.0605152345506,21660.472572502356,120615.45950356172,5.215464715507
89-90,0.13744638958625788,20194.44231488508,2775.653185888906,18806.615721940627,98954.98693105936,4.9001099108402135
90-91,0.14885315260749452,17418.789128996174,2592.841676456234,16122.368290768056,80148.37120911873,4.601259629218418
91-92,0.16102987269367736,14825.94745253994,2387.4204308456565,13632.237237117111,64026.00291835068,4.318510039463408
92-93,0.17399908959168445,12438.527021694283,2164.2923776363714,11356.380832876097,50393.76568123356,4.051425509896855
93-94,0.18777907458953977,10274.234644057911,1929.286273576984,9309.591507269419,39037.38484835747,3.799541883242338
94-95,0.20238300856832364,8344.948370480926,1688.8757575652596,7500.510491698296,29727.79334108805,3.562369953808931
95=96,0.21781814986083411,6656.0726129156665,1449.8134218846583,5931.165901973337,22227.282849389754,3.3393990934322426
96-97,0.23408501699171078,5206.259191031008,1218.707271195744,4596.905555433136,16296.116947416416,3.130100970672045
97-98,0.25117661566817956,3987.5519198352645,1001.5797960253738,3486.7620218225775,11699.211391983281,2.933933307247471
98-99,0.26907774293904146,2985.9721238098905,803.4586395536614,2584.2428040330597,8212.449370160703,2.75034361663169
99-100,0.2877644038053488,2182.5134842562293,628.0496915941283,1868.488638459165,5628.206566127643,2.5787728720703225
100-101,0.3072033763071226,1554.463792662101,477.5365254529724,1315.6955299356148,3759.717927668478,2.4186590549206444
101-102,0.32735195982586235,1076.9272672091286,352.53425151081836,900.6601414537193,2444.0223977328633,2.2694405389758403
102-103,0.3481579377287613,724.3930156983101,252.20317845064187,598.2914264729892,1543.3622562791438,2.130559272153325
103-104,0.36955977938818585,472.18983724766827,174.50237208259168,384.9386512063724,945.0708298061546,2.0014637233932158
104-105,0.3914870980953391,297.6874651650766,116.54080187683319,239.41706422666002,560.1321785997823,1.8816115696681155
105-106,0.4138613707471935,181.14666328824342,74.96960637475273,143.66186010086705,320.7151143731222,1.770472105593219
106-107,0.43659691296836567,106.17705691349069,46.3565752764965,82.99876927524244,177.05325427225517,1.6675283664766853
107-108,0.4596020903104705,59.82048163699419,27.493618403741646,46.07367243512336,94.05448499701274,1.5722789657187841
108-109,0.48278073329704874,32.326863233252546,15.606786736943068,24.523469864781013,47.98081256188937,1.484239662094237
109-110,0.5060337123806661,16.720076496309478,8.460922380716205,12.489615305951375,23.45734269710836,1.402944699582323
