x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.016656335761601245,100000.0,1665.6335761601244,99167.18321191994,7062086.8117,70.620868117
1-2,0.000892975347749757,98334.36642383988,87.81016505308044,98290.46134131333,6962919.628488081,70.80860823851316
2-3,0.0005771813210859337,98246.5562587868,56.70607713359008,98218.20322022,6864629.1671467675,69.87144820694742
3-4,0.00045608399815004073,98189.85018165321,44.7828194486019,98167.45877192891,6766410.963926547,68.91151123470043
4-5,0.0003673048105631658,98145.0673622046,36.04915537518371,98127.042784517,6668243.505154618,67.94272686721432
5-6,0.0003095079083481005,98109.01820682942,30.365517015281483,98093.83544832178,6570116.462370101,66.96750800746217
6-7,0.00027239093177446446,98078.65268981415,26.71573559336256,98065.29482201746,6472022.6269217795,65.98808659607458
7-8,0.00024545943296179674,98051.93695422079,24.067772845588877,98039.90306779799,6373957.332099762,65.00592981733428
8-9,0.00022234420110898062,98027.8691813752,21.79592825954853,98016.97121724542,6275917.429031963,64.0217672937479
9-10,0.00020313381281563715,98006.07325311564,19.908347338994016,97996.11907944614,6177900.457814718,63.03589413137028
10-11,0.00019518851681792372,97986.16490577665,19.12577419663503,97976.60201867833,6079904.338735271,62.04859986694753
11-12,0.00021338431322286543,97967.03913158001,20.904629363569782,97956.58681689823,5981927.736716593,61.06061579223841
12-13,0.0002769625053654554,97946.13450221643,27.127406802595733,97932.57079881514,5883971.149899694,60.073541235734474
13-14,0.00039725829568949703,97919.00709541384,38.89913787433186,97899.55752647667,5786038.579100879,59.090045444015495
14-15,0.0005613043234890046,97880.1079575395,54.94052778013744,97852.63769364943,5688139.021574402,58.113330075626024
15-16,0.0007386501291603114,97825.16742975936,72.25857255712084,97789.0381434808,5590286.383880753,57.1456868488848
16-17,0.0009198318260978684,97752.90885720223,89.91623666049881,97707.95073887198,5492497.345737272,56.18755912175187
17-18,0.001121644533263169,97662.99262054173,109.54316177495186,97608.22103965425,5394789.3949984,55.238829471048774
18-19,0.0013479927107741937,97553.44945876677,131.5013387812963,97487.69878937613,5297181.173958745,54.300295923392454
19-20,0.0015924742493854463,97421.94811998548,155.14194370604176,97344.37714813245,5199693.475169369,53.37291622176755
20-21,0.0018787846672654962,97266.80617627944,182.7433840778787,97175.4344842405,5102349.098021236,52.457249277560344
21-22,0.002158010044672356,97084.06279220156,209.50838268317267,96979.30860085996,5005173.663536996,51.55504950642676
22-23,0.002334464084620622,96874.55440951839,226.150167982647,96761.47932552706,4908194.354936136,50.66546509404004
23-24,0.002350550725820866,96648.40424153574,227.1769767393703,96534.81575316605,4811432.875610609,49.78284859816486
24-25,0.002248732390197237,96421.22726479637,216.82553685291654,96312.81449636992,4714898.059857443,48.898963367362825
25-26,0.0021094822642814845,96204.40172794345,202.9414791909077,96102.93098834799,4618585.245361073,48.008044979292904
26-27,0.0020277936419312538,96001.46024875254,194.6711507085364,95904.12467339827,4522482.314372725,47.10847421127108
27-28,0.0020144042033929787,95806.789098044,192.99359867268444,95710.29229870766,4426578.189699327,46.20317861993457
28-29,0.002088920581401493,95613.79549937132,199.7296252845502,95513.93068672904,4330867.8974006185,45.295429124859865
29-30,0.0022175645031808785,95414.06587408677,211.58684558653684,95308.2724512935,4235353.9667138895,44.389199096735666
30-31,0.002357860780969161,95202.47902850022,224.47419155233973,95090.24193272405,4140045.694262596,43.48674253559315
31-32,0.0024795804634702213,94978.00483694789,235.50560525307617,94860.25203432135,4044955.4523298717,42.58833883986077
32-33,0.0025868218999869587,94742.49923169482,245.08197187204576,94619.9582457588,3950095.2002955503,41.69295967837525
33-34,0.0026800496868679613,94497.41725982277,253.2577735370191,94370.78837305427,3855475.2420497914,40.799794892267535
34-35,0.002780049058907881,94244.15948628576,262.00338688741294,94113.15779284206,3761104.453676737,39.908090582780844
35-36,0.002899387529945761,93982.15609939834,272.4906914320115,93845.91075368234,3666991.295883895,39.01795242924173
36-37,0.0030580041048400572,93709.66540796633,286.56454148074937,93566.38313722596,3573145.3851302126,38.129955640909344
37-38,0.003261581913246547,93423.10086648558,304.70709606553714,93270.7473184528,3479579.0019929865,37.24538117147045
38-39,0.003500523013395577,93118.39377042004,325.9630803637867,92955.41223023814,3386308.254674534,36.36562141549984
39-40,0.0037535011864325745,92792.43069005625,348.29649868708856,92618.2824407127,3293352.8424442955,35.49161087766629
40-41,0.004008545490462843,92444.13419136916,370.5665172325547,92258.85093275287,3200734.560003583,34.62344677681467
41-42,0.004303922093166369,92073.5676741366,396.27746210936533,91875.42894308192,3108475.70907083,33.76078268273728
42-43,0.0046237943044509875,91677.29021202723,423.8969323298718,91465.3417458623,3016600.2801277484,32.9045532776011
43-44,0.004969101638229759,91253.39327969737,453.4473860401687,91026.66958667728,2925134.938381886,32.05508127699059
44-45,0.005341262471417078,90799.9458936572,484.9863434084925,90557.45272195296,2834108.268795209,31.212664731259324
45-46,0.005741945223579331,90314.9595502487,518.583550607311,90055.66777494505,2743550.816073256,30.377590044170052
46-47,0.006173535543399447,89796.3759996414,554.3611189022472,89519.19544019028,2653495.148298311,29.550136280654662
47-48,0.006638947492359877,89242.01488073915,592.473050905626,88945.77835528634,2563975.9528581207,28.73059238167757
48-49,0.007141540647584013,88649.54182983353,633.0943063674554,88332.9946766498,2475030.174502834,27.9192663990724
49-50,0.007684279243966129,88016.44752346608,676.3429608322044,87678.27604304998,2386697.179826184,27.116490689877782
50-51,0.008269312626406254,87340.10456263387,722.2426294514307,86978.98324790815,2299018.903783134,26.322603061855137
51-52,0.008899571432745284,86617.86193318244,770.8618496260257,86232.43100836943,2212039.920535226,25.537918752157694
52-53,0.009579745855717836,85847.00008355641,822.3924432762583,85435.80386191828,2125807.4895268567,24.762746368047463
53-54,0.010314125877805202,85024.60764028016,876.9545059128475,84586.13038732373,2040371.6856649383,23.997425478248466
54-55,0.011106874433971004,84147.65313436731,934.6174172767643,83680.34442572892,1955785.5552776146,23.242306617329046
55-56,0.01196272841970512,83213.03571709055,995.4549472627764,82715.30824345916,1872105.2108518856,22.497739623593457
56-57,0.012885549024936199,82217.58076982778,1059.4186677212674,81687.87143596714,1789389.9026084265,21.764078751209098
57-58,0.013878545094894853,81158.16210210651,1126.3572125528717,80594.98349583008,1707702.0311724595,21.04165480021553
58-59,0.014945206537236758,80031.80488955363,1196.0918536222136,79433.75896274253,1627107.0476766294,20.33075537809109
59-60,0.016091343815621006,78835.71303593142,1268.5725634108073,78201.42675422602,1547673.2887138869,19.631626697008432
60-61,0.017324982162465755,77567.14047252061,1343.8493250798952,76895.21580998065,1469471.861959661,18.944515074398605
61-62,0.018653964303452123,76223.29114744072,1421.8665521559974,75512.35787136272,1392576.6461496803,18.269699788427957
62-63,0.020084185876583175,74801.42459528471,1502.3257154049186,74050.26173758226,1317064.2882783175,17.607475999345365
63-64,0.021622761143115798,73299.09887987979,1584.9289070852674,72506.63442633716,1243014.0265407353,16.958107883123457
64-65,0.023276922112944198,71714.16997279452,1669.2851488511797,70879.52739836894,1170507.392114398,16.3218425669354
65-66,0.025055760406080322,70044.88482394334,1755.027851820216,69167.37089803323,1099627.864716029,15.698903174442009
66-67,0.026967247521175675,68289.85697212313,1841.589476152929,67369.06223404667,1030460.4938179958,15.089510207037687
67-68,0.029017793359626905,66448.2674959702,1928.1820953032764,65484.17644831856,963091.4315839491,14.493853156402558
68-69,0.031215719450335484,64520.085400666925,2014.040884778905,63513.06495827747,897607.2551356306,13.912059315506614
69-70,0.033572743545648855,62506.04451588802,2098.4994025848196,61456.79481459561,834094.1901773531,13.344216493579912
70-71,0.03609949702550337,60407.5451133032,2180.6819951356497,59317.204115735374,772637.3953627575,12.790412090303668
