x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004849553424451421,100000.0,484.95534244514215,99757.52232877743,8026281.3123,80.262813123
1-2,0.0010429271885177593,99515.04465755486,103.78694573992294,99463.15118468489,7926523.789971223,79.65151216328643
2-3,0.00045528304862529645,99411.25771181493,45.260260478710116,99388.62758157558,7827060.6387865385,78.73414761008803
3-4,0.0002640635607144923,99365.99745133622,26.23893910094701,99352.87798178576,7727672.011204963,77.76978251528682
4-5,0.0001827942674529956,99339.75851223528,18.15873838620153,99330.67914304217,7628319.133223177,76.79019203860484
5-6,0.00014371541674336398,99321.59977384907,14.274045103116325,99314.46275129751,7528988.454080135,75.8041399979794
6-7,0.00012420622927006853,99307.32572874596,12.334588467661996,99301.15843451212,7429673.991328837,74.8149639194061
7-8,0.0001150622285333205,99294.99114027829,11.425102962796736,99289.2785887969,7330372.832894325,73.82419544746617
8-9,0.00011202714736086302,99283.5660373155,11.122454682974318,99278.00480997401,7231083.554305528,72.83263326367369
9-10,0.00011302278534727131,99272.44358263252,11.220048081938977,99266.83355859155,7131805.5494955545,71.84073739012149
10-11,0.0001174009685471803,99261.22353455058,11.653363782134406,99255.39685265951,7032538.7159369625,70.84880143039034
11-12,0.00012637721098254898,99249.57017076843,12.542883869398501,99243.29872883373,6933283.319084303,69.85706141754491
12-13,0.00014365848096395363,99237.02728689904,14.256240595414333,99229.89916660133,6834040.02035547,68.86582767738426
13-14,0.00017433079238972192,99222.77104630363,17.29758429960607,99214.12225415383,6734810.121188868,67.87565041945844
14-15,0.00022124524366497919,99205.47346200403,21.94873914900071,99194.49909242953,6635595.998934714,66.88739811796943
15-16,0.00028133367232475553,99183.52472285503,27.903665244393984,99169.57289023283,6536401.499842284,65.90208926438858
16-17,0.00034534095940582944,99155.62105761064,34.24249730651612,99138.49980895738,6437231.926952051,64.92049425228187
17-18,0.0004016197891019391,99121.37856030412,39.80910715288281,99101.47400672767,6338093.427143093,63.942748973038974
18-19,0.00044123778924743187,99081.56945315124,43.718532660674335,99059.7101868209,6238991.953136366,62.968239073830475
19-20,0.00046112936390183554,99037.85092049057,45.669261197170634,99015.01628989198,6139932.242949545,61.9958145888969
20-21,0.00046406731732354393,98992.1816592934,45.939036178633216,98969.21214120409,6040917.226659654,61.0241851972815
21-22,0.0004564053889936066,98946.24262311477,45.15959835385847,98923.66282393783,5941948.01451845,60.052285533987074
22-23,0.00044532082627041317,98901.08302476091,44.04271201162526,98879.0616687551,5843024.351694512,59.07947792878719
23-24,0.00043680996112389984,98857.04031274929,43.181739935835814,98835.44944278138,5744145.290025757,58.105576212410156
24-25,0.0004348242967339756,98813.85857281345,42.96666656149414,98792.3752395327,5645309.840582975,57.130749898032654
25-26,0.00044131772087912537,98770.89190625196,43.58934490526556,98749.09723379933,5546517.465343443,56.15538503598712
26-27,0.00045676590647785565,98727.30256134669,45.095265848547044,98704.75492842242,5447768.368109643,55.179957587968495
27-28,0.0004807862892313975,98682.20729549814,47.44505225876609,98658.48476936876,5349063.613181221,54.20494494173363
28-29,0.0005126495052817183,98634.76224323937,50.56506206757657,98609.47971220558,5250405.128411853,53.23077796308802
29-30,0.0005516152762834394,98584.1971811718,54.380549165273145,98557.00690658916,5151795.648699647,52.25782423558213
30-31,0.0005971089661496638,98529.81663200652,58.83303694405336,98500.40011353449,5053238.641793057,51.28639039963014
31-32,0.0006487862489440049,98470.98359506247,63.88662007646722,98439.04028502424,4954738.241679523,50.31673352684946
32-33,0.0007065335736906425,98407.09697498601,69.52791790225848,98372.33301603489,4856299.201394499,49.34907492118091
33-34,0.0007704398308045252,98337.56905708375,75.7631800660679,98299.68746705071,4757926.868378464,48.38361283485202
34-35,0.0008407608034142679,98261.80587701767,82.61467485409821,98220.49853959063,4659627.180911413,47.4205327219744
35-36,0.0009178872410079316,98179.19120216358,90.11742693694413,98134.1324886951,4561406.682371823,46.46001486179796
36-37,0.001002320580002718,98089.07377522663,98.31669731831455,98039.91542656747,4463272.549883128,45.50223973070457
37-38,0.001094656707768026,97990.75707790832,107.26623953459952,97937.12395814102,4365232.634456561,44.54739165843926
38-39,0.0011955766176729998,97883.49083837372,117.02721290256892,97824.97723192243,4267295.51049842,43.59566126983175
39-40,0.0013058424050770149,97766.46362547115,127.66759399655975,97702.62982847287,4169470.533266498,42.64724710959294
40-41,0.0014262971887719104,97638.79603147459,139.26194029476616,97569.1650613272,4071767.9034380247,41.702356736613794
41-42,0.0015578678573114854,97499.53409117983,151.89139026349443,97423.58839604809,3974198.7383766975,40.761207480849066
42-43,0.0017015698642056617,97347.64270091633,165.64381517133947,97264.82079333065,3876775.1499806494,39.82402698636849
43-44,0.001858513564283694,97181.998885745,180.6140631333599,97091.69185417831,3779510.3291873187,38.891053616120985
44-45,0.00202991178235119,97001.38482261164,196.90425395580127,96902.93269563373,3682418.6373331402,37.962536762410686
45-46,0.0022170884431305096,96804.48056865584,214.62409511201884,96697.16852109983,3585515.7046375065,37.03873708711841
46-47,0.002421488183059107,96589.85647354383,233.89119605406154,96472.9108755168,3488818.536116407,36.11992670340081
47-48,0.002644686923764661,96355.96527748977,254.8313613960989,96228.54959679172,3392345.62524089,35.206389303158105
48-49,0.00288840342488364,96101.13391609368,277.5788443384463,95962.34449392445,3296117.075644098,34.29842023010834
49-50,0.0031545118581103363,95823.55507175523,302.27654076014073,95672.41680137515,3200154.7311501736,33.39632649564935
50-51,0.003445055460119267,95521.27853099509,329.07610216077796,95356.74047991469,3104482.3143487982,32.50042673310162
51-52,0.003762261332556813,95192.20242883431,358.1379423589241,95013.13345765485,3009125.573868884,31.611051084972072
52-53,0.00410855646461458,94834.06448647538,389.6311087115844,94639.24893211959,2914112.4404112287,30.72854101731367
53-54,0.004486585058897945,94444.4333777638,423.73298368875743,94232.56688591941,2819473.191479109,29.853249054940406
54-55,0.004899227244969521,94020.70039407504,460.62877696176906,93790.38600559416,2725240.62459319,28.985538431119025
55-56,0.005349619267316607,93560.07161711328,500.5107617744308,93309.81623622606,2631450.2385875955,28.125782645363763
56-57,0.005841175235577964,93059.56085533884,543.5772023019657,92787.77225418786,2538140.4223513696,27.27436492309383
57-58,0.006377610524530365,92515.98365303688,590.0309110328872,92220.96819752043,2445352.6500971816,26.43167757117515
58-59,0.006962966909323492,91925.952742004,640.0773670506089,91605.9140584787,2353131.681899661,25.598121223762284
59-60,0.007601639517412215,91285.8753749534,693.9223176318123,90938.91421613749,2261525.7678411826,24.774103973391814
60-61,0.008298405672124098,90591.95305732157,751.7687770996773,90216.06866877174,2170586.853625045,23.960040382964454
61-62,0.009058455693281613,89840.1842802219,813.8133287786453,89433.27761583259,2080370.7849562734,23.156350375098928
62-63,0.009887425707140319,89026.37095144326,880.2416287587101,88586.25013706391,1990937.5073404408,22.363457996354107
63-64,0.010791432500364503,88146.12932268454,951.2230047541506,87670.51782030748,1902351.2572033769,21.581790055003626
64-65,0.01177711042998888,87194.90631793039,1026.9040406388012,86681.454297611,1814680.7393830693,20.811774632412284
65-66,0.012851650372326976,86168.00227729158,1107.401038549626,85614.30175801677,1727999.2850854583,20.0538394696061
66-67,0.014022840657474138,85060.60123874196,1192.7912573998258,84464.20561004205,1642384.9833274416,19.308410232343807
67-68,0.015299109891165728,83867.80998134213,1283.1028412359592,83226.25856072415,1557920.7777173996,18.575908659877808
68-69,0.016689571510898407,82584.70714010617,1378.3033755214042,81895.55545234546,1474694.5191566756,17.856750604622654
69-70,0.018204069856878315,81206.40376458477,1478.2870469563672,80467.26024110659,1392798.9637043301,17.151343972108624
70-71,0.019853227458870224,79728.1167176284,1582.8604360624304,78936.68649959718,1312331.7034632235,16.460086572859666
71-72,0.02164849314563474,78145.25628156598,1691.7270449753512,77299.3927590783,1233395.0169636263,15.7833639001652
72-73,0.023602190472530447,76453.52923659062,1804.4707593391872,75551.29385692102,1156095.624204548,15.121546850073225
73-74,0.025727565833200693,74649.05847725143,1920.5385663599343,73688.78919407146,1080544.330347627,14.474989402269719
74-75,0.028038835471296264,72728.5199108915,2039.223003852381,71708.9084089653,1006855.5411535555,13.84402628277292
75-76,0.030551230436331202,70689.29690703911,2159.6449991891864,69609.47440744452,935146.6327445902,13.228970631499802
76-77,0.03328103833278326,68529.65190784993,2280.7379720774466,67389.2829218112,865537.1583371457,12.630111699691856
77-78,0.03624564049270276,66248.91393577248,2401.2343175480155,65048.29677699847,798147.8754153345,12.047712603849313
78-79,0.0394635429594241,63847.679618224465,2519.655647473348,62587.85179448779,733099.578638336,11.482008164147638
79-80,0.042954399404579555,61328.02397075112,2634.3084363332728,60010.869752584484,670511.7268438482,10.93320285622821
80-81,0.04673902381502275,58693.715534417846,2743.2869681553266,57322.07205034018,610500.8570912638,10.401468905700263
81-82,0.0508393904848501,55950.42856626252,2844.485685674932,54528.18572342505,553178.7850409236,9.886944554603184
82-83,0.0552786185371768,53105.94288058759,2935.6231585531013,51638.131301311034,498650.59931749856,9.389732528405515
83-84,0.060080937890260436,50170.31972203449,3014.2798631540622,48663.179790457456,447012.46801618754,8.909898730819977
84-85,0.0652716332859884,47156.039858880424,3077.951740888295,45617.063988436275,398349.28822573007,8.447471191767452
85-86,0.07087696273266714,44078.08811799213,3124.121008866146,42516.027613559054,352732.2242372938,8.002439291220368
86-87,0.07692404649997404,40953.96710912598,3150.3448702608143,39378.79467399557,310216.1966237348,7.574753278409694
87-88,0.0834407226682219,37803.622238865166,3154.361559087374,36226.441459321475,270837.4019497392,7.164324102024715
88-89,0.09045536520808173,34649.26067977779,3134.2115289793264,33082.15491528813,234610.96049041772,6.77102356262807
89-90,0.09799666068676088,31515.049150798466,3088.3695781573892,29970.86436171977,201528.8055751296,6.394684793630527
90-91,0.10609334000250976,28426.67957264108,3015.881381042609,26918.738882119775,171557.94121340982,6.035103071922749
91-92,0.11477386208412046,25410.79819159847,2916.4954470899406,23952.5504680535,144639.20233129006,5.692036953766839
92-93,0.12406604729915151,22494.30274450853,2790.779228261629,21098.913130377718,120686.65186323656,5.365209725947137
93-94,0.13399665943464725,19703.523516246903,2640.2063302690995,18383.420351112352,99587.73873285885,5.054311156618356
94-95,0.14459093658093697,17063.317185977805,2467.2010130981284,15829.71667942874,81204.3183817465,4.758999524926966
95-96,0.15587207308427103,14596.116172879676,2275.1268868456114,13458.552729456871,65374.60170231776,4.47890390347722
96-97,0.16786065694079128,12320.989286034064,2068.209355714129,11286.884608176999,51916.048972860895,4.213626663218362
97-98,0.1805740695605361,10252.779930319935,1851.3861963264603,9327.086832156705,40629.16436468389,3.9627461664844366
98-99,0.1940258576816595,8401.393733993475,1630.087624959404,7586.349921513773,31302.07753252719,3.7258196108430957
99-100,0.20822509026927113,6771.306109034071,1409.9558257944864,6066.3281961368275,23715.72761101342,3.502385984200687
100-101,0.22317571635527755,5361.350283239584,1196.5231900935644,4763.088688192802,17649.399414876592,3.2919690903337098
101-102,0.23887594278653446,4164.82709314602,994.8769984181573,3667.3885939369416,12886.31072668379,3.0940806037039463
102-103,0.25531765352928104,3169.950094727863,809.3442199908401,2765.2779847324427,9218.92213274685,2.9082231130639564
103-104,0.2724858942774145,2360.605874737023,643.231802814236,2038.989973329905,6453.644148014407,2.733893114933198
104-105,0.2903584473635902,1717.374071922787,498.6540690659871,1468.0470373897933,4414.654174684501,2.57058392045119
105-106,0.3089055221138521,1218.7200028568,376.4693387930751,1030.4853334602624,2946.607137294708,2.417788442289919
106-107,0.3280895845899442,842.2506640637249,276.33367049327217,704.0838288170888,1916.1218038344457,2.27500183210241
107-108,0.34786534796377644,565.9169935704527,196.86291188699977,467.48553762695286,1212.037975017357,2.1417239432419812
108-109,0.368179940495789,369.054081683453,135.87830983394178,301.1149267664821,744.5524373904041,2.0174615980240684
109-110,0.3889732622946555,233.1757718495112,90.69914066437866,187.82620151732186,443.437510623922,1.9017306433968242
