x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006533831620908649,100000.0,653.3831620908649,99673.30841895456,7706467.3586,77.064673586
1-2,0.0007679228989557567,99346.61683790914,76.29054200361398,99308.47156690733,7606794.050181045,76.56822438747012
2-3,0.00041023144147827234,99270.32629590553,40.72380905238777,99249.96439137934,7507485.578614138,75.6266838111903
3-4,0.0002671854163996189,99229.60248685314,26.512702659618515,99216.34613552333,7408235.614222758,74.65751578722963
4-5,0.00019805034893992924,99203.08978419352,19.647206547678657,99193.26618091969,7309019.268087235,73.67733488933945
5-6,0.00016448637356046412,99183.44257764584,16.314324786839496,99175.28541525242,7209826.001906316,72.6918305569208
6-7,0.00014779910026708904,99167.128252859,14.656812331843584,99159.79984669307,7110650.716491063,71.70370708285648
7-8,0.00013698382267448555,99152.47144052715,13.582284565546164,99145.68029824438,7011490.91664437,70.71423248234359
8-9,0.00012544434957999722,99138.8891559616,12.436413468253043,99132.67094922748,6912345.236346126,69.7238520140354
9-10,0.00011272049550353304,99126.45274249335,11.173582870641402,99120.86595105803,6813212.565396898,68.73253684458965
10-11,0.00010460317456175749,99115.2791596227,10.367772847671338,99110.09527319887,6714091.69944584,67.74022891700645
11-12,0.00011307531396376632,99104.91138677503,11.206318970410825,99099.30822728982,6614981.604172641,66.74726319421715
12-13,0.00015391679837168046,99093.70506780462,15.252185822824055,99086.07897489321,6515882.295945352,65.75475497143714
13-14,0.00023724374091636512,99078.4528819818,23.505742805927177,99066.70001057883,6416796.216970459,64.76480032054884
14-15,0.0003536012798597693,99054.94713917587,35.02595608485438,99037.43416113344,6317729.51695988,63.78005036016258
15-16,0.0004843063808270077,99019.92118309102,47.955979657958366,98995.94319326204,6218692.082798746,62.80243418190754
16-17,0.000610324756887932,98971.96520343306,60.40504060150615,98941.76268313231,6119696.139605484,61.8326222686059
17-18,0.0007244208849606907,98911.56016283156,71.65359994600104,98875.73336285856,6020754.376922351,60.87007794650879
18-19,0.0008174049590078062,98839.90656288556,80.79222977237087,98799.51044799938,5921878.643559493,59.913842996115925
19-20,0.0008893480899997061,98759.11433311319,87.83122970221682,98715.19871826208,5823079.133111494,58.96244789590077
20-21,0.0009576345578744028,98671.28310341097,94.49103056963499,98624.03758812616,5724363.934393232,58.01448764372403
21-22,0.0010191738861986721,98576.79207284133,100.46689226587615,98526.55862670839,5625739.896805106,57.06961829969146
22-23,0.00104045719252107,98476.32518057546,102.4604008271735,98425.09498016187,5527213.338178397,56.1273313970965
23-24,0.0010268884146232993,98373.86477974828,101.01898204404254,98323.35528872626,5428788.2431982355,55.18526953630302
24-25,0.0010012803739090817,98272.84579770424,98.39867178543483,98223.64646181153,5330464.887909509,54.241482930924086
25-26,0.0009798093254883742,98174.44712591881,96.19223881864058,98126.35100650949,5232241.241447697,53.295347156239245
26-27,0.000955007973898322,98078.25488710018,93.66551548321274,98031.42212935857,5134114.890441188,52.34712726435813
27-28,0.0009367538260644695,97984.58937161697,91.78743898921815,97938.69565212236,5036083.4683118295,51.396689016187516
28-29,0.000928401854311895,97892.80193262774,90.88385883803866,97847.36000320873,4938144.772659707,50.44441138847227
29-30,0.00093194569195331,97801.9180737897,91.14607621363888,97756.34503568288,4840297.412656498,49.49082296120803
30-31,0.0009485310128422154,97710.77199757606,92.6816975284556,97664.43114881183,4742541.067620816,48.53652233694833
31-32,0.0009785129020601537,97618.0903000476,95.52056083306972,97570.33001963106,4644876.636472004,47.58212972815899
32-33,0.0010218589690761878,97522.56973921452,99.65431257537439,97472.74258292683,4547306.306452372,46.628245324260234
33-34,0.001078395296475361,97422.91542663914,105.06041376500454,97370.38521975664,4449833.563869446,45.675430101660574
34-35,0.0011480538347410905,97317.85501287413,111.7261366363076,97261.99194455598,4352463.178649689,44.72419966586711
35-36,0.0012308193594697792,97206.12887623782,119.64318527998785,97146.30728359782,4255201.186705133,43.77502978359344
36-37,0.0013267773113755088,97086.48569095784,128.81214645594585,97022.07961772986,4158054.879421535,42.82835916687008
37-38,0.0014360688704185506,96957.67354450189,139.2378967254634,96888.05459613915,4061032.799803805,41.884594084653465
38-39,0.0015590634710797512,96818.43564777642,150.94608634553384,96742.96260460366,3964144.745207666,40.94411068186587
39-40,0.0016962233754267606,96667.48956143089,163.96965543792146,96585.50473371193,3867401.782603062,40.00726407760264
40-41,0.0018481233561065508,96503.51990599297,178.35040908475906,96414.3447014506,3770816.2778693503,39.074391084829
41-42,0.0020155685936425085,96325.16949690822,194.14998641525955,96228.09450370059,3674401.9331678995,38.14581331503225
42-43,0.0021996716670945687,96131.01951049296,211.45667994614655,96025.29117051988,3578173.8386641988,37.221844279656594
43-44,0.002401653345812485,95919.56283054681,230.36553900085363,95804.38006104638,3482148.547493679,36.302798352462304
44-45,0.002622925701588195,95689.19729154596,250.9856549403394,95563.7044640758,3386344.1674326328,35.388991268419936
45-46,0.002865127668554451,95438.21163660563,273.4426607973941,95301.49030620694,3290780.462968557,34.480743158711576
46-47,0.003130033820962852,95164.76897580824,297.8689454583961,95015.83450307904,3195478.97266235,33.57838207409162
47-48,0.0034195382857573264,94866.90003034985,324.40099670489417,94704.6995319974,3100463.1381592713,32.68224361887413
48-49,0.0037357716129972404,94542.49903364496,353.18918411170984,94365.9044415891,3005758.438627274,31.792669639054186
49-50,0.004081133172580571,94189.30984953325,384.39911692940007,93997.11029106856,2911392.5341856848,30.910010263761496
50-51,0.004458277349159319,93804.91073260385,418.2083087590796,93595.8065782243,2817395.4238946163,30.034626139411397
51-52,0.004870090592428539,93386.70242384478,454.8017009322899,93159.30157337863,2723799.617316392,29.166889360266282
52-53,0.0053196428408805755,92931.90072291248,494.36452037006575,92684.71846272745,2630640.3157430133,28.307182950950075
53-54,0.0058102511529035126,92437.53620254241,537.0853012923823,92168.99355189622,2537955.597280286,27.455898345443803
54-55,0.0063454832517143385,91900.45090125003,583.152772018878,91608.87451524059,2445786.6037283894,26.613434207808893
55-56,0.00692896915049304,91317.29812923116,632.7347416438186,91000.93075840925,2354177.729213149,25.780194743404962
56-57,0.0075650797435853345,90684.56338758735,686.0359535393173,90341.5454108177,2263176.7984547396,24.956582619049332
57-58,0.00825906794586872,89998.52743404802,743.3039531059327,89626.87545749506,2172835.253043922,24.143008946854174
58-59,0.009016647188397611,89255.22348094209,804.782859849237,88852.83205101747,2083208.3775864271,23.339904336593104
59-60,0.009843314546696099,88450.44062109286,870.6455088272828,88015.11786667921,1994355.5455354096,22.54771747354997
60-61,0.010744686390660667,87579.79511226558,941.0174326396095,87109.28639594578,1906340.4276687303,21.766897550114805
61-62,0.011725853654841795,86638.77767962597,1015.9136279056679,86130.82086567314,1819231.1412727844,20.997885588829078
62-63,0.012792320382012307,85622.8640517203,1095.3151089750904,85075.20649723275,1733100.3204071112,20.24109260536106
63-64,0.013949695541570802,84527.54894274521,1179.1335726265206,83937.98215643196,1648025.1139098785,19.49689934847359
64-65,0.015205572158696426,83348.41537011869,1267.360344223342,82714.73519800702,1564087.1317534465,18.765649290486557
65-66,0.016569248856926514,82081.05502589534,1360.0214271631387,81401.04431231378,1481372.3965554396,18.047677336604515
66-67,0.018051206963870813,80721.0335987322,1457.1120838282845,79992.47755681806,1399971.352243126,17.343327876628102
67-68,0.019662029935817026,79263.92151490392,1558.489597656292,78484.67671607577,1319978.8746863077,16.652959498579857
68-69,0.021414473664549544,77705.43191724762,1664.0209253843468,76873.42145455546,1241494.197970232,15.976929377245607
69-70,0.02332038892399298,76041.41099186327,1773.3152786594464,75154.75335253355,1164620.7765156766,15.315612392309443
70-71,0.025393465377730826,74268.09571320383,1885.9243171632406,73325.13355462221,1089466.023163143,14.669367952697502
71-72,0.027642473409947695,72382.17139604059,2000.8222481693285,71381.76027195592,1016140.8896085209,14.038552173969531
72-73,0.030073170281735534,70381.34914787127,2116.5902975822146,69323.05399908016,944759.129336565,13.423430223703518
73-74,0.0326911855702722,68264.75885028906,2231.6558994846814,67148.93090054672,875436.0753374848,12.824129024719728
74-75,0.03550970799882599,66033.10295080437,2344.816204039478,64860.69484878463,808287.1444369381,12.24063550427312
75-76,0.038542176550094405,63688.2867467649,2454.68519196685,62460.94415078147,743426.4495881535,11.67289132056793
76-77,0.041818002972236486,61233.60155479805,2560.6669318192894,59953.268088888406,680965.505437372,11.1207815341055
77-78,0.04536602977019309,58672.93462297876,2661.7580988106474,57342.05557357344,621012.2373484836,10.584305035004494
78-79,0.04921272696791538,56011.17652416811,2756.462737435597,54632.94515545032,563670.1817749102,10.063530472917199
79-80,0.05336324827589877,53254.713786732515,2841.8445136633363,51833.791529900845,509037.2366194599,9.558538586048652
80-81,0.05836403951150462,50412.86927306918,2942.2986941417266,48941.71992599831,457203.445089559,9.06918117699362
81-82,0.0634379932100513,47470.57057892745,3011.4377340632605,45964.85171189582,408261.7251635607,8.600312155185916
82-83,0.06891879642078835,44459.13284486419,3064.06992557998,42927.097882074195,362296.87345166487,8.148986502185378
83-84,0.07483299714857604,41395.06291928421,3097.716625403921,39846.20460658225,319369.7755695907,7.715165844591815
84-85,0.08120781388018382,38297.34629388029,3110.0437699383783,36742.3244089111,279523.57096300845,7.298771273028774
85-86,0.08807095296760784,35187.302523941915,3098.979265643077,33637.812891120375,242781.24655409734,6.899683384053259
86-87,0.09545038636584545,32088.32325829884,3062.842852836769,30556.901831880456,209143.43366297695,6.517742668554277
87-88,0.10337408674569205,29025.48040546207,3000.482529269621,27525.23914082726,178586.5318310965,6.1527502503452025
88-89,0.11186971763099678,26024.997876192447,2911.40916375694,24569.29329431398,151061.29269026924,5.804468972827831
89-90,0.12096427709491539,23113.588712435507,2795.9185496689574,21715.629437601026,126491.99939595527,5.472624825581517
90-91,0.1306836947176846,20317.67016276655,2655.188204925593,18990.076060303752,104776.36995835425,5.156908696665612
91-92,0.14105238297597456,17662.481957840955,2491.3351694236235,16416.814373129142,85786.2938980505,4.856978430484236
92-93,0.15209274600289924,15171.146788417333,2307.421375063458,14017.436100885603,69369.47952492136,4.572461165419786
93-94,0.16382465071063887,12863.725413353875,2107.3953226802673,11810.027752013742,55352.04342403576,4.3029559202635514
94-95,0.1762648675625027,10756.330090673608,1895.963098891146,9808.348541228035,43542.01567202201,4.048036393916136
95-96,0.18942649074814114,8860.36699178246,1678.3882259940153,8021.172878785454,33733.667130793976,3.807253939038895
96-97,0.20331835005426135,7181.978765788445,1460.228072784847,6451.864729396022,25712.494252008524,3.58014066742869
97-98,0.2179444292031266,5721.750693003598,1247.0236888292632,5098.238848588966,19260.6295226125,3.366212642952773
98-99,0.2333033076949518,4474.727004174335,1043.9686111057947,3952.7426986214377,14162.390674023534,3.1649731169771647
99-100,0.24938764506056732,3430.75839306854,855.5887564191394,3002.9640148589706,10209.647975402097,2.9759157613749596
100-101,0.26618372772062887,2575.1696366494007,685.4682533963148,2232.435509951243,7206.683960543126,2.7985278553997985
101-102,0.28367109917521255,1889.7013832530859,536.0536685003225,1621.6745490029246,4974.248450591883,2.63229338490974
102-103,0.3018222938526183,1353.6477147527635,408.56105833503375,1149.3671855852465,3352.5739015889585,2.4766960155517923
103-104,0.32060269350795856,945.0866564177297,302.9973276459547,793.5879925947523,2203.2067160037122,2.331221905465028
104-105,0.33997052251695975,642.089328771775,218.2914446051043,532.9436064692228,1409.6187234089598,2.195362327708138
105-106,0.3598769947657146,423.79788416667066,152.51510894196986,347.5403296956857,876.675116939737,2.068616077835253
106-107,0.38026662018071844,271.2827752247008,103.15978404794251,219.70288320072953,529.1347872440513,1.9504916477125178
107-108,0.40107767344591017,168.1229911767583,67.4303781539415,134.40780209978755,309.43190404332177,1.8405091527190145
108-109,0.42224282136268454,100.69261302281679,42.51673301313515,79.43424651624922,175.02410194353422,1.7382020059790686
109-110,0.44368989893711647,58.175880009681634,25.812050322073457,45.269854848644904,95.589855427285,1.6431183406486836
