x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005589082575143684,100000.0,558.9082575143684,99720.54587124282,8077902.7634,80.779027634
1-2,0.0004360552850322721,99441.09174248563,43.361813603689896,99419.41083568378,7978182.217528757,80.23023558700658
2-3,0.0002627413278322018,99397.72992888193,26.115891545021025,99384.67198310942,7878762.806693073,79.26501754446754
3-4,0.000201959948493249,99371.61403733691,20.069086052671583,99361.57949431057,7779378.134709964,78.28571780857878
4-5,0.0001602284838208047,99351.54495128425,15.918947412798799,99343.58547757784,7680016.555215653,77.30143058149172
5-6,0.00013522153858257986,99335.62600387145,13.432316184307227,99328.9098457793,7580672.9697380755,76.31373833032099
6-7,0.00012028709894208161,99322.19368768715,11.947178539255418,99316.22009841751,7481344.059892296,75.32399136709512
7-8,0.0001095215412334553,99310.2465091479,10.87661125795625,99304.80820351891,7382027.839793879,74.33299281070548
8-9,9.863563323587142e-05,99299.36989788993,9.794456229801403,99294.47266977503,7282723.031590359,73.34107999959338
9-10,8.7274490077611e-05,99289.57544166013,8.665447066693375,99285.24271812678,7183428.558920585,72.34826543438463
10-11,7.927540260989227e-05,99280.90999459343,7.8705341112978715,99276.97472753777,7084143.316202458,71.35453650241764
11-12,8.227204264567794e-05,99273.03946048213,8.167395736058856,99268.9557626141,6984866.3414749205,70.36015396965259
12-13,0.00010566722012216431,99264.87206474607,10.489043086864003,99259.62754320265,6885597.385712306,69.36590198011977
13-14,0.00015440477316173523,99254.3830216592,15.325350495767275,99246.72034641133,6786337.758169103,68.37317961755095
14-15,0.00022009331106879232,99239.05767116343,21.841852790193194,99228.13674476834,6687091.037822692,67.38366117885666
15-16,0.0002963894013393478,99217.21581837324,29.406931198964514,99202.51235277376,6587862.901077923,66.39838506593097
16-17,0.00036577264587842387,99187.80888717428,36.28018729554518,99169.6687935265,6488660.388725149,65.41792243950034
17-18,0.0004127452347470964,99151.52869987873,40.92432098876491,99131.06653938435,6389490.719931623,64.44167632827872
18-19,0.0004268697619770999,99110.60437888997,42.30732010062327,99089.45071883965,6290359.653392239,63.46807884799915
19-20,0.0004161853415715731,99068.29705878935,41.23077305032632,99047.68167226418,6191270.202673399,62.494969495633505
20-21,0.000399860141811235,99027.06628573903,39.59697676816617,99007.26779735494,6092222.521001135,61.52078163582315
21-22,0.00038944573233029177,98987.46930897086,38.55024747655444,98968.19418523258,5993215.25320378,60.54519117462313
22-23,0.00037936688779578075,98948.9190614943,37.5379434751157,98930.15008975675,5894247.059018548,59.568584628553836
23-24,0.00037304810006133726,98911.3811180192,36.89870280051989,98892.93176661895,5795316.908928791,58.59100179800268
24-25,0.00037096601291946544,98874.48241521868,36.67907252104947,98856.14287895816,5696423.977162172,57.6126806230986
25-26,0.000369697718814593,98837.80334269763,36.54011042844067,98819.53328748341,5597567.834283214,56.633875349039464
26-27,0.0003696678216636898,98801.2632322692,36.52364775669376,98783.00140839085,5498748.300995731,55.65463558971785
27-28,0.0003792253570204526,98764.7395845125,37.45409362996878,98746.01253769752,5399965.29958734,54.67503202361625
28-29,0.0003999505236779848,98727.28549088252,39.486029533384375,98707.54247611584,5301219.287049643,53.69558436344541
29-30,0.00043006982316391745,98687.79946134915,42.442644462778574,98666.57813911776,5202511.744573527,52.71686847786163
30-31,0.0004667792282469622,98645.35681688637,46.04560352513243,98622.33401512381,5103845.166434409,51.73933503944424
31-32,0.0005085356719203123,98599.31121336124,50.141266978766645,98574.24057987187,5005222.832419286,50.763263666095725
32-33,0.0005555371482383705,98549.16994638248,54.74772483327185,98521.79608396585,4906648.591839414,49.788837333779355
33-34,0.0006071497025591133,98494.4222215492,59.80085915554532,98464.52179197143,4808126.795755448,48.816234333963095
34-35,0.000663930927180248,98434.62136239366,65.35378942777068,98401.94446767977,4709662.2739634765,47.8455873429384
35-36,0.0007263597016520804,98369.2675729659,71.45147184603317,98333.54183704288,4611260.329495797,46.87704242664378
36-37,0.0007965372666232079,98297.81610111987,78.29787375221677,98258.66716424376,4512926.787658754,45.91075332758425
37-38,0.0008760806852613009,98219.51822736765,86.04822283466709,98176.4941159503,4414668.12049451,44.9469535197172
38-39,0.0009653413266411154,98133.47000453298,94.73229412207198,98086.10385747194,4316491.6263785595,43.98592678093593
39-40,0.0010635834804723022,98038.7377104109,104.27238187514997,97986.60151947333,4218405.522521088,43.02794610617603
40-41,0.0011706324981573123,97934.46532853575,114.6452678032445,97877.14269463412,4120418.9210016145,42.073226286364616
41-42,0.0012836903716446349,97819.8200607325,125.570361167973,97757.03488014851,4022541.7783069806,41.121950294015484
42-43,0.0014076701361944396,97694.24969956452,137.52127777999956,97625.48906067452,3924784.743426832,40.17416332585158
43-44,0.001543621718326244,97556.72842178452,150.59068476072173,97481.43307940416,3827159.2543661576,39.230090187316584
44-45,0.0016926957941612824,97406.13773702379,164.87895967295475,97323.69825718731,3729677.8212867533,38.28996722317544
45-46,0.0018561531560901236,97241.25877735084,180.4946693817562,97151.01144265996,3632354.123029566,37.35404260187964
46-47,0.0020353750060058216,97060.76410796908,197.5550533291872,96961.98658130449,3535203.111586906,36.422576558890405
47-48,0.0022318742201994364,96863.2090546399,216.1864991748394,96755.11580505248,3438241.1250056014,35.495841595193404
48-49,0.002447307651004053,96647.02255546505,236.5249977467509,96528.76005659168,3341486.0092005488,34.57412262527688
49-50,0.0026834895430143534,96410.4975577183,258.71656203294793,96281.13927670183,3244957.249143957,33.65771706759724
50-51,0.0029424061507771263,96151.78099568536,282.9175918098798,96010.32219978042,3148676.109867255,32.74693486965724
51-52,0.0032262316520391887,95868.86340387548,309.2951615586045,95714.21582309618,3052665.7876674747,31.84209845909231
52-53,0.0035373454567964955,95559.56824231688,338.02720457539425,95390.55464002918,2956951.5718443785,30.94354261151783
53-54,0.0038783510178496614,95221.54103774148,369.302560604938,95036.88975743901,2861561.0172043494,30.05161422529548
54-55,0.004252096253400012,94852.23847713655,403.3208478552368,94650.57805320893,2766524.1274469104,29.166671992815026
55-56,0.004661695696319859,94448.9176292813,440.2921128344895,94228.77157286406,2671873.5493937014,28.289085957353098
56-57,0.005110554487896988,94008.62551644682,480.4362030341046,93768.40741492977,2577644.777820837,27.419236944059755
57-58,0.0056023943357961835,93528.18931341272,523.9817980467366,93266.19841438935,2483876.3704059073,26.557515853134333
58-59,0.006141281556327745,93004.20751536598,571.1650242749954,92718.62500322849,2390610.171991518,25.704322802777988
59-60,0.006731657319405254,92433.042491091,622.2275670400495,92121.92870757097,2297891.5469882893,24.86006610904069
60-61,0.007378370210256707,91810.81492405094,677.4141818150093,91472.10783314343,2205769.6182807186,24.025161089196377
61-62,0.008086711214358706,91133.40074223593,736.9694937848853,90764.91599534349,2114297.5104475752,23.2000286747524
62-63,0.008862451220402242,90396.43124845104,801.1339624378423,89995.86426723213,2023532.5944522317,22.38509381958489
63-64,0.009711881119437755,89595.2972860132,870.1388761024443,89160.22784796197,1933536.7301849995,21.580783687927397
64-65,0.01064185455559411,88725.15840991076,944.2002312203178,88253.0582943006,1844376.5023370376,20.78752560593927
65-66,0.011659833353651158,87780.95817869045,1023.5113439873523,87269.20250669678,1756123.444042737,20.00574475922103
66-67,0.01301362687929284,86757.44683470309,1129.0290421069117,86192.93231364964,1668854.24153604,19.23586161676321
67-68,0.014284729821576256,85628.41779259618,1223.1788132162897,85016.82838598805,1582661.3092223904,18.482897968006533
68-69,0.015678017964137186,84405.2389793799,1323.3068529860102,83743.58555288689,1497644.4808364024,17.743501457323937
69-70,0.01720483365767067,83081.93212639389,1429.4108221924919,82367.22671529764,1413900.8952835156,17.018151348869996
70-71,0.01887749023028661,81652.5213042014,1541.394673198331,80881.82396760222,1331533.668568218,16.30731846733194
71-72,0.02070933834623234,80111.12663100306,1659.0484266993064,79281.60241765341,1250651.8446006156,15.611462442179816
72-73,0.02271483334169632,78452.07820430376,1782.0258817204863,77561.06526344352,1171370.2421829621,14.931028839446379
73-74,0.024909602657099666,76670.05232258327,1909.8205390545907,75715.14205305598,1093809.1769195185,14.266446204019813
