x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007219746127876653,100000.0,721.9746127876653,99639.01269360617,7655321.169,76.55321169
1-2,0.0017260057744033141,99278.02538721233,171.3544450896873,99192.34816466749,7555682.156306393,76.10628965309392
2-3,0.00045831674932678433,99106.67094212264,45.42224726279292,99083.95981849125,7456489.808141726,75.23701217344134
3-4,0.00023687240929911603,99061.24869485985,23.464876646530367,99049.51625653659,7357405.848323235,74.2712811039399
4-5,0.00020951392571876847,99037.78381821333,20.749794882240597,99027.40892077221,7258356.332066699,73.28875962521151
5-6,0.00021768107725992828,99017.03402333109,21.55413463328168,99006.25695601445,7159328.923145927,72.30401307979994
6-7,0.0002187686743504702,98995.47988869781,21.65710990193905,98984.65133374684,7060322.666189912,71.31964685789639
7-8,0.00020938210030363642,98973.82277879587,20.723346888504175,98963.46110535163,6961338.014856165,70.3351433683085
8-9,0.00018882714326677163,98953.09943190737,18.68503108311987,98943.7569163658,6862374.553750814,69.34976865957617
9-10,0.00016045607946460198,98934.41440082424,15.874628258882517,98926.47708669481,6763430.796834448,68.36277182005638
10-11,0.00013263985163490137,98918.53977256536,13.12054043937416,98911.97950234567,6664504.319747753,67.37366256184997
11-12,0.00011514887012173693,98905.41923212599,11.388847273496017,98899.72480848925,6565592.340245408,66.38253385121695
12-13,0.00011388962841202072,98894.03038485249,11.263004372697937,98888.39888266614,6466692.615436919,65.39012102420509
13-14,0.0001314141082955732,98882.7673804798,12.994590701104345,98876.27008512925,6367804.216554252,64.39751217775186
14-15,0.00016864412365049958,98869.7727897787,16.673806187656236,98861.43588668486,6268927.9464691235,63.40591031597085
15-16,0.00022235240140653417,98853.09898359104,21.980223945479292,98842.1088716183,6170066.510582439,62.41652081748725
16-17,0.00028642247559316613,98831.11875964557,28.307453700779888,98816.96503279518,6071224.40171082,61.430291166447915
17-18,0.00035876214366209176,98802.8113059448,35.44670838396191,98785.08795175281,5972407.436678025,60.447747971303684
18-19,0.0004415387761977326,98767.36459756084,43.60962129268227,98745.5597869145,5873622.348726273,59.469262672533915
19-20,0.0005345325793808555,98723.75497626816,52.77106339362818,98697.36944457135,5774876.788939358,58.49531139012651
