x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.017206759006790202,100000.0,1720.6759006790203,99139.66204966049,6747106.588,67.47106588
1-2,0.0016672208318553579,98279.32409932098,163.85333647905225,98197.39743108145,6647966.92595034,67.6435963197296
2-3,0.0008367836313414318,98115.47076284193,82.10141991570495,98074.42005288407,6549769.528519259,66.75572646795854
3-4,0.0006069866461804792,98033.36934292622,59.504946071235,98003.6168698906,6451695.108466375,65.81121460691597
4-5,0.00048486929209593037,97973.86439685499,47.504518274005754,97950.11213771798,6353691.491596485,64.85088171943579
5-6,0.0004132263749487344,97926.35987858099,40.46575470455121,97906.12700122871,6255741.379458766,63.8820986220183
6-7,0.00036427089917751585,97885.89412387644,35.65698266929959,97868.0656325418,6157835.252457538,62.90830060421864
7-8,0.0003130341440957114,97850.23714120714,30.630465233060168,97834.92190859061,6059967.186824996,61.93104241617617
8-9,0.00024176148325237638,97819.60667597408,23.64901320114755,97807.7821693735,5962132.264916405,60.95027845149567
9-10,0.00015247171189733256,97795.95766277293,14.911117081482045,97788.50210423219,5864324.482747031,59.96489653456657
10-11,7.053686494509862e-05,97781.04654569144,6.897168474383839,97777.59796145424,5766535.980642799,58.9739646317673
11-12,4.599011640312371e-05,97774.14937721705,4.496644511074618,97771.90105496152,5668758.382681345,57.97808949286811
12-13,0.000143845127655727,97769.65273270597,14.063688178192189,97762.62088861688,5570986.481626383,56.980733038471485
13-14,0.0004040947903557886,97755.58904452778,39.50252426105508,97735.83778239726,5473223.860737766,55.98885868556024
14-15,0.0007844001962211115,97716.08652026672,76.64851744045632,97677.7622615465,5375488.022955369,55.011290508860796
15-16,0.0012046792859844839,97639.43800282627,117.62420845717102,97580.62589859769,5277810.260693823,54.05408274206834
16-17,0.0016097530201921973,97521.8137943691,156.98603429010674,97443.32077722404,5180229.634795225,53.11867605044823
17-18,0.0020069739662205892,97364.82776007899,195.40867454003026,97267.12342280897,5082786.314018001,52.20351569401141
18-19,0.00238009027152354,97169.41908553896,231.27198905508507,97053.78309101141,4985519.190595192,51.307491981673806
19-20,0.0027294838034331668,96938.14709648388,264.5911024346746,96805.85154526655,4888465.40750418,50.42870690151136
20-21,0.0031050629957559118,96673.55599404921,300.17748138525934,96523.46725335658,4791659.555958914,49.5653594893506
21-22,0.0034672456852530473,96373.37851266396,334.15018082129285,96206.3034222533,4695136.088705557,48.71818505448154
22-23,0.0037054218925906715,96039.22833184266,355.8658592083241,95861.2954022385,4598929.785283304,47.88595103443254
23-24,0.0037629094334150634,95683.36247263434,360.0478272691486,95503.33855899976,4503068.489881066,47.06218901085289
24-25,0.0036740594896785338,95323.31464536519,350.22352876041674,95148.20288098497,4407565.151322066,46.23806009809554
25-26,0.003534792887147358,94973.09111660477,335.7102069493725,94805.23601313008,4312416.948441081,45.40672413353841
26-27,0.0034078550273734195,94637.3809096554,322.51047431042247,94476.12567250019,4217611.71242795,44.56602319176869
27-28,0.0032442347790876892,94314.87043534499,305.9795828514955,94161.88064391924,4123135.5867554503,43.7167073201034
28-29,0.0030677751427298137,94008.8908524935,288.3981385528797,93864.69178321706,4028973.7061115312,42.857368803906766
29-30,0.0028997893574346134,93720.49271394062,271.7696873454132,93584.60787026791,3935109.014328314,41.987711549269086
30-31,0.0027316054699733122,93448.72302659521,255.2650429814685,93321.09050510447,3841524.4064580463,41.10836704921865
31-32,0.0026077653630267135,93193.45798361374,243.02667179035325,93071.94464771857,3748203.315952942,40.21959692290837
32-33,0.002588399184828538,92950.43131182338,240.59282063698464,92830.13490150489,3655131.371305223,39.323447128967615
33-34,0.0026796908535265417,92709.8384911864,248.4337062367551,92585.62163806803,3562301.236403718,38.42419849261601
34-35,0.0028378351781605683,92461.40478494964,262.390227120874,92330.20967138921,3469715.61476565,37.526096676074204
35-36,0.0030223827283784163,92199.01455782876,278.66070917309185,92059.68420324221,3377385.405094261,36.63146966691177
36-37,0.0032138237663892726,91920.35384865566,295.4158178137212,91772.6459397488,3285325.7208910184,35.741003851010156
37-38,0.00341693385095823,91624.93803084195,313.076352349534,91468.39985466718,3193553.0749512697,34.8546273927769
38-39,0.0036372605054183806,91311.86167849241,332.12502815940655,91145.7991644127,3102084.6750966026,33.972417362587485
39-40,0.0038876283640205027,90979.736650333,353.69540475295025,90802.88894795653,3010938.87593219,33.09460970967945
40-41,0.00417608337150156,90626.04124558005,378.4619038706814,90436.81029364471,2920135.9869842334,32.2218199851762
41-42,0.004522408285022385,90247.57934170937,408.1364005181615,90043.51114145029,2829699.1766905887,31.354848488249676
42-43,0.0049005909952870835,89839.4429411912,440.26636509920934,89619.3097586416,2739655.6655491386,30.49502062632461
43-44,0.005312361677589732,89399.176576092,474.9207596509088,89161.71619626654,2650036.355790497,29.642737856035193
44-45,0.005759901837735209,88924.25581644109,512.1949844963549,88668.1583241929,2560874.6395942303,28.798381454891565
45-46,0.006245781544831742,88412.06083194473,552.2024178847017,88135.95962300239,2472206.4812700376,27.962321633575005
46-47,0.006772920327930461,87859.85841406003,595.0678210616794,87562.32450352919,2384070.521647035,27.13492332768792
47-48,0.007344566275328632,87264.79059299835,640.9220380129509,86944.32957399188,2296508.197143506,26.31654968215514
48-49,0.007964288716949345,86623.8685549854,689.8974989509734,86278.91980550991,2209563.867569514,25.507563959314176
49-50,0.008635980867100145,85933.97105603442,742.124129873851,85562.9089910975,2123284.947764004,24.708330380537017
50-51,0.009363869728741937,85191.84692616058,797.7253565674919,84792.98424787683,2037722.0387729066,23.91921424756864
51-52,0.010152531321484007,84394.12156959309,856.8139625844228,83965.71458830088,1952929.0545250298,23.140581573736807
52-53,0.011006909878165319,83537.30760700867,919.4876162949186,83077.56379886121,1868963.339936729,22.37279837565564
53-54,0.01193234007747608,82617.81999071375,985.8239245888982,82124.90802841929,1785885.776137868,21.61622972306219
54-55,0.012934571672639372,81631.99606612485,1055.8749038979072,81104.0586141759,1703760.8681094486,20.871238610034002
55-56,0.014019796069076154,80576.12116222695,1129.6607867315934,80011.29076886114,1622656.8094952726,20.138184689088177
56-57,0.015194674523135698,79446.46037549536,1207.163107420849,78842.87882178494,1542645.5187264115,19.417422896316076
57-58,0.016466367699546607,78239.2972680745,1288.3170373702471,77595.13874938937,1463802.6399046266,18.7093019878379
58-59,0.01784256635195506,76950.98023070426,1373.0029706143227,76264.4787453971,1386207.5011552372,18.01416300350292
59-60,0.019331522889001557,75577.97726008993,1461.0373973078676,74847.458561436,1309943.02240984,17.332337671619253
60-61,0.02094208356464445,74116.93986278206,1552.1631481621093,73340.85828870101,1235095.563848404,16.664146767729804
61-62,0.02268372099016514,72564.77671461995,1646.039148708071,71741.75714026591,1161754.705559703,16.009898440514863
62-63,0.024566566609054537,70918.73756591187,1742.2298902430323,70047.62262079035,1090012.948419437,15.369886518444847
63-64,0.026601442706180707,69176.50767566884,1840.1949055479745,68256.41022289485,1019965.3257986467,14.744388811599329
64-65,0.02879989343995026,67336.31277012086,1939.2786324186427,66366.67345391154,951708.9155757518,14.133665423956115
65-66,0.031174214290873116,65397.03413770221,2038.7011561962734,64377.68355960408,885342.2421218402,13.537957092329808
66-67,0.0337374792121349,63358.33298150594,2137.550441879078,62289.5577605664,820964.5585622361,12.957483568923328
67-68,0.03650356464764062,61220.78253962686,2234.776793214417,60103.39414301965,758675.0008016698,12.392442065087884
68-69,0.039487169450917965,58986.00574641244,2329.1904041414086,57821.410544341736,698571.6066586501,11.843005774316861
69-70,0.04270382959505978,56656.81534227103,2419.4629877751104,55447.083848383474,640750.1961143083,11.309322492686093
70-71,0.046169926410942926,54237.35235449592,2504.1345669314587,52985.28507103019,585303.1122659248,10.791513354862483
71-72,0.04990268693045131,51733.217787564456,2581.626571157684,50442.40450198561,532317.8271948947,10.28967170340702
72-73,0.053920174746509585,49151.59121640677,2650.262387457659,47826.460022677944,481875.422692909,9.803862108375839
73-74,0.05824126963675125,46501.32882894911,2708.2964307940592,45147.18061355208,434048.96267023106,9.33411955316031
74-75,0.06288563403837634,43793.032398155054,2753.9526088211373,42416.05609374448,388901.78205667896,8.880448801098845
75-76,0.06787366431561309,41039.07978933392,2785.472725442912,39646.34342661246,346485.7259629345,8.44282395564304
76-77,0.07322642463744625,38253.60706389101,2801.1748747744964,36853.01962650376,306839.38253632205,8.021188224782051
77-78,0.07896556119317681,35452.43218911652,2799.5212034766314,34052.6715873782,269986.3629098183,7.615453898045984
78-79,0.08511319443028467,32652.910985639886,2779.193561435546,31263.314204922113,235933.6913224401,7.22550254175498
79-80,0.09169178701839992,29873.71742420434,2739.174535508007,28504.130156450337,204670.377117518,6.8511854153005265
80-81,0.09872398534226284,27134.542888696335,2678.830214412659,25795.127781490006,176166.24696106766,6.49232410819254
81-82,0.1062324325241808,24455.712674283674,2597.9898465015935,23156.717751032877,150371.11917957765,6.148711394442409
82-83,0.1142395512923579,21857.72282778208,2497.016448118553,20609.2146037228,127214.40142854478,5.8201122976474915
83-84,0.12276729546515655,19360.706379663527,2376.8615605262935,18172.27559940038,106605.18682482198,5.506265356970653
84-85,0.13183686943101544,16983.844819137234,2239.0969318572234,15864.296353208621,88432.9112254216,5.206884081146116
85-86,0.14146841578444289,14744.74788728001,2085.9161247545144,13701.789824902753,72568.61487221299,4.921658574767252
86-87,0.15168067224006482,12658.831762525495,1920.1001115137517,11698.78170676862,58866.82504731024,4.650257318497299
