x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008552513499126932,100000.0,855.2513499126932,99572.37432504365,7354672.973,73.54672973
1-2,0.0008071447884771851,99144.7486500873,80.0241671777984,99104.73656649841,7255100.598674957,73.17685200131443
2-3,0.0004281394774359658,99064.72448290951,42.41351937245081,99043.51772322328,7155995.862108458,72.23556012961
3-4,0.00031564249842738794,99022.31096353706,31.255649632584568,99006.68313872078,7056952.344385235,71.26628610984258
4-5,0.00025395155953205576,98991.05531390448,25.13893287669004,98978.48584746613,6957945.661246514,70.28863000987916
5-6,0.00022606402003196702,98965.91638102778,22.37263290324264,98954.73006457616,6858967.175399048,69.30635744321712
6-7,0.0002137205228479803,98943.54374812455,21.14626590228119,98932.9706151734,6760012.445334472,68.32191560212443
7-8,0.00020161312623607125,98922.39748222227,19.944053811158096,98912.42545531668,6661079.474719298,67.33641363591482
8-9,0.00017892608766476001,98902.45342841111,17.696229052391732,98893.60531388492,6562167.049263981,66.3498914515189
9-10,0.00014680190002767989,98884.75719935872,14.516470240641658,98877.4989642384,6463273.443950096,65.36167582350105
10-11,0.00011930127826065095,98870.24072911807,11.79534610092206,98864.3430560676,6364395.944985858,64.37119903877702
11-12,0.00012254366444348655,98858.44538301716,12.114476158421198,98852.38814493794,6265531.60192979,63.37881986364053
12-13,0.00018797712937299914,98846.33090685874,18.58084953292487,98837.04048209228,6166679.213784852,62.3865262090063
13-14,0.0003312839503466976,98827.75005732581,32.74004744286697,98811.38003360438,6067842.173302759,61.398161647746306
14-15,0.0005253956800012415,98795.01000988294,51.90647146487191,98769.05677415051,5969030.793269155,60.41834291703643
15-16,0.0007368600800458401,98743.10353841807,72.75985117729341,98706.72361282943,5870261.736495004,59.449840304149
16-17,0.0009283330424267012,98670.34368724078,91.59894035246448,98624.54421706454,5771555.012882175,58.493310119365724
17-18,0.0010859365363746374,98578.74474688832,107.05026063059539,98525.21961657303,5672930.46866511,57.547197250593705
18-19,0.0011957355207278264,98471.69448625772,117.74610288347681,98412.82143481598,5574405.249048537,56.609214232892846
19-20,0.0012689132414698363,98353.94838337424,124.80262745450437,98291.54706964699,5475992.42761372,55.67638633345789
20-21,0.0013397826305718815,98229.14575591974,131.6057032996949,98163.3429042699,5377700.880544073,54.74648933532019
21-22,0.0014342035867777117,98097.54005262005,140.69184379753793,98027.19413072128,5279537.537639803,53.819265343532884
22-23,0.0014936802673480823,97956.84820882251,146.31621122112952,97883.69010321195,5181510.343509082,52.89584585718028
23-24,0.0015114745385546087,97810.53199760139,147.83812871685535,97736.61293324296,5083626.653405869,51.97422557246223
24-25,0.0014984416161886146,97662.69386888453,146.3418448422252,97589.52294646342,4985890.040472627,51.05214532753267
25-26,0.001467110263002261,97516.3520240423,143.06724086501376,97444.81840360978,4888300.517526164,50.128008442327406
26-27,0.0014185012461159943,97373.28478317728,138.12412580334455,97304.2227202756,4790855.699122554,49.20092517973931
27-28,0.0013740350280124665,97235.16065737394,133.6045166976515,97168.35839902512,4693551.476402278,48.270105635356266
28-29,0.0013399594839148435,97101.55614067629,130.1121510535888,97036.50006514949,4596383.118003253,47.33583374651817
29-30,0.0013206405829288912,96971.4439896227,128.06442431791166,96907.41177746374,4499346.617938103,46.3986760723043
30-31,0.0013188197849706325,96843.37956530479,127.7189650141446,96779.52008279771,4402439.206160639,45.459371883980204
31-32,0.0013359731513790374,96715.66060029063,129.20952587987568,96651.0558373507,4305659.686077842,44.51874349359407
32-33,0.001372685547939624,96586.45107441075,132.5828255166212,96520.15966165245,4209008.630240491,43.5776300238824
33-34,0.0014289877941976838,96453.86824889413,137.83140043082122,96384.95254867872,4112488.470578838,42.63684334532627
34-35,0.0015046321515512638,96316.0368484633,144.92020575219416,96243.57674558721,4016103.5180301596,41.69714254697592
