x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007622519216808361,100000.0,762.2519216808361,99618.87403915958,7646594.3382,76.465943382
1-2,0.0007537973955914375,99237.74807831916,74.80515604579617,99200.34550029626,7546975.464160841,76.04944298216756
2-3,0.00034646121793056753,99162.94292227336,34.35611397843018,99145.76486528415,7447775.118660545,75.10643491589713
3-4,0.0002672436570988969,99128.58680829493,26.491486061694207,99115.34106526409,7348629.353795261,74.13229211071875
4-5,0.0002240289060210912,99102.09532223323,22.20173399943781,99090.99445523351,7249514.012729997,73.15197513390609
5-6,0.00020451682606078037,99079.8935882338,20.26350536310544,99069.76183555224,7150423.018274764,72.16825492355908
6-7,0.00019524719471525687,99059.63008287069,19.34111488321157,99049.95952542908,7051353.256439212,71.18291528587613
7-8,0.00018488450795339973,99040.28896798748,18.31101509340889,99031.13346044077,6952303.296913783,70.19671862186263
8-9,0.00016541155320989954,99021.97795289407,16.37937917510464,99013.78826330652,6853272.163453342,69.2096068482244
9-10,0.00013775315069234926,99005.59857371896,13.638333139711747,98998.77940714911,6754258.375190035,68.22097409128693
10-11,0.00011248475294932203,98991.96024057925,11.135086191630666,98986.39269748343,6655259.595782886,67.23030415408151
11-12,0.00010914705071243804,98980.82515438762,10.803465142684908,98975.42342181629,6556273.203085403,66.23781114028
12-13,0.00015127265398153566,98970.02168924494,14.97145784554223,98962.53596032217,6457297.779663587,65.24498701171146
13-14,0.0002508431185811073,98955.0502313994,24.822193399394344,98942.6391346997,6358335.243703265,64.25478263953934
14-15,0.0003880293120612603,98930.228038,38.38782832764875,98911.03412383617,6259392.604568565,63.27077910064329
15-16,0.0005365481456093079,98891.84020967236,53.060233480391695,98865.31009293217,6160481.570444729,62.29514545773604
16-17,0.000667034957533771,98838.77997619196,65.92892140410893,98805.8155154899,6061616.260351797,61.32831932781752
17-18,0.0007712041488250996,98772.85105478785,76.174032524736,98734.76403852549,5962810.444836306,60.3689210259692
18-19,0.0008434520906687831,98696.67702226312,83.24591857648947,98655.05406297487,5864075.680797781,59.41512782112223
19-20,0.0008942883147377409,98613.43110368663,88.18883911222224,98569.33668413051,5765420.626734806,58.46486185713163
20-21,0.0009374345727698825,98525.24226457441,92.36096838934048,98479.06178037974,5666851.290050676,57.516745554740346
21-22,0.000986480628344721,98432.88129618506,97.10213059084197,98384.33023088964,5568372.228270296,56.57024517564445
