x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006188110044243598,100000.0,618.8110044243598,99690.59449778782,7969262.6086,79.692626086
1-2,0.0006671893949178601,99381.18899557563,66.30607535217561,99348.03595789954,7869572.014102212,79.18573015314355
2-3,0.00027701158485257606,99314.88292022346,27.51137311717914,99301.12723366487,7770223.978144312,78.23826348751668
3-4,0.00022340951738157393,99287.37154710629,22.18174375942403,99276.28067522658,7670922.850910648,77.25980385402009
4-5,0.00019268330633878707,99265.18980334686,19.126744975656127,99255.62643085903,7571646.570235421,76.27695655683048
5-6,0.00017820937396744292,99246.0630583712,17.686578766365695,99237.21976898803,7472390.943804562,75.29156032526653
6-7,0.00017040834705718002,99228.37647960483,16.90934361705702,99219.9218077963,7373153.724035574,74.30489125810735
7-8,0.0001612455573856392,99211.46713598778,15.997408317389377,99203.46843182908,7273933.802227777,73.31747037121724
8-9,0.0001449877674429432,99195.4697276704,14.382129696268986,99188.27866282227,7174730.333795948,72.32921375838366
9-10,0.00012213332019958401,99181.08759797412,12.113315529346364,99175.03094020946,7075542.055133126,71.33962962589706
10-11,9.982898337432115e-05,99168.97428244477,9.899937884890662,99164.02431350233,6976367.024192916,70.34828256187677
11-12,9.129844071098598e-05,99159.07434455988,9.05306887000305,99154.54781012487,6877202.999879414,69.3552561410807
12-13,0.00011239950446202411,99150.02127568987,11.144413258786688,99144.44906906047,6778048.452069289,68.36154309259001
13-14,0.00017109698171762942,99138.87686243108,16.962362602037683,99130.39568113006,6678904.003000229,67.36917155384091
14-15,0.00025366578011988143,99121.91449982904,25.14383776857532,99109.34258094475,6579773.607319099,66.38061462513869
15-16,0.0003485919013616746,99096.77066206047,34.544331703889476,99079.49849620853,6480664.264738155,65.3973305228936
16-17,0.00043167555234924324,99062.22633035659,42.762741268102424,99040.84495972254,6381584.766241946,64.41996109556823
17-18,0.00048492641043266035,99019.46358908848,48.01715304122419,98995.45501256787,6282543.921282223,63.44756569631158
18-19,0.000496346515537414,98971.44643604726,49.124132576229876,98946.88436975915,6183548.466269655,62.478105442919855
19-20,0.0004773753472411429,98922.32230347104,47.22307795951974,98898.71076449128,6084601.581899896,61.50888333609609
20-21,0.00044873627454686976,98875.09922551151,44.368843671908124,98852.91480367557,5985702.871135405,60.538021382748596
21-22,0.0004298777841384475,98830.7303818396,42.48513538132955,98809.48781414893,5886849.95633173,59.56497471573329
22-23,0.0004228082922411246,98788.24524645827,41.768489266152415,98767.3610018252,5788040.468517581,58.590376355785025
23-24,0.00043607384563887065,98746.47675719213,43.060755862798125,98724.94637926073,5689273.107515756,57.614947837633935
24-25,0.00046529395045507974,98703.41600132933,45.92610235466965,98680.452950152,5590548.161136495,56.63986503832048
25-26,0.0005011447938068407,98657.48989897466,49.44168743292212,98632.76905525819,5491867.708186343,55.66599873775443
26-27,0.0005321461001768131,98608.04821154174,52.4738883018191,98581.81126739083,5393234.939131085,54.693658752489384
