x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006751553679896891,100000.0,675.1553679896891,99662.42231600516,7697083.9313,76.970839313
1-2,0.0006925150218832932,99324.84463201031,68.78394695389132,99290.45265853337,7597421.508983995,76.49064579090724
2-3,0.0003309101075744987,99256.06068505642,32.84483371871299,99239.63826819707,7498131.056325462,75.54330692326528
3-4,0.0002523779007748351,99223.2158513377,25.041746924688955,99210.69497787536,7398891.418057265,74.56814773210674
4-5,0.0002087965432531998,99198.17410441302,20.712235850030517,99187.81798648801,7299680.723079389,73.586845614678
5-6,0.0001898253999526041,99177.46186856298,18.82640136548411,99168.04866788024,7200492.905092901,72.60210908235891
6-7,0.00018195293351037044,99158.6354671975,18.042204606142047,99149.61436489443,7101324.856425021,71.61579849265068
7-8,0.0001738966907972924,99140.59326259136,17.24022109204498,99131.97315204534,7002175.242060127,70.62874057565533
8-9,0.0001576504559613069,99123.35304149931,15.626841803405963,99115.53962059761,6903043.268908082,69.64093785263731
9-10,0.00013390689805251648,99107.72619969591,13.271208188439397,99101.0905956017,6803927.729287484,68.65183967169212
10-11,0.00011261759132749497,99094.45499150747,11.159778835054432,99088.87510208995,6704826.638691882,67.66096689533732
11-12,0.00011219329096469844,99083.29521267243,11.11648096953647,99077.73697218766,6605737.763589792,66.6685312535401
12-13,0.00015463991259331866,99072.1787317029,15.320513059500179,99064.51847517314,6506660.026617604,65.67595575179863
13-14,0.00025076611885819345,99056.85821864339,24.840103881775544,99044.4381667025,6407595.508142431,64.68603611472571
14-15,0.0003811615317400835,99032.01811476162,37.74719571593423,99013.14451690366,6308551.069975729,63.7021358351515
15-16,0.0005259483675262123,98994.2709190457,52.06587518431967,98968.23798145354,6209537.925458825,62.72623524382319
16-17,0.000654877612820902,98942.20504386138,64.79503504636016,98909.8075263382,6110569.687477372,61.75898025285102
17-18,0.000750404459149759,98877.41000881502,74.1980493797938,98840.31098412511,6011659.879951034,60.79912367663239
18-19,0.0007992600742092419,98803.21195943523,78.96946252280966,98763.72722817383,5912819.568966908,59.84440638827089
19-20,0.0008133456567431523,98724.24249691241,80.29693385012145,98684.09402998735,5814055.841738734,58.89187594344487
20-21,0.000819952259673092,98643.94556306228,80.8833260675024,98603.50390002853,5715371.747708747,57.939407381621365
21-22,0.000833769000268497,98563.06223699478,82.17882586474079,98521.97282406241,5616768.243808718,56.986543602949396
22-23,0.0008437621540760068,98480.88341113004,83.09444232228317,98439.33618996889,5518246.270984656,56.03367963249809
23-24,0.0008526689925932836,98397.78896880776,83.90074359343983,98355.83859701104,5419806.934794688,55.080576419382496
24-25,0.0008613184881084878,98313.88822521432,84.67956956620846,98271.54844043122,5321451.096197677,54.12715530086112
25-26,0.0008702045871362955,98229.20865564811,85.47950796291329,98186.46890166665,5223179.547757246,53.17338517983588
26-27,0.0008795532525354722,98143.7291476852,86.32263618780694,98100.5678295913,5124993.078855579,52.21926172321786
27-28,0.0008882730950157752,98057.4065114974,87.10175597118781,98013.8556335118,5026892.511025988,51.26479161404882
28-29,0.0008985673220383091,97970.3047555262,88.03291438345019,97926.28829833448,4928878.655392475,50.30992470312238
29-30,0.0009140220439925068,97882.27184114275,89.46655417887149,97837.5385640533,4830952.3670941405,49.354722527635
30-31,0.0009346994072205454,97792.80528696388,91.40687713215935,97747.1018483978,4733114.828530087,48.39941767332681
31-32,0.0009666712974061509,97701.39840983172,94.44513755922728,97654.1758410521,4635367.72668169,47.44423111773221
32-33,0.0010156742170619923,97606.95327227248,99.13686584462182,97557.38483935017,4537713.550840638,46.48965466817496
33-34,0.0010812471884643626,97507.81640642787,105.43005234274938,97455.1013802565,4440156.166001287,45.53641266556539
34-35,0.0011582700524057667,97402.38635408512,112.8182671467929,97345.97722051172,4342701.06462103,44.58516086899646
35-36,0.0012434487421320141,97289.56808693832,120.9745910602704,97229.08079140818,4245355.087400518,43.63628260336045
36-37,0.001336751340036817,97168.59349587806,129.89024756510773,97103.6483720955,4148126.00660911,42.68998713854056
37-38,0.0014411267714961476,97038.70324831294,139.84507312241396,96968.78071175174,4051022.3582370146,41.7464601507589
38-39,0.0015593406807331877,96898.85817519053,151.0983314691702,96823.30900945594,3954053.5775252627,40.805987314901486
39-40,0.0016941035557571432,96747.75984372136,163.90072396278651,96665.80948173997,3857230.2685158066,39.86893623941753
40-41,0.0018471840993457447,96583.85911975858,178.40816881946753,96494.65503534884,3760564.4590340666,38.93574447435547
41-42,0.002015271076424877,96405.4509509391,194.28311691112475,96308.30939248354,3664069.803998718,38.006873759279124
42-43,0.0022001409010746977,96211.16783402798,211.67812549180726,96105.32877128207,3567761.4946062346,37.082612912057265
43-44,0.002403106505232417,95999.48970853617,230.69699821757575,95884.14120942738,3471656.1658349526,36.163277287986006
44-45,0.002625582529331977,95768.7927103186,251.4488689954281,95643.06827582089,3375772.0246255253,35.249186390357444
45-46,0.0028694292316063562,95517.34384132316,274.08025854368805,95380.30371205132,3280128.9563497044,34.34066342756319
46-47,0.003136134011120907,95243.26358277947,298.69563825210804,95093.91576365342,3184748.652637653,33.43804624953521
47-48,0.0034268397744715872,94944.56794452737,325.35982180232645,94781.88803362621,3089654.7368739997,32.54166935257604
48-49,0.0037430168908908256,94619.20812272505,354.1612942060743,94442.12747562201,2994872.8488403736,31.65184858613379
49-50,0.00408710575096295,94265.04682851897,385.2712150076317,94072.41122101515,2900430.7213647515,30.76888856418893
50-51,0.004462056380991525,93879.77561351135,418.8968518223208,93670.32718760018,2806358.310143736,29.89310841237077
51-52,0.004871638347580342,93460.87876168902,455.3076009740014,93233.22496120202,2712687.982956136,29.02484995752155
52-53,0.005319681677030698,93005.57116071502,494.76003276543037,92758.1911443323,2619454.757994934,28.16449300083838
53-54,0.005810572337553734,92510.81112794958,537.540760064722,92242.04074791721,2526696.5668506017,27.31244636214448
54-55,0.006348011401270226,91973.27036788486,583.8473689074422,91681.34668343114,2434454.5261026844,26.46915257405857
55-56,0.006934851533899962,91389.42299897742,633.772080266691,91072.53695884407,2342773.1794192535,25.63505822162229
56-57,0.00757452113680498,90755.65091871073,687.4305961682687,90411.9356206266,2251700.6424604096,24.810583359456523
57-58,0.008272434650486327,90068.22032254246,745.083466703837,89695.67858919055,2161288.706839783,23.99612981249116
58-59,0.00903357223090455,89323.13685583862,806.9070086781906,88919.68335149952,2071593.0282505925,23.192121337991082
59-60,0.009863290921565428,88516.22984716043,873.0613262626963,88079.69918402909,1982673.344899093,22.398980936293192
60-61,0.010768051589483732,87643.16852089773,943.7461600988433,87171.2954408483,1894593.645715064,21.61712861012453
61-62,0.011753370074466902,86699.42236079888,1019.0103962489802,86189.91716267439,1807422.3502742157,20.846994144351314
62-63,0.012823805569843206,85680.4119645499,1098.7489441774555,85131.03749246117,1721232.4331115412,20.088984093863807
63-64,0.013984724244974957,84581.66302037245,1182.8512335213043,83990.2374036118,1636101.39561908,19.343452672773843
64-65,0.015243833285814974,83398.81178685115,1271.3175831138196,82763.15299529424,1552111.158215468,18.61071069192592
65-66,0.016611030301460855,82127.49420373733,1364.2222948013314,81445.38305633666,1469348.0052201739,17.891060959136254
66-67,0.0181025590038434,80763.27190893599,1462.0218950749618,80032.26096139851,1387902.6221638373,17.184824108274814
67-68,0.019734590683475908,79301.25001386103,1564.9777097115357,78518.76115900527,1307870.3612024388,16.492430585568787
68-69,0.021511444350105324,77736.2723041495,1672.2194956553458,76900.16255632183,1229351.6000434335,15.814388362147017
69-70,0.023445914207302437,76064.05280849416,1783.391256407676,75172.35718029032,1152451.4374871117,15.151065384178636
70-71,0.02555290763830086,74280.66155208649,1898.0868839523519,73331.61811011031,1077279.0803068213,14.502820219922521
71-72,0.027843062557025226,72382.57466813414,2015.3525545234083,71374.89839087243,1003947.462196711,13.870015909211515
72-73,0.03032432768941713,70367.22211361073,2133.838701967131,69300.30276262717,932572.5638058386,13.252939874479662
73-74,0.033005167872881956,68233.38341164359,2252.0542740360156,67107.35627462558,863272.2610432114,12.651758096695811
74-75,0.035901119120717674,65981.32913760758,2368.8035571125297,64796.92735905131,796164.9047685859,12.066518137398257
75-76,0.03902711617453129,63612.52558049505,2482.613425985324,62371.218867502386,731367.9774095346,11.497232199719289
76-77,0.04241455428585817,61129.91215450973,2592.7979775671943,59833.51316572613,668996.7585420322,10.943852771309412
77-78,0.046095925992930234,58537.11417694254,2698.3224829400506,57187.95293547251,609163.2453763061,10.406444764854028
78-79,0.05010087982579316,55838.79169400249,2797.5725922787155,54440.00539786313,551975.2924408336,9.885158251017813
79-80,0.05443962452592686,53041.21910172377,2887.5440522952613,51597.44707557614,497535.28704297054,9.38016311594922
80-81,0.059578274533205806,50153.67504942851,2988.0694209440458,48659.64033895649,445937.83996739436,8.891428983577061
81-82,0.06484796486680576,47165.60562848446,3058.593536717576,45636.308860125675,397278.19962843787,8.423048836852248
82-83,0.07054844436229613,44107.01209176688,3111.6810885431382,42551.171547495316,351641.8907683122,7.9724713620751135
