x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010067353626610175,100000.0,1006.7353626610175,99496.6323186695,7516287.5513,75.162875513
1-2,0.0007636076084432732,98993.26463733899,75.59201006171047,98955.46863230813,7416790.9189813305,74.92217724259002
2-3,0.0006103215843250867,98917.67262727728,60.37159067563013,98887.48683193946,7317835.450349023,73.9790500118487
3-4,0.00046377781748243175,98857.30103660165,45.84782331695885,98834.37712494317,7218947.963517083,73.02392324917192
4-5,0.00032084541570050825,98811.4532132847,31.703201782187648,98795.6016123936,7120113.58639214,72.05757384241038
5-6,0.00023356475807757583,98779.7500115025,23.0714684144,98768.21427729531,7021317.984779746,71.08054013056464
6-7,0.00019586392328705397,98756.6785430881,19.342870510247657,98747.00710783298,6922549.770502451,70.09702910858938
7-8,0.0001906852970576716,98737.33567257786,18.827758183408545,98727.92179348615,6823802.7633946175,69.11066332621105
8-9,0.0002023805636135452,98718.50791439445,19.978707270803373,98708.51856075904,6725074.8416011315,68.12374886614882
9-10,0.00021993013930354132,98698.52920712365,21.706781277577345,98687.67581648486,6626366.323040373,67.1374373688449
10-11,0.0002301219898050704,98676.82242584607,22.707706724277294,98665.46857248394,6527678.647223888,66.15209617364124
11-12,0.00023261762743170117,98654.11471912179,22.94868610233698,98642.64037607062,6429013.178651404,65.16720764212879
12-13,0.00023297317229153123,98631.16603301946,22.978415637525266,98619.67682520069,6330370.538275333,64.18225387456202
13-14,0.00022905799816750225,98608.18761738193,22.58699405856299,98596.89412035265,6231750.861450132,63.197093588521085
14-15,0.000247029612752378,98585.60062332336,24.353562744940163,98573.42384195089,6133153.96732978,62.211458149587
15-16,0.00030394847583585527,98561.24706057842,29.95754082054398,98546.26829016814,6034580.543487829,61.226706473983754
16-17,0.0003755424424855219,98531.28951975788,37.00268112749798,98512.78817919413,5936034.275197661,60.24516987578188
17-18,0.0004337573569070075,98494.28683863037,42.72262152956496,98472.92552786559,5837521.487018466,59.267615151957585
18-19,0.0005071132032731116,98451.56421710081,49.92608809738244,98426.60117305211,5739048.5614906,58.29311709903478
19-20,0.0005913584840548341,98401.63812900342,58.19064355247983,98372.54280722718,5640621.960317547,57.32243962161236
20-21,0.0006657319161322732,98343.44748545093,65.47037173354283,98310.71229958416,5542249.41751032,56.35606193620829
21-22,0.0007420544385637875,98277.9771137174,72.92760913030432,98241.51330915224,5443938.705210736,55.393271871189995
22-23,0.000846606885522122,98205.04950458709,83.14107110362428,98163.47896903528,5345697.191901584,54.434035916369965
23-24,0.0009035105256371802,98121.90843348346,88.65417706525992,98077.58134495083,5247533.7129325485,53.479735532150144
24-25,0.0009001608045199021,98033.25425641821,88.24569302116153,97989.13140990763,5149456.131587598,52.52764656897498
25-26,0.0008963176774440571,97945.00856339704,87.78984259278232,97901.11364210065,5051467.00017769,51.57452201260483
26-27,0.000880742428536112,97857.21872080426,86.18700446595062,97814.12521857128,4953565.88653559,50.620342078887134
27-28,0.0008614263854314112,97771.03171633832,84.22254645130518,97728.92044311266,4855751.761317018,49.664524103672555
28-29,0.0008871978429825183,97686.80916988701,86.66752638336864,97643.47540669533,4758022.840873905,48.70691223621844
29-30,0.0009405879283652362,97600.14164350364,91.8015150366167,97554.24088598533,4660379.36546721,47.74971928309092
30-31,0.000992780900019429,97508.34012846703,96.80441767214009,97459.93791963096,4562825.124581225,46.79420364011646
31-32,0.001059099429164044,97411.53571079488,103.16850186529574,97359.95145986223,4465365.186661595,45.84020931482713
