x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0035976099579760282,100000.0,359.76099579760285,99820.1195021012,8139133.1395,81.391331395
1-2,0.0008788314949879135,99640.23900420239,87.5669802050162,99596.45551409989,8039313.0199978985,80.68339759460869
2-3,0.00041445803383106364,99552.67202399738,41.26040470969469,99532.04182164253,7939716.564483799,79.7539272734931
3-4,0.00025048066677951406,99511.41161928768,24.925684734569863,99498.9487769204,7840184.522662156,78.78678831988896
4-5,0.00017664411773174327,99486.48593455311,17.573702534140622,99477.69908328605,7740685.573885236,77.80640255981524
5-6,0.0001421797652602164,99468.91223201898,14.142466591837525,99461.84099872306,7641207.87480195,76.82006069371944
6-7,0.0001305811337402787,99454.76976542715,12.98691659184787,99448.27630713122,7541746.033803226,75.83091340506947
7-8,0.0001348292410404834,99441.7828488353,13.407660109221023,99435.07901878069,7442297.757496095,74.84075148581533
8-9,0.00015047123708627374,99428.37518872607,14.961110616125778,99420.89463341801,7342862.678477314,73.85077614453367
9-10,0.00013490692456508393,99413.41407810994,13.41155795379303,99406.70829913304,7243441.783843896,72.86181498758974
10-11,0.00013490692456508393,99400.00252015615,13.409748641755858,99393.29764583528,7144035.075544763,71.87157841465958
11-12,0.00012707213064009593,99386.59277151439,12.62926610053589,99380.27813846413,7044641.777898928,70.88120823393417
12-13,0.00014391625089150108,99373.96350541385,14.301528263928011,99366.81274128189,6945261.499760464,69.89015286063426
13-14,0.00019214741572912174,99359.66197714992,19.091702276628435,99350.1161260116,6845894.687019182,68.90014066869064
14-15,0.00025875210515986124,99340.5702748733,25.7045816864046,99327.7179840301,6746544.57089317,67.9132861048172
15-16,0.00033104782888978244,99314.8656931869,32.87797066420986,99298.4267078548,6647216.85290914,66.93073394917903
16-17,0.00039150097881965356,99281.9877225227,38.86899537252846,99262.55322483643,6547918.426201286,65.95273298215656
17-18,0.0004311910980091676,99243.11872715017,42.792749333814065,99221.72235248327,6448655.872976449,64.97836782725244
18-19,0.00044338402654770464,99200.32597781635,43.98383996688908,99178.33405783291,6349434.150623966,64.00618231883489
19-20,0.0004350948985158805,99156.34213784945,43.14241861967353,99134.77092853961,6250255.816566133,63.034352435841996
20-21,0.0004232281865695886,99113.19971922979,41.94749978227908,99092.22596933864,6151121.045637594,62.061572656948165
21-22,0.00041611230368425206,99071.2522194475,41.22476698991787,99050.63983595255,6052028.819668255,61.08763828141311
22-23,0.0004055532566937562,99030.02745245758,40.161950143816256,99009.94647738567,5952978.179832302,60.11286003823651
23-24,0.00039277525069397187,98989.86550231377,38.88076923883385,98970.42511769435,5853968.233354917,59.1370460364762
24-25,0.0003801056251371472,98950.98473307493,37.611825909901754,98932.17882011998,5754997.808237222,58.16008626656528
25-26,0.00036394595771374675,98913.37290716503,35.99912223339515,98895.37334604833,5656065.629417102,57.18201152361463
26-27,0.00035243537638568847,98877.37378493164,34.84788444592079,98859.94984270868,5557170.256071053,56.202648223227136
27-28,0.0003616128071085943,98842.52590048572,35.74272325257858,98824.65453885944,5458310.306228344,55.2222867283233
28-29,0.0003995665734422825,98806.78317723314,39.47988778698161,98787.04323333965,5359485.651689485,54.242082166322426
29-30,0.000458844040248966,98767.30328944616,45.31878848582447,98744.64389520325,5260698.608456145,53.263564289481614
30-31,0.0005285958832809929,98721.98450096035,52.18403459653763,98695.89248366207,5161953.964560942,52.287785650325205
31-32,0.0005967402136974472,98669.80046636381,58.88023781578242,98640.36034745592,5063258.07207728,51.31517493848918
32-33,0.000656361318027829,98610.92022854803,64.72439357314688,98578.55803176145,4964617.711729824,50.345516502872655
33-34,0.0007007199908594305,98546.19583497487,69.05328944471523,98511.66919025252,4866039.1536980625,49.37825465984212
34-35,0.0007384694575989032,98477.14254553017,72.72236204148753,98440.78136450943,4767527.48450781,48.41252864646819
35-36,0.0007822755096079979,98404.42018348868,76.97936794671816,98365.93049951532,4669086.7031433005,47.44793673330061
36-37,0.0008392552622181047,98327.44081554197,82.52182212488285,98286.17990447952,4570720.772643785,46.484691706949434
37-38,0.0009090749917319132,98244.91899341709,89.31199892164312,98200.26299395626,4472434.592739305,45.52331701794147
38-39,0.0009899188525116906,98155.60699449544,97.1660858435794,98107.02395157365,4374234.3297453495,44.564283831392906
39-40,0.0010650586447988732,98058.44090865186,104.43799018525914,98006.22191355923,4276127.305793776,43.60794711979238
40-41,0.0011478011760333825,97954.00291846659,112.43171974699334,97897.7870585931,4178121.083880217,42.65390856316444
41-42,0.0012389573579217592,97841.5711987196,121.22153454727933,97780.96043144596,4080223.2968216236,41.7023484683678
42-43,0.0013394230416927636,97720.34966417232,130.88888798246612,97654.90522018108,3982442.3363901777,40.753459745859665
43-44,0.001450187911518052,97589.46077618985,141.5230563091956,97518.69924803525,3884787.4311699965,39.80744847109369
44-45,0.0015723452878212967,97447.93771988066,153.22180568175756,97371.32681703978,3787268.731921961,38.86453444308559
45-46,0.0017071029305695186,97294.71591419891,166.09209466605773,97211.66986686588,3689897.405104921,37.924951734880686
46-47,0.0018557949406881988,97128.62381953285,180.25080868029633,97038.4984151927,3592685.7352380552,36.98894922997515
47-48,0.0020198948663298724,96948.37301085255,195.82552094365462,96850.46025038073,3495647.2368228626,36.05679113801688
48-49,0.002201030129841817,96752.54748990889,212.95527216424074,96646.06985382676,3398796.7765724817,35.12875748234919
49-50,0.002400997900893899,96539.59221774465,231.79135826795792,96423.69653861067,3302150.706718655,34.20514455116682
50-51,0.002621782551294063,96307.80085947669,252.49811184687934,96181.55180355324,3205727.010180044,33.286265303238935
51-52,0.0028655748374619076,96055.3027476298,275.25365855839357,95917.67591835061,3109545.4583764905,32.372449718328745
52-53,0.003134792967242744,95780.04908907141,300.2506242865859,95629.92377692812,3013627.78245814,31.464045081618124
53-54,0.0034321057185766226,95479.79846478482,327.69676231953144,95315.95008362505,2917997.8586812117,30.56141619064516
54-55,0.0037604577882885057,95152.10170246528,357.81546191905556,94973.19397150575,2822681.9085975867,29.664945472501888
55-56,0.004123097559672997,94794.28624054622,390.8460902693397,94598.86319541156,2727708.714626081,28.775032998342912
56-57,0.004523607487266733,94403.44015027689,427.04410868752944,94189.91809593313,2633109.8514306694,27.892096381648084
57-58,0.004965937305795232,93976.39604158935,466.68089096711594,93743.0555961058,2538919.933334736,27.016570546194753
58-59,0.005454440277193561,93509.71515062224,510.0431566264509,93254.69357230901,2445176.8777386304,26.148907349359618
59-60,0.005993912694136053,92999.6719939958,557.4319145153006,92720.95603673815,2351922.1841663215,25.289575046223444
60-61,0.006589636859805336,92442.2400794805,609.1607926307188,92137.65968316514,2259201.2281295834,24.43905758003219
