x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00652537712879136,100000.0,652.537712879136,99673.73114356044,7611148.5492,76.111485492
1-2,0.0006463745564539326,99347.46228712087,64.21567187066155,99315.35445118554,7511474.81805644,75.60811967544547
2-3,0.0004055352518524074,99283.2466152502,40.262856420840166,99263.11518703979,7412159.463605255,74.6566990534607
3-4,0.0002862805411937139,99242.98375882936,28.411335100156627,99228.77809127928,7312896.348418215,73.68678440976043
4-5,0.00023081230731221815,99214.5724237292,22.89994438011611,99203.12245153914,7213667.570326936,72.70774236186337
5-6,0.00021352391724396508,99191.67247934909,21.17979446577102,99181.0825821162,7114464.447875397,71.72441264519027
6-7,0.00020983105989698093,99170.49268488331,20.80904959057486,99160.08816008802,7015283.365293281,70.73962400877161
7-8,0.00020006999479145308,99149.68363529273,19.836876688487237,99139.76519694849,6916123.277133193,69.75436555675877
8-9,0.00017060255285870123,99129.84675860425,16.911804921509734,99121.3908561435,6816983.511936245,68.76822404998367
9-10,0.0001232463074870722,99112.93495368275,12.215303257247768,99106.82730205412,6717862.1210801015,67.7798727705872
10-11,7.601069466807133e-05,99100.7196504255,7.532714542734629,99096.95329315413,6618755.293778047,66.78816578855822
11-12,6.173025576050066e-05,99093.18693588277,6.1170477736751465,99090.12841199593,6519658.340484893,65.7932047811054
12-13,0.00011906033591938983,99087.0698881091,11.797339826146326,99081.17121819602,6420568.212072897,64.7972355961592
13-14,0.0002653284320826698,99075.27254828294,26.287486723399088,99062.12880492125,6321487.040854701,63.80489175817319
14-15,0.00046431005020050934,99048.98506155954,45.989439226242204,99025.99034194641,6222424.91204978,62.821692803641604
15-16,0.000640742180711738,99002.9956223333,63.43539531204849,98971.27792467727,6123398.921707833,61.85064283374577
16-17,0.0007694971418471247,98939.56022702125,76.13370881030431,98901.4933726161,6024427.643783156,60.88997798211187
17-18,0.0008653420268394254,98863.42651821095,85.55067788355926,98820.65117926917,5925526.1504105395,59.93648368356967
18-19,0.0009438529822643742,98777.8758403274,93.2317926936331,98731.25994398058,5826705.4992312705,58.98796111641469
19-20,0.0010249992071991465,98684.64404763376,101.15168191155458,98634.06820667798,5727974.23928729,58.043217306660935
20-21,0.0010948358006431565,98583.49236572221,107.93273679442399,98529.52599732499,5629340.171080612,57.102259577060295
21-22,0.0011292285866314194,98475.55962892779,111.20141701751218,98419.95892041903,5530810.645083287,56.164297678777324
22-23,0.001132506120677449,98364.35821191028,111.39823773149749,98308.65909304452,5432390.686162868,55.22722645594506
23-24,0.001112355028782673,98252.95997417878,109.29217412006047,98198.31388711875,5334082.027069823,54.28927564596159
24-25,0.00107781538733045,98143.66780005873,105.78075532395131,98090.77742239676,5235883.7131827045,53.349175046620495
25-26,0.0010376681478403915,98037.88704473477,101.73079266789544,97987.02164840083,5137792.935760308,52.40619816108367
26-27,0.0009994048381793464,97936.15625206688,97.87786839100409,97887.21731787139,5039805.914111908,51.46011551791472
27-28,0.0009687591447878286,97838.27838367588,94.78172689448334,97790.88752022863,4941918.696794036,50.51109625431211
28-29,0.0009496683738167425,97743.4966567814,92.8239075212078,97697.0847030208,4844127.809273807,49.55959194179006
29-30,0.0009445025344258221,97650.6727492602,92.23130790006282,97604.55709531016,4746430.724570787,48.606226572123084
30-31,0.0009544180564540059,97558.44144136013,93.11153807114489,97511.88567232456,4648826.167475477,47.65170598045856
31-32,0.0009797331802172563,97465.32990328899,95.49001762707337,97417.58489447545,4551314.2818031525,46.69675141221235
32-33,0.001020263651676854,97369.83988566192,99.34290840493601,97320.16843145945,4453896.696908677,45.74205628908023
33-34,0.0010755908920793004,97270.49697725697,104.62326061676472,97218.1853469486,4356576.528477218,44.788262256908574
34-35,0.001145257496871979,97165.87371664021,111.27994531409817,97110.23374398316,4259358.343130269,43.835949600490544
35-36,0.0012288977736597804,97054.59377132611,119.27017420903704,96994.9586842216,4162248.1093862858,42.88563732689574
36-37,0.001326316580680904,96935.32359711707,128.56692694052526,96871.0401336468,4065253.1507020644,41.93778903135542
37-38,0.0014375306346323699,96806.75667017655,139.1626783527803,96737.17533100015,3968382.1105684177,40.99282164868731
38-39,0.0015627848759982182,96667.59399182377,151.0706538895584,96592.05866487899,3871644.9352374175,40.051115118939286
39-40,0.001702553899659425,96516.52333793421,164.3245831905698,96434.36104633892,3775052.8765725386,39.113021750223126
40-41,0.0018575357698749854,96352.19875474364,178.97765569304033,96262.70992689712,3678618.5155261997,38.17887461904021
41-42,0.002028643190957125,96173.2210990506,195.10115013500308,96075.67052398309,3582355.8055993025,37.24899472702248
42-43,0.002216995161725914,95978.1199489156,212.78302755829532,95871.72843513645,3486280.1350753196,36.323696868941525
43-44,0.002423910905413703,95765.3369213573,232.12664452429547,95649.27359909515,3390408.406640183,35.40329429869175
44-45,0.0026509069634379186,95533.21027683301,253.24965236243554,95406.5854506518,3294759.133041088,34.48810234151708
45-46,0.0028996977736661564,95279.96062447058,276.2830896977764,95141.8190796217,3199352.5475904364,33.5784411183809
46-47,0.003172199727342879,95003.6775347728,301.3706399723771,94852.9922147866,3104210.7285108147,32.67463754100073
47-48,0.003470538535216489,94702.30689480042,328.6680054523031,94537.97289207426,3009357.736296028,31.77702671634977
48-49,0.003797059672722243,94373.63888934812,358.3423383947953,94194.46772015073,2914819.7634039535,30.885952875267872
49-50,0.004154341673646828,94015.29655095332,390.5716644218903,93820.01071874239,2820625.2956838026,30.001769915761663
50-51,0.004545212072787528,93624.72488653143,425.54422986567357,93411.95277159859,2726805.28496506,29.124841629920027
51-52,0.0049727658424296405,93199.18065666576,463.45770211189677,92967.45180560982,2633393.3321934617,28.25554166505558
52-53,0.00544038621404105,92735.72295455386,504.51814871108496,92483.46388019831,2540425.880387852,27.39425325484134
53-54,0.005951767819330586,92231.20480584278,548.9387167015035,91956.73544749203,2447942.416507654,26.541368744568093
54-55,0.006510942120693708,91682.26608914127,596.9379280004383,91383.79712514105,2355985.681060162,25.69728892575008
55-56,0.007122305128808131,91085.32816114083,648.737499921265,90760.9594111802,2264601.883935021,24.862422188661046
56-57,0.0077906474244110084,90436.59066121957,704.5595921073428,90084.3108651659,2173840.9245238407,24.037183496524854
57-58,0.008521186512151202,89732.03106911223,764.6233728540517,89349.7193826852,2083756.6136586748,23.221993181607033
58-59,0.009319601536998748,88967.40769625817,829.1407895088419,88552.83730150375,1994406.8942759896,22.41727556101279
59-60,0.010192070388027356,88138.26690674933,898.3114201923313,87689.11119665316,1905854.056974486,21.623457368306187
60-61,0.011145309200266473,87239.955486557,972.3162785151612,86753.79734729942,1818164.9457778328,20.84096599588474
61-62,0.012186614242285764,86267.63920804183,1051.3104406210923,85741.98398773128,1731411.1484305332,20.070227542161973
62-63,0.013323906144484476,85216.32876742074,1135.4143664746464,84648.62158418342,1645669.1644428018,19.311664656832313
63-64,0.014565776379688498,84080.91440094609,1224.703796963911,83468.56250246413,1561020.5428586183,18.565694176621058
64-65,0.015921535852310233,82856.21060398218,1319.1981277178697,82196.61154012325,1477551.9803561543,17.83272454274105
65-66,0.01740126538345322,81537.01247626431,1418.8471926734114,80827.5888799276,1395355.368816031,17.113152989536175
66-67,0.018777177818443812,80118.1652835909,1504.3930360174581,79365.96876558218,1314527.7799361034,16.40736249117943
67-68,0.02058581611077109,78613.77224757345,1618.3286592625866,77804.60791794215,1235161.8111705212,15.711773851542235
68-69,0.02256465820548585,76995.44358831087,1737.3758679500015,76126.75565433587,1157357.203252579,15.031502506055881
69-70,0.02472891664823001,75258.06772036086,1861.0504837636533,74327.54247847904,1081230.4475982431,14.366970616569779
70-71,0.027095002714876276,73397.01723659721,1988.6923812894222,72402.6710459525,1006902.9051197642,13.718580713899943
71-72,0.029680588382895733,71408.32485530779,2119.4410971424927,70348.60430673654,934500.2340738117,13.08671273226696
72-73,0.03250466450733259,69288.88375816529,2252.2119206467287,68162.77779784193,864151.6297670752,12.471721045228124
73-74,0.035587593271939826,67036.67183751856,2385.6738116581137,65843.8349316895,795988.8519692332,11.873931538524566
74-75,0.03895115261118227,64650.99802586045,2518.230890570534,63391.882580575184,730145.0170375437,11.293638757834568
75-76,0.04261856988438207,62132.76713528991,2648.0096782653904,60808.76229615722,666753.1344569685,10.73110317145796
76-77,0.046614541632914445,59484.75745702452,2772.8547030042873,58098.33010552238,605944.3721608113,10.186548589335397
77-78,0.05096523577201903,56711.90275402023,2890.335494938456,55266.735006551,547846.0420552889,9.660159780416693
78-79,0.05569827207167562,53821.56725908177,2997.768296520325,52322.68311082161,492579.3070487379,9.152080330132357
79-80,0.06084267628263489,50823.79896256144,3092.255947732841,49277.67098869502,440256.6239379163,8.66241077850604
80-81,0.06642880278709144,47731.5430148286,3170.7492576556215,46146.16838600079,390978.9529492213,8.191207077210077
81-82,0.07248822022921524,44560.793757172985,3230.132631458595,42945.72744144369,344832.7845632205,7.738479400576488
82-83,0.07905355424804045,41330.66112571439,3267.335661409039,39696.99329500987,301887.0571217768,7.304191341230542
83-84,0.08615828124255695,38063.32546430535,3279.4707003806,36423.59011411505,262190.0638267669,6.888259515649543
84-85,0.09383646710434519,34783.85476392475,3263.9940433173456,33151.857742266075,225766.47371265187,6.490553598642559
85-86,0.10212244512374276,31519.8607206074,3218.8852467482443,29910.41809723328,192614.61597038578,6.110896798616121
86-87,0.11105042788555118,28300.97547385916,3142.8354359505493,26729.557755883885,162704.1978731525,5.749066777695982
87-88,0.120654048997867,25158.140037908608,3035.4314608290247,23640.424307494097,135974.6401172686,5.4047970125128595
88-89,0.13096583201975726,22122.708577079582,2897.3189353278476,20674.049109415657,112334.2158097745,5.077778582960646
89-90,0.14201658603876743,19225.389641751735,2730.3242021866636,17860.227540658405,91660.16670035884,4.76766236775252
90-91,0.1538347300481143,16495.06543956507,2537.513939021472,15226.308470054335,73799.93915970043,4.474061617402491
91-92,0.1664455516064971,13957.5515005436,2323.1723585840705,12795.965321251564,58573.630689646096,4.196554867618784
92-93,0.17987040920802108,11634.379141959529,2092.6805371455257,10588.038873386766,45777.66536839453,3.93468914927285
93-94,0.1941258922656322,9541.698604814004,1852.2907553892564,8615.553227119375,35189.62649500777,3.6879834453431384
94-95,0.2092229574681783,7689.407849424748,1608.8006514356703,6885.007523706912,26574.073267888394,3.4559323407297775
95-96,0.22516606527803298,6080.607197989078,1369.146397272486,5396.033999352835,19689.065744181484,3.238009807752895
96-97,0.24195234517892594,4711.460800716592,1139.9489899519597,4141.486305740612,14293.031744828648,3.0336730685851707
97-98,0.25957082256982555,3571.511810764632,927.0602585380227,3107.9816814956207,10151.545439088037,2.8423664758691283
98-99,0.27800174347775364,2644.4515522266092,735.1621420614492,2276.8704811958846,7043.563757592416,2.6635253543071284
99-100,0.29721603504825556,1909.28941016516,567.4714282489114,1625.5536960407044,4766.693276396531,2.496579748998972
100-101,0.3171749396011323,1341.8179819162485,425.59103736999936,1129.0224632312488,3141.139580355826,2.3409580305891926
101-102,0.33782985751772643,916.2269445462491,309.52881812996117,761.4625354812686,2012.1171171245774,2.196090312669265
102-103,0.3591224290973942,606.6981264162879,217.87890488745526,497.75867397256025,1250.6545816433088,2.0614116431029954
103-104,0.3809848777245656,388.8192215288326,148.13424357112305,314.75209974327106,752.8959076707486,1.9363649376961631
104-105,0.40334062641034446,240.68497795770955,97.07802977702252,192.1459630691983,438.1438079274775,1.820403631523955
105-106,0.4261051874726883,143.60694818068703,61.19166557691228,113.01111539223089,245.9978448582792,1.7129940297092268
106-107,0.4491873115220572,82.41528260377476,37.019899221120156,63.90533299321468,132.9867294660483,1.613617344557371
