x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004810265818455363,100000.0,481.02658184553627,99759.48670907723,7875952.6422,78.759526422
1-2,0.0007595747613224312,99518.97341815446,75.59210048114805,99481.17736791389,7776193.155490923,78.13779511990397
2-3,0.00040987619296917676,99443.38131767331,40.759474550470095,99423.00158039808,7676711.978123009,77.19681165707391
3-4,0.00026885169622529304,99402.62184312283,26.72456349176494,99389.25956137695,7577288.976542611,76.228260744481
4-5,0.00020442022774854403,99375.89727963107,20.3144435546181,99365.74005785376,7477899.716981234,75.24862589103856
5-6,0.00017873981645704005,99355.58283607646,17.758798640102544,99346.7034367564,7378533.97692338,74.26390914637362
6-7,0.00017117686886657059,99337.82403743635,17.004337678746705,99329.32186859698,7279187.273486624,73.2770960509805
7-8,0.0001682481058827992,99320.8196997576,16.710539789211225,99312.464429863,7179857.951618027,72.28955593925238
8-9,0.00016078744728309675,99304.10915996839,15.966854216553303,99296.1257328601,7080545.487188164,71.30163642858078
9-10,0.00012892687016620623,99288.14230575183,12.800909432097473,99281.74185103578,6981249.361455304,70.31302227366656
10-11,0.00010467438224276596,99275.34139631972,10.391585032599458,99270.14560380342,6881967.619604268,69.32202420871647
11-12,9.350554044509603e-05,99264.94981128712,9.281822779359736,99260.30889989744,6782697.474000465,68.32922886572824
12-13,0.0001311453355579066,99255.66798850776,13.016917884377019,99249.15952956557,6683437.165100568,67.33557186753713
13-14,0.00022972422192900935,99242.65107062338,22.79844079937112,99231.25185022369,6584188.005571002,66.34433819069929
14-15,0.0003641802675642472,99219.85262982402,36.13391247841449,99201.7856735848,6484956.753720778,65.35946770567462
15-16,0.000489683249452492,99183.7187173456,48.568605674291746,99159.43441450846,6385754.968047193,64.38309684924558
16-17,0.0005849148365899417,99135.15011167132,57.98562012788757,99106.15730160738,6286595.5336326845,63.41439465770834
17-18,0.0006531488399793337,99077.16449154343,64.71213505609322,99044.80842401538,6187489.376331077,62.45121575778645
18-19,0.000699108973040716,99012.45235648734,69.22049388518668,98977.84210954474,6088444.567907061,61.49170556836676
19-20,0.0007364239088138227,98943.23186260214,72.86416155892984,98906.79978182267,5989466.725797516,60.53437524776641
20-21,0.0007661916891278811,98870.36770104321,75.753654033557,98832.49087402644,5890559.926015694,59.57861857889642
21-22,0.0007801322630506182,98794.61404700966,77.07286583370603,98756.0776140928,5791727.435141668,58.62391883413581
22-23,0.0007764878238026992,98717.54118117595,76.65296872292465,98679.2146968145,5692971.3575275745,57.66929858067761
23-24,0.000759788934142303,98640.88821245304,74.94625531778975,98603.41508479413,5594292.14283076,56.71372434098279
24-25,0.0007358042240670831,98565.94195713525,72.52523644121105,98529.67933891465,5495688.727745966,55.756467382373856
25-26,0.0007071534709617768,98493.41672069403,69.6499615009235,98458.59173994357,5397159.048407052,54.797155262795116
26-27,0.0006817452907504115,98423.76675919311,67.09993948599679,98390.21678945012,5298700.456667108,53.83557885597985
27-28,0.0006705830654788057,98356.66681970711,65.95631514623673,98323.688662134,5200310.239877658,52.87196494173697
28-29,0.0006796887170595442,98290.71050456088,66.80708692171605,98257.30696110002,5101986.551215524,51.90710826104754
29-30,0.0007064180374703532,98223.90341763916,69.38713708496617,98189.20984909667,5003729.244254424,50.942072857550976
30-31,0.0007460243074373155,98154.51628055419,73.22565503004515,98117.90345303917,4905540.034405327,49.977731237387644
31-32,0.0007924873871469813,98081.29062552414,77.72818573582533,98042.42653265623,4807422.130952288,49.01467038506966
32-33,0.0008421074754827287,98003.56243978831,82.5295325544841,97962.29767351107,4709379.704419632,48.05314814257894
33-34,0.0008912690501228319,97921.03290723382,87.27398598627686,97877.39591424068,4611417.406746121,47.09322675461134
34-35,0.00094405060785561,97833.75892124754,92.36001957840296,97787.57891145835,4513540.01083188,46.134790900399814
35-36,0.0010066300978005534,97741.39890166913,98.3894339355501,97692.20418470136,4415752.431920422,45.177913162086064
36-37,0.0010827595226024032,97643.00946773359,105.72389831674515,97590.14751857522,4318060.227735721,44.22293261211532
37-38,0.0011724956079790783,97537.28556941684,114.36203894434237,97480.10454994466,4220470.080217145,43.27032534869402
38-39,0.0012752920660955246,97422.9235304725,124.24268143424257,97360.80218975538,4122989.9756672005,42.3205322346705
39-40,0.0013829491588100084,97298.68084903825,134.55912883350092,97231.4012846215,4025629.1734774453,41.37393373013275
40-41,0.0015021646786952526,97164.12172020476,145.9565116845378,97091.14346436248,3928397.7721928237,40.43053858403718
41-42,0.001633639354652806,97018.16520852022,158.49269280084627,96938.9188621198,3831306.6287284615,39.49061106746216
42-43,0.0017786821603805872,96859.67251571937,172.2825715640159,96773.53122993736,3734367.7098663417,38.55441189170127
43-44,0.0019385200077808497,96687.38994415535,187.43043990685408,96593.67472420192,3637594.178636404,37.62221920291161
44-45,0.002114443034038032,96499.9595042485,204.04366715871043,96397.93767066914,3541000.503912202,36.69432113861463
45-46,0.0023080429227587593,96295.9158370898,222.25510703836824,96184.78828357061,3444602.566241533,35.771014131783076
46-47,0.002520679817792985,96073.66073005143,242.17093762373108,95952.57526123956,3348417.7779579624,34.852609471875695
47-48,0.0027535371769954273,95831.4897924277,263.8755698703075,95699.55200749254,3252465.202696723,33.93942022336923
48-49,0.003007998087048163,95567.6142225574,287.4672007652095,95423.8806221748,3156765.6506892303,33.0317511467616
49-50,0.0032861301388338294,95280.14702179219,313.10296276082966,95123.59554041177,3061341.7700670557,32.12990182904393
50-51,0.003590747527573462,94967.04405903135,341.00267865592684,94796.54271970339,2966218.174526644,31.234184489124964
51-52,0.00392480784850606,94626.04138037542,371.3890298827567,94440.34686543404,2871421.631806941,30.344940884343572
52-53,0.0042907522828171075,94254.65235049266,404.42336473900923,94052.44066812315,2776981.2849415066,29.46253808899643
53-54,0.004691641160036303,93850.22898575365,440.3115971883939,93630.07318715946,2682928.8442733833,28.587344679581427
54-55,0.005130694689492559,93409.91738856526,479.25776709145043,93170.28850501953,2589298.771086224,27.719741580707062
55-56,0.005610868841113746,92930.65962147381,521.4217424542747,92669.94875024667,2496128.4825812043,26.860117992796592
56-57,0.006136179346370891,92409.23787901954,567.0396568871142,92125.71805057598,2403458.5338309575,26.008855705286965
57-58,0.006712218473873456,91842.19822213243,616.4648995877452,91533.96577233856,2311332.8157803817,25.166349026077526
58-59,0.007345044500031464,91225.73332254468,670.0570708020939,90890.70478714364,2219798.850008043,24.333033774138624
59-60,0.00804007446845157,90555.67625174258,728.0743806050017,90191.63906144007,2128908.1452208995,23.509383766320585
60-61,0.008802466770612288,89827.60187113758,790.7044805544787,89432.24963086034,2038716.5061594595,22.695880371871727
61-62,0.00963682272370127,89036.89739058311,858.0327960214297,88607.88099257239,1949284.2565285992,21.892993957073386
62-63,0.010548789512194014,88178.86459456167,930.1802820322882,87713.77445354553,1860676.375536027,21.101160511549406
63-64,0.011544032916704488,87248.68431252938,1007.2016836429976,86745.08347070788,1772962.6010824814,20.320794692234397
64-65,0.012630724499047407,86241.48262888638,1089.2924074748466,85696.83642514895,1686217.5176117737,19.55227885944274
65-66,0.013818027506483276,85152.19022141154,1176.6353067167609,84563.87256805316,1600520.6811866248,18.79600133625422
66-67,0.015006891185448823,83975.55491469477,1260.2120148425065,83345.44890727352,1515956.8086185716,18.052358334023896
67-68,0.016457082553652136,82715.34289985227,1361.2532265565128,82034.71628657401,1432611.359711298,17.31977780042373
68-69,0.018054150518790623,81354.08967329576,1468.7789802808716,80619.70018315532,1350576.643424724,16.601213889165386
69-70,0.019810576512552858,79885.3106930149,1582.5740597130284,79094.02366315838,1269956.9432415687,15.897252351208703
70-71,0.021739973405613722,78302.73663330186,1702.2994119947577,77451.58692730448,1190862.9195784105,15.208445716978185
71-72,0.023850519577360698,76600.4372213071,1826.9602275811742,75686.95710751651,1113411.332651106,14.535313022226465
72-73,0.026149319385475638,74773.47699372593,1955.275531471454,73795.8392279902,1037724.3755435895,13.878241553895675
73-74,0.028643916744688337,72818.20146225447,2085.7985001827597,71775.3022121631,963928.5363155992,13.237466965113859
74-75,0.03135214130409659,70732.4029620717,2217.612292445172,69623.59681584912,892153.2341034361,12.61307684657382
75-76,0.034293533291916714,68514.79066962653,2349.614254817542,67339.98354221776,822529.637287587,12.005139755206534
76-77,0.037503344264643176,66165.17641480899,2481.4153894154306,64924.46872010127,755189.6537453693,11.413702715925108
77-78,0.041016090311993984,63683.761025393556,2612.0588936249846,62377.731578581064,690265.185025268,10.838951310523706
78-79,0.04486590154719562,61071.70213176857,2740.036975163586,59701.68364418678,627887.453446687,10.281152015248473
79-80,0.04906672651549068,58331.665156604984,2862.1438614323138,56900.59322588883,568185.7698025001,9.740606037511062
80-81,0.05403858625077442,55469.52129517267,2997.4945107983567,53970.774039773496,511285.1765766113,9.21740740930293
81-82,0.05919804575823043,52472.02678437431,3106.2414426084833,50918.90606307007,457314.4025368378,8.715394288391044
82-83,0.06481867804329791,49365.78534176583,3199.824946422475,47765.872868554594,406395.49647376774,8.232331232254044
83-84,0.0709350828744132,46165.96039534336,3274.7862266205593,44528.56728203308,358629.6236052131,7.768269533094933
84-85,0.07758315662178533,42891.174168722806,3327.632683224295,41227.35782711066,314101.05632318003,7.3232095509343615
85-86,0.08479987072097127,39563.541485498514,3354.9832032340573,37886.04988388148,272873.69849606935,6.897099911950186
86-87,0.09262298533431484,36208.55828226446,3353.744762754865,34531.68590088702,234987.64861218788,6.489837203136825
87-88,0.10109069066456938,32854.81351950959,3321.315790342856,31194.15562433816,200455.96271130088,6.10126618409408
88-89,0.11024116898613306,29533.497729166735,3255.8073139126473,27905.59407221041,169261.8070869627,5.731180527249331
89-90,0.12011207159216178,26277.69041525409,3156.2678324336625,24699.55649903726,141356.2130147523,5.379324087504115
90-91,0.13073990661926782,23121.422582820425,3022.8926293825725,21609.97626812914,116656.65651571506,5.04539269146842
91-92,0.14215933620705656,20098.529953437854,2857.193676918369,18669.93311497867,95046.68024758593,4.729036425439075
92-93,0.15440238475873486,17241.336276519483,2662.103437521894,15910.284557758536,76376.74713260726,4.429862390458837
93-94,0.16749756423646783,14579.232838997588,2441.98598896842,13358.239844513379,60466.462574848716,4.147437882541298
94-95,0.18146892744057816,12137.246850029169,2202.533167956329,11035.980266051005,47108.222730335336,3.881293946841175
95-96,0.19633506599828499,9934.71368207284,1950.5326664438358,8959.447348850921,36072.24246428433,3.6309292465445266
96-97,0.21210807614205385,7984.181015629004,1693.5092747949775,7137.426378231515,27112.79511543341,3.3958141808609072
97-98,0.22879252199310213,6290.671740834026,1439.2586526161551,5571.0424145259485,19975.368737201898,3.175395181970429
98-99,0.24638443256369763,4851.4130882178715,1195.3126608726561,4253.7567577815435,14404.326322675948,2.9690991182874646
99-100,0.2648703745162231,3656.1004273452154,968.3926894598504,3171.90408261529,10150.569564894406,2.7763377310357376
100-101,0.28422664723486374,2687.707737885365,763.9181590863573,2305.7486583421864,6978.665482279115,2.5965120328781692
101-102,0.3044186492905279,1923.7895787990078,585.6374250971876,1630.970866250414,4672.916823936928,2.429016601105698
102-103,0.3254004652353497,1338.1521537018202,435.4353333702575,1120.4344870166915,3041.9459576865142,2.2732437034692765
103-104,0.34711471826906526,902.7168203315628,313.3462947661368,746.0436729484943,1921.5114706698228,2.1285872018692005
104-105,0.3694927272868028,589.370525565426,217.7681228736256,480.4864641286132,1175.4677977213285,1.9944461874702961
105-106,0.39245499604610695,371.60240269180036,145.83721947913435,298.6837929522332,694.9813335927153,1.8702283100389934
106-107,0.4159120479486939,225.76518321266602,93.89845970549202,178.81595335992,396.29754064048205,1.755352774068702
107-108,0.43976560290134425,131.86672350717402,57.99044916575725,102.8714989242954,217.48158728056205,1.649252984349234
108-109,0.46391007398862283,73.87627434141677,34.271947895730456,56.74030039355155,114.61008835626666,1.5513788341112047
109-110,0.48823434268220095,39.60432644568632,19.336192289580968,29.936230300895836,57.86978796271511,1.461198640559591
