x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005054357395454005,100000.0,505.4357395454005,99747.2821302273,8134889.1813,81.34889181300001
1-2,0.00031241887327032326,99494.5642604546,31.083979662773,99479.02227062322,8035141.899169773,80.75960690812778
2-3,0.00020177948375699949,99463.48028079183,20.069689703732674,99453.44543593997,7935662.876899149,79.78468936031858
3-4,0.00017438116722851693,99443.4105910881,17.341058012058607,99434.74006208207,7836209.431463209,78.80069061273198
4-5,0.00016505595567908898,99426.06953307605,16.41086492619742,99417.86410061295,7736774.691401127,77.81434716000048
5-6,0.00016625489828075358,99409.65866814986,16.52734268999769,99401.39499680485,7637356.827300514,76.82711046011738
6-7,0.00016978192719652952,99393.13132545986,16.875157386534326,99384.6937467666,7537955.432303709,75.83980232618788
7-8,0.00016936847432823187,99376.25616807333,16.831204891638123,99367.84056562751,7438570.738556942,74.85259583512803
8-9,0.00016073453218836556,99359.4249631817,15.97049068996202,99351.4397178367,7339202.8979913145,73.86519095406305
9-10,0.00014476848672047342,99343.45447249174,14.381801569566877,99336.26357170695,7239851.458273478,72.87698516944765
10-11,0.0001277723207242339,99329.07267092216,12.691506130549804,99322.72691785688,7140515.194701771,71.88746459315433
11-12,0.00012108027831332331,99316.38116479162,12.02525507250507,99310.36853725536,7041192.467783914,70.89658710078
12-13,0.0001380176774936885,99304.35590971912,13.705756567666073,99297.50303143528,6941882.099246658,69.90511177130793
13-14,0.00018453108801149613,99290.65015315145,18.322211702129863,99281.48904730039,6842584.596215223,68.91469222591289
14-15,0.00024829531148754376,99272.32794144932,24.648853588315752,99260.00351465515,6743303.107167923,67.9273191935734
15-16,0.00031710401162468604,99247.679087861,31.471837183200186,99231.9431692694,6644043.103653268,66.94406523875985
16-17,0.0003749951407102014,99216.2072506778,37.20559559870043,99197.60445287846,6544811.160483998,65.96514160179497
17-18,0.00041451935288104786,99179.0016550791,41.111615585451766,99158.44584728638,6445613.55603112,64.98969992103193
18-19,0.00042991454869486373,99137.89003949365,42.62082125488994,99116.57962886621,6346455.110183833,64.01644323533202
19-20,0.00042735198798426457,99095.26921823875,42.348560300250234,99074.09493808863,6247338.530554967,63.04376162293252
20-21,0.00042240322828615687,99052.9206579385,41.84027345708578,99032.00052120996,6148264.435616879,62.070501251031324
21-22,0.000421482422571398,99011.08038448142,41.73143002186266,98990.21466947049,6049232.435095669,61.09651981985442
22-23,0.00041543532667884757,98969.34895445956,41.115363814088774,98948.79127255252,5950242.220426198,60.12207095718275
23-24,0.00040426815814133027,98928.23359064548,39.99353478186553,98908.23682325456,5851293.429153645,59.14685036594989
24-25,0.00039075082284538985,98888.24005586361,38.64066117156115,98868.91972527784,5752385.192330391,58.17056900882019
25-26,0.0003733151958899855,98849.59939469205,36.90205756167605,98831.14836591121,5653516.272605114,57.19311264005681
26-27,0.00036609149854158445,98812.69733713038,36.17448844308609,98794.61009290883,5554685.124239203,56.214284944450604
27-28,0.0003800524650784056,98776.5228486873,37.54026100051706,98757.75271818704,5455890.5141462935,55.23468894024548
28-29,0.0004192059494834633,98738.98258768678,41.391968946702384,98718.28660321343,5357132.761428107,54.25549890258001
29-30,0.00047342059469148063,98697.59061874008,46.72547204534023,98674.22788271742,5258414.474824893,53.27804297814802
30-31,0.0005309308004114135,98650.86514669475,52.37678279361305,98624.67675529794,5159740.246942176,52.3030410252317
31-32,0.0005839291020404404,98598.48836390114,57.574526772877604,98569.7011005147,5061115.570186878,51.330559465654574
32-33,0.0006312973391865256,98540.91383712826,62.20861670638775,98509.80952877506,4962545.869086363,50.36025825058439
33-34,0.0006728714552138907,98478.70522042188,66.26350968924504,98445.57346557725,4864036.059557588,49.391754782625995
34-35,0.0007137019170412766,98412.44171073263,70.23714830966277,98377.3231365778,4765590.4860920105,48.42467479975437
35-36,0.0007589009784850296,98342.20456242296,74.63199526879774,98304.88856478856,4667213.162955433,47.458903160879494
36-37,0.0008115839212902087,98267.57256715417,79.75238187972113,98227.69637621431,4568908.274390644,46.494567384050725
