x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005536581110854897,100000.0,553.6581110854897,99723.17094445725,7877017.853,78.77017853
1-2,0.00043723869311111874,99446.34188891451,43.48178856219048,99424.60099463341,7777294.682055543,78.20594035266866
2-3,0.00031005942786667276,99402.86010035232,30.820793931026156,99387.44970338681,7677870.08106091,77.23993125861472
3-4,0.00023409036789455212,99372.0393064213,23.262037239672054,99360.40828780146,7578482.631357523,76.26373257761864
4-5,0.0001995663377895235,99348.77726918162,19.82667164347763,99338.86393335988,7479122.223069721,75.28147229034668
5-6,0.00019043590151645218,99328.95059753815,18.915798253725317,99319.49269841128,7379783.359136361,74.29639913380166
6-7,0.00018976584223550678,99310.03479928442,18.845652396123697,99300.61197308636,7280463.866437949,73.31045529439699
7-8,0.00018424684065541577,99291.1891468883,18.294087905233475,99282.04210293568,7181163.254464863,72.3242748542499
8-9,0.00016472372572303424,99272.89505898306,16.352601137427488,99264.71875841435,7081881.212361927,71.33751068863482
9-10,0.00013256968025190705,99256.54245784563,13.158408096546431,99249.96325379735,6982616.493603513,70.34918122973141
10-11,0.00010010918706448216,99243.38404974909,9.935174498748577,99238.41646249972,6883366.530349716,69.35844234109547
11-12,8.967211745768551e-05,99233.44887525034,8.898473483272678,99228.9996385087,6784128.113887216,68.36533639393879
12-13,0.00012743193408104613,99224.55040176706,12.64437636601942,99218.22821358405,6684899.114248707,67.37142256811534
13-14,0.0002249028580368932,99211.90602540104,22.313041216400357,99200.74950479284,6585680.886035123,66.37994520888454
14-15,0.00035731632932041907,99189.59298418464,35.44206127189525,99171.87195354869,6486480.13653033,65.39476512989192
15-16,0.0005011519611382817,99154.15092291274,49.69129719001889,99129.30527431772,6387308.264576782,64.41796137755831
16-17,0.0006231466415756424,99104.45962572272,61.756611180937966,99073.58132013226,6288178.959302464,63.45001005050994
17-18,0.0007061749640549448,99042.70301454178,69.94147724119861,99007.73227592118,6189105.377982331,62.48926159732965
18-19,0.0007376717632060688,98972.76153730058,73.00941151259431,98936.25683154429,6090097.6457064105,61.53306779675124
19-20,0.000730809246357864,98899.75212578799,72.27685331602667,98863.61369912997,5991161.388874866,60.578123403735795
20-21,0.0007140956198612813,98827.47527247196,70.57226721402131,98792.18913886495,5892297.775175736,59.62206116194304
21-22,0.0007051824593279967,98756.90300525793,69.64163573686422,98722.0821873895,5793505.586036871,58.664310136663744
22-23,0.0006942110154017517,98687.26136952107,68.5097839225533,98653.0064775598,5694783.503849481,57.70535553242415
23-24,0.0006858286827116398,98618.75158559853,67.63556849061747,98584.93380135321,5596130.497371921,56.745095708442676
24-25,0.0006804941053635907,98551.11601710791,67.06345352664528,98517.58429034459,5497545.563570568,55.78369668199623
25-26,0.0006753192339406472,98484.05256358127,66.50817493260813,98450.79847611496,5399027.979280224,54.821342529488355
26-27,0.0006731985520130019,98417.54438864866,66.25454837511361,98384.4171144611,5300577.180804109,53.85805156723124
27-28,0.0006757265113120816,98351.28984027354,66.45857396681141,98318.06055329014,5202192.763689648,52.893996328245606
28-29,0.0006858201990458444,98284.83126630673,67.40572254224571,98251.1284050356,5103874.703136358,51.92942428020457
29-30,0.0007048047073019145,98217.42554376449,69.2241038623205,98182.81349183332,5005623.574731323,50.96471982459852
30-31,0.0007270895036921745,98148.20143990217,71.36252707321805,98112.52017636556,4907440.76123949,50.0003126826975
31-32,0.0007589182502415593,98076.83891282896,74.43230297694743,98039.62276134048,4809328.241063124,49.03633002831251
32-33,0.0008088950452745979,98002.40660985201,79.27366113169579,97962.76977928616,4711288.618301783,48.07319311103698
33-34,0.000874966604219131,97923.13294872032,85.67947111064032,97880.293213165,4613325.848522496,47.11170598410459
34-35,0.0009475714853843815,97837.45347760968,92.70798111800393,97791.09948705068,4515445.555309331,46.15252538581966
35-36,0.0010221703937062987,97744.74549649168,99.91178498687087,97694.78960399824,4417654.455822281,45.19582544701436
36-37,0.0010970507406748448,97644.8337115048,107.1213371462784,97591.27304293167,4319959.666218283,44.24155894393512
37-38,0.0011751823317565173,97537.71237435853,114.62459626229517,97480.40007622738,4222368.393175351,43.2895983552446
38-39,0.0012611952172707226,97423.08777809623,122.86953235748075,97361.65301191749,4124887.993099124,42.33994309946855
39-40,0.001360639667214274,97300.21824573875,132.3905365737582,97234.02297745188,4027526.3400872066,41.392778070809634
40-41,0.0014772475098645298,97167.827709165,143.54093152230965,97096.05724340383,3930292.317109755,40.4484942163531
41-42,0.0016100977990055672,97024.28677764269,156.21859059076743,96946.17748234731,3833196.259866351,39.50759533694026
42-43,0.0017566957311236082,96868.06818705192,170.1677218663847,96782.98432611872,3736250.0823840033,38.5705026672909
43-44,0.0019182534563785712,96697.90046518554,185.4910817918932,96605.15492428959,3639467.0980578847,37.63749864836222
44-45,0.0020960400022224206,96512.40938339365,202.2938707784596,96411.26244800442,3542861.943133595,36.7088747008651
45-46,0.002291624604842035,96310.11551261519,220.70663040388752,96199.76219741325,3446450.6806855905,35.78492936429047
46-47,0.002506329486973001,96089.4088822113,240.83171886729156,95968.99302277765,3350250.9184881775,34.865974902551386
47-48,0.002741292302461479,95848.577163344,262.74896677976,95717.20267995412,3254281.9254654,33.952323777529756
48-49,0.002997852927379698,95585.82819656424,286.55225487508295,95442.5520691267,3158564.722785446,33.044278449835915
49-50,0.0032780268314366533,95299.27594168915,312.3935835533426,95143.07914991248,3063122.1707163192,32.14213476910942
50-51,0.0035845791144522784,94986.8823581358,340.4879946479092,94816.63836081185,2967979.0915664067,31.246199663402194
51-52,0.003920352324110355,94646.3943634879,371.047212111565,94460.87075743212,2873162.453205595,30.35680833409525
52-53,0.004287614053513849,94275.34715137634,404.216303346138,94073.23899970327,2778701.5824481626,29.474318222201276
53-54,0.004689234035921063,93871.1308480302,440.1837017629828,93651.0389971487,2684628.343448459,28.59908386311715
54-55,0.005128271858558628,93430.94714626721,479.1392969686807,93191.37749778287,2590977.3044513105,27.731467822916386
55-56,0.005607512212173823,92951.80784929852,521.2283976585761,92691.19365046923,2497785.9269535276,26.871838049703705
56-57,0.006130841773892009,92430.57945163995,566.6772576871585,92147.24082279638,2405094.7333030584,26.02055237099767
57-58,0.006703705941261564,91863.90219395279,615.8285869250725,91555.98790049025,2312947.492480262,25.177980003472122
58-59,0.007332018145824065,91248.07360702772,669.0325314582171,90913.55734129861,2221391.504579772,24.3445304297217
59-60,0.00802087981856351,90579.0410755695,726.5236025478707,90215.77927429556,2130477.947238473,23.52065027340077
60-61,0.008774923336050408,89852.51747302164,788.4489523768947,89458.29299683319,2040262.1679641777,22.706789140067997
61-62,0.009598209572493044,89064.06852064474,854.8555950400287,88636.64072312473,1950803.8749673446,21.903377056204828
62-63,0.010495963774837833,88209.2129256047,925.8407034741042,87746.29257386766,1862167.23424422,21.110802063439387
63-64,0.011473223481317248,87283.3722221306,1001.4216357075023,86782.66140427685,1774420.9416703524,20.32942697441346
64-65,0.01253742045266894,86281.95058642309,1081.7530919783917,85741.07404043389,1687638.2802660754,19.55957496087987
65-66,0.013697035456581571,85200.1974944447,1166.9901259891615,84616.70243145012,1601897.2062256415,18.801566819491114
66-67,0.014878853600779203,84033.20736845554,1250.3177900391702,83408.04847343595,1517280.5037941914,18.055725246109667
67-68,0.016325900666024188,82782.88957841636,1351.5052321036744,82107.13696236453,1433872.4553207555,17.32087950327604
68-69,0.01791992104441012,81431.38434631268,1459.2439780229374,80701.76235730121,1351765.318358391,16.60005327441791
69-70,0.019673646436579602,79972.14036828975,1573.3436143822473,79185.46856109862,1271063.5560010897,15.893829402934013
70-71,0.02160103530822451,78398.7967539075,1693.495176803473,77552.04916550577,1191878.087439991,15.202759950274189
71-72,0.023711009232758023,76705.30157710404,1818.7601138962023,75795.92152015594,1114326.0382744854,14.5273666273819
72-73,0.026011481212226115,74886.54146320783,1947.9098663188224,73912.58653004841,1038530.1167543294,13.868047535144415
73-74,0.028510927941590512,72938.63159688901,2079.5480696171194,71898.85756208045,964617.530224281,13.225056586685731
74-75,0.031227582146844853,70859.0835272719,2212.7578516980243,69752.70460142288,892718.6726622005,12.598507181067552
75-76,0.03418107375926315,68646.32567557387,2346.4051212191903,67473.12311496427,822965.9680607776,11.98849260993455
76-77,0.037406472859829176,66299.92055435469,2480.046178825299,65059.897464942034,755492.8449458134,11.39507918906837
77-78,0.04093854154164558,63819.87437552938,2612.6925783052116,62513.52808637678,690432.9474808713,10.818462966852938
78-79,0.044811299527455946,61207.18179722417,2742.7733567468617,59835.795118850736,627919.4193944946,10.25891735180285
79-80,0.04903925529852172,58464.40844047731,2867.0510513896147,57030.8829147825,568083.6242756438,9.716742877061872
80-81,0.05404205136334108,55597.357389087694,3004.595243687108,54095.05976724414,511052.74136086134,9.192032955529783
81-82,0.059240867851364704,52592.762145400586,3115.640872193932,51034.94170930362,456957.6815936172,8.68860396284738
82-83,0.06490813544929497,49477.121273206656,3211.4676892424914,47871.38742858541,405922.73988431355,8.20425136787683
83-84,0.07107930160692531,46265.653583964166,3288.530345136114,44621.38841139611,358051.3524557281,7.7390315432576084
84-85,0.07779115597522739,42977.123238828055,3343.240097238243,41305.50319020893,313429.964044332,7.292948909180616
85-86,0.08508160003798898,39633.88314158981,3372.1141934051384,37947.82604488724,272124.46085412306,6.865955068847879
86-87,0.09298934862790828,36261.76894818467,3371.958274587403,34575.789810890965,234176.6348092358,6.45794845650957
87-88,0.10155355530171488,32889.81067359727,3340.0772071040924,31219.772070045223,199600.84499834484,6.068774520449796
88-89,0.11081335419710384,29549.733466493177,3274.5050810525213,27912.480925966916,168381.0729282996,5.698226453352923
