x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004395962319346886,100000.0,439.59623193468866,99780.20188403265,8088487.5939,80.884875939
1-2,0.0010724473941165825,99560.40376806531,106.77329557825642,99507.01712027618,7988707.3920159675,80.23980507980222
2-3,0.0004872910312019703,99453.63047248706,48.462862149717914,99429.3990414122,7889200.374895691,79.32541363664112
3-4,0.00028601652249407567,99405.16761033733,28.43152035784941,99390.95185015841,7789770.975854279,78.36384328015765
4-5,0.00019687614480391616,99376.73608997949,19.564908684591362,99366.9536356372,7690380.02400412,77.38611999734985
5-6,0.00015219535779540646,99357.17118129489,15.121700217476624,99349.61033118615,7591013.070368483,76.40126002095334
6-7,0.0001286282625900952,99342.04948107741,12.778195226890254,99335.66038346397,7491663.460037297,75.41281359878026
7-8,0.00011655218895309897,99329.27128585053,11.577043995482079,99323.48276385278,7392327.799653833,74.42245074344838
8-9,0.00011201533905812857,99317.69424185505,11.125105194972937,99312.13168925756,7293004.31688998,73.43106757120545
9-10,0.00011458956965148943,99306.56913666008,11.37949702093576,99300.87938814961,7193692.185200722,72.43923788466773
10-11,0.00012653273491343867,99295.18963963914,12.564091908852081,99288.90759368471,7094391.305812572,71.4474823157038
11-12,0.00015113846709921872,99282.62554773029,15.005423834869687,99275.12283581286,6995102.398218888,70.45646063072718
12-13,0.00019014172446644466,99267.62012389542,18.87491647403742,99258.1826656584,6895827.275383075,69.46703534119612
13-14,0.0002416650965960902,99248.74520742138,23.98495759759223,99236.75272862258,6796569.092717417,68.48015134612704
14-15,0.0003000794136128548,99224.76024982378,29.77530787164323,99209.87259588797,6697332.339988794,67.49658374710648
15-16,0.0003577550648085392,99194.98494195213,35.487508266590154,99177.24118781884,6598122.467392907,66.5166940773675
16-17,0.0004075355787250614,99159.49743368554,40.411023172723276,99139.29192209918,6498945.226205087,65.54032033644945
17-18,0.00044466797271757293,99119.08641051281,44.075083211780665,99097.04886890692,6399805.934282988,64.56683738768005
18-19,0.00046756409239176043,99075.01132730104,46.32391774995289,99051.84936842606,6300708.885414082,63.59533853192569
19-20,0.0004774756585237803,99028.68740955109,47.283787733621,99005.04551568428,6201657.036045656,62.624853446734875
20-21,0.00047754734451945034,98981.40362181746,47.26830645640683,98957.76946858925,6102651.990529971,61.65453072222171
21-22,0.00047174144673025155,98934.13531536105,46.6713321246749,98910.79964929871,6003694.2210613815,60.683748859017065
22-23,0.0004639627200039055,98887.46398323638,45.88009676395059,98864.5239348544,5904783.421412082,59.712153427385644
23-24,0.0004575132839915311,98841.58388647242,45.2213376388244,98818.97321765301,5805918.897477228,58.739638411154935
24-25,0.0004548630963390923,98796.3625488336,44.93881937600199,98773.8931391456,5707099.924259575,57.76629601559105
25-26,0.0004576510372044556,98751.4237294576,45.19369149520296,98728.82688371,5608326.03112043,56.79235619412607
26-27,0.0004668182797958933,98706.23003796239,46.07787251145933,98683.19110170666,5509597.20423672,55.818130244846046
27-28,0.0004827932531579097,98660.15216545093,47.63245582101244,98636.33593754043,5410914.013135013,54.843965819767114
28-29,0.0005056751020783112,98612.51970962991,49.86589597036658,98587.58676164472,5312277.677197473,53.87021539293157
29-30,0.0005353879246106499,98562.65381365955,52.769254669413144,98536.26918632485,5213690.090435828,52.897217036106994
30-31,0.0005717964024054266,98509.88455899013,56.32759759220445,98481.72076019403,5115153.821249504,51.92528490058705
31-32,0.0006147843741369961,98453.55696139793,60.52770839807412,98423.2931071989,5016672.10048931,50.9547065166601
32-33,0.0006643030497113593,98393.02925299986,65.36278940310679,98360.34785829831,4918248.807382111,49.985744363411406
33-34,0.0007203969551317047,98327.66646359675,70.83495152558093,98292.24898783395,4819888.459523813,49.018639746812774
34-35,0.000783215053813162,98256.83151207116,76.9562295802376,98218.35339728104,4721596.210535979,48.05361762511053
35-36,0.0008530129995524306,98179.87528249093,83.74870991040113,98138.00092753573,4623377.857138698,47.090891527779476
36-37,0.0009301508415464404,98096.12657258053,91.24419468393191,98050.50447523856,4525239.856211162,46.13066809384134
37-38,0.0010150890681277622,98004.88237789659,99.48368472494998,97955.14053553411,4427189.351735923,45.1731510136928
38-39,0.0011083847647573026,97905.39869317164,108.51685229900097,97851.14026702213,4329234.211200389,44.21854431917379
