x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005918906100274936,100000.0,591.8906100274936,99704.05469498625,7778236.1464,77.782361464
1-2,0.0009294819598745306,99408.10938997251,92.39804434321337,99361.9103678009,7678532.091705014,77.24251209307842
2-3,0.00048746670431175533,99315.7113456293,48.41310249603152,99291.50479438128,7579170.181337213,76.3139092359807
3-4,0.0003103478632871296,99267.29824313326,30.80739390404264,99251.89454618124,7479878.676542832,75.35088401643132
4-5,0.00021729208600557,99236.49084922922,21.563304104501675,99225.70919717697,7380626.781996651,74.37412103991157
5-6,0.00016848385514702161,99214.92754512471,16.716113480935036,99206.56948838424,7281401.072799474,73.39017679056172
6-7,0.00014330884262543447,99198.21143164378,14.215980870782012,99191.10344120838,7182194.50331109,72.40245967801798
7-8,0.0001292725298365332,99183.995450773,12.821766011216626,99177.5845677674,7083003.399869882,71.41276541319932
8-9,0.00011865415410178586,99171.17368476179,11.767071724846696,99165.29014889937,6983825.815302114,70.42193367098587
9-10,0.00011116322364975368,99159.40661303695,11.022879294301891,99153.8951733898,6884660.525153215,69.43023118341308
10-11,0.00011367542474962052,99148.38373374264,11.27073463417156,99142.74836642556,6785506.629979826,68.437894542002
11-12,0.00013853618180372797,99137.11299910846,13.734077109941213,99130.24596055348,6686363.8816134,67.44561828902089
12-13,0.0001991337435060807,99123.37892199852,19.7388095137093,99113.50951724166,6587233.635652847,66.45489396438379
13-14,0.0003002795396615857,99103.6401124848,29.758795431764394,99088.76071476893,6488120.126135605,65.46803042523409
14-15,0.00042700258231053085,99073.88131705303,42.3048031619087,99052.72891547208,6389031.365420836,64.48754485528698
15-16,0.0005611593992831716,99031.57651389112,55.57249998660059,99003.79026389783,6289978.6365053635,63.51487937408601
16-17,0.0006818701506805363,98976.00401390452,67.48878277071844,98942.25962251915,6190974.846241466,62.550260620460435
17-18,0.0007798955181271315,98908.5152311338,77.13830773337038,98869.94607726712,6092032.586618947,61.59259971078137
18-19,0.0008479049477319667,98831.37692340043,83.79961348451414,98789.47711665818,5993162.64054168,60.64028274326988
19-20,0.0008915529525151566,98747.57730991591,88.03869410437422,98703.55796286372,5894373.163425022,59.691319260681524
20-21,0.0009306919889225035,98659.53861581154,91.82164222052619,98613.62779470129,5795669.605462158,58.744138547322606
21-22,0.0009749744507801463,98567.71697359101,96.1010057209798,98519.66647073052,5697055.9776674565,57.79839639781708
22-23,0.0009957767478674332,98471.61596787004,98.05574550573643,98422.58809511717,5598536.311196726,56.854315389964285
23-24,0.0009927569819625384,98373.56022236429,97.6610387512644,98324.72970298865,5500113.723101608,55.910487641893944
24-25,0.0009770914094759582,98275.89918361303,96.02453685083363,98227.88691518761,5401788.99339862,54.96555145535965
25-26,0.0009593744539972809,98179.8746467622,94.19126363275896,98132.77901494582,5303561.106483432,54.01882132733335
26-27,0.0009334540970425539,98085.68338312944,91.55848301520092,98039.90414162184,5205428.3274684865,53.07021522331373
27-28,0.0009119903754383611,97994.12490011423,89.36969875840882,97949.44005073502,5107388.423326865,52.11933295524446
28-29,0.0008982769273565502,97904.75520135582,87.94558267586913,97860.78241001788,5009438.98327613,51.16645226244085
29-30,0.0008943148293859365,97816.80961867995,87.47902340520639,97773.07010697735,4911578.200866112,50.21200568708953
30-31,0.0009013886403234756,97729.33059527475,88.09210842499814,97685.28454106225,4813805.130759134,49.256503666176584
31-32,0.0009200644102597586,97641.23848684975,89.83622850543586,97596.32037259702,4716119.846218072,48.300491875195085
