x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006407410601558227,100000.0,640.7410601558228,99679.62946992209,7818473.2338,78.18473233799999
1-2,0.000614682691363319,99359.25893984418,61.07441669700833,99328.72173149568,7718793.604330078,77.68570022249587
2-3,0.00037607455905282867,99298.18452314717,37.34352095928899,99279.51276266752,7619464.882598582,76.73317411782514
3-4,0.0002677539785046206,99260.84100218788,26.577485088050377,99247.55225964385,7520185.369835914,75.76185426103892
4-5,0.00019872157243718255,99234.26351709983,19.719988885763815,99224.40352265694,7420937.817576271,74.78201131907943
5-6,0.00016203745788916896,99214.54352821407,16.076472418946107,99206.5052920046,7321713.414053613,73.79677569117179
6-7,0.00014445581322353464,99198.46705579512,14.329795229072893,99191.30215818058,7222506.908761608,72.80865443917838
7-8,0.0001348979302173841,99184.13726056604,13.379734826847285,99177.44739315262,7123315.606603428,71.81910135377605
8-9,0.00012506140761093693,99170.7575257392,12.402434530011861,99164.5563084742,7024138.159210275,70.82872345093462
9-10,0.00011451349371040049,99158.35509120919,11.354969672070842,99152.67760637315,6924973.602901801,69.8375199601887
10-11,0.00011079262768753318,99147.00012153712,10.98475667080127,99141.50774320171,6825820.925295427,68.84546095119518
11-12,0.00012809428156720768,99136.01536486631,12.698756665598212,99129.66598653351,6726679.417552225,67.8530339634384
12-13,0.00018291813589056276,99123.31660820071,18.131452297262133,99114.25088205207,6627549.751565692,66.86166260721525
13-14,0.0002824640929469445,99105.18515590344,27.99365623140125,99091.18832778774,6528435.50068364,65.87380357963801
14-15,0.00040982016928228695,99077.19149967204,40.603831392409155,99056.88958397583,6429344.312355853,64.89227454915428
15-16,0.0005497440621386341,99036.58766827964,54.444776005109006,99009.36528027708,6330287.422771877,63.91867462129251
16-17,0.0006751233879779386,98982.14289227453,66.82515965874882,98948.73031244516,6231278.0574916,62.95355783793549
17-18,0.0007688546733123706,98915.31773261577,76.05150430089964,98877.29198046532,6132329.327179154,61.995750180531594
18-19,0.0008190382668919339,98839.26622831488,80.95314131250947,98798.78965765862,6033452.035198689,61.04306785586255
19-20,0.000836372233400119,98758.31308700237,82.59871088340438,98717.01373156067,5934653.245541031,60.092695592246734
20-21,0.0008470181611609249,98675.71437611897,83.58012214210093,98633.92431504792,5835936.23180947,59.14257898924171
21-22,0.000863327025025118,98592.13425397687,85.11725395636289,98549.57562699869,5737302.307494422,58.19229242684742
22-23,0.0008718175121834207,98507.01700002051,85.8801424935678,98464.07692877372,5638752.731867423,57.242142779191546
23-24,0.0008733966788507362,98421.13685752694,85.96069406007781,98378.1565104969,5540288.654938649,56.2916547383383
24-25,0.000870053427085515,98335.17616346687,85.55685702408219,98292.39773495482,5441910.498428153,55.34042558058601
25-26,0.000863985858902662,98249.61930644278,84.88628172333654,98207.17616558111,5343618.100693198,54.38818123077233
26-27,0.0008588291717015421,98164.73302471945,84.30673635392282,98122.57965654248,5245410.924527617,53.43478011809739
27-28,0.0008566118227066132,98080.42628836553,84.01685273471841,98038.41786199817,5147288.344871075,52.480281129055975
28-29,0.0008604794634511771,97996.40943563082,84.32389781131347,97954.24748672516,5049249.927009077,51.52484622740886
29-30,0.0008716537569413132,97912.08553781951,85.3454372089996,97869.41281921501,4951295.679522351,50.56878987231729
30-31,0.0008878544723908944,97826.7401006105,86.85590871774869,97783.31214625163,4853426.266703136,49.61247059558154
31-32,0.0009128576091594424,97739.88419189276,89.222597002932,97695.2728933913,4755642.954556884,48.6561140713051
32-33,0.0009518129316112315,97650.66159488984,92.94516248640839,97604.18901364664,4657947.681663493,47.70011391205206
33-34,0.001004091009132226,97557.71643240344,97.95682594124752,97508.73801943281,4560343.492649846,46.74508239242821
