x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007393259348265816,100000.0,739.3259348265816,99630.33703258671,7546109.6068,75.461096068
1-2,0.0007387024469193965,99260.67406517341,73.32410281481228,99224.01201376601,7446479.269767414,75.01943080578056
2-3,0.00041166090410959074,99187.3499623586,40.83155416173892,99166.93418527773,7347255.257753648,74.07451918558078
3-4,0.00028168277077438844,99146.51840819686,27.9278660178548,99132.55447518794,7248088.32356837,73.10481941208678
4-5,0.0002023013266505686,99118.59054217901,20.051822362417315,99108.5646309978,7148955.769093182,72.12527670125625
5-6,0.00016290532420797693,99098.53871981658,16.143679578688474,99090.46688002723,7049847.204462185,71.13976952167144
6-7,0.00014600169041515537,99082.3950402379,14.46619716625694,99075.16194165478,6950756.737582157,70.1512789911812
7-8,0.00013698014573900358,99067.92884307164,13.57033933098519,99061.14367340614,6851681.575640502,69.16144968059133
8-9,0.0001251339800296195,99054.35850374066,12.395066118853855,99048.16097068123,6752620.431967096,68.170856224485
9-10,0.00011063169366562865,99041.9634376218,10.957180159073367,99036.48484754226,6653572.270996415,67.17932520781396
10-11,0.0001046295513828567,99031.00625746272,10.361569757711198,99025.82547258386,6554535.786148873,66.18670287069753
11-12,0.0001274134627150244,99020.64468770502,12.616563219934584,99014.33640609506,6455509.960676289,65.19357636012082
12-13,0.00020242702391637241,99008.02812448508,20.041900477068012,98998.00717424654,6356495.624270194,64.20182024308197
13-14,0.0003403937053092876,98987.98622400801,33.694887411894804,98971.13878030206,6257497.617095947,63.2147178237907
14-15,0.0005187587666414965,98954.29133659611,51.33340612765593,98928.62463353228,6158526.478315645,62.23607278806358
15-16,0.000711947399984671,98902.95793046846,70.41370374939032,98867.75107859376,6059597.853682113,61.26811553949862
16-17,0.0008868332427467036,98832.54422671907,87.64798568548827,98788.72023387632,5960730.102603519,60.31141006478365
17-18,0.0010288868674787038,98744.89624103358,101.59732697294668,98694.0975775471,5861941.382369643,59.364499893349475
18-19,0.0011252392381874419,98643.29891406064,110.9973105223537,98587.80025879946,5763247.284792096,58.42512718287245
19-20,0.0011864962003404617,98532.30160353829,116.90820146339856,98473.84750280659,5664659.484533297,57.49038023414932
20-21,0.0012457146155015744,98415.39340207489,122.5974939513019,98354.09465509924,5566185.637030491,56.55807942859007
21-22,0.0013077386133412074,98292.79590812359,128.54128462231984,98228.52526581242,5467831.542375391,55.62799889715511
22-23,0.0013424566266383557,98164.25462350127,131.78125411833412,98098.3639964421,5369603.0171095785,54.70018631225928
23-24,0.0013419388938609637,98032.47336938293,131.55358887576412,97966.69657494505,5271504.653113136,53.77304552186795
24-25,0.0013140496070366805,97900.91978050717,128.64666516610504,97836.59644792412,5173537.956538191,52.84463075665896
25-26,0.0012716568076415538,97772.27311534107,124.33277670571275,97710.10672698822,5075701.360090267,51.913504701915926
26-27,0.0012374072581425532,97647.94033863535,120.83027011769839,97587.5252035765,4977991.253363279,50.97896828238259
27-28,0.001214200764944689,97527.11006851765,118.41749164803902,97467.90132269364,4880403.728159702,50.041508712100416
28-29,0.0012098671740307576,97408.69257686961,117.85157961400807,97349.7667870626,4782935.826837009,49.10173517689479
29-30,0.0012195572678675589,97290.8409972556,118.65175223515013,97231.51512113801,4685586.060049946,48.16060804924195
30-31,0.0012338128737958592,97172.18924502045,119.89229806543375,97112.24309598772,4588354.544928809,47.21880386330739
31-32,0.0012510972696390232,97052.29694695502,121.42186372253113,96991.58601509375,4491242.301832821,46.27651733258367
32-33,0.0012774983670074693,96930.87508323249,123.8290346314345,96868.96056591677,4394250.715817727,45.33385994962366
33-34,0.0013137989347594434,96807.04604860106,127.18499397586045,96743.45355161313,4297381.75525181,44.39120839504131
34-35,0.0013615853427067805,96679.8610546252,131.63788174690578,96614.04211375176,4200638.301700197,43.44894847673384
35-36,0.0014207822059342482,96548.2231728783,137.1739974985941,96479.636174129,4104024.2595864455,42.50750686771128
36-37,0.001495999292815666,96411.0491753797,144.23086138598444,96338.9337446867,4007544.6234123167,41.567275303915224
37-38,0.0015909293854661317,96266.81831399372,153.1537101010618,96190.24145894319,3911205.68966763,40.62880396556206
38-39,0.0017053008691964155,96113.66460389266,163.9027157906709,96031.71324599732,3815015.448208687,39.69274778910237
39-40,0.0018364450120444892,95949.76188810199,176.20646162626133,95861.65865728886,3718983.7349626897,38.7596973851777
40-41,0.001983209182652262,95773.55542647572,189.93899457704202,95678.5859291872,3623122.076305401,37.830088484987186
41-42,0.0021559932158077867,95583.61643189868,206.07762856954724,95480.5776176139,3527443.490376214,36.90426897468818
42-43,0.002348212278806489,95377.53880332914,223.96670774031983,95265.55544945897,3431962.9127586,35.982925915454715
43-44,0.00256104420595108,95153.57209558882,243.69250449095614,95031.72584334335,3336697.357309141,35.06644347473557
44-45,0.0027958945952850285,94909.87959109787,265.35801938790337,94777.20058140391,3241665.631465798,34.155196966131776
45-46,0.003054400171718228,94644.52157170996,289.08224294082044,94499.98045023956,3146888.430884394,33.24955717061837
46-47,0.003338433385318287,94355.43932876915,314.999348741537,94197.93965439837,3052388.4504341544,32.349893892163514
47-48,0.0036501089524001605,94040.43998002762,343.2578518587488,93868.81105409825,2958190.510779756,31.456578801715718
48-49,0.003991792754559101,93697.18212816886,374.01973274182893,93510.17226179794,2864321.6997256577,30.569987641757862
49-50,0.0043661133159995005,93323.16239542703,407.45950202585783,93119.4326444141,2770811.52746386,29.690501868372536
50-51,0.004775975957249304,92915.70289340118,443.7631630698036,92693.82131186627,2677692.0948194456,28.81850980443494
51-52,0.005224579652528097,92471.93973033137,483.1270147448938,92230.37622295893,2584998.273507579,27.95440736991141
52-53,0.005715436581946004,91988.81271558648,525.7562253244428,91725.93460292426,2492767.8972846204,27.09859844578958
53-54,0.006252394355652644,91463.05649026204,571.8630981504533,91177.12494118682,2401041.9626816963,26.251494918468335
54-55,0.006839660885687407,90891.19339211159,621.6649402974754,90580.36092196284,2309864.8377405093,25.413516442407957
55-56,0.007481831885901156,90269.52845181411,675.3814362960444,89931.83773366609,2219284.4768185467,24.58508995095949
56-57,0.008183920986188037,89594.14701551807,733.2314199999146,89227.53130551812,2129352.6390848807,23.766648938753423
57-58,0.008951392451049171,88860.91559551816,795.4289290550388,88463.20113099064,2040125.1077793627,22.95863253385451
58-59,0.00979019649181296,88065.48666646313,862.1784186118083,87634.39745715722,1951661.906648372,22.161484374009586
59-60,0.010706807154857561,87203.30824785132,933.6690046753439,86736.47374551365,1864027.5091912148,21.375651298609352
60-61,0.011708262753446648,86269.63924317597,1010.0676039041565,85764.6054412239,1777291.035445701,20.601581866314422
61-62,0.012802208786965027,85259.57163927182,1091.51083721316,84713.81622066523,1691526.4300044773,19.83972470752287
62-63,0.013996943257100094,84168.06080205865,1178.0955711065656,83579.01301650537,1606812.6137838122,19.09052672084981
63-64,0.015301464244447322,82989.96523095209,1269.86798562934,82355.03123813742,1523233.6007673068,18.35443112342935
64-65,0.016725519549575973,81720.09724532274,1366.811084069895,81036.6917032878,1440878.5695291692,17.631875366027394
65-66,0.018279658128058755,80353.28616125285,1468.8306004937767,79618.87086100595,1359841.8778258814,16.923288925569924
66-67,0.019975282957462117,78884.45556075907,1575.7393207715083,78096.58590037332,1280223.0069648754,16.229090989653987
67-68,0.021824704863777876,77308.71623998757,1687.2399153352803,76465.09628231992,1202126.421064502,15.549688049828305
68-69,0.02384119670310717,75621.47632465229,1802.9064920353974,74720.0230786346,1125661.3247821822,14.885471422821473
