x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012322539479414646,100000.0,1232.2539479414645,99383.87302602927,7445758.6901,74.457586901
1-2,0.004490601168551041,98767.74605205853,443.5265558365265,98545.98277414027,7346374.817073971,74.38030238334933
2-3,0.00043525512565548364,98324.21949622201,42.79612051180546,98302.8214359661,7247828.834299831,73.71356590914327
3-4,0.00036338608955500674,98281.4233757102,35.71410211639936,98263.566324652,7149526.012863864,72.7454463651046
4-5,0.0003095705768873583,98245.7092735938,30.413980896534124,98230.50228314554,7051262.446539212,71.77170889878678
5-6,0.00026193330574276867,98215.29529269726,25.725856970518382,98202.432364212,6953031.944256066,70.79377935519025
6-7,0.00022138522856817577,98189.56943572675,21.737720272539132,98178.70057559048,6854829.511891854,69.81219646124337
7-8,0.00018713393961819542,98167.83171545422,18.37053309268898,98158.64644890788,6756650.811316264,68.82754455554088
8-9,0.00015888445756725875,98149.46118236153,15.59442390047823,98141.66397041129,6658492.164867356,67.84033335135574
9-10,0.00013674537884338005,98133.86675846105,13.419352787251537,98127.15708206742,6560350.500896946,66.85103438392042
10-11,0.00012157481493989337,98120.4474056738,11.928975235164332,98114.48291805621,6462223.343814878,65.8601088221414
11-12,0.00011510254155064098,98108.51843043863,11.29253981911139,98102.87216052908,6364108.860896821,64.86805593144423
12-13,0.00011952825913886484,98097.22589061952,11.725390637057732,98091.36319530099,6266005.988736292,63.875465711161105
13-14,0.0001363152857852634,98085.50049998246,13.370553032045706,98078.81522346643,6167914.625540991,62.88304177580349
14-15,0.00016518470355844972,98072.12994695042,16.200015712632762,98064.02993909409,6069835.810317525,61.89154669732212
15-16,0.00019316557752888273,98055.92993123778,18.941030335299207,98046.45941607014,5971771.780378431,60.90168931716997
16-17,0.0002302614813160918,98036.98890090249,22.574142288091057,98025.70182975844,5873725.320962361,59.9133590985707
17-18,0.00029916825822207886,98014.4147586144,29.32280174399109,97999.7533577424,5775699.619132603,58.927042857489305
