x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011043779483204794,100000.0,1104.3779483204794,99447.81102583976,7171427.358,71.71427358
1-2,0.003266120627464768,98895.62205167951,323.00503114895,98734.11953610503,7071979.54697416,71.50953096061808
2-3,0.0006606444004952205,98572.61702053057,65.12144747677338,98540.05629679219,6973245.427438055,70.7422166339124
3-4,0.000492562072913717,98507.49557305379,48.52105621700218,98483.2350449453,6874705.371141263,69.78865243856431
4-5,0.0003731250739581792,98458.9745168368,36.73751214844121,98440.60576076257,6776222.136096318,68.82279821975561
5-6,0.00029141069488511064,98422.23700468836,28.681292477683286,98407.89635844952,6677781.530335556,67.84830068450343
6-7,0.00023409887449971504,98393.55571221067,23.033820650253524,98382.03880188554,6579373.633977106,66.86793242050307
7-8,0.00019156701602618504,98370.52189156042,18.84454734370474,98361.09961788857,6480991.595175221,65.88347271675143
8-9,0.00015790102461902148,98351.67734421672,15.529830625651222,98343.91242890389,6382630.495557332,64.89600043341451
9-10,0.00013294577637504296,98336.14751359107,13.073375476925115,98329.61082585261,6284286.583128428,63.90617023368619
10-11,0.00012241517911587327,98323.07413811414,12.03623673184053,98317.05601974823,6185956.972302576,62.914600937041286
11-12,0.00013524439779642934,98311.0379013823,13.296017117714388,98304.38989282344,6087639.916282827,61.922242367021454
12-13,0.0001850451850020019,98297.74188426459,18.18952383225277,98288.64712234846,5989335.526390004,60.93055050483079
13-14,0.0002830196286494151,98279.55236043234,27.815042412880306,98265.6448392259,5891046.879267655,59.941734956857715
14-15,0.00042183686946491855,98251.73731801946,41.44620528972284,98231.0142153746,5792781.234428429,58.95856289724892
15-16,0.0005743915141408012,98210.29111272973,56.411157816449695,98182.0855338215,5694550.220213055,57.98323328129249
16-17,0.0007217624125561833,98153.87995491328,70.8437811980082,98118.45806431428,5596368.134679233,57.01627013878523
17-18,0.0008483549724068958,98083.03617371527,83.20923144673678,98041.4315579919,5498249.676614919,56.057090921175664
