x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008905805576458654,100000.0,890.5805576458654,99554.70972117707,6900972.3679,69.009723679
1-2,0.0021011383779831567,99109.41944235413,208.2426048099603,99005.29813994915,6801417.658178823,68.6253405220963
2-3,0.0008747692738478308,98901.17683754418,86.51571064487442,98857.91898222174,6702412.360038874,67.76878268140638
3-4,0.0006157246098238111,98814.6611268993,60.84261866723219,98784.23981756569,6603554.441056652,66.827678866158
4-5,0.0004338403531105882,98753.81850823207,42.84339149263034,98732.39681248575,6504770.201239087,65.86854361177792
5-6,0.0003195904400919521,98710.97511673944,31.547083979464492,98695.2015747497,6406037.804426601,64.89691543266159
6-7,0.0002462494710180361,98679.42803275998,24.299756953429508,98667.27815428327,6307342.602851852,63.91750265068334
7-8,0.00019579964256682419,98655.12827580655,19.31663885378711,98645.46995637966,6208675.324697569,62.93312302367295
8-9,0.00015696344100282544,98635.81163695276,15.482216400642637,98628.07052875243,6110029.85474119,61.94534980084392
9-10,0.00012933011044727474,98620.32942055211,12.754578096306622,98613.95213150396,6011401.784212437,60.95499598848109
10-11,0.00012321305284788856,98607.5748424558,12.149740330265631,98601.49997229067,5912787.832080933,59.9628156511072
11-12,0.00015431697546442426,98595.42510212553,15.214947796389186,98587.81762822733,5814186.332108643,58.97014314899789
12-13,0.0002468967456770762,98580.21015432915,24.33913307526613,98568.04058779152,5715598.514480416,57.979167477250655
13-14,0.00042107701610090247,98555.87102125389,41.49961208885499,98535.12121520945,5617030.4738926245,56.99336240132558
14-15,0.0006626537045044551,98514.37140916503,65.28091316121099,98481.73095258443,5518495.352677415,56.017160478618415
15-16,0.0009309717293799646,98449.09049600382,91.6533200349493,98403.26383598635,5420013.621724831,55.05397352497469
16-17,0.0011803684720166794,98357.43717596887,116.09801783087491,98299.38816705343,5321610.357888845,54.104809058496336
17-18,0.0013607478786820332,98241.33915813798,133.68169385831843,98174.49831120882,5223310.969721791,53.16815725927643
18-19,0.0014515942267716315,98107.65746427966,142.41250917723713,98036.45120969105,5125136.471410583,52.23992299761729
19-20,0.0014712317113514933,97965.24495510242,144.12957498826358,97893.18016760828,5027100.020200891,51.31513755214737
20-21,0.0014635733987959096,97821.11538011415,143.1683823108805,97749.5311889587,4929206.840033283,50.39000854651195
21-22,0.0014692977735323365,97677.94699780327,143.51799004708192,97606.18800277973,4831457.308844325,49.46313325927071
22-23,0.0015190710554520166,97534.42900775619,148.16172801572196,97460.34814374833,4733851.120841545,48.53518054086416
23-24,0.0016252039781732659,97386.26727974047,158.27254900247917,97307.13100523922,4636390.772697797,47.608260406776246
24-25,0.001783946276670911,97227.99473073799,173.449519188079,97141.26997114395,4539083.641692557,46.68494556802328
25-26,0.001968352050977167,97054.5452115499,191.03751312381044,96959.02645498801,4441942.371721413,45.76748427432539
26-27,0.002120985536735207,96863.5076984261,205.44609886580116,96760.7846489932,4344983.345266425,44.85676235052373
27-28,0.002197086316814893,96658.0615995603,212.36610455024498,96551.87854728517,4248222.560617432,43.95104236848008
28-29,0.002195354098897783,96445.69549501005,211.73245292601774,96339.82926854704,4151670.682070147,43.04671826732742
