x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00779775340722027,100000.0,779.775340722027,99610.11232963899,7224593.2234,72.245932234
1-2,0.000566671399307374,99220.22465927797,56.225263547265065,99192.11202750434,7124983.111070361,71.80978611505404
2-3,0.00044075204434082624,99163.9993957307,43.70673545868077,99142.14602800136,7025790.9990428565,70.85021824306672
3-4,0.0003248318697246181,99120.29266027203,32.1974299924875,99104.19394527578,6926648.853014855,69.88123891800306
4-5,0.0002582232061494133,99088.09523027953,25.586845641601172,99075.30180745873,6827544.659069579,68.90378347875644
5-6,0.0002265937746248271,99062.50838463793,22.44694769867869,99051.28491078858,6728469.357262121,67.92145148532838
6-7,0.00021240746180831299,99040.06143693924,21.036848067159642,99029.54301290566,6629418.072351332,66.93673222903251
7-8,0.00020087285110087182,99019.02458887208,19.890233782394066,99009.07947198089,6530388.529338426,65.95084688475433
8-9,0.00018154060949928318,98999.13435508969,17.97236319072441,98990.14817349432,6431379.449866445,64.96399682444091
9-10,0.00015534643139413518,98981.16199189896,15.376370290686312,98973.47380675362,6332389.301692951,63.97570178264042
10-11,0.00013539578846584726,98965.78562160827,13.399550575379662,98959.08584632058,6233415.827886197,62.98556403845884
11-12,0.0001458930602936716,98952.38607103289,14.436466427263872,98945.16783781926,6134456.742039876,61.99402546631126
12-13,0.00021576669582064938,98937.94960460563,21.347514477455682,98927.27584736691,6035511.574202057,61.00299832695441
13-14,0.00035939035168480233,98916.60209012817,35.549672412636816,98898.82725392186,5936584.29835469,60.01605567633179
14-15,0.000551537606088665,98881.05241771553,54.536618937994625,98853.78410824653,5837685.471100768,59.03745286245445
15-16,0.0007628648245732612,98826.51579877753,75.39127263802105,98788.82016245852,5738831.686992521,58.06975628562542
16-17,0.0009558931038962276,98751.12452613951,94.39551893653439,98703.92676667124,5640042.866830063,57.11370775668624
17-18,0.0011120061157370773,98656.72900720297,109.70688601462521,98601.87556419565,5541338.940063392,56.16787618874751
18-19,0.0012149551625373805,98547.02212118835,119.73021327882321,98487.15701454894,5442737.064499197,55.22984812068682
19-20,0.0012776776066477787,98427.29190790953,125.75834675372013,98364.41273453267,5344249.907484648,54.29642331808571
20-21,0.0013345594601657399,98301.53356115581,131.18924156284046,98235.93894037438,5245885.494750115,53.36524573633961
21-22,0.0014212478124535446,98170.34431959297,139.52438711203277,98100.58212603696,5147649.555809741,52.43589183156573
22-23,0.001492820804212075,98030.81993248094,146.3424474491753,97957.64870875636,5049548.973683704,51.50981066119408
23-24,0.001541052760640706,97884.47748503176,150.84514425218123,97809.05491290567,4951591.324974948,50.586073013794575
24-25,0.0015659927479679413,97733.63234077959,153.05015947822588,97657.10726104047,4853782.270062042,49.66337742505852
25-26,0.001570215231880683,97580.58218130136,153.22251647686417,97503.97092306292,4756125.162801002,48.74048767165875
26-27,0.0015460286009148195,97427.3596648245,150.62548455343355,97352.04692254779,4658621.191877939,47.81635474783274
27-28,0.0015229261189292792,97276.73418027107,148.14527924727537,97202.66154064743,4561269.144955391,46.889620456444895
28-29,0.0015069149255502376,97128.5889010238,146.3645203125859,97055.40664086751,4464066.483414744,45.96037617681986
29-30,0.0015026215871894936,96982.22438071121,145.7275839281119,96909.36058874715,4367011.076773876,45.02898448308256
30-31,0.0015133801574114772,96836.4967967831,146.55043276549162,96763.22158040036,4270101.716185129,44.09599538845546
31-32,0.001541434153656036,96689.94636401761,149.041185640667,96615.42577119728,4173338.494604729,43.16207270291551
32-33,0.0015881860151489282,96540.90517837694,153.324915494117,96464.24272062987,4076723.068833532,42.22793500124162
33-34,0.0016544481753787217,96387.58026288282,159.46825629509658,96307.84613473527,3980258.826112902,41.294312143300374
34-35,0.0017406684961085545,96228.11200658773,167.5012430098726,96144.3613850828,3883950.9799781665,40.361916065777876
35-36,0.0018471172653045634,96060.61076357786,177.43521265710604,95971.8931572493,3787806.6185930837,39.43142343655867
36-37,0.001974032881732955,95883.17555092076,189.27654134249093,95788.53728024951,3691834.7254358344,38.50346741462697
37-38,0.0021217293230737246,95693.89900957826,203.03655156787786,95592.38073379433,3596046.188155585,37.57863589397321
38-39,0.0022906714757692736,95490.8624580104,218.7381948291714,95381.4933605958,3500453.8074217904,36.65747399612213
39-40,0.002481525357650008,95272.12426318122,236.4201922362668,95153.91416706309,3405072.3140611947,35.7404890506584
40-41,0.002695189994260461,95035.70407094495,256.139278709509,94907.6344315902,3309918.3998941313,34.82815676751602
41-42,0.0029328168122734134,94779.56479223544,277.9711010826254,94640.57924169413,3215010.765462541,33.92092770746635
42-43,0.0031958212859422,94501.59369115281,302.0102046736473,94350.58858881598,3120370.186220847,33.019233478947925
43-44,0.0034858904536986487,94199.58348647917,328.3694288179066,94035.39877207021,3026019.597632031,32.12349233015841
44-45,0.0038049889356771183,93871.21405766126,357.17893086797943,93692.62459222726,2931984.198859961,31.234113975120877
45-46,0.004155365277824007,93514.03512679329,388.5849745550913,93319.74263951574,2838291.5742677334,30.35150360498685
46-47,0.0045395598282299155,93125.45015223819,422.74855249692797,92914.07587598973,2744971.831628218,29.47606510509034
47-48,0.004960414896881563,92702.70159974127,459.84386199652283,92472.77966874301,2652057.755752228,28.608203536536738
48-49,0.005421087632044442,92242.85773774475,500.056615226523,91992.82943013149,2559584.9760834854,27.748326958393136
49-50,0.005925065834345688,91742.80112251823,543.582136478204,91471.01005427912,2467592.1466533537,26.89684767045645
50-51,0.006476186795479302,91199.21898604002,590.6231777554177,90903.90739716231,2376121.1365990746,26.05418295262803
51-52,0.007078659168973725,90608.5958082846,641.387367506148,90287.90212453152,2285217.2292019124,25.220755368917974
52-53,0.007737087837169113,89967.20844077846,696.0841941712054,89619.16634369285,2194929.327077381,24.396992694535015
53-54,0.00845650171739728,89271.12424660726,754.9214155054203,88893.66353885455,2105310.160733688,23.583327514929334
