x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005378852521599945,100000.0,537.8852521599945,99731.05737392,7842318.6251,78.423186251
1-2,0.0004631648361687403,99462.11474784001,46.06735408217977,99439.08107079891,7742587.567726079,77.84459024780813
2-3,0.00020026409181276038,99416.04739375784,19.909464442925255,99406.09266153637,7643148.48665528,76.88043014205753
3-4,0.0001750934570636277,99396.13792931491,17.403613408816916,99387.4361226105,7543742.393993744,75.89572946343691
4-5,0.00016850383915168273,99378.73431590608,16.74569826226525,99370.36146677495,7444354.957871133,74.90893307422236
5-6,0.0001735960799301009,99361.98861764382,17.24885171808227,99353.36419178477,7344984.596404359,73.92147337820191
6-7,0.00018113345914433693,99344.73976592574,17.994656361596096,99335.74243774494,7245631.232212574,72.9342212711473
7-8,0.00018343225878390978,99326.74510956414,18.219729213101015,99317.6352449576,7146295.48977483,71.94734390915539
8-9,0.0001751680715872374,99308.52538035104,17.395682883048313,99299.82753890952,7046977.854529873,70.96045206129071
9-10,0.0001573418719755612,99291.129697468,15.622652217167852,99283.31837135942,6947678.026990963,69.9727966451784
10-11,0.00013776319326023074,99275.50704525084,13.676510863082289,99268.66878981929,6848394.708619604,68.98372934522543
11-12,0.00013057422270006566,99261.83053438776,12.961036365813325,99255.35001620486,6749126.039829785,67.99316518237745
12-13,0.00015272348737246908,99248.86949802194,15.157633467512985,99241.29068128818,6649870.68981358,67.00197920084233
13-14,0.0002128902382952131,99233.71186455443,21.125888565763507,99223.14892027155,6550629.399132292,66.01213716638297
14-15,0.0002970338507674241,99212.58597598867,29.46949645704205,99197.85122776014,6451406.25021202,65.02608703066548
15-16,0.00039285710303637857,99183.11647953163,38.964791810268494,99163.6340836265,6352208.39898426,64.04525915754182
16-17,0.0004760464009378114,99144.15168772136,47.197216584972196,99120.55307942888,6253044.764900633,63.07023317518637
17-18,0.0005290761054290353,99096.95447113639,52.42983073146726,99070.73955577065,6153924.211821204,62.100033695925895
18-19,0.0005403860114811867,99044.52464040492,53.522275629478536,99017.76350259018,6054853.4722654335,61.132642054151205
19-20,0.0005221617926710543,98991.00236477544,51.68931925309572,98965.1577051489,5955835.708762843,60.16542480109428
20-21,0.0004954987866496072,98939.31304552234,49.02430956600198,98914.80089073934,5856870.5510576945,59.1965960827212
21-22,0.0004796694187844317,98890.28873595635,47.43464732140082,98866.57141229564,5757955.750166955,58.225694593137256
22-23,0.000476741137666712,98842.85408863495,47.12245470844064,98819.29286128073,5659089.178754659,57.25339713157218
23-24,0.0004946779008571353,98795.73163392651,48.87206513831565,98771.29560135736,5560269.885893378,56.28046671587155
24-25,0.0005287993005046683,98746.85956878819,52.217270267007905,98720.75093365468,5461498.590292021,55.30807373663846
25-26,0.00056893823548768,98694.64229852118,56.15115564140839,98666.56672070047,5362777.839358366,54.337071541711445
26-27,0.0006085521165465537,98638.49114287978,60.026662557957984,98608.4778116008,5264111.272637665,53.36771894667871
27-28,0.0006481216349665764,98578.46448032183,63.89083557148076,98546.51906253608,5165502.794826064,52.39991129966524
28-29,0.0006867360710166148,98514.57364475034,67.65351124267279,98480.746889129,5066956.275763528,51.43357057033294
29-30,0.0007273386289301581,98446.92013350767,71.60424791230224,98411.11800955152,4968475.528874399,50.46857252757585
30-31,0.0007740089775824011,98375.31588559537,76.1433776679554,98337.24419676138,4870064.410864848,49.504943054296696
31-32,0.0008282075990435613,98299.1725079274,81.4121216507594,98258.46644710202,4771727.166668086,48.54290270127419
32-33,0.0008878875158185832,98217.76038627664,87.20632327863602,98174.15722463733,4673468.700220984,47.5827251796507
33-34,0.0009523762096378518,98130.55406299801,93.45720512818033,98083.82546043392,4575294.542996347,46.62456649392902
34-35,0.0010218970461106295,98037.09685786982,100.18381968831885,97987.00494802566,4477210.717535913,45.66853630954403
35-36,0.0010957060257480572,97936.9130381815,107.31006575909895,97883.25800530195,4379223.712587887,44.71474111993515
36-37,0.0011777269224848826,97829.6029724224,115.21655723662896,97771.9946938041,4281340.454582585,43.76324061940096
37-38,0.0012713383083742117,97714.38641518577,124.22804272890633,97652.27239382132,4183568.459888781,42.81425298126432
38-39,0.001376174835461202,97590.15837245686,134.30112014084847,97523.00781238644,4085916.1874949597,41.86811719170382
39-40,0.0014894597721121655,97455.85725231601,145.15657893403034,97383.278962849,3988393.1796825733,40.92512540684454
40-41,0.001609795198979277,97310.70067338199,156.65029875331982,97232.37552400533,3891009.900719724,39.98542682145189
41-42,0.0017398861581755906,97154.05037462867,169.0369874575105,97069.53188089991,3793777.5251957187,39.04909276110269
42-43,0.0018826207199940548,96985.01338717116,182.5859957315892,96893.72038930537,3696707.993314819,38.1162806933613
43-44,0.0020392469608701046,96802.42739143957,197.4040558628421,96703.72536350816,3599814.272925514,37.187231456179916
44-45,0.00221113141023809,96605.02333557673,213.60640148407734,96498.22013483469,3503110.5475620055,36.26219865806828
45-46,0.002399770412768301,96391.41693409265,231.31727040324893,96275.75829889101,3406612.3274271707,35.34144881132344
46-47,0.0026068025220749554,96160.0996636894,250.6703903262846,96034.76446852625,3310336.5691282796,34.42526142033817
47-48,0.0028340220135632706,95909.42927336312,271.8094338690006,95773.52455642862,3214301.804659753,33.51392901628349
48-49,0.0030833936098698576,95637.61983949412,294.88842587625885,95490.17562655598,3118528.2801033244,32.60775712880623
49-50,0.0033570685181582424,95342.73141361786,320.07208206387344,95182.69537258592,3023038.1044767685,31.70706418470602
50-51,0.003657401884260612,95022.659331554,347.5360532866798,94848.89130491065,2927855.4091041824,30.812181322859853
51-52,0.003986971774179533,94675.12327826732,377.4670442274194,94486.38975615361,2833006.5177992717,29.923452113947114
52-53,0.004348599798615132,94297.6562340399,410.06276890922487,94092.62484958528,2738520.128043118,29.04123217279453
53-54,0.004745373500758676,93887.59346513067,445.5316980794345,93664.82761609096,2644427.5031935326,28.16588865040681
54-55,0.005180670631335782,93442.06176705124,484.09254512802653,93200.01549448723,2550762.6755774417,27.297799591969945
55-56,0.005658185437476232,92957.96922192322,525.9734277488498,92694.9825080488,2457562.6600829544,26.437353146300904
56-57,0.006181957093045583,92431.99579417438,571.4106320241558,92146.2904781623,2364867.6775749056,25.584946611354614
57-58,0.006756400397127228,91860.58516215022,620.6468940698913,91550.26171511528,2272721.387096743,24.74098529946208
58-59,0.007386338863825385,91239.93826808032,673.9291019625507,90902.97371709906,2181171.125381628,23.905881204927294
59-60,0.008077040319790355,90566.00916611777,731.5053076372361,90200.25651229915,2090268.151664529,23.080051455403343
60-61,0.008834255115038572,89834.50385848053,793.6209252187339,89437.69339587116,2000067.8951522298,22.263916527028496
61-62,0.009664257036793666,89040.88293326179,860.5139794500963,88610.62594353674,1910630.2017563586,21.457898201530867
62-63,0.010573886994084371,88180.36895381169,932.4092564142707,87714.16432560455,1822019.575812822,20.66241724127038
63-64,0.011570599511389293,87247.95969739741,1009.5111998444193,86743.2040974752,1734305.4114872175,19.877890755294665
64-65,0.012662512031192596,86238.44849755299,1091.9953916516479,85692.45080172717,1647562.2073897424,19.104729225694406
65-66,0.01385845697616427,85146.45310590134,1179.9984570411223,84556.45387738077,1561869.7565880152,18.34333315852196
66-67,0.015400172798096001,83966.45464886022,1293.0979108359386,83319.90569344226,1477313.3027106344,17.594089316842293
