x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007520872101403145,100000.0,752.0872101403145,99623.95639492985,7273495.8732,72.73495873200001
1-2,0.0004965982203961623,99247.91278985969,49.286336869477836,99223.26962142496,7173871.916805071,72.28234544331934
2-3,0.00039849504017162916,99198.62645299021,39.53016063335477,99178.86137267353,7074648.6471836455,71.31801013934694
3-4,0.00029630173611084514,99159.09629235686,29.381012382607803,99144.40578616556,6975469.785810972,70.34624201540487
4-5,0.0002391401955403576,99129.71527997425,23.705899495913016,99117.86233022629,6876325.380024806,69.36694371212353
5-6,0.00021458150730749138,99106.00938047834,21.266316876093423,99095.37622204029,6777207.517694579,68.38341650581621
6-7,0.00020551614568299658,99084.74306360225,20.363514490421565,99074.56130635703,6678112.141472539,67.39798615802914
7-8,0.00019764899762387742,99064.37954911182,19.57997531811329,99054.58956145277,6579037.580166182,66.41173760044174
8-9,0.00018096914340601963,99044.7995737937,17.924052537690343,99035.83754752486,6479982.990604728,65.4247675646695
9-10,0.0001566999374727394,99026.875521256,15.517505202301566,99019.11676865486,6380947.153057204,64.43651907090153
10-11,0.0001379474526525578,99011.35801605371,13.658364621985019,99004.52883374272,6281928.036288549,63.44653948964115
11-12,0.00014849234973938138,98997.69965143173,14.700401040034635,98990.34945091172,6182923.507454807,62.455224002423456
12-13,0.00021654984000125789,98982.99925039169,21.43475265051695,98972.28187406642,6083933.158003896,61.46442524552842
13-14,0.000356257609261554,98961.56449774117,35.25581037674835,98943.9365925528,5984960.876129829,60.477629941535916
14-15,0.0005434455005490366,98926.30868736442,53.761057342073265,98899.42815869338,5886016.9395372765,59.49900504363084
15-16,0.0007484489511520154,98872.54763002235,74.00105457141791,98835.54710273664,5787117.5113785835,58.53108522128687
16-17,0.0009358507896572904,98798.54657545094,92.46069782962834,98752.31622653612,5688281.964275847,57.57455105811494
17-18,0.0010902926916452243,98706.08587762131,107.6185240532764,98652.27661559467,5589529.648049311,56.62801435546105
18-19,0.0011970055406133216,98598.46735356803,118.02291171820265,98539.45589770893,5490877.371433716,55.68927711364689
19-20,0.0012671703126863544,98480.44444184983,124.79149557687,98418.04869406139,5392337.915536007,54.75541815532772
20-21,0.0013342944124625242,98355.65294627297,131.2353981603152,98290.0352471928,5293919.866841946,53.82425624009393
21-22,0.001404934913886831,98224.41754811266,137.9989136095418,98155.41809130789,5195629.831594753,52.89550155947537
22-23,0.0014520988967433462,98086.41863450312,142.431180284668,98015.20304436078,5097474.413503445,51.969217394897775
23-24,0.0014708414097415463,97943.98745421846,144.060072582871,97871.95741792701,4999459.210459084,51.04406447405422
24-25,0.0014692453724937898,97799.92738163559,143.69209073569678,97728.08133626774,4901587.2530411575,50.11851628390426
25-26,0.0014601299895294125,97656.23529089989,142.5907978127835,97584.93989199349,4803859.17170489,49.19152532754392
26-27,0.0014573772819058328,97513.64449308711,142.11417016006698,97442.58740800708,4706274.231812897,48.262725245045395
27-28,0.0014574246705531357,97371.53032292704,141.9116705021466,97300.57448767596,4608831.64440489,47.332435149370326
28-29,0.0014673660767826717,97229.61865242489,142.671444069084,97158.28293039036,4511531.069917214,46.40078951708094
29-30,0.0014885752904037065,97086.9472083558,144.52123063508756,97014.68659303826,4414372.786986824,45.46824175564252
30-31,0.0015187586127408859,96942.42597772072,147.23214439365913,96868.80990552389,4317358.100393786,44.53528016088642
31-32,0.0015614094136082476,96795.19383332707,151.13692684339188,96719.62536990536,4220489.290488263,43.602260849392785
32-33,0.0016230355484395213,96644.05690648367,156.85673990463505,96565.62853653135,4123769.665118357,42.669666372849676
33-34,0.0017040487043897708,96487.20016657904,164.4188884340555,96404.99072236201,4027204.036581826,41.73822050623412
34-35,0.0018034673195175773,96322.78127814499,173.71498816017402,96235.9237840649,3930799.045859464,40.80861239366369
35-36,0.0019189624306411553,96149.06628998481,184.5064459517068,96056.81306700896,3834563.122075399,39.88143899921386
36-37,0.002054475242363951,95964.55984403311,197.1568123439198,95865.98143786115,3738506.30900839,38.95715579881173
37-38,0.0022143820513216873,95767.40303168919,212.06561837506268,95661.37022250166,3642640.327570529,38.03632773006478
38-39,0.0023986838242482287,95555.33741331412,229.20704217389815,95440.73389222717,3546978.9573480277,37.11963196787177
39-40,0.0026045931089920538,95326.13037114021,248.28578227154992,95201.98748000443,3451538.2234558007,36.207682091129406
40-41,0.0028306143956543716,95077.84458886867,269.12871560104077,94943.28023106814,3356336.2359757964,35.30092894395234
41-42,0.0030803919277740816,94808.71587326763,292.04800305864006,94662.69187173831,3261392.9557447284,34.39971658411961
42-43,0.0033531240340742862,94516.667870209,316.9261106562147,94358.2048148809,3166730.26387299,33.504463659484564
43-44,0.0036505735054596635,94199.74175955278,343.88308148856567,94027.8002188085,3072372.059058109,32.61550405202188
44-45,0.003974739347717708,93855.85867806422,373.0525745015343,93669.33239081345,2978344.2588393004,31.73317362164193
45-46,0.004327851402273771,93482.80610356269,404.57969348379083,93280.51625682079,2884674.9264484867,30.857812753853032
46-47,0.004712371562344051,93078.2264100789,438.6191872082768,92858.91681647477,2791394.410191666,29.98976793878189
47-48,0.005131000345353749,92639.60722287063,475.3338566539849,92401.94029454364,2698535.493375191,29.12939264609688
48-49,0.0055866877933869775,92164.27336621664,514.893021001423,91906.82685571593,2606133.5530806473,28.277047687720835
49-50,0.006082647905113682,91649.38034521522,557.4709113617904,91370.64488953432,2514226.7262249314,27.433101203244444
50-51,0.006622376013359139,91091.90943385343,603.244876045834,90790.28699583052,2422856.081335397,26.597928360418866
51-52,0.0072096686958658006,90488.6645578076,652.3932921931266,90162.46791171104,2332065.7943395665,25.771910832541398
52-53,0.007848645940094379,89836.27126561447,705.0930857420823,89483.72472274343,2241903.3264278555,24.955436093282753
53-54,0.008543775379737578,89131.1781798724,761.5167657001971,88750.4197970223,2152419.601705112,24.1488965551582
54-55,0.009299898486822592,88369.6614141722,821.8288804666847,87958.74697393885,2063669.1819080897,23.352688568490212
55-56,0.010122258644784889,87547.83253370551,886.1818046964804,87104.74163135728,1975710.434934151,22.567211291878774
56-57,0.011016531049761646,86661.65072900904,954.710766079727,86184.29534596918,1888605.6933027937,21.792865441814204
57-58,0.011988854393452623,85706.9399629293,1027.5280237239451,85193.17595106733,1802421.3979568244,21.030051927375112
58-59,0.013045864273940156,84679.41193920535,1104.7161149559406,84127.05388172738,1717228.222005757,20.2791703754228
59-60,0.014194728262547798,83574.69582424941,1186.3200968503086,82981.53577582426,1633101.1681240296,19.540617551971767
60-61,0.015443182526028611,82388.3757273991,1272.3387243812497,81752.20636520848,1550119.6323482054,18.814785686237254
61-62,0.016799569864340932,81116.03700301786,1362.7145307506628,80434.67973764252,1468367.425982997,18.10206070506585
62-63,0.01827287897473589,79753.3224722672,1457.3228093688226,79024.6610675828,1387932.7462453544,17.402820386924738
63-64,0.019872784692226968,78295.99966289838,1555.9595435634546,77518.01989111665,1308908.0851777715,16.71743244627114
64-65,0.021609688883847702,76740.04011933492,1658.3283919128187,75910.87592337851,1231390.065286655,16.046252560876653
65-66,0.023494761588374626,75081.71172742211,1764.0269166828537,74199.69826908068,1155479.1893632766,15.389622356482061
66-67,0.025539981893244783,73317.68481073926,1872.5323425209087,72381.4186394788,1081279.491094196,14.747867364952784
67-68,0.02775817792507343,71445.15246821835,1983.187254096804,70453.55884116994,1008898.0724547172,14.121294973840461
68-69,0.030163065198412317,69461.96521412155,2095.1857855633966,68414.37232133985,938444.5136135473,13.510192386879986
69-70,0.0327692824183167,67366.77942855815,2207.5610207068694,66262.99891820471,870030.1412922074,12.914824616410028
70-71,0.035592423665386515,65159.21840785128,2319.1745072776944,63999.63115421243,803767.1423740027,12.335432529945045
71-72,0.038649065707201266,62840.04390057358,2428.7089857566807,61625.689407695245,739767.5112197903,11.772230974094498
72-73,0.041956788978169804,60411.3349148169,2534.665630910514,59144.00209936164,678141.8218120951,11.225406999668358
73-74,0.045534190552423005,57876.66928390638,2635.3672877129607,56558.985640049905,618997.8197127335,10.695118212078189
74-75,0.049400887204366424,55241.301996193426,2728.969328936293,53876.81733172528,562438.8340726836,10.181491270995751
75-76,0.053577506413329694,52512.332667257135,2813.4798402588717,51105.592747127695,508562.0167409583,9.684620562629481
76-77,0.05808566292876137,49698.85282699826,2886.79081325514,48255.457420370694,457456.4239938306,9.204567066894617
77-78,0.0629479182792694,46812.062013743125,2946.7218541251937,45338.70108668053,409200.9665734599,8.741357440168441
78-79,0.06818772039383904,43865.34015961793,2991.077549784666,42369.8013847256,363862.2654867794,8.294983332233405
79-80,0.07382932032112838,40874.26260983326,3017.719027111301,39365.40309627761,321492.4641020538,7.865400953428117
80-81,0.07989766290053883,37856.54358272196,3024.649357751876,36344.21890384603,282127.06100577617,7.452530904975204
81-82,0.08641824817793295,34831.894224970085,3010.1112796409743,33326.8385851496,245782.84210193015,7.056258281978095
82-83,0.09341696039405654,31821.782945329112,2972.6942370720735,30335.435826793077,212456.00351678056,6.676433054734459
83-84,0.10091986153261717,28849.088708257037,2911.44603777949,27393.365689367292,182120.56768998748,6.312870729877227
84-85,0.10895294672776307,25937.642670477548,2825.9826001202946,24524.6513704174,154727.2020006202,5.965353288513456
85-86,0.11754185932876407,23111.660070357255,2716.587496844146,21753.36632193518,130202.5506302028,5.633630394088353
86-87,0.1267115641338701,20395.07257351311,2584.2915464136418,19102.92680030629,108449.1843082676,5.317420858266989
87-88,0.13648597826349726,17810.781027099467,2430.921872120607,16595.320091039164,89346.25750796132,5.016414348815988
88-89,0.14688756036676262,15379.85915497886,2259.109990059264,14250.304159949228,72750.93741692216,4.730273319399728
89-90,0.15793686035675092,13120.749164919596,2072.2499286358625,12084.624200601666,58500.63325697293,4.458635137495323
90-91,0.16965203364612777,11048.499236283733,1874.4003641732247,10111.299054197121,46416.00905637126,4.201114383385134
91-92,0.18204832588419573,9174.098872110508,1670.1293411638062,8339.034201528604,36304.710002174135,3.9573052905001243
92-93,0.19513753643389042,7503.9695309467015,1464.3061277439156,6771.816467074744,27965.67580064553,3.726784295340466
93-94,0.20892747119971905,6039.663403202786,1261.8516017286472,5408.737602338462,21193.85933357079,3.5091126638500834
94-95,0.2234213978221692,4777.8118014741385,1067.4653912166084,4244.079105865834,15785.121731232326,3.303839160504817
95=96,0.23861751855721464,3710.3464102575304,885.353653403321,3267.66958355587,11541.042625366492,3.1105027265002576
96-97,0.25450847819983863,2824.9927568542093,718.9846074725316,2465.5004531179434,8273.373041810622,2.928635134280307
97-98,0.27108092600532685,2106.008149381678,570.89863930915,1820.5588297271029,5807.872588692679,2.757763587191182
98-99,0.28831515151809506,1535.1095100725279,442.59533099342957,1313.8118445758132,3987.3137589655757,2.5974132352142036
99-100,0.30618481434598893,1092.5141790790983,334.51125109169425,925.2585535332512,2673.5019143897625,2.4471095804388643
100-101,0.3246567870522548,758.0029279874041,246.09079517659228,634.9575303991079,1748.2433608565113,2.3063807490801174
101-102,0.3436911283554263,511.9121328108118,175.93965854458077,423.9423035385214,1113.2858304574033,2.1747596102959377
102-103,0.3632412006719691,335.972474266231,122.03904494519799,274.952951793632,689.3435269188819,2.05178572567416
103-104,0.38325394173379485,213.93342932103303,81.99083005591412,172.93801429307598,414.39057512524994,1.9370071168419718
104-105,0.403670294685364,131.94259926511893,53.26130792690345,105.31194530166721,241.45256083217396,1.829981841929695
105-106,0.4244257949364246,78.68129133821549,33.39436962284653,61.984106526792225,136.14061553050675,1.730279374105586
106-107,0.4454513054342583,45.286921715368955,20.17311839721016,35.200362516763875,74.15650900371452,1.6374817760808003
107-108,0.46667388531719517,25.113803318158794,11.719956169577033,19.25382523337028,38.956146486950644,1.551184661017991
108-109,0.4880177705591433,13.393847148581761,6.53643542466081,10.125629436251357,19.702321253580365,1.4709979168058964
109-110,0.5094054396605283,6.8574117239209516,3.4932028341572137,5.110810306842344,9.576691817329008,1.3965461318185541
