x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01370961593367789,100000.0,1370.961593367789,99314.5192033161,7077427.7833,70.774277833
1-2,0.0009225100910996375,98629.03840663221,90.98628320557192,98583.54526502943,6978113.264096684,70.75110309123167
2-3,0.0006810875730624378,98538.05212342665,67.11304277504465,98504.49560203913,6879529.718831655,69.81597028338355
3-4,0.0005494897753033057,98470.9390806516,54.108774189332756,98443.88469355693,6781025.223229616,68.86321270558503
4-5,0.000441980727198797,98416.83030646227,43.4983422274508,98395.08113534855,6682581.3385360595,67.90079824484314
5-6,0.00036712646949222164,98373.33196423482,36.115454056215846,98355.27423720672,6584186.257400711,66.93060127102837
6-7,0.0003143945290195828,98337.21651017861,30.91668286981435,98321.7581687437,6485830.983163504,65.95499866006655
7-8,0.000274119248583138,98306.2998273088,26.947649039650557,98292.82600278898,6387509.22499476,64.97558382540561
8-9,0.00023948046775807105,98279.35217826915,23.535985230612095,98267.58418565385,6289216.398991971,63.99326267010741
9-10,0.0002104215962703024,98255.81619303854,20.675145686180596,98245.47862019546,6190948.814806317,63.00847170861879
10-11,0.00019429490474311324,98235.14104735236,19.08658737222162,98225.59775366624,6092703.336186121,62.02162760930176
11-12,0.00020543045288859248,98216.05445998014,20.176568548644383,98205.96617570582,5994477.738432455,61.033583271001895
12-13,0.00026107298476729846,98195.87789143149,25.636290932961195,98183.05974596502,5896271.772256749,60.0460212675715
13-14,0.00036906585418856544,98170.24160049853,36.23128407218583,98152.12595846243,5798088.712510784,59.06157118473813
14-15,0.0005137069659591452,98134.01031642634,50.41212469705483,98108.80425407781,5699936.586552322,58.08319224062351
15-16,0.000664249502126444,98083.59819172928,65.15198126562636,98051.02220109646,5601827.782298245,57.112788331317645
16-17,0.0008126063604115304,98018.44621046365,79.65041282827822,97978.6210040495,5503776.760097148,56.15041834349757
17-18,0.0009774682324120356,97938.79579763536,95.73206161287794,97890.92976682892,5405798.139093098,55.195677004879165
18-19,0.0011662550676622568,97843.0637360225,114.10996891773742,97786.00875156363,5307907.209326269,54.24919260139723
19-20,0.001376789910872695,97728.95376710476,134.5522375466939,97661.67764833142,5210121.200574705,53.31195106202411
20-21,0.0016249665518591155,97594.40152955806,158.58763813423994,97515.10771049093,5112459.522926374,52.38476226915519
21-22,0.001872307277599774,97435.81389142382,182.42978344776998,97344.59899969994,5014944.415215883,51.469210497940864
22-23,0.002055705293240046,97253.38410797605,199.92429649627374,97153.42195972792,4917599.816216184,50.564819531178415
23-24,0.002132031788210817,97053.45981147977,206.92106147391587,96949.9992807428,4820446.394256456,49.6679500516506
24-25,0.002120967025472264,96846.53875000586,205.4083152198843,96743.83459239591,4723496.394975713,48.773001657484926
25-26,0.0020770416525443653,96641.13043478597,200.7276532620234,96540.76660815495,4626752.560383318,47.875604719933186
26-27,0.0020649566787037024,96440.40278152395,199.145253820583,96340.83015461366,4530211.793775163,46.97421063283925
27-28,0.0020898004480125257,96241.25752770338,201.12502309868339,96140.69501615403,4433870.963620549,46.07037644270436
28-29,0.0021675057142143653,96040.1325046047,208.1675359976355,95936.04873660588,4337730.268604395,45.165808870540864
29-30,0.00227853057974199,95831.96496860706,218.35606269773433,95722.78693725819,4241794.219867789,44.2628325659119
30-31,0.0023918398429128435,95613.60890590932,228.6924393058402,95499.2626862564,4146071.432930531,43.362775240609984
31-32,0.0024960372633828828,95384.91646660348,238.08430586530582,95265.87431367082,4050572.1702442747,42.4655419356841
32-33,0.0026005468958066615,95146.83216073817,247.43379902144505,95023.11526122745,3955306.295930604,41.570551600169196
33-34,0.002705297540042654,94899.39836171673,256.7311089394801,94771.03280724699,3860283.1806693766,40.67763597357694
34-35,0.002815059852345831,94642.66725277725,266.4247729022187,94509.45486632614,3765512.14786213,39.78662327642327
35-36,0.002931934053525832,94376.24247987503,276.7049191705568,94237.89002028975,3671002.692995804,38.89752968050848
36-37,0.0030654823337473176,94099.53756070447,288.4604700061317,93955.3073257014,3576764.802975514,38.01043975022843
37-38,0.0032231764004073673,93811.07709069834,302.3696497755351,93659.89226581057,3482809.4956498127,37.1257809169227
38-39,0.0034054418008423867,93508.70744092281,318.43846106206007,93349.48821039178,3389149.603384002,36.244214000340115
39-40,0.0036070942252511627,93190.26897986075,336.14608108685826,93022.19593931732,3295800.1151736104,35.36635478416596
40-41,0.0038253732919612538,92854.12289877389,355.2016817854575,92676.52205788116,3202777.919234293,34.49257630407906
41-42,0.004085383195628654,92498.92121698843,377.89353835366325,92309.97444781159,3110101.397176412,33.62310993747253
42-43,0.004373348776541701,92121.02767863477,402.8773836921215,91919.5889867887,3017791.4227286004,32.758985638503724
43-44,0.004689920057923344,91718.15029494265,430.15079274387944,91503.07489857072,2925871.8337418116,31.900685135198856
44-45,0.005037261098545341,91287.99950219877,459.84148865645227,91058.07875787055,2834368.758843241,31.04864576175724
45-46,0.0054180179067560555,90828.15801354231,492.10858655504074,90582.1037202648,2743310.6800853703,30.203306332341867
46-47,0.005836053211512767,90336.04942698727,527.2059913737452,90072.4464313004,2652728.5763651053,29.365116065974664
47-48,0.006295117384200586,89808.84343561353,565.3572115664794,89526.16482983029,2562656.1299338047,28.534563322497796
