x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.015117250734670377,100000.0,1511.7250734670376,99244.13746326648,6645190.7339,66.451907339
1-2,0.001041127578235939,98488.27492653296,102.53885915889661,98437.00549695351,6545946.596436734,66.46422227741996
2-3,0.0008191847561317139,98385.73606737406,80.596095207191,98345.43801977046,6447509.590939781,65.53297102462656
3-4,0.0006445684425700326,98305.13997216687,63.36439096848866,98273.45777668263,6349164.1529200105,64.58628872017933
4-5,0.0005118624341007108,98241.77558119838,50.286274379367974,98216.63244400869,6250890.695143328,63.627623362495804
5-6,0.0004251238155492949,98191.48930681901,41.74354058858269,98170.61753652472,6152674.06269932,62.65995256955575
6-7,0.0003661240846342803,98149.74576623044,35.93498582574844,98131.77827331756,6054503.4451627955,61.68638948472873
7-8,0.0003189173664699862,98113.81078040469,31.290198148421204,98098.16568133047,5956371.6668894775,60.70879950041738
8-9,0.0002724983010308501,98082.52058225627,26.727320219488217,98069.15692214653,5858273.501208147,59.728007257879796
9-10,0.00022773738319325603,98055.79326203678,22.330969764435164,98044.62777715456,5760204.344286,58.74415118842466
10-11,0.00019854209358493015,98033.46229227235,19.46376884488706,98023.7304078499,5662159.716508846,57.757418580483765
11-12,0.00021139159084251623,98013.99852342746,20.71933507270337,98003.63885589111,5564135.986100996,56.76878884571827
12-13,0.0002984868912296621,97993.27918835476,29.24970926633236,97978.6543337216,5466132.347245105,55.78068610948866
13-14,0.0004756434301821848,97964.02947908844,46.59594701590229,97940.73150558048,5368153.692911383,54.797191596301964
14-15,0.0007159093518177968,97917.43353207254,70.10000637160826,97882.38352888673,5270212.9614058025,53.823029988623645
15-16,0.0009656451231463144,97847.33352570093,94.48580043196398,97800.09062548495,5172330.577876916,52.861231793489125
16-17,0.0012090955105176287,97752.84772526896,118.19252932493609,97693.7514606065,5074530.487251431,51.91184303411012
17-18,0.0014788088888410802,97634.65519594403,144.382995962696,97562.46369796268,4976836.7357908245,50.974080113283115
18-19,0.0017887318548376076,97490.27219998134,174.38395542089586,97403.08022227089,4879274.272092862,50.048832175624966
19-20,0.0021380328709246377,97315.88824456044,208.06456793009878,97211.85596059539,4781871.191870592,49.13762056873461
20-21,0.0025572717691998933,97107.82367663035,248.33109605668778,96983.65812860201,4684659.335909996,48.241832208184796
21-22,0.002980985431142903,96859.49258057366,288.73673625058416,96715.12421244837,4587675.677781394,47.36423406270773
22-23,0.003293225888733316,96570.75584432307,318.0293132410689,96411.74118770253,4490960.553568945,46.50435335526006
23-24,0.0034077730827943896,96252.726531082,328.0074506181906,96088.7228057729,4394548.812381242,45.65635666395541
24-25,0.003354736082609449,95924.71908046381,321.802116313407,95763.81802230711,4298460.0895754695,44.8107654708879
25-26,0.003233063440630498,95602.9169641504,309.09029565442785,95448.37181632318,4202696.2715531625,43.95991675786533
26-27,0.0031715856827684804,95293.82666849597,302.232536318023,95142.71040033696,4107247.8997368393,43.10088117276427
