x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005450859997149986,100000.0,545.0859997149986,99727.4570001425,7940714.7,79.407147
1-2,0.0005923398765633297,99454.914000285,58.911111482545394,99425.45844454374,7840987.242999857,78.8396161398057
2-3,0.00039245881307694284,99396.00288880245,39.00883731833179,99376.49847014328,7741561.784555313,77.88604732140034
3-4,0.00030301146601611725,99356.99405148411,30.10630842649484,99341.94089727086,7642185.28608517,76.91643008166285
4-5,0.0002408201710615261,99326.88774305762,23.919918097292136,99314.92778400898,7542843.345187899,75.93959215454326
5-6,0.00020307357762607055,99302.96782496033,20.16580894510127,99292.88492048778,7443528.41740389,74.95776390615507
6-7,0.00017967939033502968,99282.80201601522,17.83907333699107,99273.88247934672,7344235.532483402,73.97288738183184
7-8,0.00016243262217844609,99264.96294267823,16.123868221225504,99256.90100856763,7244961.650004055,72.98609131791795
8-9,0.00014493626017609984,99248.839074457,14.384755562271366,99241.64669667587,7145704.748995488,71.99786733661179
9-10,0.00012685837971557746,99234.45431889473,12.588722086854473,99228.1599578513,7046463.102298812,71.00823147225319
10-11,0.00011414962939429129,99221.86559680787,11.326139185685799,99216.20252721502,6947234.942340961,70.01717716709072
11-12,0.00011813201947454841,99210.53945762219,11.719941379288278,99204.67948693254,6848018.739813746,69.0251134330227
12-13,0.00015180989826313774,99198.8195162429,15.059362698584197,99191.28983489361,6748814.060326814,68.03320939945013
13-14,0.00022004856195441047,99183.76015354432,21.825243791018586,99172.84753164882,6649622.77049192,67.04346316572166
14-15,0.0003083147565050421,99161.93490975331,30.573087816269428,99146.64836584518,6550449.922960272,66.05810918193355
15-16,0.0004055094610844929,99131.36182193704,40.198705108985564,99111.26246938255,6451303.274594427,65.07832794814689
16-17,0.0004903390312112106,99091.16311682806,48.58826492429751,99066.86898436591,6352192.012125044,64.1045256945449
17-18,0.0005488833666560042,99042.57485190376,54.36282192699223,99015.39344094026,6253125.143140678,63.13572877614342
18-19,0.0005729941211464726,98988.21202997677,56.71966355597723,98959.85219819879,6154109.749699738,62.170127366641175
19-20,0.0005722523230930461,98931.49236642079,56.61377633374625,98903.18547825392,6055149.897501539,61.20548424635684
20-21,0.0005650154445223892,98874.87859008704,55.86583347867529,98846.9456733477,5956246.712023285,60.240242991513966
21-22,0.0005647979503133498,98819.01275660837,55.81277585692118,98791.1063686799,5857399.766349938,59.274016233867236
22-23,0.0005684369715154778,98763.19998075145,56.14065429423585,98735.12965360434,5758608.659981258,58.30723043708171
23-24,0.0005806084846176267,98707.05932645721,57.31015613659649,98678.4042483889,5659873.5303276535,57.3401088934132
24-25,0.0005996156702226048,98649.74917032062,59.15193546605365,98620.1732025876,5561195.126079265,56.37312991518872
25-26,0.0006243775189207975,98590.59723485456,61.557752490418125,98559.81835860935,5462574.952876678,55.406652420049475
26-27,0.000645941146187944,98529.03948236414,63.643960696035485,98497.21750201612,5364015.134518068,54.440956318042474
27-28,0.0006607429008678298,98465.3955216681,65.06031107208521,98432.86536613206,5265517.917016052,53.475821522062866
28-29,0.000669723429472777,98400.33521059602,65.90100995851122,98367.38470561677,5167085.05164992,52.51084806358986
29-30,0.0006808727378308417,98334.43420063751,66.95323543723481,98300.9575829189,5068717.666944303,51.545704291157065
30-31,0.0006966970972541757,98267.48096520027,68.462668742935,98233.24963082881,4970416.709361384,50.580483599875436
31-32,0.0007280745776754624,98199.01829645733,71.49620877433817,98163.27019207017,4872183.459730555,49.61539885278391
32-33,0.0007831354304356111,98127.522087683,76.84713924771756,98089.09851805914,4774020.189538485,48.65118458073978
33-34,0.000860139965410998,98050.67494843528,84.33730415867213,98008.50629635595,4675931.091020426,47.68892303372202
34-35,0.0009472277313386065,97966.3376442766,92.79643175434005,97919.93942839943,4577922.58472407,46.72954705469202
35-36,0.0010359882448771707,97873.54121252226,101.39583818067437,97822.84329343193,4480002.64529567,45.77337848201291
36-37,0.0011245805461265388,97772.14537434159,109.9526526410404,97717.16904802107,4382179.802002238,44.82032981095101
37-38,0.0012168904144281285,97662.19272170056,118.84418617506995,97602.77062861303,4284462.6329542175,43.87022770585622
38-39,0.001316320034394331,97543.34853552548,128.39826389922112,97479.14940357587,4186859.8623256045,42.92306882207085
39-40,0.0014270353594754823,97414.95027162627,139.01457857915642,97345.44298233668,4089380.7129220287,41.97898476075216
40-41,0.0015521883023674112,97275.93569304711,150.99056948459224,97200.44040830481,3992035.269939692,41.03826132843898
41-42,0.0016922286633475321,97124.94512356252,164.3576160641486,97042.76631553045,3894834.8295313874,40.101282163674554
42-43,0.0018450935808764339,96960.58750749836,178.90135760809298,96871.13682869432,3797792.063215857,39.16841018441806
43-44,0.0020118903156918348,96781.68614989027,194.71413710129082,96684.32908133963,3700920.9263871624,38.23988890476009
44-45,0.002193840447282244,96586.97201278899,211.89640588217458,96481.0238098479,3604236.5973058227,37.31597048956653
45-46,0.0023922851437276323,96375.07560690682,230.5566616000305,96259.7972761068,3507755.5734959748,36.396916437226515
46-47,0.0026086922843952805,96144.51894530679,250.8114647595177,96019.11321292703,3411495.776219868,35.482998028837685
47-48,0.0028446651976703377,95893.70748054727,272.7854923454925,95757.31473437452,3315476.663006941,34.57449659749061
48-49,0.003101952847342504,95620.92198820178,296.61159122681795,95472.61619258836,3219719.348272566,33.671703653619154
49-50,0.0033824613628151055,95324.31039697496,322.43079685476204,95163.09499854759,3124246.7320799776,32.77492088921655
50-51,0.0036882668580537387,95001.8796001202,350.3922839819349,94826.68345812924,3029083.63708143,31.884460074173074
51-52,0.004021629522748385,94651.48731613827,380.65321576262596,94461.16070825695,2934256.9536233004,31.000642851208568
52-53,0.004385008998130022,94270.83410037565,413.3784557913698,94064.14487247997,2839795.7929150434,30.12380043112112
53-54,0.004781081071068325,93857.45564458428,448.7401045609568,93633.0855923038,2745731.6480425633,29.254273186777958
54-55,0.0052127557351075255,93408.71554002332,486.91681764028397,93165.25713120318,2652098.5624502595,28.392410142005442
55-56,0.0056831966772657,92921.79872238303,528.0928577445994,92657.75229351073,2558933.3053190564,27.538568349975986
56-57,0.006195842255663663,92393.70586463842,572.4568269534864,92107.47745116169,2466275.5530255456,26.693112154617623
57-58,0.00675442803596414,91821.24903768495,620.2000187973846,91511.14902828625,2374168.075574384,25.856412327826064
58-59,0.0073630109545063235,91201.04901888756,671.5143229885373,90865.29185739328,2282656.9265460977,25.02884507472457
59-60,0.008025995172990038,90529.53469589901,726.5896084823197,90166.23989165785,2191791.6346887043,24.210790898806998
60-61,0.008748159683474453,89802.9450874167,785.6105036710088,89410.13983558118,2101625.394797046,23.402633318442568
61-62,0.009534687713010826,89017.33458374569,848.7524863006137,88592.95834059537,2012215.254961465,22.60475742585186
62-63,0.010391197963981202,88168.58209744508,916.1771907780807,87710.49350205604,1923622.2966208695,21.817548279214208
