x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0031110481865402233,100000.0,311.1048186540223,99844.447590673,7346768.4927,73.46768492700001
1-2,0.0012878680524803974,99688.89518134597,128.3861432911225,99624.7021097004,7246924.045109327,72.6953993413841
2-3,0.0005497911125299448,99560.50903805485,54.7374830280798,99533.1402965408,7147299.342999627,71.78849738773158
3-4,0.00036725720502436317,99505.77155502677,36.54421154509191,99487.49944925423,7047766.202703086,70.82771273026776
4-5,0.00030933977000473624,99469.22734348169,30.769787908981446,99453.8424495272,6948278.703253832,69.8535505786168
5-6,0.00026833096815025273,99438.4575555727,26.682417587254637,99425.11634677908,6848824.8608043045,68.87501102857246
6-7,0.00024622677525756723,99411.77513798545,24.477840814856552,99399.53621757802,6749399.744457525,67.89336308590435
7-8,0.00023015752050838527,99387.29729717059,22.874733915946525,99375.85993021261,6650000.208239947,66.9099612232766
8-9,0.00021290822716046382,99364.42256325464,21.155503050765738,99353.84481172926,6550624.348309735,65.92524949399929
9-10,0.00019760073694618285,99343.26706020389,19.63030278173774,99333.45190881302,6451270.503498006,64.93918203423303
10-11,0.00019617042814557372,99323.63675742215,19.484360347678948,99313.89457724831,6351937.051589193,63.951917780684084
11-12,0.0002231428242391442,99304.15239707447,22.15900902455758,99293.0728925622,6252623.157011945,62.96436761285069
12-13,0.0002943709397759874,99281.99338804992,29.225733696473622,99267.38052120167,6153330.084119382,61.97830919921908
13-14,0.00042497239522301813,99252.76765435345,42.17968640258428,99231.67781115216,6054062.703598181,60.99641195579936
14-15,0.0006133664811480947,99210.58796795087,60.85244923453553,99180.16174333359,5954831.0257870285,60.02213219128069
15-16,0.0008294786099615767,99149.73551871633,82.2425847961228,99108.61422631827,5855650.864043695,59.05866347912076
16-17,0.0010353882552113051,99067.4929339202,102.57331865700995,99016.2062745917,5756542.249817377,58.10727696174863
17-18,0.0012063532314856658,98964.91961526319,119.38665058159191,98905.2262899724,5657526.043542786,57.166984680400176
18-19,0.0013369384327927645,98845.5329646816,132.15039193036696,98779.45776871641,5558620.817252813,56.23542764688171
19-20,0.001437176196342527,98713.38257275123,141.8685236940113,98642.44831090422,5459841.359484096,55.31004223728452
20-21,0.0015199560834181559,98571.51404905722,149.82437243060275,98496.60186284193,5361198.911173192,54.3889272970386
21-22,0.0015907302811481187,98421.68967662661,156.56236209037314,98343.40849558143,5262702.30931035,53.47096078721505
22-23,0.0016452104221933996,98265.12731453624,161.66681159603633,98184.29390873821,5164358.900814768,52.55535755104864
23-24,0.0016773886584460532,98103.4605029402,164.55763200194224,98021.18168693924,5066174.606906029,51.64114069915193
24-25,0.0016898879359151767,97938.90287093825,165.5057704183668,97856.14998572908,4968153.42521909,50.727068402696055
25-26,0.0016906133383518514,97773.39710051988,165.29700927411116,97690.74859588283,4870297.275233361,49.812090196950564
26-27,0.0016871432475606273,97608.10009124577,164.67884697616714,97525.76066775768,4772606.526637478,48.89559905556979
27-28,0.0016764074363536912,97443.4212442696,163.35487599763883,97361.74380627078,4675080.76596972,47.977387352300596
28-29,0.001661196693726813,97280.06636827196,161.60132461649832,97199.26570596371,4577719.022163449,47.05711244926205
29-30,0.0016471899168471072,97118.46504365547,159.97255635957754,97038.47876547568,4480519.756457485,46.13458166213252
30-31,0.0016445104226696908,96958.4924872959,159.44925146169902,96878.76786156505,4383481.27769201,45.20987450652
31-32,0.00166416165942993,96799.0432358342,161.08925642257537,96718.49860762291,4286602.509830445,44.283521474348426
32-33,0.001713464542564489,96637.95397941161,165.58570760970068,96555.16112560677,4189884.011222822,43.35650578980038
33-34,0.0017921563517319394,96472.36827180191,172.89356756493262,96385.92148801945,4093328.8500972153,42.43006493387456
34-35,0.001893012420592149,96299.47470423699,182.29610171162008,96208.32665338117,3996942.9286091956,41.50534507986613
35-36,0.0020076954809998193,96117.17860252537,192.9740251267427,96020.69158996199,3900734.6019558143,40.58311592859559
36-37,0.002132373319214278,95924.20457739863,204.546214507697,95821.93147014479,3804713.9103658525,39.663752513015964
37-38,0.0022685835106727877,95719.65836289093,217.14803860928697,95611.08434358629,3708891.9788957075,38.74744271270393
38-39,0.002421150639954167,95502.51032428164,231.22596398886392,95386.89734228721,3613280.8945521214,37.83440751748952
39-40,0.002595508429469968,95271.28436029278,247.27742164357025,95147.64564947099,3517893.9972098344,36.925019126497936
40-41,0.0027963065035018276,95024.00693864921,265.7162485913476,94891.14881435354,3422746.3515603635,36.019806592350996
41-42,0.00302860774436601,94758.29069005787,286.9856930267948,94614.79784354447,3327855.20274601,35.11940937844684
42-43,0.003283956008376725,94471.30499703107,310.2396096641903,94316.18519219897,3233240.4049024656,34.22457649975382
43-44,0.0035636811670384204,94161.06538736688,335.5600153892326,93993.28537967226,3138924.2197102667,33.33569142189634
44-45,0.0038693675006092896,93825.50537197765,363.0453612145726,93643.98269137036,3044930.9343305943,32.45312585590407
45-46,0.004202848870069796,93462.46001076307,392.80859445017904,93266.05571353798,2951286.951639224,31.577244503294217
46-47,0.004566206597293489,93069.65141631289,424.9752563049732,92857.1637881604,2858020.8959256858,30.708408728656128
47-48,0.004961770521264416,92644.67616000792,459.6816231228155,92414.8353484465,2765163.7321375255,29.846979305770063
48-49,0.0053921233548355095,92184.9945368851,497.072862007722,91936.45810588125,2672748.896789079,28.993318383499577
49-50,0.0058601082684962775,91687.92167487738,537.301147928188,91419.27110091328,2580812.438683198,28.147790805365634
50-51,0.00636883952761666,91150.62052694919,580.5236749788205,90860.35868945978,2489393.1675822847,27.310764898701724
51-52,0.006921715971934956,90570.09685197037,626.9004859599793,90256.64660899038,2398532.8088928247,26.48261282985085
52-53,0.007522437125014031,89943.1963660104,676.5920394861037,89604.90034626734,2308276.162283834,25.66371060341962
53-54,0.00817502173939451,89266.60432652429,729.7564309712641,88901.72611103866,2218671.2619375666,24.8544377673647
54-55,0.008883828608647256,88536.84789555303,786.5461822539646,88143.57480442605,2129769.535826528,24.05517687210887
55-56,0.009653579503190882,87750.30171329906,847.1045140183196,87326.74945628991,2041625.9610221018,23.26631272098158
56-57,0.01048938410823012,86903.19719928075,911.5610156565239,86447.41669145248,1954299.211565812,22.488231440833417
57-58,0.011396766857015272,85991.63618362423,980.0266292380438,85501.62286900521,1867851.7948743594,21.721319395363043
58-59,0.012381695559491857,85011.60955438619,1052.587868524799,84485.31562012379,1782350.1720053542,20.9659619591733
59-60,0.013450611724617772,83959.02168586139,1129.300201475285,83394.37158512375,1697864.8563852303,20.22254216751014
60-61,0.014610462463786089,82829.7214843861,1210.1805366334793,82224.63121606936,1614470.4848001066,19.49143925474196
