x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00526351216451606,100000.0,526.351216451606,99736.8243917742,7522501.702,75.22501702
1-2,0.00047799993942172796,99473.6487835484,47.548398092594375,99449.8745845021,7422764.877608226,74.6204142341248
2-3,0.00034420822929665033,99426.10038545581,34.22328195954875,99408.98874447604,7323315.003023723,73.655860731062
3-4,0.00023198820877793185,99391.87710349626,23.057743536316433,99380.3482317281,7223906.014279247,72.6810502507869
4-5,0.0001810148686889321,99368.81935995993,17.987233788217363,99359.82574306583,7124525.666047519,71.69779928892164
5-6,0.00016587233112583277,99350.83212617172,16.47955412405938,99342.59234910969,7025165.840304453,70.71068948252757
6-7,0.0001646205504290956,99334.35257204766,16.352475796928335,99326.17633414919,6925823.247955344,69.72233742533342
7-8,0.00016055136449043137,99318.00009625073,15.94564043391385,99310.02727603378,6826497.0716211945,68.73373472085143
8-9,0.00014296545263440418,99302.05445581682,14.196763162802105,99294.95607423542,6727187.044345161,67.74469149919085
9-10,0.00011417077467751234,99287.85769265401,11.335771628840911,99282.1898068396,6627892.088270926,66.75430654156719
10-11,8.839152231636072e-05,99276.52192102517,8.775202902872971,99272.13431957373,6528609.898464086,65.761871710792
11-12,8.897731407643408e-05,99267.74671812229,8.832577477398274,99263.3304293836,6429337.764144513,64.76764081692181
12-13,0.00014240228393852872,99258.91414064489,14.134696074886158,99251.84679260745,6330074.433715129,63.7733596878335
13-14,0.00026276591395570987,99244.77944457,26.078145176085282,99231.74037198196,6230822.586922522,62.78237124203141
14-15,0.00042930706773457357,99218.70129939391,42.59528971927533,99197.40365453428,6131590.84655054,61.798741227708405
15-16,0.0006174897504048828,99176.10600967464,61.24022894604219,99145.48589520162,6032393.442896006,60.82506851305036
16-17,0.0007890576485267321,99114.86578072859,78.20734292698437,99075.7621092651,5933247.957000804,59.862341640323706
17-18,0.0009284844246497387,99036.65843780161,91.95399482885492,98990.68144038718,5834172.194891539,58.90921893892046
18-19,0.0010215550199032311,98944.70444297275,101.07745951656035,98894.16571321448,5735181.5134511525,57.96350138937098
19-20,0.0010794808094483164,98843.6269834562,106.69979846490874,98790.27708422374,5636287.347737938,57.02226354645306
20-21,0.0011435915147484548,98736.92718499129,112.91471212109208,98680.46982893074,5537497.070653714,56.083344180630455
21-22,0.0012322175874952593,98624.01247287019,121.52624271842248,98563.24935151098,5438816.600824784,55.1469815966057
22-23,0.0012853876696744674,98502.48623015177,126.61388123251609,98439.17928953552,5340253.351473273,54.21440164460146
23-24,0.0012988551247216473,98375.87234891925,127.77600594935636,98311.98434594457,5241814.172183737,53.283534336469074
24-25,0.0012970355269489818,98248.09634296989,127.43127141193828,98184.38070726392,5143502.187837793,52.3521816634754
25-26,0.001298754099588305,98120.66507155795,127.4346160160169,98056.94776354994,5045317.807130529,51.419523129516634
26-27,0.0012637148962597248,97993.23045554193,123.83550505928048,97931.31270301229,4947260.8593669785,50.48574106975152
27-28,0.0012260798717679791,97869.39495048265,119.99569521089747,97809.39710287719,4849329.546663966,49.54898872234268
28-29,0.0011913818582812523,97749.39925527175,116.45686093062173,97691.17082480644,4751520.1495610885,48.609200524624534
29-30,0.0011640466370385287,97632.94239434114,113.6492982583092,97576.11774521199,4653828.978736282,47.666585320550794
30-31,0.0011474029296320628,97519.29309608282,111.89392259409323,97463.34613478578,4556252.86099107,46.721553410994595
31-32,0.0011438054421214964,97407.39917348872,111.41511327753736,97351.69161684996,4458789.5148562845,45.774649078915445
32-33,0.0011548160848964765,97295.98406021118,112.35896738856306,97239.8045765169,4361437.8232394345,44.8264937691609
33-34,0.0011814027225454638,97183.62509282262,114.8129992714983,97126.21859318687,4264198.018662917,43.87774189931761
34-35,0.0012241289131849022,97068.81209355113,118.82473945222823,97009.39972382502,4167071.8000697307,42.92904909615737
35-36,0.0012833198747567898,96949.98735409889,124.41784562893454,96887.77843128443,4070062.4003459057,41.98105137941341
36-37,0.00135919862596132,96825.56950846995,131.60518103383464,96759.76691795303,3973174.6219146214,41.034353240412
37-38,0.0014519920133864628,96693.96432743612,140.39886394611278,96623.76489546306,3876414.854996668,40.08952246357291
38-39,0.0015620096839483702,96553.56546349,150.8176042737143,96478.15666135315,3779791.0901012053,39.14708972120212
39-40,0.0016897006371136474,96402.74785921628,162.89178447722406,96321.30196697767,3683312.933439852,38.20755129116084
40-41,0.001835692391003106,96239.85607473906,176.66677150763255,96151.52268898525,3586991.6314728744,37.271373605206215
41-42,0.0020008174993226156,96063.18930323143,192.20491019864653,95967.08684813211,3490840.108783889,36.338998674765655
42-43,0.002186131509355044,95870.98439303278,209.5865798144946,95766.19110312553,3394873.021935757,35.41084973132363
43-44,0.0023929256847860796,95661.39781321828,228.91061586978893,95546.94250528338,3299106.8308326313,34.48733665040349
44-45,0.002622737068556049,95432.4871973485,250.29432171698647,95307.34003649,3203559.888327348,33.56886090270899
45-46,0.0028773578019168486,95182.19287563152,273.8732252742526,95045.25626299439,3108252.548290858,32.65581990060066
46-47,0.0031588450746953293,94908.31965035727,299.800678075141,94758.4193113197,3013207.2920278637,31.748610692176772
47-48,0.0034695326605479345,94608.51897228212,328.24734654040174,94444.39529901193,2918448.872716544,30.847633008308428
48-49,0.0038120446779020536,94280.27162574172,359.4006076820687,94100.57132190069,2824004.4774175324,29.95329169847749
49-50,0.004189311994479691,93920.87101805965,393.4638314879373,93724.13910231569,2729903.906095632,29.065998606110774
50-51,0.004604591541733847,93527.40718657171,430.6555080515855,93312.07943254591,2636179.7669933164,28.18617393866777
51-52,0.005061488707508361,93096.75167852013,471.2081573265397,92861.14759985686,2542867.6875607707,27.314247186000124
52-53,0.00556398291558699,92625.54352119358,515.3669416988803,92367.86005034414,2450006.539960914,26.450657635281022
53-54,0.006116456467168123,92110.1765794947,563.3878852316482,91828.48263687888,2357638.6799105695,25.595854524020314
54-55,0.006723726701961142,91546.78869426306,615.535587622411,91239.02090045185,2265810.1972736907,24.750296865581717
55-56,0.007391081528060121,90931.25310664065,672.0803051598512,90595.21295406073,2174571.1763732387,23.914452974963247
56-57,0.008124318364289106,90259.1728014808,733.2942551366143,89892.52567391249,2083975.963419178,23.08879971681934
57-58,0.008929786531928536,89525.87854634419,799.4469845022143,89126.15505409308,1994083.4377452657,22.273821492999964
58-59,0.009814433121134,88726.43156184198,870.799628640571,88291.03174752169,1904957.2826911726,21.470008983325613
59-60,0.010785852338043519,87855.63193320141,947.5978730970113,87381.8329966529,1816666.250943651,20.677857650889162
60-61,0.01185233830894309,86908.0340601044,1030.0634214455063,86393.00234938164,1729284.417946998,19.897866021811616
61-62,0.013022941275440873,85877.9706386589,1118.3837684812904,85318.77875441825,1642891.4155976165,19.13053374898977
62-63,0.01430752705685475,84759.5868701776,1212.7000824728968,84153.23682894115,1557572.6368431982,18.376359469859867
