x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0038067685902480235,100000.0,380.67685902480235,99809.6615704876,7823101.8499,78.231018499
1-2,0.0006145998348710694,99619.3231409752,61.22601955241106,99588.710131199,7723292.188329512,77.52805324123693
2-3,0.00036065545555782907,99558.09712142279,35.90617087179733,99540.14403598689,7623703.478198313,76.57542378396718
3-4,0.0002344912763210886,99522.190950551,23.337085578265796,99510.52240776186,7524163.3341623265,75.60287069946855
4-5,0.00017585687031581405,99498.85386497273,17.497557040704642,99490.10508645237,7424652.811754565,74.62048579806121
5-6,0.00015092628229221148,99481.35630793202,15.01435126494302,99473.84913229954,7325162.706668112,73.6335226873465
6-7,0.00014087128222595776,99466.34195666708,14.011951129761272,99459.3359811022,7225688.857535813,72.64456212417778
7-8,0.00013434529485914517,99452.33000553731,13.360952599022921,99445.6495292378,7126229.52155471,71.65472665304006
8-9,0.00012530901537552455,99438.9690529383,12.460599301980954,99432.7387532873,7026783.872025472,70.66428724019278
9-10,0.00011545343344865557,99426.50845363631,11.47913177678409,99420.76888774792,6927351.133272185,69.6730805598236
10-11,0.00011267055214682066,99415.02932185953,11.20114624538628,99409.42874873684,6827930.364384437,68.68106775162516
11-12,0.00012900524053853968,99403.82817561415,12.823614764246772,99397.41636823202,6728520.9356357,67.68875061580725
12-13,0.00017735643123337948,99391.0045608499,17.627633865612882,99382.1907439171,6629123.519267468,66.69741943506503
13-14,0.00026346025978207115,99373.37692698429,26.180935700604955,99360.28645913399,6529741.328523551,65.7091620557622
14-15,0.00037425398016257443,99347.19599128369,37.18108351772928,99328.60544952482,6430381.042064417,64.72634660598365
15-16,0.0004950849457064744,99310.01490776596,49.16689333872048,99285.4314610966,6331052.436614892,63.750392571130405
16-17,0.0006039582625825983,99260.84801442723,59.94940930926882,99230.87330977259,6231767.005153796,62.78172239922864
17-18,0.0006912176757149102,99200.89860511797,68.56941456266011,99166.61389783664,6132536.131844023,61.819360692037456
18-19,0.0007486116635439283,99132.3291905553,74.21161786632592,99095.22338162214,6033369.5179461865,60.861775035555276
19-20,0.0007824496997561614,99058.11757268898,77.50799435316102,99019.3635755124,5934274.294564565,59.90699641763318
20-21,0.0008150353464721889,98980.60957833582,80.67269542170739,98940.27323062497,5835254.930989052,58.95351580322286
21-22,0.0008516123332022698,98899.93688291412,84.2244060024157,98857.82467991291,5736314.657758427,58.00119634605579
22-23,0.000869251783215983,98815.7124769117,85.89573428031336,98772.76460977155,5637456.833078514,57.05020681195519
23-24,0.0008601578079937934,98729.81674263139,84.92322275297073,98687.35513125491,5538684.068468742,56.099405946503154
24-25,0.0008329939344808009,98644.89351987842,82.17059796956318,98603.80822089364,5439996.713337488,55.147271381475484
25-26,0.0007947095262546124,98562.72292190885,78.3287348396348,98523.55855448903,5341392.905116593,54.19283017727274
26-27,0.0007714510328689398,98484.3941870692,75.97588761708636,98446.40624326066,5242869.346562104,53.23553431829387
27-28,0.0007740363402643392,98408.41829945213,76.17169195171016,98370.33245347627,5144422.940318843,52.27624860979484
28-29,0.0008058455115760323,98332.24660750042,79.24059957184174,98292.6263077145,5046052.607865367,51.316356352631864
29-30,0.0008515245885448828,98253.00600792858,83.66485051419929,98211.17358267147,4947759.981557652,50.35733951140783
30-31,0.000900914694835893,98169.34115741438,88.44220203107265,98125.12005639885,4849548.807974981,49.39983044399511
31-32,0.0009401237852112987,98080.89895538331,92.20818598286188,98034.79486239188,4751423.687918582,48.44392474502084
32-33,0.0009658887795317019,97988.69076940045,94.64617693516554,97941.36768093286,4653388.893056191,47.48904038331466
33-34,0.0009826136019616526,97894.04459246529,96.19201976759696,97845.94858258149,4555447.525375258,46.53447045057409
34-35,0.0010042324133454975,97797.8525726977,98.21177350908738,97748.74668594314,4457601.576792677,45.57974903875455
35-36,0.0010395409295542771,97699.64079918861,101.56277541350751,97648.85941148186,4359852.830106733,44.62506509177403
36-37,0.0010974922329327294,97598.0780237751,107.11313258025568,97544.52145748498,4262203.970695252,43.670982636122915
37-38,0.0011800459472259739,97490.96489119485,115.04381801100419,97433.44298218934,4164659.4492377667,42.71841451036771
38-39,0.00128406828311646,97375.92107318384,125.03733178932708,97313.40240728918,4067226.0062555773,41.76829303826367
39-40,0.0014012828422354752,97250.88374139451,136.27599477905306,97182.74574400499,3969912.6038482883,40.82135247639408
40-41,0.0015272095351283636,97114.60774661547,148.31435495088198,97040.45056914003,3872729.8581042835,39.87793338164671
41-42,0.0016638279198449696,96966.29339166459,161.3352262289303,96885.62577855012,3775689.407535143,38.93816372132988
42-43,0.001816092720768081,96804.95816543566,175.8067798585063,96717.0547755064,3678803.781756593,38.00222479792481
43-44,0.0019850744300977914,96629.15138557715,191.81605761755776,96533.24335676838,3582086.7269810867,37.070456230000055
44-45,0.0021721256291227765,96437.33532795959,209.4740076701684,96332.59832412451,3485553.483624318,36.14319570082282
45-46,0.0023784538585980407,96227.86132028942,228.8735280618795,96113.42455625848,3389220.8853001934,35.220785735010246
46-47,0.0026061255574516815,95998.98779222753,250.18541557481615,95873.89508444013,3293107.460743935,34.3035644070672
47-48,0.0028579865498943617,95748.80237665272,273.64878936096676,95611.97798197223,3197233.5656594946,33.391890930210785
48-49,0.0031368953715848005,95475.15358729174,299.4955673893234,95325.40580359708,3101621.5876775226,32.48616494595893
49-50,0.0034449707673951165,95175.65801990242,327.8773596461584,95011.71934007933,3006296.1818739255,31.586817936633246
50-51,0.003784700281897721,94847.78066025626,358.9704222022451,94668.29544915514,2911284.462533846,30.69428132390399
51-52,0.004157329609709626,94488.81023805402,392.82112858889604,94292.39967375957,2816616.167084691,29.808991773613624
52-53,0.004563798197051168,94095.98910946512,429.43510544752326,93881.27155674137,2722323.7674109316,28.931347586388174
53-54,0.0050051183253020945,93666.5540040176,468.8121859134068,93432.14791106089,2628442.49585419,28.06169740953051
54-55,0.0054845257302137,93197.74181810419,511.14541299920575,92942.16911160458,2535010.347943129,27.200340893352944
55-56,0.00600702759394425,92686.59640510498,556.7709421942396,92408.21093400786,2442068.178831524,26.347587176013946
56-57,0.00657914470838805,92129.82546291074,606.1354536790238,91826.75773607123,2349659.967897516,25.503792676166885
57-58,0.007206328343441123,91523.69000923172,659.5497614098457,91193.9151285268,2257833.210161445,24.66938570695417
58-59,0.00789643974988194,90864.14024782188,717.503208891748,90505.388643376,2166639.2950329185,23.84482249128919
59-60,0.008655384988059829,90146.63703893013,780.253848950834,89756.51011445471,2076133.9063895424,23.030630698879616
60-61,0.009486061526508039,89366.3831899793,847.7350093416374,88942.51568530848,1986377.3962750877,22.227344616289912
61-62,0.01039269644967067,88518.64818063767,919.9474406765603,88058.67446029939,1897434.8805897792,21.435425411352124
