x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00508522864993848,100000.0,508.522864993848,99745.73856750308,7558894.1185,75.588941185
1-2,0.0004911561972841951,99491.47713500615,48.86585557181707,99467.04420722024,7459148.379932497,74.9727373110635
2-3,0.0003553859756626415,99442.61127943434,35.34050943198257,99424.94102471834,7359681.335725277,74.00933303173755
3-4,0.0002406314651045608,99407.27077000235,23.920517207431445,99395.31051139862,7260256.394700559,73.03546650524734
4-5,0.00018827307984669073,99383.35025279492,18.711209437576088,99373.99464807613,7160861.08418916,72.05292502189297
5-6,0.00017273433584117582,99364.63904335734,17.163684931252497,99356.05720089171,7061487.089541083,71.06639904825532
6-7,0.00017117023963360224,99347.47535842609,17.00533116409519,99338.97269284404,6962131.032340191,70.07859039419166
7-8,0.00016622347007356518,99330.470027262,16.511055411969746,99322.21449955601,6862792.059647347,69.09050221713238
8-9,0.00014682727220486779,99313.95897185002,14.581997687702895,99306.66797300617,6763469.84514779,68.10190546391226
9-10,0.00011546221271832498,99299.37697416231,11.46532578698787,99293.64431126881,6664163.177174784,67.11183272488003
10-11,8.69895691268672e-05,99287.91164837532,8.637012653798628,99283.59314204841,6564869.532863515,66.11952476261936
11-12,8.572823674709859e-05,99279.27463572152,8.511037160051355,99275.01911714149,6465585.939721467,65.12523347340306
12-13,0.0001392316024141371,99270.76359856148,13.821627488702704,99263.85278481712,6366310.920604326,64.13077415571104
13-14,0.00026222607627732507,99256.94197107277,26.027758436360553,99243.92809185458,6267047.067819509,63.139634804041854
14-15,0.0004332152393000988,99230.9142126364,42.988344246594856,99209.4200405131,6167803.139727654,62.15606485808457
15-16,0.0006271627064868529,99187.92586838981,62.20696803843668,99156.8223843706,6068593.719687141,61.18278678132073
16-17,0.0008038558325523061,99125.71890035138,79.68278729398781,99085.87750670439,5969436.89730277,60.22086864564076
17-18,0.0009462111651040593,99046.03611305739,93.71846522947476,98999.17688044265,5870351.019796066,59.268914235954654
18-19,0.0010387890885692943,98952.3176478279,102.79058786120645,98900.9223538973,5771351.842915623,58.324574705323336
19-20,0.0010933801019145646,98849.5270599667,108.08010597103289,98795.48700698119,5672450.920561726,57.38470470496591
20-21,0.0011525303793345448,98741.44695399566,113.80251731393045,98684.5456953387,5573655.433554745,56.44696938815927
21-22,0.0012251533541541826,98627.64443668173,120.83398939392673,98567.22744198477,5474970.887859407,55.51152437159037
22-23,0.001263882769073431,98506.8104472878,124.5010603607097,98444.55991710744,5376403.660417422,54.57900459881808
23-24,0.0012501037490062282,98382.3093869271,122.9880938004882,98320.81534002685,5277959.1005003145,53.64744061600207
24-25,0.001198780655981914,98259.3212931266,117.79137363611196,98200.42560630855,5179638.285160287,52.71396359138714
25-26,0.0011228820543482507,98141.5299194905,110.2013627328778,98086.42923812405,5081437.859553979,51.77663180635649
26-27,0.0010742753763817831,98031.32855675762,105.31264238251704,97978.67223556637,4983351.430315855,50.83427414156304
27-28,0.0010738603544065035,97926.01591437511,105.15886615542776,97873.4364812974,4885372.758080289,49.8884051644864
28-29,0.0011281133975504954,97820.85704821968,110.35301939596843,97765.6805385217,4787499.321598992,48.94149842951231
29-30,0.0012053895053632717,97710.5040288237,117.77921612009978,97651.61442076365,4689733.64106047,47.9962076510939
30-31,0.0012844982918154921,97592.7248127036,125.35768831553717,97530.04596854583,4592082.026639706,47.05352817489893
31-32,0.0013369855111483248,97467.36712438807,130.3124576550814,97402.21089556052,4494551.980671161,46.113403011442834
32-33,0.0013561632436862661,97337.05466673299,132.00493578770403,97271.05219883914,4397149.7697756,45.17446911487881
33-34,0.001350773459069688,97205.04973094529,131.30200126411003,97139.39873031323,4299878.717576761,44.23513726373715
34-35,0.0013485961441299316,97073.74772968118,130.91328188448975,97008.29108873894,4202739.318846447,43.294293432965105
35-36,0.0013669358386426435,96942.83444779669,132.51463470629392,96876.57713044355,4105731.0277577084,42.35208358765936
36-37,0.0014235766723606023,96810.31981309039,137.8169129296849,96741.41135662555,4008854.450627265,41.40937100886635
37-38,0.0015221252100381792,96672.5029001607,147.1476537818236,96598.92907326978,3912113.0392706394,40.46769165903261
38-39,0.0016555197678613499,96525.35524637888,159.7996337102195,96445.45542952378,3815514.1101973695,39.52862023100928
39-40,0.0018061346431592473,96365.55561266866,174.04916839932991,96278.53102846899,3719068.6547678458,38.59334002821772
40-41,0.001964044255846656,96191.50644426933,188.92437569310374,96097.04425642277,3622790.1237393767,37.662266219297855
41-42,0.0021325979600307424,96002.58206857622,204.73491067712956,95900.21461323765,3526693.079482954,36.73539818922557
42-43,0.0023210943643269372,95797.84715789909,222.35584315285286,95686.66923632266,3430792.8648697166,35.81283887533404
43-44,0.0025307456478119474,95575.49131474624,241.87725868228262,95454.5526854051,3335106.1956333937,34.89499399642452
44-45,0.0027629831922490735,95333.61405606395,263.40517329326474,95201.91146941732,3239651.6429479886,33.982259825404384
45-46,0.003019467511411767,95070.20888277068,287.06140702465643,94926.67817925835,3144449.7314785714,33.07502706085283
46-47,0.003302097996989048,94783.14747574602,312.9832414279785,94626.65585503203,3049523.053299313,32.173684188738854
47-48,0.003613023449425533,94470.16423431804,341.32291864967243,94299.5027749932,2954896.397444281,31.278620307202342
48-49,0.003954654072161452,94128.84131566837,372.24700561684705,93942.71781285995,2860596.8946692874,30.390227423240596
49-50,0.004329675391707539,93756.59431005151,405.9356191945371,93553.62650045425,2766654.1768564275,29.508902250727534
50-51,0.004741064411134421,93350.65869085697,442.58148567517816,93129.36794801938,2673100.550355973,28.635047549137262
51-52,0.005192108197817902,92908.07720518179,482.3887893005229,92666.88281053153,2579971.182407954,27.76907304528804
52-53,0.005686425035683872,92425.68841588128,525.5717485483841,92162.90254160708,2487304.299597422,26.91139597906457
53-54,0.006227988227480896,91900.11666733288,572.3528447082701,91613.94024497874,2395141.397055815,26.062441310340574
54-55,0.006821152605367227,91327.76382262462,622.9606141410587,91016.2835155541,2303527.456810836,25.222641619526694
55-56,0.0074706837916433495,90704.80320848356,677.6269031538178,90365.98975690665,2212511.1732952823,24.392436729175856
56-57,0.008181790240555539,90027.17630532973,736.5834724797196,89658.88456908987,2122145.1835383754,23.57227306942361
57-58,0.008960158082660217,89290.59283285002,800.0578270767835,88890.56391931162,2032486.2989692856,22.76260280603192
58-59,0.009811988782051615,88490.53500577323,868.2681367943927,88056.40093737603,1943595.735049974,21.96388274659173
59-60,0.010744039601200803,87622.26686897884,941.4171051872937,87151.5583163852,1855539.3341125979,21.176573038074636
60-61,0.011763666845999932,86680.84976379154,1019.6846385494156,86171.00744451683,1768387.7757962127,20.401135667395202
61-62,0.012878871832833282,85661.16512524213,1103.2191666991614,85109.55554189255,1682216.768351696,19.638032775904776
62-63,0.014098349478162527,84557.94595854297,1192.1274732791194,83961.88222190342,1597107.2128098034,18.887724798717702
63-64,0.015431539357253839,83365.81848526385,1286.4629090050287,82722.58703076134,1513145.3305879,18.15066844039168
64-65,0.01688867901022909,82079.35557625882,1386.2118896938923,81386.24963141188,1430422.7435571386,17.427314499663098
65-66,0.01848085918840553,80693.14368656493,1491.2786259411812,79947.50437359433,1349036.4939257267,16.718105557589467
66-67,0.020220080629557644,79201.86506062375,1601.4680975371566,78401.13101185518,1269088.9895521323,16.023473545486958
67-68,0.022119311824827452,77600.39696308659,1716.4673781569056,76742.16327400814,1190687.8585402772,15.343837211382702
68-69,0.024192547089969547,75883.92958492969,1835.825539855345,74966.01681500202,1113945.6952662691,14.679599506237158
69-70,0.026454864076893236,74048.10404507435,1958.93252766409,73068.6377812423,1038979.6784512671,14.031144913836314
70-71,0.028922479655623938,72089.17151741026,2084.997596603083,71046.67271910871,965911.0406700248,13.398836750908528
71-72,0.03161280285972875,70004.17392080718,2213.028149516642,68897.65984604886,894864.367950916,12.78301446658365
72-73,0.03454448331835568,67791.14577129054,2341.8101042285643,66620.24071917626,825966.7081048673,12.183990972677483
73-74,0.03773745329461186,65449.335667061976,2469.8912478991256,64214.39004311241,759346.467385691,11.602050038344997
74-75,0.04121296111360758,62979.44441916285,2595.5693938035683,61681.659722261065,695132.0773425786,11.037443784294002
75-76,0.04499359339643844,60383.87502535928,2716.8875205923696,59025.431265063096,633450.4176203175,10.490390312882186
76-77,0.04910328312334998,57666.98750476691,2831.6384143172554,56251.16829760828,574424.9863552544,9.96107151093632
77-78,0.0535673001380827,54835.34909044966,2937.381602904657,53366.65828899733,518173.81805764616,9.449631061943824
78-79,0.058412220287531846,51897.967487545,3031.475509357644,50382.22973286618,464807.15976864885,8.956172703298988
79-80,0.0636658689827096,48866.491978187354,3111.1276759279053,47310.928140223405,414424.9300357827,8.480758762482285
80-81,0.06935723459047949,45755.36430225945,3173.4655356846592,44168.631534417116,367114.00189555925,8.023409003377354
81-82,0.07551634674899939,42581.89876657479,3215.629432487451,40974.08405033107,322945.37036114215,7.584099810378636
82-83,0.08217411447867466,39366.26933408734,3234.888322857633,37748.82517265852,281971.28631081106,7.162763733535997
83-84,0.08936211887758376,36131.38101122971,3228.7767651367817,34516.99262866132,244222.46113815255,6.759289412775219
84-85,0.09711235529596358,32902.604246092924,3195.249393709056,31304.979549238396,209705.46850949124,6.373521893313144
85-86,0.1054569202350811,29707.35485238387,3132.846151063095,28140.93177685232,178400.48896025284,6.00526333787463
86-87,0.11442763887289807,26574.508701320774,3040.858284899421,25054.079558871064,150259.55718340052,5.65427413436744
87-88,0.12405563014506822,23533.650416421355,2919.4818320228983,22073.909500409907,125205.47762452946,5.320274390460196
88-89,0.13437080776456511,20614.168584398456,2769.9424840805423,19229.197342358184,103131.56812411956,5.002945799238939
89-90,0.14540131749671673,17844.226100317912,2594.573984695524,16546.93910797015,83902.37078176138,4.701933853005067
90-91,0.15717291345119394,15249.652115622388,2396.832252129534,14051.235989557621,67355.43167379123,4.416850375543287
91-92,0.16970827911407457,12852.819863492854,2181.229940796567,11762.204893094571,53304.19568423361,4.147276337050271
92-93,0.18302630228927544,10671.589922696287,1953.181643098596,9694.999101146988,41541.99079113903,3.892764910576982
93-94,0.19714131696893542,8718.40827959769,1718.758490112759,7859.0290345413105,31846.991689992043,3.6528447244800994
94-95,0.21206232926845164,6999.649789484931,1484.3620384216017,6257.46877027413,23987.962655450734,3.4270232621475034
95=96,0.22779224874159976,5515.287751063329,1256.3397992717162,4887.117851427471,17730.493885176606,3.21479035826521
96-97,0.24432715036710353,4258.9479517916125,1040.576616623057,3738.659643480084,12843.376033749135,3.015621740187341
97-98,0.26165559594403254,3218.3713351685556,842.10486967272,2797.3189003321954,9104.716390269052,2.8289825635649377
98-99,0.2797580461802504,2376.2664654958353,664.7796635907644,2043.876633700453,6307.397489936857,2.654330893240437
99-100,0.2986063960195774,1711.486801905071,511.0609057519456,1455.9563490290982,4263.520856236404,2.4911210834291224
100-101,0.31816366536250096,1200.4258961531252,381.93190311614325,1009.4599445950536,2807.5645072073057,2.3388070152471747
101-102,0.3383838749891479,818.4939930369819,276.9651690191946,680.0114085273847,1798.1045626122523,2.1968451545263923
102-103,0.35921213300125504,541.5288240177873,194.52372395709065,444.266962039242,1118.0931540848676,2.0646973983570303
