x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012385949067422544,100000.0,1238.5949067422544,99380.70254662888,7220371.079,72.20371079
1-2,0.0011801442031869813,98761.40509325775,116.55269971940935,98703.12874339805,7120990.376453371,72.10296744694155
2-3,0.00040647278313921337,98644.85239353834,40.096447694758425,98624.80416969096,7022287.247709973,71.18756911607444
3-4,0.0003078073079086137,98604.75594584359,30.351264474675986,98589.58031360625,6923662.443540282,70.21631337278443
4-5,0.0002542520441546137,98574.4046813689,25.062743891562167,98561.87330942313,6825072.863226675,69.23777917085053
5-6,0.0002259721962505076,98549.34193747734,22.26941123665401,98538.207231859,6726510.989917252,68.25526033633743
6-7,0.00021168752372822497,98527.07252624068,20.856952003271115,98516.64405023905,6627972.7826853935,67.2705746019214
7-8,0.00020092076840673393,98506.2155742374,19.79194452601516,98496.31960197439,6529456.138635155,66.28471209224712
8-9,0.0001873545863338171,98486.42362971138,18.451883158641646,98477.19768813206,6430959.81903318,65.29793226335704
9-10,0.00017240913128026763,98467.97174655274,16.976777467753095,98459.48335781886,6332482.621345049,64.310074728098
10-11,0.00016591140334151172,98450.99496908498,16.334142735689,98442.82789771713,6234023.13798723,63.32107806472451
11-12,0.00018169261316608397,98434.66082634928,17.88485075165656,98425.71840097345,6135580.310089513,62.331502527482904
12-13,0.00023700099581569497,98416.77597559763,23.324873911186803,98405.11353864204,6037154.591688539,61.342738896318316
13-14,0.0003487933214573846,98393.45110168644,34.31897861941197,98376.29161237674,5938749.4781498965,60.35716210433956
14-15,0.0005147848925059703,98359.13212306703,50.63379525695359,98333.81522543855,5840373.18653752,59.378047167293424
15-16,0.0007118223574852625,98308.49832781007,69.97818704053775,98273.5092342898,5742039.371312082,58.4083723073994
16-17,0.0009142594695691917,98238.52014076953,89.8154973151623,98193.61239211194,5643765.862077792,57.449622144049364
17-18,0.001102282920040752,98148.70464345436,108.18764075260418,98094.61082307805,5545572.2496856805,56.501736521445984
18-19,0.0012658396684220368,98040.51700270176,124.10357553462507,97978.46521493445,5447477.638862602,55.56353439784985
19-20,0.0014110037100415033,97916.41342716714,138.1604226196905,97847.33321585729,5349499.173647668,54.633324346860086
20-21,0.0015554451483477093,97778.25300454744,152.08870924983813,97702.20864992253,5251651.840431811,53.70981459637624
21-22,0.0016972421578937895,97626.1642952976,165.69524175544453,97543.31667441987,5153949.631781889,52.79270848122568
22-23,0.001808439826129407,97460.46905354215,176.25139370967824,97372.34335668731,5056406.315107469,51.88161276270501
23-24,0.0018707798007381938,97284.21765983247,181.99734932863245,97193.21898516816,4959033.971750782,50.974701663230924
24-25,0.0018955631283804524,97102.22031050384,184.06338850446656,97010.1886162516,4861840.752765614,50.06930569886973
25-26,0.0019090193343557294,96918.15692199937,185.01863541421937,96825.64760429226,4764830.564149362,49.16344589573801
26-27,0.001904785230780748,96733.13828658515,184.2558531353591,96641.01036001746,4668004.91654507,48.25652304089905
