x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01101297918469297,100000.0,1101.297918469297,99449.35104076535,6840910.7165,68.409107165
1-2,0.0014958323102146796,98898.7020815307,147.93587401184942,98824.73414452477,6741461.365459234,68.1653168704041
2-3,0.0004500891588568704,98750.76620751886,44.446649298813625,98728.54288286946,6642636.63131471,67.26668446658535
3-4,0.00030308932921232687,98706.31955822004,29.916832183918494,98691.36114212808,6543908.088431841,66.29674895913874
4-5,0.00023749973734090425,98676.40272603612,23.435619729178867,98664.68491617152,6445216.727289713,65.3166972977737
5-6,0.00021258044269196582,98652.96710630694,20.971691420334672,98642.48126059677,6346552.042373542,64.3320949032845
6-7,0.0002075879979681695,98631.99541488661,20.474818463781983,98621.75800565472,6247909.561112945,63.34566724349108
7-8,0.0002045987495554414,98611.52059642282,20.175793805788764,98601.43269951992,6149287.8031072905,62.35871595849176
8-9,0.00019256903060484471,98591.34480261704,18.98563969466796,98581.8519827697,6050686.37040777,61.37137476440183
9-10,0.0001745019760905283,98572.35916292237,17.201071461835248,98563.75862719145,5952104.518425001,60.3830989637495
10-11,0.00016872057202983883,98555.15809146053,16.62828264968242,98546.84395013569,5853540.75979781,59.39355050666799
11-12,0.0002003711003472019,98538.52980881085,19.744273644386986,98528.65767198867,5754993.915847674,58.40348873698225
12-13,0.00030076970870402753,98518.78553516646,29.63146642728658,98503.96980195282,5656465.258175685,57.41509324794305
13-14,0.0005016240082546248,98489.15406873918,49.40452423356824,98464.4518066224,5557961.288373732,56.432216734186056
14-15,0.000800251811477432,98439.74954450561,78.77658789437533,98400.36125055843,5459496.836567109,55.460287758034326
15-16,0.001152594610745778,98360.97295661124,113.37032733750132,98304.28779294249,5361096.475316551,54.50430505279187
16-17,0.0015131482913528168,98247.60262927374,148.66319204799606,98173.27103324974,5262792.187523608,53.56662194987253
17-18,0.0018493112882571512,98098.93943722574,181.41547606731618,98008.23169919208,5164618.916490358,52.64704130461306
18-19,0.002147266883233278,97917.52396115843,210.25505648999646,97812.39643291343,5066610.684791166,51.7436560875556
19-20,0.002418074466752703,97707.26890466842,236.26345215451906,97589.13717859116,4968798.2883582525,50.853926673625864
20-21,0.0026881955999140386,97471.0054525139,262.0211279766451,97339.99488852557,4871209.151179661,49.97598135532546
21-22,0.0029497065636132315,97208.98432453725,286.7379791042632,97065.61533498511,4773869.156291136,49.10934096742874
22-23,0.0031493748759164357,96922.24634543298,305.2444875576902,96769.62410165415,4676803.540956151,48.25314844940677
23-24,0.0032451172521888896,96617.0018578753,313.53349958375713,96460.23510808342,4580033.916854497,47.40401615433875
24-25,0.003255544646499799,96303.46835829153,313.5202408531988,96146.70823786494,4483573.681746414,46.5567207306131
25-26,0.0032292661678254998,95989.94811743833,309.9770919069686,95834.95957148484,4387426.973508549,45.70715017098225
26-27,0.003146459687698672,95679.97102553135,301.0531717520114,95529.44443965534,4291592.013937064,44.85360904626415
27-28,0.0030824232311817104,95378.91785377935,293.99819215746146,95231.91875770062,4196062.569497409,43.99360638511524
28-29,0.003038101537977929,95084.91966162188,288.87764066248127,94940.48084129064,4100830.6507397084,43.128086612822614
29-30,0.0030220545949769524,94796.0420209594,286.4788143750686,94652.80261377187,4005890.169898418,42.25798972717359
30-31,0.0030484637929203665,94509.56320658434,288.10898151999123,94365.50871582434,3911237.367284646,41.384567175866025
31-32,0.0031459533151287264,94221.45422506434,296.4162962755907,94073.24607692655,3816871.8585688216,40.5095834060421
32-33,0.003344568525895124,93925.03792878875,314.1387256501326,93767.96856596369,3722798.612491895,39.63584891298541
33-34,0.0036425798898407436,93610.89920313862,340.9851789072616,93440.40661368499,3629030.6439259313,38.76718068962055
34-35,0.004003592905761176,93269.91402423136,373.41476610836753,93083.20664117718,3535590.237312246,37.9070815525112
35-36,0.00438488006371055,92896.49925812299,407.3400075854454,92692.82925433027,3442507.030671069,37.05744627798826
36-37,0.00476755103822408,92489.15925053754,440.9467872093726,92268.68585693286,3349814.201416739,36.21845228739356
37-38,0.005152887263994528,92048.21246332818,474.31406167574613,91811.0554324903,3257545.515559806,35.38955758491894
38-39,0.0055466075422662435,91573.89840165243,507.92447554932806,91319.93616387776,3165734.4601273155,34.57027073634107
39-40,0.005952148079440793,91065.9739261031,542.03816180666,90794.95484519978,3074414.523963438,33.76029917011835
40-41,0.006371272733101813,90523.93576429645,576.752683628122,90235.55942248239,2983619.569118238,32.95945479974378
41-42,0.006746906172311331,89947.18308066833,606.8652047089785,89643.75047831384,2893384.009695756,32.167588918274966
42-43,0.007140860905626878,89340.31787595934,637.9667832167162,89021.33448435098,2803740.259217442,31.38269849353091
43-44,0.007554228417513543,88702.35109274263,670.0778213250599,88367.31218208009,2714718.924733091,30.604813641238444
44-45,0.007988209422335163,88032.27327141757,703.2202348163217,87680.66315400941,2626351.612551011,29.83396332903445
45-46,0.008444127005046688,87329.05303660124,737.417615071519,86960.34422906548,2538670.949397002,29.070176088282984
46-47,0.008923441335421447,86591.63542152972,772.6953788222222,86205.28773211861,2451710.6051679365,28.313480779442067
47-48,0.009427766137523325,85818.9400427075,809.0808968927823,85414.3995942611,2365505.317435818,27.56390741086562
48-49,0.009958887115545698,85009.85914581471,846.6035909416087,84586.55735034391,2280090.9178415565,26.821488010356408
49-50,0.010518782558211702,84163.2555548731,885.2949845729133,83720.60806258665,2195504.3604912125,26.08625754810279
