x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007484793245484334,100000.0,748.4793245484334,99625.76033772578,7908122.9553,79.081229553
1-2,0.0005711682549967279,99251.52067545157,56.68931786996933,99223.17601651658,7808497.194962273,78.67382929573182
2-3,0.00024044724098364149,99194.8313575816,23.851123519768098,99182.90579582172,7709274.018945756,77.7185052228684
3-4,0.00019927949615843943,99170.98023406183,19.762742974582398,99161.09886257454,7610091.113149934,76.73707666485411
4-5,0.0001720517506510333,99151.21749108726,17.059140548522915,99142.687920813,7510930.01428736,75.75227217923492
5-6,0.0001560122649105898,99134.15835053874,15.466144574272608,99126.4252782516,7411787.326366547,74.76522169239023
6-7,0.00014630481248738929,99118.69220596447,14.501541677188886,99111.44143512587,7312660.901088295,73.77680978571522
7-8,0.00013840633251802629,99104.19066428728,13.716647567011222,99097.33234050377,7213549.459653169,72.78753210435741
8-9,0.00012936819138858888,99090.47401672027,12.81915540738106,99084.06443901658,7114452.127312665,71.79753854151703
9-10,0.00011932554536236467,99077.65486131288,11.822495199550302,99071.74361371312,7015368.0628736485,70.8067633685278
10-11,0.00011156266039215336,99065.83236611333,11.052047812726697,99060.30634220697,6916296.319259935,69.81515376259775
11-12,0.00011211623818196461,99054.7803183006,11.105649343228771,99049.22749362899,6817236.012917728,68.8228876083654
12-13,0.00012842544860916047,99043.67466895738,12.719728351260594,99037.31480478175,6718186.785424099,67.83054857242426
13-14,0.00016518238308545048,99030.95494060611,16.358169136317184,99022.77585603796,6619149.470619317,66.8391966389616
14-15,0.00021757453319048897,99014.59677146979,21.543054671597037,99003.82524413399,6520126.6947632795,65.850156515933
15-16,0.00028103430771858547,98993.0537167982,27.820444320249127,98979.14349463808,6421122.869519145,64.86437813999409
16-17,0.0003428706441020872,98965.23327247794,33.93227327584783,98948.26713584001,6322143.726024508,63.882471823392194
17-18,0.0003925618579125972,98931.3009992021,38.83665532595715,98911.88267153912,6223195.458888668,62.9042112661478
18-19,0.00042162910075708244,98892.46434387614,41.69594081296034,98871.61637346966,6124283.576217129,61.92871839982994
19-20,0.00043492825140344635,98850.76840306318,42.99299185143131,98829.27190713746,6025411.959843659,60.95462945998651
20-21,0.00044736707519415396,98807.77541121175,44.20334549215465,98785.67373846567,5926582.687936521,59.980934326996596
21-22,0.0004665112651606578,98763.5720657196,46.07431895616465,98740.53490624152,5827797.0141980555,59.00755604829787
22-23,0.00048473316556459735,98717.49774676345,47.85164517940465,98693.57192417374,5729056.479291814,58.03486322139529
23-24,0.0005021813288248458,98669.64610158405,49.55005399397074,98644.87107458706,5630362.907367641,57.062765803081675
24-25,0.0005197962342526623,98620.09604759008,51.26235454717319,98594.46487031649,5531718.036293054,56.091184839484136
25-26,0.0005415447223382913,98568.8336930429,53.37943167350814,98542.14397720616,5433123.571422737,55.120095955910784
26-27,0.000571064948405194,98515.45426136939,56.25872280488316,98487.32489996694,5334581.427445531,54.14969120776177
27-28,0.0006077166849936991,98459.19553856451,59.835295919842835,98429.27789060459,5236094.102545564,53.18034617187879
28-29,0.0006528562559794117,98399.36024264467,64.24063791878237,98367.23992368528,5137664.824654959,52.21238036493229
29-30,0.0007090310607924,98335.11960472589,69.72265416648632,98300.25827764264,5039297.584731274,51.246163171281594
30-31,0.0007764203573140873,98265.3969505594,76.29525461196395,98227.24932325342,4940997.326453632,50.28216930665443
31-32,0.0008326331853312196,98189.10169594744,81.75550450990777,98148.22394369249,4842770.077130378,49.32085122976794
32-33,0.0008929832638411746,98107.34619143752,87.6082182088259,98063.54208233311,4744621.853186686,48.361534965266245
33-34,0.0009578532926358209,98019.7379732287,93.88852876095751,97972.79370884821,4646558.311104353,47.404312714786364
34-35,0.0010276673406020061,97925.84944446773,100.6351972747886,97875.53184583034,4548585.517395505,46.449283240325
35-36,0.0011028953997712795,97825.21424719294,107.89097877486893,97771.2687578055,4450709.985549674,45.496552395001636
36-37,0.001184058440036499,97717.32326841807,115.70302135374538,97659.4717577412,4352938.716791869,44.54623367890313
37-38,0.0012717340182256387,97601.62024706432,124.12330070213196,97539.55859671325,4255279.2450341275,43.59844881942028
38-39,0.0013665625009193021,97477.49694636218,133.20909201037435,97410.892400357,4157739.686437414,42.65332837511457
39-40,0.001469253966617729,97344.2878543518,143.0234810575844,97272.77611382301,4060328.794037057,41.711012361733964
40-41,0.0015805958596525895,97201.26437329422,153.6359160214256,97124.44641528351,3963056.017923234,40.77165089852548
41-42,0.0017014614756437566,97047.6284572728,165.1228011226384,96965.06705671149,3865931.5715079503,39.8354048724643
42-43,0.0018328193663647119,96882.50565615017,177.56813262853078,96793.7215898359,3768966.504451239,38.902446617429966
43-44,0.001975743760642528,96704.93752352164,191.06417693542338,96609.40543505394,3672172.782861403,37.972960604707666
44-45,0.002131426107415519,96513.87334658622,205.71218937870864,96411.01725189686,3575563.377426349,37.04714414047315
45-46,0.0023011878573330254,96308.1611572075,221.62317101703803,96197.34957169899,3479152.3601744524,36.1252080651327
46-47,0.0024864946103280877,96086.53798619047,238.91865882774766,95967.07865677659,3382955.0106027536,35.20737744853448
47-48,0.0026889717684325178,95847.61932736271,257.7315424427453,95718.75355614134,3286987.931945977,34.29389227414648
48-49,0.002910421845726014,95589.88778491996,278.2068976397293,95450.7843361001,3191269.1783898356,33.385008104312085
49-50,0.0031528436006840587,95311.68088728024,300.5028231559026,95161.42947570229,3095818.394053736,32.480996717652964
50-51,0.0034184531702511076,95011.17806412434,324.79126286259833,94848.78243269304,3000656.9645780334,31.582146708599375
51-52,0.0037097073996149275,94686.38680126175,351.2587897594419,94510.75740638202,2905808.1821453404,30.68876403790095
52-53,0.004029329576743445,94335.12801150231,380.1073214226254,94145.074350791,2811297.4247389585,29.80117252182216
53-54,0.004380337796052754,93955.02069007969,411.5547282576746,93749.24332595085,2717152.3503881674,28.91971424657522
54-55,0.004766076190808854,93543.46596182202,445.8352859263784,93320.54831885883,2623403.1070622164,28.044749893412206
55-56,0.005190249288632546,93097.63067589563,483.1999113889428,92856.03072020116,2530082.5587433577,27.176658958716484
56-57,0.005656959758256874,92614.43076450669,523.9161078686818,92352.47271057234,2437226.5280231563,26.315839852434667
57-58,0.006170749827808744,92090.514656638,568.2675274602675,91806.38089290787,2344874.055312584,25.462709857312788
58-59,0.006736646664490926,91522.24712917773,616.5530408494893,91213.97060875299,2253067.6744196764,24.617704930688788
59-60,0.007360212011540633,90905.69408832824,669.0851815463518,90571.15149755507,2161853.7038109233,23.781279330097462
60-61,0.008047596379372225,90236.60890678188,726.1878071250454,89873.51500321936,2071282.5523133683,22.953905043717768
61-62,0.008805598082182349,89510.42109965684,788.1927923704727,89116.3247034716,1981409.037310149,22.136071006795266
62-63,0.009641727396915867,88722.22830728636,855.4355393857875,88294.51053759347,1892292.7126066776,21.328282085666146
