x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008605939825940311,100000.0,860.5939825940311,99569.70300870299,7354845.372,73.54845372
1-2,0.0004843744661500674,99139.40601740597,48.020596864115795,99115.39571897392,7255275.6689912975,73.18256140971314
2-3,0.00032827657297717754,99091.38542054186,32.529380417416135,99075.12073033315,7156160.273272323,72.21778404754079
3-4,0.00023760679191986753,99058.85604012445,23.537056994945964,99047.08751162697,7057085.15254199,71.24133504715087
4-5,0.00019294477493325235,99035.3189831295,19.108347331642776,99025.76480946368,6958038.065030363,70.25814766361941
5-6,0.0001779665675689547,99016.21063579786,17.62157514053757,99007.3998482276,6859012.300220899,69.27160973115572
6-7,0.00017511253770704163,98998.58906065732,17.335894159828275,98989.92111357741,6760004.900372672,68.2838509570147
7-8,0.00016984313071962084,98981.2531664975,16.81128592034932,98972.84752353732,6661014.979259094,67.29572283808658
8-9,0.00015249570847491174,98964.44188057714,15.091652678402838,98956.89605423794,6562042.131735557,66.30706955993483
9-10,0.0001251088767310011,98949.35022789874,12.37944206027484,98943.1605068686,6463085.235681319,65.31710638620297
10-11,0.00010173948601207912,98936.97078583846,10.065796555343292,98931.9378875608,6364142.07517445,64.32521659623517
11-12,0.00010699593958518758,98926.90498928312,10.58477714958293,98921.61260070834,6265210.137286889,63.3317108016834
12-13,0.00017084838476591032,98916.32021213353,16.899693535230583,98907.87036536592,6166288.524686181,62.33843425899901
13-14,0.0003125571947929045,98899.4205185983,30.911725443936906,98883.96465587633,6067380.654320815,61.34900106092965
14-15,0.000514724581651322,98868.50879315437,50.89005182704643,98843.06376724085,5968496.6896649385,60.36802580032638
15-16,0.0007464357022630218,98817.61874132731,73.7609986411422,98780.73824200674,5869653.625897698,59.39885721454754
16-17,0.0009716233992248887,98743.85774268617,95.94184271252759,98695.88682132991,5770872.887655691,58.44285426536449
17-18,0.0011804758269402743,98647.91589997364,116.45148009795602,98589.69015992466,5672177.000834362,57.499207652656324
18-19,0.0013557893040656245,98531.46441987569,133.5879055743901,98464.6704670885,5573587.310674437,56.566573363037705
19-20,0.0015022610000869066,98397.8765143013,147.8192923788022,98323.9668681119,5475122.640207348,55.64269102302818
20-21,0.0016621079601184846,98250.0572219225,163.302202190654,98168.40612082717,5376798.6733392365,54.725654369792196
21-22,0.001826709309266192,98086.75501973185,179.17598851025656,97997.16702547672,5278630.267218409,53.81593331491618
22-23,0.0019163669012379919,97907.5790312216,187.62684383577593,97813.76560930371,5180633.100192932,52.91350426038916
23-24,0.0019301826363207326,97719.95218738582,188.6173549341843,97625.64350991872,5082819.334583629,52.014140621322824
24-25,0.0019098572530741955,97531.33483245163,186.27092723176568,97438.19936883575,4985193.69107371,51.11376461357509
25-26,0.0018870138020526633,97345.06390521987,183.69147915084844,97253.21816564444,4887755.491704875,50.2106146487699
26-27,0.001830119503341817,97161.37242606902,177.81692264840675,97072.46396474482,4790502.27353923,49.304596609978596
27-28,0.0017680986115910262,96983.55550342062,171.47648983275923,96897.81725850423,4693429.809574486,48.39407861685323
28-29,0.0017103816150138686,96812.07901358786,165.58560005611065,96729.28621355981,4596531.992315982,47.478910061117936
29-30,0.0016642642803436575,96646.49341353176,160.84530680860948,96566.07076012745,4499802.7061024215,46.55939959299538
30-31,0.0016349235695136434,96485.64810672315,157.74666020948112,96406.7747766184,4403236.635342294,45.63618239338411
31-32,0.0016256794783173823,96327.90144651367,156.59829257097655,96249.60230022819,4306829.860565676,44.71009744728069
32-33,0.0016383760455285622,96171.30315394269,157.56475935468518,96092.52077426534,4210580.258265448,43.782085925627065
33-34,0.0016737887376519788,96013.738394588,160.7067139847248,95933.38503759564,4114487.7374911825,42.85311463013613
34-35,0.001731999933001456,95853.03168060328,166.0174444487913,95770.02295837889,4018554.3524535866,41.924123650507106
35-36,0.001812712786992233,95687.01423615449,173.45307425498507,95600.28769902699,3922784.329495208,40.99599471056563
36-37,0.0019154941985950803,95513.5611618995,182.95567229277486,95422.08332575312,3827184.041796181,40.069535626558235
37-38,0.0020399503317569917,95330.60548960672,194.46970029511812,95233.37063945916,3731761.958470428,39.14547630642373
38-39,0.00218584476397082,95136.13578931161,207.9528242794837,95032.15937717186,3636528.5878309687,38.22447230655259
39-40,0.002353171694069257,94928.18296503213,223.38231312274107,94816.49180847076,3541496.428453797,37.30711278607689
40-41,0.0025421963896943064,94704.80065190939,240.75820230400305,94584.42155075738,3446679.936645326,36.393930539104474
41-42,0.002753473445252995,94464.04244960539,260.1042324162401,94333.99033339728,3352095.515094569,35.48541252490695
42-43,0.0029878513012560693,94203.93821718915,281.46735938567497,94063.2045374963,3257761.5247611715,34.58200990759361
43-44,0.003246469355409676,93922.47085780348,304.9164234242173,93770.01264609137,3163698.320223675,33.684147055856776
44-45,0.0035307521372917234,93617.55443437926,330.54038040720883,93452.28424417565,3069928.307577584,32.79222925791588
45-46,0.00384240352224751,93287.01405397205,358.44635138093514,93107.79087828158,2976476.0233334084,31.90664910350053
46-47,0.004183402831193125,92928.56770259111,388.75763322574164,92734.18888597825,2883368.232455127,31.027791600996885
47-48,0.0045560038577770814,92539.81006936537,421.61173167398704,92329.00420352837,2790634.0435691485,30.15603815781947
48-49,0.004962737320806846,92118.19833769138,457.15842081594826,91889.61912728341,2698305.0393656204,29.29176957493287
49-50,0.005406416894747025,91661.03991687544,495.55779479667683,91413.2610194771,2606415.420238337,28.43536820662317
50-51,0.0058901487685301315,91165.48212207876,536.9782522538179,90896.99299595185,2515002.15921886,27.587219424244875
51-52,0.006417344577522471,90628.50386982494,581.5943378779954,90337.70670088594,2424105.166222908,26.74771250449851
52-53,0.006991737510614876,90046.90953194695,629.5843550894577,89732.11735440222,2333767.459522022,25.917241043059285
53-54,0.007617401388859946,89417.32517685748,681.1276569903356,89076.76134836231,2244035.3421676196,25.09620297553263
54-55,0.008298772526272735,88736.19751986714,736.4015180637842,88367.99676083525,2154958.5808192575,24.285000271019996
55-56,0.009040674205554057,87999.79600180336,795.5774858075226,87602.0072588996,2066590.5840584224,23.484038349544267
56-57,0.009848343623959008,87204.21851599585,858.8171094043358,86774.80996129368,1978988.5767995229,22.69372526326255
57-58,0.010727461182565966,86345.40140659151,926.2669418822873,85882.26793565036,1892213.7668382293,21.914470672595424
58-59,0.011684182002926395,85419.13446470922,998.0527136181053,84920.10810790016,1806331.4989025788,21.146684641821814
59-60,0.012725169556780267,84421.08175109111,1074.272579449443,83883.9454613664,1721411.3907946786,20.390776273989523
60-61,0.013857631286137139,83346.80917164167,1154.9893503766434,82769.31449645334,1637527.4453333123,19.647152201844253
61-62,0.015089356071802203,82191.81982126503,1240.221635472478,81571.7090035288,1554758.1308368589,18.916214949588024
62-63,0.016428753377710777,80951.59818579255,1329.933842125925,80286.63126472959,1473186.42183333,18.198361179382896
63-64,0.017884893855536262,79621.66434366662,1424.0250153876138,78909.6518359728,1392899.7905686004,17.49397983639859
64-65,0.019467551138159175,78197.63932827901,1522.3165425065986,77436.48105702571,1313990.1387326275,16.80345020667961
65-66,0.021187244480812086,76675.32278577241,1624.5388095073417,75863.05338101875,1236553.6576756018,16.127139903023036
66-67,0.023055281824001968,75050.78397626507,1730.316975685082,74185.62548842253,1160690.604294583,15.465402795281301
67-68,0.025083802751544877,73320.46700057999,1839.1561318937036,72400.88893463313,1086504.9788061604,14.818576902920787
68-69,0.027285820699078287,71481.31086868628,1950.4262316980498,70506.09775283726,1014104.0898715273,14.18698226917624
69-70,0.029675263632173536,69530.88463698824,2063.3473321808706,68499.2109708978,943597.99211869,13.57091883765169
70-71,0.03226701225775431,67467.53730480737,2176.9758532147152,66379.04937820001,875098.7811477922,12.970664353646676
71-72,0.03507693465735948,65290.56145159265,2290.192757779829,64145.46507270273,808719.7317695923,12.386472313753782
72-73,0.038121916035804636,63000.36869381282,2401.6947655702675,61799.52131102769,744574.2666968895,11.81856998830569
73-74,0.041419882064643886,60598.673928242555,2509.989927381617,59343.67896455175,682774.7453858618,11.267156541979189
74-75,0.04498981406816252,58088.684000860936,2613.3990926629804,56781.98445452945,623431.0664213101,10.732401278226067
75-76,0.048851754053378806,55475.28490819796,2710.064974376404,54120.252421009754,566649.0819667806,10.214442033141195
76-77,0.05302679732931296,52765.21993382156,2797.97062346738,51366.23462208787,512528.82954577083,9.713383743848457
77-78,0.05753707020124664,49967.24931035418,2874.9691313330413,48529.76474468766,461162.594923683,9.229297215448703
78-79,0.06240568997198711,47092.28017902114,2938.826236925947,45622.867060558165,412632.8301789953,8.76221810900583
79-80,0.0676567042463262,44153.45394209519,2987.27717481412,42659.81535468813,367009.96311843715,8.312146170937169
80-81,0.07331500633231396,41166.176767281075,3018.098510370368,39657.12751209589,324350.147763749,7.879044721528351
81-82,0.07940622338268308,38148.07825691071,3029.1948236883272,36633.480845066544,284693.0202516531,7.462840417133714
82-83,0.08595657384465781,35118.883433222385,3018.6988971697097,33609.53398463753,248059.53940658655,7.063423296992489
83-84,0.09299269081319671,32100.184536052675,2985.082535607705,30607.643268248823,214450.00542194903,6.680647121548284
84-85,0.1005414080417276,29115.10200044497,2927.2733504032576,27651.46532524334,183842.3621537002,6.314330004782072
85-86,0.10862950568868872,26187.828650041713,2844.7708813141116,24765.443209384655,156190.89682845687,5.964255338451212
86-87,0.11728341340226082,23343.0577687276,2737.7534943625355,21974.181021546334,131425.4536190722,5.630173001376933
87-88,0.12652886910366393,20605.304274365066,2607.165847372304,19301.721350678912,109451.27259752588,5.3118008421595375
88-89,0.1363905328523089,17998.138426992762,2454.7756904071593,16770.750581789183,90149.55124684697,5.008826419050368
89-90,0.1468915564882702,15543.362736585603,2283.1887454388384,14401.768363866184,73378.80066505779,4.720908976301536
90-91,0.15805311136243405,13260.173991146765,2095.811756507971,12212.26811289278,58977.032301191604,4.447681632274809
91-92,0.1698938783799241,11164.362234638793,1896.7567996811406,10215.983834798222,46764.764188298825,4.18875375103877
92-93,0.18242950677451839,9267.605434957652,1690.6846884801703,8422.263090717566,36548.7803535006,3.9437134662247963
93-94,0.19567205045106884,7576.920746477481,1482.5916185684919,6835.624937193235,28126.517262783036,3.712130323635639
94-95,0.20962939329898095,6094.329127908989,1277.5505176478691,5455.553869085054,21290.8923255898,3.4935580075726675
95-96,0.2243046774786616,4816.77861026112,1080.4259726607363,4276.565623930752,15835.338456504745,3.287537115110695
96-97,0.2396957511666108,3736.352637600384,895.5878520929715,3288.558711553898,11558.772832573994,3.0935979426174938
97-98,0.25579465443482263,2840.7647855074124,726.6524466394816,2477.438562187672,8270.214121020095,2.9112632496755215
98-99,0.27258716363426383,2114.1123388679307,576.2798860562089,1825.9723958398263,5792.7755588324235,2.740050967175354
99-100,0.2900524156371447,1537.8324528117219,446.0520177832352,1314.8064439201041,3966.803162992597,2.579476818648108
100-101,0.30816263336106026,1091.7804350284866,336.4459339104624,923.5574680732554,2651.996719072493,2.429056826799884
101-102,0.3268829729694837,755.3345011180243,246.90598731188157,631.8815074620835,1728.4392509992374,2.288309680599591
102-103,0.3461715108877393,508.4285138061427,176.00346680268024,420.42678040480257,1096.5577435371538,2.1567589420353737
103-104,0.3659793852358381,332.42504700346245,121.66071433932179,271.59468983380157,676.1309631323512,2.0339350756722876
104-105,0.3862511014984349,210.76433266414068,81.40795564810689,170.06035484008723,404.53627329854965,1.9193772882966418
105-106,0.406925006375003,129.35637701603378,52.638344541896835,103.03720474508536,234.47591845846242,1.8126351701192052
106-107,0.4279339270393121,76.71803247413693,32.83024891138689,60.30290801844349,131.43871371337707,1.7132701331683329
107-108,0.44920596584889766,43.887783562750045,19.71465420427251,34.03045646061379,71.13580569493358,1.6208566466617016
108-109,0.47066543332553745,24.173129358477535,11.3774564043421,18.484401156306486,37.10534923431979,1.5349832735374378
109-110,0.49223389546566243,12.795672954135435,6.298463943318706,9.646440982476083,18.620948078013303,1.4552535177132044
