x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004652501385256885,100000.0,465.25013852568856,99767.37493073716,8065648.7875,80.656487875
1-2,0.0004155999571862045,99534.74986147431,41.3666377809683,99514.06654258382,7965881.412569262,80.03115920475646
2-3,0.0001914605021494205,99493.38322369334,19.049053112553057,99483.85869713707,7866367.346026679,79.06422609371457
3-4,0.00014509428493448957,99474.33417058078,14.43315738581488,99467.11759188787,7766883.487329542,78.07927092038352
4-5,0.00011836840649788651,99459.90101319496,11.772909993369415,99454.01455819828,7667416.369737654,77.09052886268655
5-6,0.00010631199918799659,99448.1281032016,10.572529314155348,99442.84183854453,7567962.355179456,76.0995958347839
6-7,0.0001018962617473404,99437.55557388744,10.132315190272541,99432.4894162923,7468519.513340912,75.10763383349062
7-8,9.911741373960168e-05,99427.42325869716,9.854989048194781,99422.49576417307,7369087.02392462,74.11523684719475
8-9,9.38429660542326e-05,99417.56826964897,9.32963948432302,99412.90344990681,7269664.528160447,73.12253412236991
9-10,8.613694788837309e-05,99408.23863016465,8.56272227056145,99403.95726902937,7170251.62471054,72.12934987598487
10-11,8.028891318128297e-05,99399.67590789408,7.980691949216572,99395.68556191947,7070847.667441511,71.13552034106743
11-12,8.417325492012072e-05,99391.69521594487,8.36612249835467,99387.5121546957,6971451.981879591,70.14119204560261
12-13,0.0001074209677891543,99383.32909344652,10.67585339332604,99377.99116674985,6872064.469724895,69.14705446487251
13-14,0.00015604074098880648,99372.65324005319,15.50618244560162,99364.90014883039,6772686.478558145,68.15442939012061
14-15,0.00022349783577120842,99357.14705760758,22.206107335776984,99346.04400393969,6673321.578409315,67.1649878849692
15-16,0.0003044495413576096,99334.9409502718,30.242477213095484,99319.81971166526,6573975.534405376,66.17989069622926
16-17,0.00038073129272962644,99304.69847305871,37.8084062237734,99285.79426994683,6474655.71469371,65.1998929985199
17-18,0.0004361842405616262,99266.89006683494,43.29865305671684,99245.24074030657,6375369.920423764,64.22453565465102
18-19,0.0004580390989406207,99223.59141377822,45.44828440481929,99200.86727157581,6276124.679683457,63.25234342215063
19-20,0.0004529280495187767,99178.1431293734,44.92056292248116,99155.68284791216,6176923.812411881,62.281099620451286
20-21,0.00044038382010180827,99133.22256645093,43.65666725281645,99111.39423282452,6077768.129563969,61.30909469315317
21-22,0.00043372078843725105,99089.56589919812,42.97720464770515,99068.07729687427,5978656.735331144,60.33588583295556
22-23,0.0004274390669518791,99046.58869455042,42.33638145636517,99025.42050382223,5879588.65803427,59.36184916137114
23-24,0.00042588957200713246,99004.25231309405,42.16487864450978,98983.1698737718,5780563.237530448,58.38701977415898
24-25,0.0004287235102837836,98962.08743444954,42.427373509907916,98940.87374769458,5681580.067656675,57.41168375636819
25-26,0.0004348900477113276,98919.66006093963,43.019175683490346,98898.15047309788,5582639.193908981,56.436093598277495
26-27,0.0004398748170792679,98876.64088525613,43.4933443228145,98854.89421309473,5483741.043435883,55.46043023245124
27-28,0.0004442555626296639,98833.14754093332,43.907175567257916,98811.19395314969,5384886.149222788,54.48461658061181
28-29,0.0004494203710347272,98789.24036536606,44.397897059241664,98767.04141683644,5286074.955269638,53.50861020612577
29-30,0.0004594526355776248,98744.84246830682,45.36857812176094,98722.15817924593,5187307.913852802,52.53244406681515
30-31,0.0004731781962598368,98699.47389018505,46.70243902715262,98676.12267067148,5088585.755673556,51.55636149930459
31-32,0.00049756053148331,98652.7714511579,49.08572539553964,98628.22858846013,4989909.633002884,50.58053169315515
32-33,0.0005390232891092414,98603.68572576236,53.14968299819439,98577.11088426327,4891281.404414424,49.605462193554395
33-34,0.0005962354438370682,98550.53604276417,58.759322597838484,98521.15638146525,4792704.293530161,48.63194545639463
34-35,0.0006613079747811365,98491.77672016634,65.13339739540909,98459.21002146864,4694183.137148695,47.66066054921267
35-36,0.0007296359838549016,98426.64332277093,71.81562073834544,98390.73551240176,4595723.927127226,46.69186890846667
36-37,0.0007985811092781975,98354.82770203259,78.54430740915518,98315.55554832802,4497333.191614824,45.72559676724321
37-38,0.0008701006338251539,98276.28339462343,85.5102564716423,98233.52826638761,4399017.636066496,44.761741939328985
38-39,0.0009476038833093519,98190.7731381518,93.04595793086024,98144.25015918637,4300784.107800108,43.80028764768987
39-40,0.0010359566991866638,98097.72718022093,101.62499764733555,98046.91468139726,4202639.857640922,42.84135808692094
40-41,0.0011386029426142974,97996.1021825736,111.57865030980967,97940.31285741868,4104592.9429595247,41.885267388619
41-42,0.0012500684643267487,97884.52353226379,122.36235601333249,97823.34235425713,4006652.630102106,40.9324424895573
42-43,0.0013725948808078596,97762.16117625046,134.18784196723425,97695.06725526684,3908829.287747849,39.98304907254268
43-44,0.0015072258674118616,97627.97333428323,147.14740679242715,97554.39963088703,3811134.220492582,39.03731779254559
44-45,0.0016551185547296896,97480.8259274908,161.34232372296503,97400.15476562933,3713579.820861695,38.09548991330837
45-46,0.0018175508119266449,97319.48360376785,176.88310644031006,97231.0420505477,3616179.6660960657,37.157818066721234
46-47,0.001995930244063649,97142.60049732754,193.8898543196085,97045.65557016774,3518948.6240455178,36.22456683298618
47-48,0.002191804779716664,96948.71064300793,212.4926473747126,96842.46431932057,3421902.96847535,35.296013178305664
48-49,0.002406874777231736,96736.21799563321,232.83196313848032,96619.80201406397,3325060.50415603,34.37244677382495
49-50,0.0026430066234510072,96503.38603249473,255.059088469333,96375.85648826006,3228440.7021419657,33.45417020968447
50-51,0.0029022478366279632,96248.3269440254,279.3364986523586,96108.65869469922,3132064.8456537058,32.54149911068276
51-52,0.0031868437158977486,95968.99044537304,305.83817412188813,95816.0713583121,3035956.1869590064,31.634762154626575
52-53,0.003499255604051525,95663.15227125115,334.74982168641,95495.77736040794,2940140.1156006944,30.73430099045848
53-54,0.0038421808495643496,95328.40244956475,366.2689623112809,95145.26796840911,2844644.3382402863,29.840470050311584
54-55,0.0042185745687981615,94962.13348725346,400.6048413281437,94761.8310665894,2749499.070271877,28.953636247451577
55-56,0.004631673320771913,94561.52864592533,437.9781094007413,94342.53959122495,2654737.239205288,28.07417855040863
56-57,0.005085020815330802,94123.55053652458,478.62021369106816,93884.24042967905,2560394.699614063,27.202487422321617
57-58,0.005582495781179346,93644.9303228335,522.7724284560518,93383.54410860548,2466510.459184384,26.338964113500687
58-59,0.006128342123059855,93122.15789437745,570.6844428143442,92836.81567297028,2373126.9150757785,25.4840197943809
59-60,0.006727201497138197,92551.47345156311,622.6124107657015,92240.16724618027,2280290.099402808,24.638074515325783
60-61,0.007384148429980714,91928.8610407974,678.8163549243194,91589.45286333525,2188049.932156628,23.801555979091116
61-62,0.00810472809875502,91250.04468587309,739.5568011782468,90880.26628528396,2096460.4792932929,22.974898111122318
62-63,0.008894996877652722,90510.48788469484,805.0905071291851,90107.94263113025,2005580.213008009,22.158539412172907
63-64,0.009761565737002216,89705.39737756566,875.6651334650135,89267.56481083315,1915472.2703768786,21.352921076919696
64-65,0.010711646555890377,88829.73224410065,951.5126954531852,88353.97589637406,1826204.7055660454,20.5584848612141
65-66,0.011753101374890013,87878.21954864747,1032.841623000095,87361.79873714742,1737850.7296696713,19.775670679213466
66-67,0.012818192035135772,86845.37792564736,1113.200731614889,86288.77755983992,1650488.930932524,19.004913909702704
67-68,0.014115237639445723,85732.17719403247,1210.1300544408373,85127.11216681205,1564200.153372684,18.245193398419406
68-69,0.015541462302307175,84522.04713959162,1313.5962093337932,83865.24903492472,1479073.041205872,17.49925719100393
69-70,0.017109293947771134,83208.45093025784,1423.6378459044718,82496.6320073056,1395207.7921709474,16.767621276117225
70-71,0.01883226374643466,81784.81308435337,1540.1931704574029,81014.71649912467,1312711.160163642,16.050793670087664
71-72,0.020725084443723236,80244.61991389596,1663.0765238699692,79413.08165196098,1231696.4436645173,15.349271327923933
72-73,0.022803729934989532,78581.543390026,1791.9522933408145,77685.56724335559,1152283.3620125563,14.66353691086717
73-74,0.025085514984834294,76789.59109668518,1926.3064381351942,75826.43787761759,1074597.7947692007,13.994055436708642
74-75,0.02758917368188911,74863.28465855,2065.4161628414404,73830.57657712928,998771.3568915832,13.341270843871735
75-76,0.030334934862410814,72797.86849570855,2208.318598939667,71693.70919623872,924940.7803144539,12.705602504954927
76-77,0.03334459232257775,70589.54989676888,2353.7797635420184,69412.66001499786,853247.0711182151,12.08744172991633
77-78,0.03664156716778103,68235.77013322686,2500.265554581899,66985.63735593592,783834.4111032173,11.487148303196705
78-79,0.04025095911696314,65735.50457864496,2645.9171073279817,64412.54602498097,716848.7737472814,10.905047102660548
79-80,0.044199582993629874,63089.58747131698,2788.5334574723465,61695.32074258081,652436.2277223004,10.341424851112297
80-81,0.04851598599915915,60301.05401384464,2925.565092270226,58838.27146770953,590740.9069797196,9.796527053143885
81-82,0.053230440690599325,57375.48892157441,3054.122560134005,55848.427641507405,531902.6355120101,9.270555171025363
82-83,0.058374907893585175,54321.36636144041,3171.00475800278,52735.86398243902,476054.20787050267,8.76366409311136
83-84,0.06398296309954093,51150.361603437625,3272.751699000925,49513.98575393716,423318.3438880636,8.27595994667639
84-85,0.07008967926403444,47877.6099044367,3355.7263221305266,46199.746743371434,373804.35813412647,7.807498304118288
85-86,0.0767314583916298,44521.883582306175,3416.229057612712,42813.76905349982,327604.61139075505,7.3582828270309575
86-87,0.08394580392755302,41105.65452469346,3450.64721504365,39380.33091717164,284790.84233725525,6.928264386744466
87-88,0.09177102585849158,37655.00730964981,3455.638649515562,35927.18798489203,245410.5114200836,6.517340692619983
88-89,0.10024587064898456,34199.36866013425,3428.3454869807542,32485.195916643872,209483.3234351916,6.125356450786868
89-90,0.10940906881377868,30771.023173153495,3366.628991821929,29087.708677242532,176998.12751854773,5.7521040663013
90-91,0.11929879416612744,27404.394181331565,3269.311180686095,25769.738590988516,147910.4188413052,5.397324891132415
91-92,0.12995203070421799,24135.08300064547,3136.40304714873,22566.881477071107,122140.68025031667,5.0607110092412
92-93,0.14140384580983964,20998.67995349674,2969.2941023544236,19514.032902319526,99573.79877324557,4.741907538652892
93-94,0.1536865720176847,18029.385851142317,2770.8745070462096,16643.94859761921,80059.76587092604,4.440515419212328
94-95,0.1668289041100224,15258.511344096107,2545.5607258858986,13985.730981153158,63415.817273306835,4.156094644045599
95=96,0.18085492367512004,12712.950618210209,2299.1997137419776,11563.35076133922,49430.086292153675,3.8881678830207465
96-97,0.19578306942673385,10413.750904468232,2038.8361163222162,9394.332846307123,37866.735530814454,3.6362244380712965
97-98,0.21162507829553917,8374.914788146016,1772.3419977598694,7488.743789266081,28472.40268450733,3.3997244634426145
98-99,0.22838492922625359,6602.572790386146,1507.9281194435277,5848.608730664382,20983.65889524125,3.1781033790032684
99-100,0.24605782827080194,5094.644670942618,1253.577203543555,4467.856069170841,15135.050164576867,2.9707764019147107
100-101,0.2646292793620366,3841.0674673990634,1016.4589158787772,3332.8380094596746,10667.194095406026,2.7771431212660267
101-102,0.28407428939804114,2824.6085515202863,802.3986671007556,2423.4092179699082,7334.356085946352,2.596592041753463
102-103,0.3043567582409917,2022.2098844195307,615.4732449048188,1714.4732619671213,4910.946867976444,2.4285050260181658
103-104,0.32542910325425917,1406.736639514712,457.7930431121827,1177.8401179586206,3196.473606009323,2.2722615706604645
104-105,0.34723216351927755,948.9435964025291,329.5037380366143,784.191727384222,2018.6334880507022,2.1272428579563596
105-106,0.36969542058015403,619.4398583659148,229.00407896269792,504.93781888456584,1234.4417606664801,1.9928355335785837
106-107,0.39273756048286707,390.4357794032169,153.33879552804623,313.76638163919375,729.5039417819144,1.8684351697914698
107-108,0.41626738643399686,237.09698387517065,98.69574180910078,187.74911297062025,415.7375601427206,1.753449383234679
108-109,0.4401850734553815,138.40124206606987,60.922160905169,107.94016161348537,227.98844717210036,1.6473005860977998
109-110,0.4643837372023812,77.47908116090088,35.980025264505755,59.489068528648,120.04828555861499,1.5494283587244744
