x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0050420986644579766,100000.0,504.2098664457977,99747.8950667771,7813248.3852,78.13248385200001
1-2,0.00036764126899790033,99495.7901335542,36.578758544648636,99477.50075428188,7713500.490133223,77.5258981287481
2-3,0.00023797006426743436,99459.21137500955,23.66831492289936,99447.3772175481,7614022.989378941,76.55422644233902
3-4,0.0001805107239669564,99435.54306008664,17.949181865823704,99426.56846915373,7514575.612161393,75.57232937945042
4-5,0.00015064420718434763,99417.59387822081,14.976684609960026,99410.10553591583,7415149.04369224,74.58588318658414
5-6,0.00013930466157381044,99402.61719361084,13.84724794770699,99395.69356963699,7315738.9381563235,73.59704547725477
6-7,0.0001353840749917629,99388.76994566314,13.45565668366273,99382.04211732131,7216343.244586687,72.60722965514047
7-8,0.00012960511268055,99375.31428897947,12.879548806088255,99368.87451457643,7116961.202469366,71.61699314754895
8-9,0.00011578517655553338,99362.43474017338,11.504697049378638,99356.68239164869,7017592.32795479,70.62621146820082
9-10,9.515562616985995e-05,99350.930043124,9.453799958811414,99346.2031431446,6918235.6455631405,69.63433198421222
10-11,7.639880312829792e-05,99341.47624316519,7.589569885976063,99337.6814582222,6818889.442419996,68.64091113090484
11-12,7.446813046215515e-05,99333.88667327921,7.397208832098691,99330.18806886316,6719551.760961774,67.64611741271301
12-13,0.00010729865497432523,99326.4894644471,10.65759872285666,99321.16066508568,6620221.572892911,66.65111803093123
13-14,0.0001862643177623583,99315.83186572425,18.49899566547021,99306.58236789152,6520900.412227825,65.65821671860063
14-15,0.0003005595566577364,99297.33287005877,29.84476234472054,99282.41048888641,6421593.829859934,64.67035563043046
15-16,0.00043313209206931997,99267.48810771406,42.99593479856053,99245.99014031478,6322311.419371047,63.68964844270842
16-17,0.0005596382745531723,99224.4921729155,55.52982359306518,99196.72726111897,6223065.429230732,62.71702976706583
17-18,0.0006694468245356289,99168.96234932244,66.38834693724725,99135.76817585381,6123868.701969613,61.75186829522629
18-19,0.0007492684168293217,99102.57400238518,74.25442872647784,99065.44678802195,6024732.93379376,60.79290063292158
19-20,0.0008035278703045368,99028.31957365871,79.57201472685907,98988.53356629527,5925667.487005738,59.838110073130544
20-21,0.0008618061988887272,98948.74755893185,85.27464401856328,98906.11023692257,5826678.953439442,58.885828241223486
21-22,0.0009222666300248199,98863.47291491329,91.17848199778715,98817.8836739144,5727772.84320252,57.93618891106647
