x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009504015700051186,100000.0,950.4015700051186,99524.79921499745,7933110.3657,79.331103657
1-2,0.0008035314949244435,99049.59842999488,79.58947189811958,99009.80369404581,7833585.566485003,79.08750454976891
2-3,0.00030941709025856113,98970.00895809676,30.62301219467803,98954.69745199943,7734575.762790957,78.15070286662016
3-4,0.0002360867062362339,98939.38594590209,23.358273745003554,98927.7068090296,7635621.065338957,77.17473675765432
4-5,0.00021397694753609416,98916.02767215708,21.165749663683993,98905.44479732524,7536693.358529927,76.1928429183308
5-6,0.00016452811562542158,98894.8619224934,16.270985277144096,98886.72642985483,7437787.913732602,75.20904290823319
6-7,0.0001336955003568303,98878.59093721624,13.219622689929471,98871.98112587127,7338901.187302748,74.22133666895235
7-8,0.00012216759063870853,98865.37131452632,12.078144211096967,98859.33224242077,7240029.206176876,73.23119419785253
8-9,0.0001286144857854193,98853.29317031521,12.713965469295394,98846.93618758056,7141169.873934455,72.24008067825187
9-10,0.0001515564420947686,98840.57920484591,14.979926518872619,98833.08924158648,7042322.937746875,71.24930867869304
10-11,0.00018636824880668282,98825.59927832703,18.41795387477279,98816.39030138965,6943489.848505288,70.26003281750938
11-12,0.00022188708253382262,98807.18132445226,21.924037197473115,98796.21930585353,6844673.458203899,69.2730362960978
12-13,0.0002440012299838574,98785.25728725479,24.10372428236198,98773.20542511361,6745877.238898045,68.28829953119325
13-14,0.00024484733387385865,98761.15356297242,24.181405140200535,98749.06286040232,6647104.033472932,67.30484399652727
14-15,0.00025059742705946524,98736.97215783222,24.74323117839481,98724.60054224302,6548354.97061253,66.32120499041541
15-16,0.00026735896538487337,98712.22892665383,26.391599396664937,98699.0331269555,6449630.370070287,65.33770374957857
16-17,0.0002858745472933463,98685.83732725716,28.211769070194457,98671.73144272207,6350931.336943331,64.35504332686241
17-18,0.00030626140233142566,98657.62555818696,30.215022754139042,98642.5180468099,6252259.605500609,63.373303078464104
18-19,0.00032865069819218044,98627.41053543282,32.41396733335681,98611.20355176614,6153617.087453798,62.392564643508045
19-20,0.00035318803616502876,98594.99656809946,34.822573213584796,98577.58528149268,6055005.883902032,61.41291236538403
