x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00843807048818209,100000.0,843.807048818209,99578.0964755909,7635511.0242,76.355110242
1-2,0.0008610237464532364,99156.19295118179,85.37583673886654,99113.50503281235,7535932.927724409,76.0006279328879
2-3,0.0003189851348072982,99070.81711444292,31.60211795271976,99055.01605546656,7436819.422691597,75.06569178793448
3-4,0.0002511480793256809,99039.2149964902,24.87350862429169,99026.77824217806,7337764.40663613,74.08948472477462
4-5,0.00020451026964376468,99014.34148786591,20.249449676283252,99004.21676302777,7238737.628393952,73.10797122537093
5-6,0.00016047317800359584,98994.09203818963,15.885896552948754,98986.14908991316,7139733.411630924,72.12282333855418
6-7,0.00013510942000299813,98978.20614163668,13.372888024733719,98971.51969762432,7040747.262541011,71.13431872533417
7-8,0.00012282532594091992,98964.83325361194,12.155387901063676,98958.75555966141,6941775.742843387,70.14386337674178
8-9,0.00011940325587665227,98952.67786571088,11.815271914879421,98946.77022975344,6842816.987283725,69.15241845774142
9-10,0.0001245336162470243,98940.862593796,12.321463413405352,98934.7018620893,6743870.217053972,68.16061675893293
10-11,0.00014057130331236124,98928.5411303826,13.906513961488416,98921.58787340185,6644935.515191883,67.16904382966902
11-12,0.00016868223276147326,98914.63461642111,16.685141419883227,98906.29204571118,6546013.927318481,66.17841690163569
12-13,0.00021061169251728829,98897.94947500122,20.82906452541927,98887.53494273851,6447107.635272769,65.18949755275186
13-14,0.00027093247496173453,98877.1204104758,26.789022949899646,98863.72589900086,6348220.100330031,64.20312478737448
14-15,0.00036142768847182994,98850.3313875259,35.727246778067865,98832.46776413688,6249356.37443103,63.22038870999321
15-16,0.0004729720312468483,98814.60414074783,46.73654403730273,98791.23586872919,6150523.906666893,62.24306579122977
16-17,0.0005850797735441442,98767.86759671054,57.78708160692142,98738.97405590708,6051732.670798164,61.27228235308906
17-18,0.0006795605045282641,98710.08051510362,67.07947211686938,98676.54077904519,5952993.696742257,60.30785980193168
18-19,0.0007460841071200983,98643.00104298675,73.5959753568037,98606.20305530835,5854317.155963212,59.3485304995132
19-20,0.0007899192290072763,98569.40506762995,77.86186845472817,98530.47413340259,5755710.952907904,58.39246923483838
20-21,0.0008264466285077985,98491.54319917523,81.39800381348856,98450.84419726848,5657180.478774501,57.43823576136103
21-22,0.0008655571720232204,98410.14519536174,85.17960697369182,98367.55539187489,5558729.634577232,56.485331096119815
22-23,0.0009082198205850279,98324.96558838805,89.30068260571484,98280.3152470852,5460362.079185357,55.53383158092062
23-24,0.0009539887527967602,98235.66490578234,93.71571944362775,98188.80704606052,5362081.763938272,54.58385983421638
24-25,0.0010022413334802847,98141.94918633871,98.36191802287046,98092.76822732728,5263892.956892212,53.63550449663315
25-26,0.001050737604426454,98043.58726831584,103.01808401568616,97992.07822630799,5165800.188664884,52.688812523022456
26-27,0.0011002651282106483,97940.56918430016,107.76059291058787,97886.68888784487,5067808.110438576,51.74370695050998
27-28,0.0011562868511409553,97832.80859138956,113.12279018441363,97776.24719629735,4969921.421550731,50.80015071741631
28-29,0.0012197187308170465,97719.68580120515,119.19053114128651,97660.0905356345,4872145.174354434,49.85837944941844
29-30,0.0012895594725954272,97600.49527006387,125.86164320551605,97537.56444846111,4774485.0838188,48.91865631017177
30-31,0.0013637274906184173,97474.63362685835,132.92883751490515,97408.1692081009,4676947.519370339,47.98117566949894
31-32,0.0014376797895862552,97341.70478934345,139.94620165951065,97271.7316885137,4579539.350162238,47.04601547787548
32-33,0.00150721333486032,97201.75858768394,146.50378671523086,97128.50669432632,4482267.618473724,46.11303008916605
33-34,0.0015750273071312975,97055.25480096872,152.86467661211168,96978.82246266266,4385139.111779398,45.18188243152837
34-35,0.0016486521190707227,96902.3901243566,159.75833082153838,96822.51095894584,4288160.289316735,44.25236863418602
35-36,0.0017377387323074295,96742.63179353507,168.11341833298206,96658.57508436858,4191337.7783577894,43.32462018712499
36-37,0.0018516532489659824,96574.51837520208,178.8225207167679,96485.1071148437,4094679.2032734207,42.39916773247747
