x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005205604571973257,100000.0,520.5604571973257,99739.71977140133,7579059.8076,75.790598076
1-2,0.0006719629625530279,99479.43954280268,66.84649890829651,99446.01629334853,7479320.087828599,75.18458208251664
2-3,0.00030258300322743117,99412.59304389438,30.080560961847993,99397.55276341345,7379874.07153525,74.23480110087019
3-4,0.00022161549264752,99382.51248293252,22.024704464453396,99371.5001307003,7280476.5187718365,73.25711875137138
4-5,0.00016676085396305607,99360.48777846807,16.56943979212313,99352.203058572,7181105.018641137,72.27324643023057
5-6,0.0001333484259181103,99343.91833867595,13.247355134999731,99337.29466110845,7081752.815582565,71.28521739438519
6-7,0.00011388063194631735,99330.67098354096,11.311839583257372,99325.01506374932,6982415.520921457,70.29465775055964
7-8,0.00010185489226275782,99319.3591439577,10.116162625213963,99314.3010626451,6883090.505857707,69.30260691554668
8-9,9.279710744488974e-05,99309.24298133249,9.215610491209372,99304.63517608689,6783776.204795062,68.30961551152124
9-10,8.64802298796541e-05,99300.02737084127,8.587489194086297,99295.73362624423,6684471.569618975,67.31590863168101
10-11,8.706218339360796e-05,99291.43988164718,8.644529548391366,99287.11761687299,6585175.83599273,66.32168738656715
11-12,0.00010259038938079073,99282.7953520988,10.185460633985176,99277.7026217818,6485888.718375857,65.3274184653459
12-13,0.0001430183142312057,99272.6098914648,14.19780131600941,99265.5109908068,6386611.015754075,64.33406981781366
13-14,0.00021413160415674682,99258.41209014879,21.254363006914993,99247.78490864534,6287345.504763268,63.34320056473354
14-15,0.00030831742371368307,99237.15772714188,30.596544807100802,99221.85945473833,6188097.719854622,62.356660162206005
15-16,0.000415239021573374,99206.56118233477,41.19443539901175,99185.96396463526,6088875.860399884,61.37573753019171
16-17,0.0005201371336990391,99165.36674693576,51.57958962196517,99139.57695212477,5989689.896435249,60.401026012646014
17-18,0.0006150820842645397,99113.7871573138,60.96311478407253,99083.30559992176,5890550.319483124,59.432198974837064
18-19,0.0006919529291980047,99052.82404252973,68.53989174156298,99018.55409665895,5791467.013883202,58.46846942391622
19-20,0.0007538687447268734,98984.28415078817,74.62115804044282,98946.97357176794,5692448.459786544,57.508608650590695
20-21,0.0008183067806471193,98909.66299274772,80.9384478984869,98869.19376879848,5593501.486214776,56.551618082299036
21-22,0.0008894771800814522,98828.72454484923,87.9058952191991,98784.77159723963,5494632.292445977,55.59752306580129
22-23,0.0009379813385141456,98740.81864963003,92.61704524296249,98694.51012700856,5395847.520848738,54.64657468554374
23-24,0.0009627794336591302,98648.20160438707,94.97645967216347,98600.713374551,5297153.010721729,53.697410845512614
