x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0035902935725246076,100000.0,359.0293572524608,99820.48532137377,7875916.0863,78.75916086299999
1-2,0.000636883277711249,99640.97064274753,63.45966797728339,99609.24080875888,7776095.600978626,78.04114663694935
2-3,0.00029536779274061853,99577.51097477025,29.411989623222606,99562.80497995864,7676486.360169867,77.09056276888506
3-4,0.00020115344317008337,99548.09898514702,20.024442871898607,99538.08676371108,7576923.5551899085,76.11319183825314
4-5,0.00014940201545132788,99528.07454227512,14.8696949306059,99520.63969480981,7477385.468426198,75.12840475227053
5-6,0.00012035920504537395,99513.20484734452,11.97733022694384,99507.21618223104,7377864.828731388,74.13955605237715
6-7,0.00010417280442226965,99501.22751711757,10.365321913916443,99496.04485616062,7278357.612549157,73.14842031769943
7-8,9.497938519923132e-05,99490.86219520365,9.449580924241888,99486.13740474153,7178861.567692996,72.15598909584162
8-9,8.93049652104167e-05,99481.41261427941,8.884184092601332,99476.97052223311,7079375.430288254,71.16279558410785
9-10,8.654411880054326e-05,99472.52843018681,8.608762317852504,99468.22404902788,6979898.459766021,70.16910668622192
10-11,8.884723709980649e-05,99463.91966786896,8.837094453607259,99459.50112064216,6880430.235716993,69.17513665952642
11-12,0.00010075242421974297,99455.08257341536,10.020340670246311,99450.07240308024,6780970.734596351,68.1812387978342
12-13,0.0001279030258646093,99445.06223274511,12.719324366862478,99438.70257056168,6681520.662193271,67.18805853382221
13-14,0.00017352939927381782,99432.34290837825,17.254434733279137,99423.71569101162,6582081.95962271,66.1965892293995
14-15,0.00023341174353005644,99415.08847364498,23.204649133828294,99403.48614907806,6482658.243931699,65.20799149769158
15-16,0.0003014101135242326,99391.88382451115,29.957718986933244,99376.90496501769,6383254.75778262,64.22309862898925
16-17,0.000368712743457359,99361.92610552422,36.636008369575215,99343.60810133944,6283877.852817602,63.24231120624621
17-18,0.000429810269072959,99325.29009715465,42.69102966240775,99303.94458232344,6184534.244716263,62.26545362884805
18-19,0.0004794649984941708,99282.59906749224,47.60253121239253,99258.79780188604,6085230.30013394,61.2920124703545
19-20,0.0005188970684958797,99234.99653627984,51.49274879487439,99209.2501618824,5985971.502332054,60.32117409450014
20-21,0.0005569578750461917,99183.50378748497,55.241033509113535,99155.88327073041,5886762.252170172,59.35223124183446
21-22,0.0005964702714662625,99128.26275397585,59.12706179484298,99098.69922307844,5787606.368899441,58.3850277217464
22-23,0.0006241889476848115,99069.13569218101,61.83785955574626,99038.21676240313,5688507.669676363,57.419575026385594
23-24,0.0006410036008520718,99007.29783262526,63.46403442134631,98975.5658154146,5589469.4529139595,56.45512578641547
24-25,0.0006528753608580276,98943.83379820392,64.5979911956791,98911.53480260608,5490493.887098545,55.49101622943391
25-26,0.0006640704632774964,98879.23580700824,65.66277993088478,98846.4044170428,5391582.352295939,54.52694196402558
26-27,0.0006705012180855508,98813.57302707735,66.25462107804088,98780.44571653834,5292735.947878896,53.56284350155577
27-28,0.000678789287255185,98747.31840599931,67.02862187916908,98713.80409505972,5193955.502162358,52.59844607432705
28-29,0.0006909426875978534,98680.28978412013,68.18242463637496,98646.19857180194,5095241.698067298,51.633833962324225
29-30,0.000708745039129235,98612.10735948377,69.89084188911364,98577.16193853921,4996595.499495496,50.66918893925211
30-31,0.0007336074447447642,98542.21651759466,72.29130365895791,98506.07086576518,4898018.337556957,49.7047713218671
31-32,0.0007665509124074555,98469.9252139357,75.48221101743631,98432.18410842698,4799512.266691192,48.74089480888479
32-33,0.0008082181326392595,98394.44300291825,79.52417298589864,98354.6809164253,4701080.082582765,47.77790227892582
33-34,0.0008591266481196697,98314.91882993236,84.46496667451719,98272.6863465951,4602725.4016663395,46.816144044509166
34-35,0.0009196328462417274,98230.45386325785,90.3359518738845,98185.2858873209,4504452.715319744,45.85596969337216
35-36,0.0009901006732117414,98140.11791138396,97.16859681314094,98091.5336129774,4406267.429432424,44.89771892684174
36-37,0.0010708248729290753,98042.94931457083,104.98682874136708,97990.45590020015,4308175.895819446,43.941720704429876
37-38,0.0011621410439518174,97937.96248582946,113.81772596579577,97881.05362284656,4210185.439919246,42.98828904602149
38-39,0.0012644872635965887,97824.14475986366,123.69738512107656,97762.29606730312,4112304.3862964,42.03772388085973
39-40,0.001378531649819986,97700.44737474258,134.6831589076546,97633.10579528875,4014542.090229097,41.09031430358559
40-41,0.0015051230376497088,97565.76421583492,146.84847940715272,97492.33997613135,3916908.984433808,40.14634657879402
41-42,0.0016452902550627515,97418.91573642776,160.28239271992393,97338.7745400678,3819416.6444576764,39.20610915842379
42-43,0.0018001130695082933,97258.63334370784,175.07653700452357,97171.09507520558,3722077.869917609,38.26989689196994
43-44,0.001970881378006672,97083.55680670332,191.34017422098444,96987.88671959282,3624906.7748424034,37.338009587552676
44-45,0.0021589182091558854,96892.21663248233,209.18237081334286,96787.62544707567,3527918.8881228105,36.41075630981182
45-46,0.0023655880107660613,96683.03426166899,228.71222669388848,96568.67814832204,3431131.2626757347,35.488452435093286
46-47,0.002592440899526491,96454.3220349751,250.05212937956873,96329.29597028533,3334562.5845274124,34.57141695857106
47-48,0.0028413803527967273,96204.26990559553,273.3529223649126,96067.59344441307,3238233.288557127,33.659974674042836
48-49,0.003114429149531941,95930.91698323062,298.77004419390215,95781.53196113367,3142165.695112714,32.7544632525715
49-50,0.0034138496649173573,95632.14693903671,326.473772783158,95468.91005264514,3046384.1631515804,31.855231328159768
50-51,0.003742104902021026,95305.67316625356,356.6438267458512,95127.35125288063,2950915.2530989354,30.962640051356505
51-52,0.00410193248546903,94949.0293395077,389.4745079114787,94754.29208555196,2855787.901846055,30.077062627303544
52-53,0.004496331475807358,94559.55483159622,425.17110272763784,94346.9692802324,2761033.609760503,29.198885450314414
53-54,0.004928529451432571,94134.38372886859,463.94408260018383,93902.4116875685,2666686.6404802706,28.328507978137075
54-55,0.005401966279746248,93670.43964626841,506.00455637814804,93417.43736807934,2572784.2287927023,27.46634091297548
55-56,0.005920296456549721,93164.43508989026,551.5610749391338,92888.6545524207,2479366.7914246228,26.612803362489032
56-57,0.006487585066957788,92612.87401495113,600.8338984674399,92312.4570657174,2386478.136872202,25.76831960194796
57-58,0.007108373077267662,92012.0401164837,654.0559087484847,91685.01216210946,2294165.679806485,24.933320431784356
58-59,0.007787576875946192,91357.98420773521,711.4573252492162,91002.2555451106,2202480.6676443755,24.108245018150182
59-60,0.008530404396913958,90646.526882486,773.2515314833379,90259.90111674432,2111478.412099265,23.293539032516733
60-61,0.009342154045113647,89873.27535100265,839.6099828679821,89453.47035956866,2021218.5109825206,22.489650044338475
61-62,0.010228575731793548,89033.66536813467,910.6875888971299,88578.3215736861,1931765.040622952,21.697018005891675
62-63,0.011196555748948157,88122.97777923754,986.6738334685527,87629.64086250326,1843186.7190492658,20.916073940065324
63-64,0.012253685848924731,87136.30394576899,1067.7408945878738,86602.43349847505,1755557.0781867625,20.147252048691076
64-65,0.013407997590302556,86068.56305118112,1154.0070859910402,85491.5595081856,1668954.6446882875,19.39098999126818
65-66,0.014668742969744873,84914.55596519008,1245.5897958433895,84291.7610672684,1583463.085180102,18.64772260988125
66-67,0.015974855897317584,83668.96616934669,1336.5996776328534,83000.66633053026,1499171.3241128335,17.917889902912126
67-68,0.0174781636954631,82332.36649171384,1439.0185789770355,81612.85720222532,1416170.6577823032,17.20065532095243
68-69,0.019113043550614762,80893.3479127368,1546.1180816111703,80120.28887193122,1334557.8005800778,16.497744685010733
69-70,0.02089157306348225,79347.22983112563,1657.6884494018796,78518.3856064247,1254437.5117081467,15.809468262193407
70-71,0.022831382718369493,77689.54138172376,1773.7596525007393,76802.66155547339,1175919.126101722,15.13613164896805
71-72,0.024947031949052893,75915.78172922302,1893.8734322362525,74968.84501310489,1099116.4645462485,14.478102438127891
72-73,0.027246438204621748,74021.90829698676,2016.8333502020275,73013.49162188574,1024147.6195331437,13.83573651498031
73-74,0.02974051821055619,72005.07494678473,2141.468242707315,70934.34082543108,951134.127911258,13.20926516102084
74-75,0.032444648239833195,69863.60670407742,2266.700144279844,68730.2566319375,880199.787085827,12.59883118852002
75-76,0.035368854277022625,67596.90655979757,2390.8251376909952,66401.49399095208,811469.5304538895,12.004536475882182
76-77,0.038542326706039264,65206.081422106574,2513.194093391429,63949.48437541086,745068.0364629375,11.42635809748782
77-78,0.042002294084185356,62692.887328715144,2633.2450905673913,61376.26478343145,681118.5520875267,10.86436725295877
78-79,0.04577997295245676,60059.64223814775,2749.5287971966336,58684.87783954944,619742.2873040952,10.31878086863556
79-80,0.0498835838488237,57310.11344095112,2858.8338492172834,55880.69651634248,561057.4094645458,9.78984991964159
80-81,0.05476940226260764,54451.27959173384,2982.264035673388,52960.14757389714,505176.7129482033,9.277591210636919
81-82,0.059793625106585944,51469.01555606045,3077.5190207641185,49930.25604567839,452216.56537430617,8.786190302819147
82-83,0.06524539577805155,48391.496535296326,3157.322343737619,46812.83536342752,402286.3093286278,8.313161157047576
83-84,0.07115485344703303,45234.174191558704,3218.6310353979234,43624.858673859744,355473.47396520025,7.858515830527449
84-85,0.07755310807088572,42015.543156160784,3258.4359590467,40386.32517663743,311848.6152913405,7.422220251497898
85-86,0.08447204464853696,38757.107197114085,3273.892089602754,37120.16115231271,271462.29011470306,7.00419380461183
86-87,0.09194407765871927,35483.21510751133,3262.4714854260624,33851.979364798295,234342.12896239036,6.604309340412144
87-88,0.10000185091099688,32220.743622085265,3222.1339999372244,30609.676622116654,200490.14959759207,6.2223936216099265
88-89,0.10867787867676945,28998.60962214804,3151.507378310804,27422.85593299264,169880.47297547542,5.858228211249382
89-90,0.11800412496209091,25847.102243837235,3050.0646830897094,24322.06990229238,142457.61704248277,5.51155079972066
90-91,0.12801151918861722,22797.037560747525,2918.2834111512593,21337.895855171897,118135.54714019039,5.182056959172579
91-92,0.138729408406331,19878.754149596265,2757.7678030283873,18499.870248082072,96797.6512850185,4.869402305424882
92-93,0.15018494849702943,17120.98634656788,2571.314452677641,15835.329120229058,78297.78103693642,4.573205039243093
93-94,0.16240243963967724,14549.671893890238,2362.9022115246175,13368.220788127928,62462.45191670736,4.2930488310830475
94-95,0.17540261456112324,12186.76968236562,2137.591265341159,11117.974049695042,49094.23112857943,4.028486006395877
95-96,0.1892018917081393,10049.178417024461,1901.323566613633,9098.516633717645,37976.25707888439,3.7790409825492053
96-97,0.20381160931855086,8147.8548504108285,1660.6274095561914,7317.541145632733,28877.740445166743,3.544213903578643
97-98,0.2192372602555505,6487.227440854637,1422.2419707875968,5776.106455460839,21560.19929953401,3.3234844155076577
98-99,0.23547775116222464,5064.98547006704,1192.69138816073,4468.639775986675,15784.092844073173,3.1163155229869304
