x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0028567632007362124,100000.0,285.67632007362124,99857.16183996318,8162559.7811,81.625597811
1-2,0.0004755145505679145,99714.32367992638,47.41561180984375,99690.61587402146,8062702.619260037,80.85801840406154
2-3,0.00019300782111711905,99666.90806811654,19.236492763707385,99657.28982173468,7963012.003386016,79.89624798979176
3-4,0.00017040048034971603,99647.67157535283,16.980011102170867,99639.18156980175,7863354.713564281,78.91157504486264
4-5,0.00013797433866211104,99630.69156425065,13.74647877902625,99623.81832486113,7763715.53199448,77.92493869208718
5-6,0.00011441549585714425,99616.94508547163,11.397722167728146,99611.24622438777,7664091.713669619,76.9356228209348
6-7,9.824641602537311e-05,99605.5473633039,9.785888044690159,99600.65441928155,7564480.467445231,75.94436924134703
7-8,8.779641268258027e-05,99595.7614752592,8.744150575917686,99591.38939997125,7464879.8130259495,74.95178210852193
8-9,8.189365693978051e-05,99587.01732468329,8.155545032443591,99582.93955216707,7365288.423625979,73.95831928184924
9-10,8.005671239443621e-05,99578.86177965085,7.971956298058824,99574.87580150182,7265705.484073811,72.96433554494166
10-11,8.249590977160217e-05,99570.88982335279,8.214191142745452,99566.78272778142,7166130.608272309,71.97013726587794
11-12,8.99913340773832e-05,99562.67563221004,8.959778004456354,99558.19574320782,7066563.825544528,70.97603374630872
12-13,0.00010352998178535387,99553.71585420558,10.306794389050198,99548.56245701105,6967005.62980132,69.98237654940334
13-14,0.0001234847171632717,99543.40905981653,12.292089713219303,99537.26301495993,6867457.067344309,68.98957080340288
14-15,0.00014912941033246008,99531.11697010332,14.84301678348262,99523.69546171158,6767919.804329349,67.99802926317268
15-16,0.00017852684693440136,99516.27395331983,17.766326607546283,99507.39079001606,6668396.108867637,67.00809670582709
16-17,0.00020905095171845162,99498.5076267123,20.80025771392982,99488.10749785532,6568888.7180776205,66.01997230674117
17-18,0.00023780923187882315,99477.70736899837,23.656717178487845,99465.87901040912,6469400.610579765,65.03367218328069
18-19,0.00026314076934266323,99454.05065181988,26.170415402764082,99440.9654441185,6369934.731569356,64.04902253674868
19-20,0.00028616652852170353,99427.88023641711,28.45293132552718,99413.65377075435,6270493.766125238,63.06574927691725
20-21,0.00030921024111375226,99399.42730509158,30.735320883576257,99384.0596446498,6171080.112354483,62.08365862524823
21-22,0.00033154991101588875,99368.69198420801,32.94568098512942,99352.21914371544,6071696.052709834,61.10270681307516
22-23,0.00034907624555998026,99335.74630322288,34.675749369427734,99318.40842853817,5972343.833566118,60.12280629910916
23-24,0.00035947950545835096,99301.07055385345,35.69669973418406,99283.22220398636,5873025.425137579,59.14362647230969
24-25,0.0003658539737116288,99265.37385411927,36.31663147649996,99247.21553838102,5773742.202933593,58.16471523513027
25-26,0.000373260585690529,99229.05722264278,37.03829601644266,99210.53807463455,5674494.987395212,57.18581982153879
26-27,0.0003837449804757875,99192.01892662633,38.06443936635217,99172.98670694316,5575284.449320577,56.206986304459534
