x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0022053553544534913,100000.0,220.53553544534913,99889.73223227733,7900684.788,79.00684788
1-2,0.0005695975982044317,99779.46446455465,56.83414330913477,99751.04739290009,7800795.055767722,78.18036604655111
2-3,0.0002798135598687309,99722.63032124551,27.90374418966115,99708.67844915068,7701044.008374822,77.22463781357105
3-4,0.00018714550413316403,99694.72657705584,18.657419864681064,99685.39786712351,7601335.329925671,76.2461124164924
4-5,0.00014902381198810943,99676.06915719116,14.854107789795048,99668.64210329627,7501649.932058548,75.26029061427268
5-6,0.0001249441905258143,99661.21504940136,12.452089841166554,99654.98900448078,7401981.289955251,74.27143333829656
6-7,0.0001067452965258412,99648.76295956019,10.637036750551514,99643.44444118491,7302326.30095077,73.28065180211244
7-8,9.531541831090461e-05,99638.12592280963,9.497049652047188,99633.37739798361,7202682.856509585,72.28842162376232
8-9,8.923368081835826e-05,99628.62887315759,8.890229269238016,99624.18375852297,7103049.479111602,71.29526481946132
9-10,8.83202716064628e-05,99619.73864388835,8.798442374393058,99615.33942270116,7003425.295353078,70.30158270529388
10-11,9.352148017434306e-05,99610.94020151396,9.31576256920356,99606.28232022937,6903809.955930377,69.30774814457025
11-12,0.00010671726893382207,99601.62443894477,10.629213341496413,99596.30983227403,6804203.673610148,68.31418374889142
12-13,0.00013042540568832713,99590.99522560327,12.989195955203556,99584.50062762568,6704607.363777874,67.32142146576547
13-14,0.0001668788914456514,99578.00602964807,16.61746725859606,99569.69729601877,6605022.863150248,66.33013781360201
14-15,0.00021631939647130384,99561.38856238947,21.537059485661064,99550.62003264665,6505453.16585423,65.34112530760487
15-16,0.00027544886338837194,99539.85150290381,27.41813895832218,99526.14243342465,6405902.545821583,64.35515473553532
16-17,0.00033813564441915523,99512.43336394549,33.64870078323595,99495.60901355387,6306376.403388158,63.37274841148676
17-18,0.0003983222180497992,99478.78466316225,39.62461015592913,99458.97235808428,6206880.794374605,62.39401511981941
18-19,0.00045295134049005834,99439.16005300633,45.04110084321468,99416.63950258472,6107421.82201652,61.41867870526
19-20,0.0005022097694582909,99394.11895216312,49.91669756447578,99369.16060338088,6008005.1825139355,60.4462844064798
20-21,0.0005467188955791333,99344.20225459864,54.31335253882421,99317.04557832923,5908636.021910555,59.47640514307964
21-22,0.0005850973148165333,99289.88890205981,58.09424738502711,99260.8417783673,5809318.976332226,58.50866629594656
22-23,0.0006140303604587708,99231.79465467478,60.93133464078068,99201.3289873544,5710058.134553858,57.54262688107958
23-24,0.0006316569241603098,99170.863320034,62.64196249105516,99139.54233878847,5610856.805566504,56.57767430600785
24-25,0.0006403739670847224,99108.22135754295,63.466324881440585,99076.48819510223,5511717.263227715,55.613118545873576
25-26,0.0006453221595146267,99044.7550326615,63.91577520627431,99012.79714505837,5412640.7750326125,54.64843416743989
26-27,0.0006512203196504149,98980.83925745523,64.45833378050632,98948.61009056498,5313627.977887554,53.68339991608358
27-28,0.0006584939163984231,98916.38092367472,65.13583507038884,98883.81300613952,5214679.367796989,52.71805659591114
28-29,0.0006684281447044223,98851.24508860432,66.07495435629792,98818.20761142617,5115795.55479085,51.75246452591829
29-30,0.0006829256555214459,98785.17013424802,67.46292706972889,98751.43867071316,5016977.347179424,50.78674603041533
30-31,0.0007051826619890225,98717.70720717829,69.6140155538109,98682.90019940138,4918225.908508711,49.82111160854716
31-32,0.000739590285167619,98648.09319162447,72.9591713748354,98611.61360593706,4819543.008309309,48.8559165451614
32-33,0.0007896283499993207,98575.13402024964,77.83772042737162,98536.21516003595,4720931.394703372,47.89170658123156
33-34,0.00085475338336178,98497.29629982226,84.19089726426081,98455.20085119014,4622395.179543337,46.92915798899627
34-35,0.0009308485139633352,98413.10540255801,91.6076929184882,98367.30155609877,4523939.978692147,45.96887741919135
35-36,0.001013649861868378,98321.49770963952,99.66357257206815,98271.66592335349,4425572.677136048,45.01124149070159
36-37,0.0011014111287766144,98221.83413706745,108.18262120741686,98167.74282646374,4327301.011212694,44.05640608557559
37-38,0.0011947809091569647,98113.65151586002,117.22431775882885,98055.0393569806,4229133.268386231,43.10443249278714
38-39,0.0012955195672866415,97996.4271981012,126.95628895932093,97932.94905362155,4131078.2290292503,42.15539634601388
39-40,0.001405532457972824,97869.47090914188,137.558718007426,97800.69155013816,4033145.279975629,41.20943173096175
40-41,0.0015264122238895835,97731.91219113446,149.17918543265105,97657.32259841813,3935344.588425491,40.26673069415782
41-42,0.0016697457951129003,97582.73300570181,162.93835811189544,97501.26382664587,3837687.265827073,39.32752391350665
42-43,0.0018272853037595333,97419.79464758992,178.0137590548127,97330.78776806251,3740186.002000427,38.392464442471045
43-44,0.0020003723269818967,97241.78088853511,194.5197675158627,97144.52100477718,3642855.214232364,37.46183153934668
44-45,0.002190346470620715,97047.26112101926,212.56712587983145,96940.97755807934,3545710.693227587,36.53591716314423
45-46,0.00239857998184594,96834.69399513943,232.2657585649187,96718.56111585697,3448769.7156695076,35.61502157318344
46-47,0.0026265815464792323,96602.42823657452,253.73415535127094,96475.56115889888,3352051.154553651,34.69945026997298
47-48,0.0028761854293990604,96348.69408122325,277.1167100580418,96210.13572619423,3255575.593394752,33.789514475933196
48-49,0.003149325598577067,96071.57737116521,302.5606779106879,95920.29703220987,3159365.4576685578,32.885537472363865
49-50,0.0034482351547570713,95769.01669325453,330.23409009819704,95603.89964820542,3063445.1606363477,31.98785229724637
50-51,0.0037753657073539724,95438.78260315633,360.3163069915673,95258.62444966055,2967841.2609881423,31.09680551279361
51-52,0.004133473559680903,95078.46629616477,393.0043265302089,94881.96413289967,2872582.636538482,30.212757403874473
52-53,0.0045255338313941445,94685.46196963456,428.50226148476486,94471.21083889218,2777700.672405582,29.336084068496017
53-54,0.004954763156609996,94256.95970814979,467.0209112160135,94023.44925254179,2683229.46156669,28.467176003499805
54-55,0.0054245018948073116,93789.93879693378,508.76370071782907,93535.55694657487,2589206.0123141482,27.60643674072635
55-56,0.005938223723605993,93281.17509621596,553.9244869221942,93004.21285275486,2495670.4553675735,26.754277621324828
56-57,0.006499771709511303,92727.25060929377,602.7059602110523,92425.89762918824,2402666.242514819,25.911112717430306
57-58,0.007113522303706386,92124.54464908272,655.3300030800447,91796.8796475427,2310240.3448856305,25.077359716519734
58-59,0.007784127710971238,91469.21464600267,712.0080484267256,91113.2106217893,2218443.465238088,24.253443891737152
59-60,0.008516569385052384,90757.20659757595,772.9400471817895,90370.73657398505,2127330.2546162987,23.439794308005045
60-61,0.009315980012673492,89984.26655039415,838.2916286385558,89565.12073607488,2036959.5180423136,22.636840818184023
61-62,0.010187929754436583,89145.9749217556,908.2129303936113,88691.86845655879,1947394.3973062388,21.84500645167085
62-63,0.011139020306423622,88237.76199136199,982.8822226151556,87746.32088005441,1858702.52884968,21.064706163236973
63-64,0.012176634949259468,87254.87976874683,1062.4708184855556,86723.64435950405,1770956.2079696255,20.29635720848189
64-65,0.013308550474621999,86192.40895026128,1147.0960250438131,85618.86093773937,1684232.5636101214,19.540381619708935
65-66,0.014543647192659093,85045.31292521747,1236.8690265736532,84426.87841193064,1598613.702672382,18.79719937156424
66-67,0.015825934430286966,83808.44389864382,1326.3469378443208,83145.27042972166,1514186.8242604514,18.06723468212436
67-68,0.017298677778574398,82482.09696079949,1426.831217826001,81768.6813518865,1431041.5538307298,17.349723231586218
68-69,0.01889954172664954,81055.2657429735,1531.9073770739947,80289.3120544365,1349272.8724788432,16.646332105768327
69-70,0.020640434960634134,79523.3583658995,1641.396706202549,78702.66001279822,1268983.5604244068,15.95736883477196
70-71,0.022538701424329118,77881.96165969696,1755.3582801889577,77004.28251960248,1190280.9004116086,15.283139703292369
71-72,0.024608356617404865,76126.603379508,1873.3506040346713,75189.92807749067,1113276.6178920062,14.624015370055004
72-73,0.026857009303210777,74253.25277547333,1994.2203005845488,73256.14262518106,1038086.6898145155,13.98035306215443
73-74,0.029295419316707226,72259.03247488878,2116.8586557714316,71200.60314700306,964830.5471893344,13.352386741749264
74-75,0.031939062276741766,70142.17381911735,2240.275257834835,69022.03619019993,893629.9440423313,12.740265882646073
75-76,0.034798686452345594,67901.89856128252,2362.8968775530466,66720.450122506,824607.9078521314,12.144106797071512
76-77,0.03790332776367516,65539.00168372947,2484.146262122456,64296.92855266824,757887.4577296254,11.563915199486116
77-78,0.04128905726405282,63054.85542160701,2603.475536279303,61753.11765346736,693590.5291769572,10.999795726108104
78-79,0.04498629126416147,60451.37988532771,2719.483382841824,59091.6381939068,631837.4115234899,10.451993200519887
79-80,0.049004344417027855,57731.896502485884,2829.113740056024,56317.33963245787,572745.7733295831,9.920785701279035
80-81,0.05375241558805208,54902.78276242986,2951.1571959866715,53427.20416443652,516428.43369712523,9.406234214607402
81-82,0.05865095333539781,51951.62556644319,3047.0123667955195,50428.11938304543,463001.22953268874,8.912160581780764
82-83,0.06396518808875458,48904.61319964767,3128.192781723253,47340.516808786044,412573.1101496433,8.43628204286903
83-84,0.06972465684470994,45776.42041792442,3191.7452052189537,44180.547815314945,365232.5933408573,7.978618467901112
84-85,0.0759599355871377,42584.675212705464,3234.7291861562867,40967.31061962732,321052.04552554234,7.539145101422636
85-86,0.0827024680407877,39349.94602654918,3254.337653667404,37722.77719971548,280084.73490591504,7.117792098544265
86-87,0.08998434755978425,36095.608372881776,3248.0397692072524,34471.58848827815,242361.95770619955,6.714444461013251
87-88,0.09783804708857237,32847.568603674525,3213.7419637914195,31240.697621778814,207890.3692179214,6.328942386154741
88-89,0.10629609255109067,29633.826639883104,3149.9599791559904,28058.84665030511,176649.67159614258,5.961082034488118
89-90,0.11539067575896779,26483.86666072711,3055.9912706916994,24955.87102538126,148590.82494583746,5.610616714295069
90-91,0.1251532040412985,23427.875390035413,2932.073668943218,21961.838555563805,123634.9539204562,5.277258473597734
91-92,0.1356137853422471,20495.801721092193,2779.5132550214557,19106.045093581466,101673.1153648924,4.960680082119489
92-93,0.14680064955249442,17716.28846607074,2600.7626544785494,16415.907138831462,82567.07027131092,4.660517378086207
93-94,0.158739509361512,15115.52581159219,2399.4311510734146,13915.810236055482,66151.16313247946,4.376371947428234
94-95,0.17145286693690492,12716.094660518775,2180.2108857870126,11625.989217625269,52235.352896423974,4.107814096304701
95=96,0.1849592762137878,10535.883774731761,1948.7094372469771,9561.529056108273,40609.363678798705,3.854386072119764
96-97,0.19927257442315305,8587.174337484785,1711.1883372510267,7731.580168859271,31047.834622690432,3.6156054835360965
97-98,0.21440110055979825,6875.986000233758,1474.218965883883,6138.8765172918165,23316.254453831163,3.390968866579789
98-99,0.23034692258371373,5401.767034349875,1244.2804128766475,4779.626827911551,17177.377936539346,3.179955341892436
99-100,0.2471050989999159,4157.486621473227,1027.3361431899677,3643.8185498782436,12397.751108627795,2.98203030758872
100-101,0.26466300375353174,3130.15047828326,828.4350277830016,2715.932964391759,8753.932558749551,2.7966491130326334
101-102,0.2829997457550286,2301.715450500258,651.3848872919942,1976.023006854261,6037.999594357792,2.6232606611062566
102-103,0.30208571544757357,1650.330563208264,498.5412889117655,1401.0599187523812,4061.9765875035314,2.461310890108583
103-104,0.32188229029836574,1151.7892742964987,370.74056955164957,966.4189895206739,2660.91666875115,2.3102460911319143
104-105,0.342341728653978,781.048704744849,267.3855637453021,647.355922872198,1694.4976792304763,2.169516022415056
105-106,0.3634072768679751,513.663140999547,186.66892329809608,420.32867935049893,1047.1417563582781,2.0385767885167407
106-107,0.3850135079577797,326.99421770145085,125.8971908391455,264.0456222818781,626.8130770077792,1.9168934588931053
107-108,0.407086901430123,201.09702686230534,81.86396555218609,160.1650440862123,362.7674547259011,1.8039424072355594
108-109,0.42954666368520766,119.23306131011925,51.21616368673554,93.62497946675148,202.60241063968877,1.6992133592270184
109-110,0.4523057771223002,68.01689762338371,30.764435736992503,52.634679754887465,108.97743117293729,1.602211141360138
