x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0012250853816992832,100000.0,122.50853816992831,99938.74573091503,7634504.2869,76.345042869
1-2,0.000659193477305472,99877.49146183007,65.83859090127136,99844.57216637944,7534565.541169085,75.43807349275038
2-3,0.00036251046134291545,99811.6528709288,36.18276832963933,99793.56148676398,7434720.969002705,74.48750476677205
3-4,0.00020307284732360722,99775.47010259915,20.261688806786253,99765.33925819576,7334927.407515941,73.51433573776633
4-5,0.0001595199899488454,99755.20841379237,15.912949843513136,99747.25193887061,7235162.068257745,72.52916597843924
5-6,0.00013493465156482373,99739.29546394886,13.458287080748944,99732.56632040848,7135414.816318875,71.54065790346391
6-7,0.00011480178204012577,99725.83717686811,11.448703823347884,99720.11282495644,7035682.249998467,70.55024504352245
7-8,0.00010243642658378679,99714.38847304476,10.214385634166245,99709.28128022767,6935962.13717351,69.55828785981544
8-9,9.617901664056278e-05,99704.17408741059,9.58944941868663,99699.37936270125,6836252.855893282,68.56536266876795
9-10,9.613366812273048e-05,99694.58463799191,9.584006113222179,99689.7926349353,6736553.476530581,67.57190975810931
10-11,0.0001039425254911071,99685.00063187869,10.361510719260078,99679.81987651906,6636863.683895646,66.57835824673923
11-12,0.00012253137122518256,99674.63912115943,12.21327020789089,99668.53248605548,6537183.864019127,65.58522731216371
12-13,0.0001558909521636508,99662.42585095153,15.53647046084408,99654.65761572111,6437515.331533072,64.59320327161802
13-14,0.00020808156320220022,99646.88938049068,20.734680510529227,99636.52204023542,6337860.67391735,63.60319637993843
14-15,0.0002803782585750696,99626.15469998015,27.93300776331092,99612.18819609849,6238224.151877115,62.61632972449109
15-16,0.000368247742583752,99598.22169221684,36.67682030351494,99579.88328206509,6138611.963681016,61.633750677304725
16-17,0.00046233125330179584,99561.54487191333,46.03041382129467,99538.52966500269,6039032.080398951,60.656271336169105
17-18,0.0005538741954659529,99515.51445809203,55.11907550685613,99487.9549203386,5939493.550733948,59.684096324851815
18-19,0.0006387819604140377,99460.39538258518,63.53350634604307,99428.62862941215,5840005.59581361,58.716895034947285
