x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012771262665668089,100000.0,1277.126266566809,99361.4368667166,7162428.9363,71.624289363
1-2,0.0016933124960431137,98722.8737334332,167.1686757381089,98639.28939556415,7063067.499433284,71.54438715494285
2-3,0.0006133045329222646,98555.70505769509,60.44466065723416,98525.48272736647,6964428.210037719,70.66489155509265
3-4,0.0004003604672586909,98495.26039703786,39.433608475324505,98475.5435928002,6865902.727310353,69.70795040932587
4-5,0.000340507539565376,98455.82678856252,33.52495133564826,98439.0643128947,6767427.183717553,68.73566963437166
5-6,0.00031385574741701634,98422.30183722687,30.89040510562602,98406.85663467406,6668988.119404658,67.75891230865528
6-7,0.00029493090512767295,98391.41143212124,29.018668030464784,98376.902098106,6570581.262769984,66.78002853229654
7-8,0.00027669492702126305,98362.39276409078,27.21637508749691,98348.78457654703,6472204.360671878,65.79958232812216
8-9,0.00025606683786322644,98335.17638900329,25.18037766865468,98322.58620016897,6373855.5760953305,64.81765539201403
9-10,0.00023521787527755125,98309.99601133463,23.12426838033067,98298.43387714446,6275532.989895161,63.8341292290524
10-11,0.0002219942310976677,98286.8717429543,21.819118519572225,98275.96218369452,6177234.556018017,62.849030053302435
11-12,0.0002273275766342851,98265.05262443473,22.338356280953242,98253.88344629425,6078958.593834323,61.86287425162097
12-13,0.00026262890928549444,98242.71426815378,25.80137689349171,98229.81357970703,5980704.710388029,60.876826896940955
13-14,0.00033745398699294244,98216.91289126029,33.143688845294314,98200.34104683764,5882474.896808322,59.89268776265688
14-15,0.00045308903129997937,98183.769202415,44.48598887730296,98161.52620797635,5784274.5557614835,58.9127368275775
15-16,0.0006023826397375748,98139.2832135377,59.1174004841243,98109.72451329563,5686113.029553507,57.93921499488947
16-17,0.0007731799286091113,98080.16581305357,75.83361560130655,98042.24900525292,5588003.305040211,56.9738362360772
17-18,0.0009592671330818683,98004.33219745226,94.01233477665306,97957.32603006392,5489961.056034959,56.017534459335636
18-19,0.0011593859103648139,97910.3198626756,113.51584532809828,97853.56194001155,5392003.730004895,55.07084174137583
19-20,0.0013727693756682181,97796.8040173475,134.25245759324122,97729.67778855088,5294150.168064883,54.13418384434925
20-21,0.001594614162851979,97662.55155975425,155.73408789744576,97584.68451580554,5196420.490276332,53.20791242175291
21-22,0.001799611410369871,97506.8174718568,175.4743813112058,97419.0802812012,5098835.805760526,52.29209544483587
22-23,0.0019450053750212782,97331.3430905456,189.30998546915134,97236.68809781103,5001416.725479325,51.38546912710942
23-24,0.002009326283709682,97142.03310507645,195.19004037102619,97044.43808489093,4904180.037381514,50.48463451528514
24-25,0.0020084616573751543,96946.84306470542,194.71401709902725,96849.4860561559,4807135.599296623,49.58527216908123
25-26,0.001975342761081719,96752.12904760639,191.1186177334336,96656.56973873966,4710286.113240467,48.6840564606366
26-27,0.0019287630471244582,96561.01042987296,186.24330871013836,96467.88877551789,4613629.543501727,47.7794248730688
27-28,0.001926906714522666,96374.76712116282,185.7051858763269,96281.91452822466,4517161.654726209,46.870791906010126
28-29,0.0019714110200817632,96189.06193528649,189.62817671055103,96094.24784693122,4420879.7401979845,45.96031660202943
29-30,0.002054288450072639,95999.43375857593,197.21052798375592,95900.82849458406,4324785.492351053,45.05011459991769
30-31,0.0021671596125694115,95802.22323059218,207.61870897969843,95698.41387610234,4228884.663856469,44.14182177878806
31-32,0.002304950630037849,95594.60452161248,220.3408439203097,95484.43409965232,4133186.249980367,43.23660598486933
32-33,0.002469727205939996,95374.26367769217,235.54841375129115,95256.48947081652,4037701.8158807145,42.33533932723953
33-34,0.0026605679264254307,95138.71526394087,253.12301439256265,95012.15375674459,3942445.3264098978,41.43891701157067
34-35,0.0028769734831800464,94885.59224954831,272.98333283778464,94749.10058312942,3847433.172653153,40.54812834528593
35-36,0.003117278196758746,94612.60891671052,294.93382291452383,94465.14200525326,3752684.0720700235,39.663678182403686
36-37,0.003381206896399981,94317.675093796,318.90757347955577,94158.22130705623,3658218.9300647704,38.78614402260006
37-38,0.0036668177853922943,93998.76752031644,344.67635254845186,93826.42934404222,3564060.7087577144,37.91603659045206
38-39,0.003972633396178324,93654.09116776798,372.0533702618045,93468.06448263708,3470234.279413672,37.053739309660706
39-40,0.0042958725090047984,93282.03779750619,400.72774175825333,93081.67392662706,3376766.214931035,36.19953310047982
40-41,0.004636036666483532,92881.31005574793,430.60115904947304,92666.0094762232,3283684.5410044077,35.35355540348774
41-42,0.0049577691065305655,92450.70889669846,458.3492684449021,92221.53426247601,3191018.5315281847,34.51589035508348
42-43,0.005296777782150965,91992.35962825356,487.2630866065749,91748.72808495027,3098796.9972657086,33.6853735439348
43-44,0.005652271545744668,91505.09654164698,517.21165347297,91246.4907149105,3007048.2691807584,32.862085095032405
44-45,0.0060263295702803745,90987.88488817401,548.3229812388698,90713.72339755458,2915801.778465848,32.04604417444617
45-46,0.006421948306118527,90439.56190693514,580.7981913943437,90149.16281123797,2825088.0550682936,31.237303625767105
46-47,0.0068443508735294215,89858.7637155408,615.0249079307356,89551.25126157544,2734938.8922570557,30.435972844171864
47-48,0.007298126732861201,89243.73880761006,651.3121159323016,88918.08274964392,2645387.64099548,29.642277165217788
48-49,0.007788726294914995,88592.42669167776,690.0221633037996,88247.41561002586,2556469.5582458363,28.856524803671366
49-50,0.008317681104742809,87902.40452837395,731.1441692071147,87536.8324437704,2468222.1426358107,28.079119745115676
50-51,0.00888336813305679,87171.26035916684,774.3743963930194,86784.07316097034,2380685.31019204,27.310438100619816
51-52,0.009485003342418152,86396.88596277383,819.4747521314297,85987.1485867081,2293901.23703107,26.550739780360285
52-53,0.010126318716336147,85577.4112106424,866.584140837923,85144.11914022344,2207914.088444362,25.800197239079207
53-54,0.010808885494230674,84710.82706980448,915.6296299190927,84253.01225484493,2122769.9693041383,25.059015980978522
54-55,0.011535300876880985,83795.19743988539,966.6028145067252,83311.89603263202,2038516.9570492934,24.327372204256978
55-56,0.012312543417754418,82828.59462537867,1019.8306675565551,82318.67929160039,1955205.0610166613,23.605435657332606
56-57,0.013141766895049572,81808.76395782211,1075.1117059058313,81271.20810486919,1872886.381725061,22.893468757096233
57-58,0.014016011078924223,80733.65225191628,1131.563764404874,80167.87036971384,1791615.1736201919,22.191677493169106
58-59,0.01493068002849711,79602.08848751141,1188.5133128071463,79007.83183110785,1711447.303250478,21.500030159623048
59-60,0.015890137499119304,78413.57517470427,1246.0024913235789,77790.57392904248,1632439.4714193703,20.818327283028733
60-61,0.016903875373784984,77167.57268338068,1304.4310315373616,76515.357167612,1554648.8974903277,20.146401440784818
61-62,0.017984727157319486,75863.14165184333,1364.3779039054816,75180.95269989058,1478133.5403227156,19.4842120710776
62-63,0.019144532921029626,74498.76374793785,1426.2440351484045,73785.64173036364,1402952.587622825,18.831890853513112
63-64,0.020399873449642177,73072.51971278944,1490.6701547873877,72327.18463539574,1329166.9458924613,18.18969636077604
64-65,0.02175847973200174,71581.84955800205,1557.5122227869854,70803.09344660856,1256839.7612570657,17.55807888476898
65-66,0.02321640288453524,70024.33733521507,1625.713227296956,69211.4807215666,1186036.667810457,16.937492205499275
66-67,0.02477744893057153,68398.6241079181,1694.7434157552996,67551.25240004045,1116825.1870888905,16.328182060018985
67-68,0.026460375155781476,66703.88069216281,1765.0097074611165,65821.37583843226,1049273.93468885,15.730328187819087
68-69,0.02827566402321892,64938.870984701694,1836.1896980105846,64020.776135696404,983452.5588504178,15.14428175202029
69-70,0.03023037594624574,63102.68128669111,1907.6177785127982,62148.872397434716,919431.7827147214,14.570407532090673
70-71,0.03233385856773354,61195.06350817832,1978.6725285169098,60205.727243919864,857282.9103172867,14.009020681916876
71-72,0.03458903856193935,59216.39097966141,2048.2380310943863,58192.27196411422,797077.1830733669,13.460414758257265
72-73,0.03699610821080251,57168.152948567025,2114.999172696894,56110.65336221858,738884.9111092526,12.924764453628784
73-74,0.03955647997249086,55053.15377587013,2177.708974757666,53964.2992884913,682774.2577470341,12.402091631783954
74-75,0.0422813214339238,52875.44480111246,2235.643677597531,51757.6229623137,628809.9584585428,11.892286879548163
75-76,0.045189712033769154,50639.80112351493,2288.3980302189793,49495.602108405445,577052.3354962291,11.395233051740226
76-77,0.048301272099818146,48351.40309329595,2335.4342772172763,47183.68595468731,527556.7333878237,10.910887784784281
77-78,0.051622375279712564,46015.968816078675,2375.453611083164,44828.24201053709,480373.0474331364,10.439268362536067
78-79,0.05516145247737737,43640.515204995514,2407.274205568625,42436.8781022112,435544.8054225993,9.980285598753486
79-80,0.058919130991083285,41233.24099942689,2429.426727632139,40018.52763561082,393107.9273203881,9.533762512770995
80-81,0.06329597008219241,38803.81427179475,2456.1250672224714,37575.75173818351,353089.39968477725,9.099347739673794
81-82,0.06777370943893495,36347.68920457228,2463.417726927394,35115.98034110858,315513.64794659376,8.68043209489379
82-83,0.07256483815243435,33884.271477644885,2458.8066756884486,32654.86813980066,280397.6676054852,8.275157038287729
83-84,0.07768869136000348,31425.464801956437,2441.4032358438462,30204.763184034513,247742.7994656845,7.8835046999928835
84-85,0.08316522516400127,28984.061566112592,2410.466006313029,27778.828562956078,217538.03628165,7.505436592640619
85-86,0.08901492944526282,26573.595559799563,2365.4467338625077,25390.872192868308,189759.20771869394,7.140893195716464
86-87,0.09525871821900192,24208.148825937056,2306.0372276136004,23055.130212130258,164368.33552582562,6.789793664425855
87-88,0.10191779516391437,21902.111598323456,2232.214923535123,20786.004136555894,141313.20531369536,6.452035671506326
88-89,0.10901349208731827,19669.89667478833,2144.284125515406,18597.75461203063,120527.20117713948,6.1274953890136015
89-90,0.11656707833986464,17525.612549272926,2042.909450985212,16504.15782378032,101929.44656510884,5.816027615499095
90-91,0.12459953958635074,15482.703098287715,1929.1376775988153,14518.134259488308,85425.28874132852,5.517466052215132
91-92,0.1331313248974631,13553.5654206889,1804.4041215407549,12651.363359918521,70907.15448184022,5.231623730063212
92-93,0.14218206187108776,11749.161299148145,1670.5199787688714,10913.901309763709,58255.7911219217,4.958293586976753
93-94,0.1517702404360055,10078.641320379274,1529.6378164622224,9313.822412148163,47341.88981215799,4.697249193344291
94-95,0.16191286714171732,8549.003503917053,1384.1936685237977,7856.906669655154,38028.06740000983,4.448245620976271
95-96,0.17262509309022578,7164.809835393255,1236.825964808526,6546.396852988992,30171.160730354677,4.211020449044294
96-97,0.18391982019757172,5927.983870584729,1090.2737276120486,5382.847006778705,23624.763877365687,3.985294898421404
97-98,0.195807292144559,4837.71014297268,947.2589232757479,4364.080681334806,18241.91687058698,3.7707750839693084
98-99,0.20829467812539668,3890.451219696932,810.3602845693295,3485.2710774122675,13877.836189252175,3.5671533725934403
99-100,0.2213856592450716,3080.0909351276027,681.8879622079934,2739.146954023606,10392.565111839907,3.374109833354437
100-101,0.23508002904403813,2398.2029729196092,563.7696245274403,2116.318160655889,7653.418157816301,3.19131376461389
101-102,0.24937332101659232,1834.433348392169,457.4587362721427,1605.7039802560976,5537.0999971604115,3.0184252821251474
102-103,0.26425647699937965,1376.9746121200262,363.87445991642545,1195.0373821618134,3931.396016904314,2.8550969511714044
103-104,0.2797155707993097,1013.1001522036008,283.3798873504977,871.410208528352,2736.3586347425007,2.7009754453107413
104-105,0.2957316012772404,729.7202648531031,215.80134240946015,621.819593648373,1864.9484262141486,2.5557032140111575
105-106,0.3122803682029514,513.9189224436429,160.48679032716484,433.6755272800605,1243.1288325657756,2.4189201414394286
106-107,0.32933244248799093,353.4321321164781,116.39666732365804,295.2337984546491,809.453305285715,2.2902651788857424
107-108,0.34685323988192757,237.03546479282008,82.21651893030823,195.92720532766597,514.2195068310659,2.1693779337219325
108-109,0.3648032039469982,154.81894586251187,56.478447482341195,126.57972212134128,318.2923015033999,2.0559001983262553
109-110,0.38313810023932837,98.34049838017067,37.67799172596734,79.501502517187,191.71257938205866,1.9494774028999176
