x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009225426214570816,100000.0,922.5426214570816,99538.72868927146,6737569.9936,67.375699936
1-2,0.0024581536412187376,99077.45737854292,243.54761261775957,98955.68357223405,6638031.264910729,66.9984014582546
2-3,0.0007137429663064217,98833.90976592517,70.54200792799264,98798.63876196118,6539075.581338495,66.1622675539743
3-4,0.0003994024594249995,98763.36775799718,39.44633198363977,98743.64459200537,6440276.942576534,65.20916700974936
4-5,0.0003568209582533943,98723.92142601355,35.226764245762965,98706.30804389066,6341533.297984528,64.23502233688164
5-6,0.00035817162897897574,98688.69466176779,35.34749052881411,98671.02091650339,6242826.989940638,63.257772446342045
6-7,0.0003580787087323352,98653.34717123897,35.32566316720003,98635.68433965537,6144155.969024135,62.28025855381599
7-8,0.0003495895919743625,98618.02150807178,34.47583390032572,98600.78359112161,6045520.284684479,61.302388673348716
8-9,0.00033021801255214077,98583.54567417144,32.55406252286809,98567.26864291001,5946919.501093358,60.323651989029955
9-10,0.0003053612044736374,98550.99161164857,30.093649500604343,98535.94478689827,5848352.232450448,59.34341336205472
10-11,0.0002889045943872337,98520.89796214797,28.463140064420397,98506.66639211576,5749816.28766355,58.36138734619174
11-12,0.0002979679190200575,98492.43482208355,29.34758584315488,98477.76102916198,5651309.621271434,57.37810859768005
12-13,0.0003486948543519462,98463.0872362404,34.33357186288382,98445.92045030896,5552831.860242272,56.39506150075794
13-14,0.0004556593759560046,98428.75366437752,44.84998447083756,98406.3286721421,5454385.9397919625,55.41455861963196
14-15,0.0006252934265087055,98383.90367990668,61.51880824531129,98353.14427578403,5355979.611119821,54.439592360002
15-16,0.0008478214955094009,98322.38487166137,83.35983138394283,98280.7049559694,5257626.466844037,53.47334153567097
16-17,0.0011082827596825087,98239.02504027743,108.87661778015774,98184.58673138735,5159345.761888068,52.51829158293017
17-18,0.00140494274403775,98130.14842249727,137.867239997535,98061.21480249849,5061161.175156681,51.5760065231529
18-19,0.0017462572981251636,97992.28118249973,171.1197361748733,97906.7213144123,4963099.960354182,50.64786634684991
19-20,0.00213165053907077,97821.16144632486,208.5205315295872,97716.90118056006,4865193.239039769,49.73559061358451
20-21,0.002536324612040787,97612.64091479527,247.57734359849474,97488.85224299601,4767476.33785921,48.840767888051246
21-22,0.002908328910097693,97365.06357119678,283.1696292176113,97223.47875658797,4669987.485616214,47.96368753152771
22-23,0.003178327659650383,97081.89394197917,308.55806876703735,96927.61490759565,4572764.006859626,47.10213018292093
23-24,0.0033029625918763583,96773.33587321213,319.6387082803061,96613.51651907197,4475836.39195203,46.2507192871398
24-25,0.0033020803251214877,96453.69716493181,318.49785569354754,96294.44823708505,4379222.875432959,45.40233297583886
25-26,0.0032355396578695214,96135.19930923826,311.04924988223104,95979.67468429715,4282928.427195874,44.551095311291455
26-27,0.0031166399958247994,95824.15005935603,298.6493786409063,95674.82537003559,4186948.7525115767,43.694087032528536
27-28,0.003057269124783494,95525.50068071512,292.04716386063495,95379.4770987848,4091273.927141541,42.82912832685624
28-29,0.003055405922256529,95233.45351685448,290.97685787233905,95087.96508791832,3995894.4500427563,41.95893672317113
29-30,0.0031031549331503165,94942.47665898214,294.6212148098292,94795.16605157722,3900806.484954838,41.085998830280126
30-31,0.0031967166759257846,94647.85544417231,302.56237783899866,94496.57425525281,3806011.318903261,40.212335515073796
31-32,0.0033385983047237245,94345.29306633331,314.98103548992333,94187.80254858836,3711514.744648008,39.339691721965146
32-33,0.0035357342724628735,94030.31203084339,332.466196897831,93864.07893239448,3617326.94209942,38.4697962175525
33-34,0.003792570369573608,93697.84583394555,355.3556738026978,93520.1679970442,3523462.8631670256,37.60452368789165
34-35,0.004105705391875044,93342.49016014286,383.23676514154175,93150.87177757209,3429942.6951699816,36.745780933049964
35-36,0.004467318890707526,92959.25339500132,415.27862875755704,92751.61408062254,3336791.8233924094,35.89520893862771
36-37,0.004869876747672134,92543.97476624376,450.67775085128716,92318.63589081811,3244040.209311787,35.054040173937715
37-38,0.005307450121527279,92093.29701539247,488.7805804361925,91848.90672517437,3151721.573420969,34.223137574216615
38-39,0.005774691254308346,91604.51643495627,528.9877999120871,91340.02253500023,3059872.6666957946,33.403076461502366
39-40,0.006268144954365164,91075.52863504419,570.8746152798923,90790.09132740424,2968532.644160794,32.594185163132366
40-41,0.006788028699792667,90504.65401976429,614.3481889509658,90197.4799252888,2877742.55283339,31.7966250907379
41-42,0.007226296775578387,89890.30583081332,649.5740271809614,89565.51881722284,2787545.072908101,31.010519400775742
42-43,0.007688824322935568,89240.73180363236,686.1563092883382,88897.65364898818,2697979.5540908785,30.232602305722722
43-44,0.008177051193970405,88554.57549434401,724.1152972775681,88192.51784570522,2609081.90044189,29.462982413692814
44-45,0.00869252930090828,87830.46019706644,763.4688487752585,87448.72577267881,2520889.382596185,28.701766755406155
45-46,0.009236932601310744,87066.99134829118,804.2319308830713,86664.87538284964,2433440.656823506,27.949061052185606
46-47,0.009812067952539482,86262.7594174081,846.4160571771735,85839.55138881951,2346775.7814406566,27.20496999272979
47-48,0.010419886903266565,85416.34336023092,890.0286375041902,84971.32904147884,2260936.230051837,26.469597516211497
48-49,0.011062498493588459,84526.31472272673,935.0722292887484,84058.77860808236,2175964.9010103582,25.743047098979968
49-50,0.011742183138932591,83591.24249343798,981.5436781688729,83100.47065435354,2091906.122402276,25.025422041866324
50-51,0.012461407676348983,82609.6988152691,1029.4331349574718,82094.98224779037,2008805.6517479224,24.316825754806242
51-52,0.01322284165483961,81580.26568031163,1078.722935250507,81040.90421268638,1926710.669500132,23.617362035205037
52-53,0.014029374953939194,80501.54274506112,1129.3863275410258,79936.8495812906,1845669.7652874456,22.927135336181866
53-54,0.01488413681664508,79372.15641752009,1181.3860355505228,78781.46339974483,1765732.9157061551,22.24625102054552
54-55,0.01579051638377489,78190.77038196957,1234.672640776471,77573.43406158134,1686951.4523064103,21.574815596079784
55-56,0.016752184816643343,76956.09774119311,1289.1827721281363,76311.50635512904,1609378.018244829,20.912936927457537
56-57,0.01777311909326913,75666.91496906498,1344.8370911654604,74994.49642348225,1533066.5118897,20.26072441986654
57-58,0.018857627559767914,74322.07787789952,1401.538064089495,73621.30884585477,1458072.0154662179,19.61828916922399
58-59,0.02001037731270195,72920.53981381001,1459.1675155202431,72190.9560560499,1384450.706620363,18.9857440736906
59-60,0.02123642347940316,71461.37229828977,1517.5839645457716,70702.58031601689,1312259.7505643133,18.363203901077597
60-61,0.022541240451034488,69943.788333744,1576.6197508871844,69155.47845830041,1241557.1702482963,17.750785306681962
61-62,0.023930755106676884,68367.16858285682,1636.07796869324,67549.12959851019,1172401.6917899959,17.148606796098584
62-63,0.02541138204516596,66731.09061416358,1695.729237887099,65883.22599522003,1104852.5621914857,16.556788627653305
63-64,0.026990060813792252,65035.36137627648,1755.308358592658,64157.70719698015,1038969.3361962656,15.975452649291492
64-65,0.02867429508819932,63280.05301768382,1814.5109134259637,62372.79756097084,974811.6289992855,15.404722065053756
65-66,0.0304721937146128,61465.54210425786,1872.9899057746347,60529.04715137054,912438.8314383146,14.84472112668649
66-67,0.03239251347250795,59592.55219848322,1930.3525499505008,58627.37592350797,851909.7842869441,14.29557474648027
67-68,0.034444703351414765,57662.199648532725,1986.1573614837625,56669.12096779084,793282.4083634361,13.757408028113995
68-69,0.03663895005807918,55676.042287048964,2039.9117327866913,54656.08642065562,736613.2873956453,13.230345713114597
69-70,0.038986224377832314,53636.13055426227,2091.0702205471766,52590.595443988685,681957.2009749897,12.714511541526498
70-71,0.04149832790486496,51545.0603337151,2139.0338156045573,50475.543425912816,629366.605531001,12.210027526523987
71-72,0.044187939528228935,49406.02651811054,2183.1505121123437,48314.45126205437,578891.0621050881,11.717013143991386
72-73,0.04706866091189856,47222.8760059982,2222.71753801096,46111.517236992724,530576.6108430338,11.235584439533934
73-74,0.05015506003637917,45000.15846798724,2256.9856496084767,43871.665643183,484465.09360604105,10.765853056955027
74-75,0.05346271167470367,42743.17281837876,2285.165924451015,41600.58985615326,440593.42796285806,10.307925193925032
75-76,0.05700823345625106,40458.00689392775,2306.439502183648,39304.78714283592,398992.8381067048,9.861900492349482
76-77,0.06080931592742454,38151.5673917441,2319.9707146509954,36991.58203441861,359688.0509638689,9.42787087278895
77-78,0.0648847447496598,35831.596677093105,2324.9240043659443,34669.134674910136,322696.4689294503,9.005919324151915
78-79,0.06925441288471838,33506.67267272716,2320.484943670157,32346.430200892082,288027.33425454015,8.596118661730943
79-80,0.07393932030884713,31186.187729057,2305.8855237105836,30033.24496720171,255680.90405364806,8.19853026843109
80-81,0.07896155847761877,28880.30220534642,2280.4336714387637,27740.08536962704,225647.65908644634,7.813202835691715
81-82,0.08434427644152576,26599.868533907655,2243.5466649321497,25478.09520144158,197907.5737168193,7.440171122069289
82-83,0.09011162520167412,24356.321868975505,2194.7877475484597,23258.927995201277,172429.4785153777,7.079454748666883
83-84,0.09628867661240381,22161.534121427045,2133.904792252841,21094.581725300624,149170.55052017642,6.731057051503928
84-85,0.10290131290530934,20027.629329174204,2060.8693523529055,18997.19465299775,128075.9687948758,6.3949640114573025
85-86,0.10997608275416064,17966.7599768213,1975.9138820350406,16978.80303580378,109078.77414187804,6.0711432825172285
86-87,0.11754001975527387,15990.84609478626,1879.564365884721,15051.0639118439,92099.97110607426,5.75954333874197
87-88,0.1256204193009865,14111.28172890154,1772.6651276589612,13224.94916507206,77048.90719423036,5.460092759428456
88-89,0.13424457011769708,12338.616601242578,1656.3922814808905,11510.420460502133,63823.9580291583,5.172699670620353
89-90,0.14343943727049907,10682.224319761688,1532.2522452238563,9916.09819714976,52313.53756865616,4.897251359146073
90-91,0.15323129425086018,9149.972074537833,1402.0620633406602,8448.941042867502,42397.4393715064,4.633614072931245
91-92,0.16364530290696622,7747.910011197172,1267.9090806782772,7113.955470858034,33948.498328638896,4.381633018398123
92-93,0.174705041486439,6480.000930518895,1132.088831398467,5913.956514819662,26834.542857780863,4.141132562404131
93-94,0.18643198296379832,5347.912099120428,997.0218573551106,4849.401170442873,20920.5863429612,3.911916642459776
94-95,0.19884492812665558,4350.890241765318,865.1524574107917,3918.314013059922,16071.185172518326,3.6937693849977813
95-96,0.21195940057454857,3485.7377843545264,738.8348913318405,3116.320338688606,12152.871159458404,3.4864559273522118
96-97,0.22578701378713562,2746.902893022686,620.215001378836,2436.795392333268,9036.550820769797,3.2897234349722484
97-98,0.2403348236468498,2126.68789164385,511.1171593901155,1871.1293119487923,6599.755428436529,3.103302301371155
98-99,0.2556046831106426,1615.5707322537344,412.9474450605446,1409.0970097234622,4728.626116487736,2.926907514529719
99-100,0.271592618922862,1202.6232871931898,326.62360814641966,1039.31148311998,3319.529106764274,2.7602401700633488
100-101,0.2882882531076491,875.9996790467701,252.54041719525463,749.7294704491428,2280.217623644294,2.602989108541159
101-102,0.3056742941994416,623.4592618515154,190.5754698285668,528.171526937232,1530.488153195151,2.4548326520164134
102-103,0.3237261244699403,432.8837920229486,140.13579233744082,362.8158958542282,1002.316626257919,2.315440413173942
103-104,0.34241150950039656,292.7479996855078,100.24028447553634,242.62785744773964,639.5007304036908,2.1844751495849373
104-105,0.36169045507685194,192.50771520997145,69.62820312009958,157.69361364992164,396.87287295595115,2.0615946354309753
105-106,0.38151523337227633,122.87951208987187,46.880405731638916,99.43930922405241,239.1792593060295,1.94645352376642
106-107,0.40183059565005635,75.99910635823295,30.53876617680073,60.72972326983258,139.7399500819771,1.838705174022604
107-108,0.4225741823423417,45.460340181432215,19.21036608117342,35.855157140845506,79.01022681214451,1.7380034222536545
108-109,0.44367713354702,26.249974100258797,11.646513264486337,20.426717468015628,43.155069671299,1.644004276212735
109-110,0.4650648941329431,14.60346083577246,6.7915569675631,11.20768235199091,22.728352203283375,1.556367525402491
